negatives
"frozenset({'Q92731', 'A8CG34', 'CRH'})"
"frozenset({'Q8WUM4', 'Q9H3S7', 'CRH'})"
"frozenset({'Q6FI81', 'CRH', 'Q9UHB4'})"
"frozenset({'Q6ZSC3', 'P61218', 'CRH'})"
"frozenset({'Q6FHJ7', 'O43683', 'CRH'})"
"frozenset({'P61081', 'CRH', 'P04637'})"
"frozenset({'Q9BT22', 'Q14686', 'CRH'})"
"frozenset({'Q8NBS9', 'CRH', 'Q9BQ66'})"
"frozenset({'P09769', 'Q07666', 'CRH'})"
"frozenset({'Q14194', 'CRH', 'P50453'})"
"frozenset({'P40424', 'CRH', 'Q00987'})"
"frozenset({'O75899', 'P63211', 'CRH'})"
"frozenset({'CRH', 'Q8IWT1', 'P22612'})"
"frozenset({'Q5VZY2', 'Q96AG4', 'CRH'})"
"frozenset({'Q96A09', 'Q96K80', 'CRH'})"
"frozenset({'Q14573', 'Q9Y210', 'CRH'})"
"frozenset({'Q9UK53', 'P01106', 'CRH'})"
"frozenset({'P63218', 'CRH', 'P62873'})"
"frozenset({'Q15828', 'Q9BXS6', 'CRH'})"
"frozenset({'Q8NGR6', 'CRH', 'P22612'})"
"frozenset({'P38398', 'Q14457', 'CRH'})"
"frozenset({'P33992', 'Q96E39', 'CRH'})"
"frozenset({'Q9BQE4', 'Q9UKV5', 'CRH'})"
"frozenset({'Q96GE4', 'P61981', 'CRH'})"
"frozenset({'Q9UHJ3', 'Q13547', 'CRH'})"
"frozenset({'P47755', 'Q9UHB6', 'CRH'})"
"frozenset({'P04629', 'O43303', 'CRH'})"
"frozenset({'Q96N21', 'CRH', 'Q9H0C1'})"
"frozenset({'P21333', 'P49407', 'CRH'})"
"frozenset({'Q9Y6H3', 'CRH', 'O95429'})"
"frozenset({'Q13191', 'Q9Y6Q6', 'CRH'})"
"frozenset({'Q96M98', 'CRH', 'Q71U36'})"
"frozenset({'Q03933', 'Q99933', 'CRH'})"
"frozenset({'O00459', 'P27348', 'CRH'})"
"frozenset({'Q96KP6', 'Q04206', 'CRH'})"
"frozenset({'P16615', 'CRH', 'Q14999'})"
"frozenset({'P53007', 'CRH', 'P62701'})"
"frozenset({'Q9Y2B5', 'CRH', 'Q8WWB3'})"
"frozenset({'Q08257', 'CRH', 'Q8TF50'})"
"frozenset({'Q96D09', 'Q92837', 'CRH'})"
"frozenset({'Q92800', 'Q6ZN18', 'CRH'})"
"frozenset({'Q9Y6X9', 'Q86VD1', 'CRH'})"
"frozenset({'P33897', 'Q14573', 'CRH'})"
"frozenset({'P07900', 'Q6P4R8', 'CRH'})"
"frozenset({'Q5T681', 'P60410', 'CRH'})"
"frozenset({'O14965', 'P60002', 'CRH'})"
"frozenset({'Q96PU5', 'P17612', 'CRH'})"
"frozenset({'P26640', 'Q9BSB4', 'CRH'})"
"frozenset({'P22392', 'Q8NI37', 'CRH'})"
"frozenset({'P83881', 'Q5S007', 'CRH'})"
"frozenset({'Q13574', 'CRH', 'Q08999'})"
"frozenset({'Q96MF2', 'CRH', 'Q5MJ10'})"
"frozenset({'P49716', 'Q8N264', 'CRH'})"
"frozenset({'P13010', 'CRH', 'O95466'})"
"frozenset({'P12830', 'P83881', 'CRH'})"
"frozenset({'Q13309', 'CRH', 'P49715'})"
"frozenset({'O95644', 'Q9HC98', 'CRH'})"
"frozenset({'Q92499', 'CRH', 'Q9Y224'})"
"frozenset({'Q13247', 'P62633', 'CRH'})"
"frozenset({'Q9UNM6', 'CRH', 'P35228'})"
"frozenset({'Q9NR55', 'Q99814', 'CRH'})"
"frozenset({'P05412', 'Q14152', 'CRH'})"
"frozenset({'P04629', 'P32004', 'CRH'})"
"frozenset({'P05231', 'P00533', 'CRH'})"
"frozenset({'Q9Y478', 'Q14019', 'CRH'})"
"frozenset({'Q5TCZ1', 'Q8TEH3', 'CRH'})"
"frozenset({'Q04206', 'Q99728', 'CRH'})"
"frozenset({'P12314', 'CRH', 'Q8IYS5'})"
"frozenset({'P55290', 'P18031', 'CRH'})"
"frozenset({'Q9HCH5', 'O00194', 'CRH'})"
"frozenset({'O43819', 'P36543', 'CRH'})"
"frozenset({'Q96AW1', 'Q9NY59', 'CRH'})"
"frozenset({'Q9Y603', 'CRH', 'Q9Y468'})"
"frozenset({'P67775', 'CRH', 'Q99683'})"
"frozenset({'P05556', 'O00329', 'CRH'})"
"frozenset({'Q13363', 'Q06330', 'CRH'})"
"frozenset({'Q5TCM9', 'CRH', 'Q6L8H1'})"
"frozenset({'Q9H0N5', 'P05067', 'CRH'})"
"frozenset({'Q96SY0', 'Q9P258', 'CRH'})"
"frozenset({'Q15125', 'Q07108', 'CRH'})"
"frozenset({'Q96KQ7', 'CRH', 'Q92833'})"
"frozenset({'P05455', 'P35579', 'CRH'})"
"frozenset({'O00303', 'O15519', 'CRH'})"
"frozenset({'P07900', 'Q07157', 'CRH'})"
"frozenset({'Q9Y371', 'Q8IVP5', 'CRH'})"
"frozenset({'P18124', 'P62841', 'CRH'})"
"frozenset({'Q8N9Q2', 'Q8WUU5', 'CRH'})"
"frozenset({'Q9BTA9', 'P05067', 'CRH'})"
"frozenset({'Q9Y597', 'Q13618', 'CRH'})"
"frozenset({'O95793', 'Q8N4N8', 'CRH'})"
"frozenset({'P06727', 'P02768', 'CRH'})"
"frozenset({'Q9Y478', 'CRH', 'Q08188'})"
"frozenset({'Q15046', 'CRH', 'P56192'})"
"frozenset({'Q13547', 'CRH', 'P46531'})"
"frozenset({'P11940', 'P04406', 'CRH'})"
"frozenset({'P0DML3', 'O00233', 'CRH'})"
"frozenset({'P13196', 'Q96CN5', 'CRH'})"
"frozenset({'Q7Z698', 'Q99750', 'CRH'})"
"frozenset({'Q8NEF3', 'A1L4K1', 'CRH'})"
"frozenset({'Q9P107', 'P55040', 'CRH'})"
"frozenset({'CRH', 'P49356', 'Q7L576'})"
"frozenset({'P19320', 'Q8NI36', 'CRH'})"
"frozenset({'Q8NGM9', 'CRH', 'P62873'})"
"frozenset({'Q14627', 'P40225', 'CRH'})"
"frozenset({'A2AJT9', 'P43243', 'CRH'})"
"frozenset({'Q9NWS0', 'O15514', 'CRH'})"
"frozenset({'Q5HYA8', 'Q99460', 'CRH'})"
"frozenset({'P61981', 'O43491', 'CRH'})"
"frozenset({'Q09472', 'Q06330', 'CRH'})"
"frozenset({'P00403', 'P27986', 'CRH'})"
"frozenset({'P04406', 'P68104', 'CRH'})"
"frozenset({'O43493', 'Q15031', 'CRH'})"
"frozenset({'O15198', 'P61968', 'CRH'})"
"frozenset({'Q93062', 'CRH', 'Q9UBP5'})"
"frozenset({'Q9Y4F3', 'Q6PCT2', 'CRH'})"
"frozenset({'Q7Z6Z7', 'O75489', 'CRH'})"
"frozenset({'Q8TDQ7', 'Q9UMY4', 'CRH'})"
"frozenset({'Q9NRD1', 'Q8NBJ5', 'CRH'})"
"frozenset({'Q99750', 'CRH', 'Q86XF7'})"
"frozenset({'Q15468', 'Q8IZH2', 'CRH'})"
"frozenset({'Q9BVA1', 'O43318', 'CRH'})"
"frozenset({'Q92734', 'P54136', 'CRH'})"
"frozenset({'P13569', 'P50991', 'CRH'})"
"frozenset({'Q16186', 'CRH', 'Q06830'})"
"frozenset({'Q9NPD3', 'CRH', 'P26373'})"
"frozenset({'Q9Y3D0', 'Q9UJ14', 'CRH'})"
"frozenset({'P04264', 'CRH', 'P19320'})"
"frozenset({'Q96NA2', 'CRH', 'Q96JC1'})"
"frozenset({'Q9Y3C7', 'P30519', 'CRH'})"
"frozenset({'P51532', 'Q8NF64', 'CRH'})"
"frozenset({'CRH', 'Q8IWT0', 'Q9Y3I0'})"
"frozenset({'Q9UBT2', 'CRH', 'O43865'})"
"frozenset({'P67870', 'Q9C0C6', 'CRH'})"
"frozenset({'Q13137', 'Q9P2K6', 'CRH'})"
"frozenset({'Q9H0H5', 'Q96IZ7', 'CRH'})"
"frozenset({'Q9NP55', 'Q9BTL3', 'CRH'})"
"frozenset({'O75360', 'CRH', 'Q9UHH9'})"
"frozenset({'O14579', 'O95817', 'CRH'})"
"frozenset({'P49768', 'Q12986', 'CRH'})"
"frozenset({'Q8IYT4', 'P07437', 'CRH'})"
"frozenset({'Q12905', 'CRH', 'Q9NVP1'})"
"frozenset({'P62753', 'P61247', 'CRH'})"
"frozenset({'P61326', 'CRH', 'P18621'})"
"frozenset({'Q15007', 'Q6UXT9', 'CRH'})"
"frozenset({'P42677', 'CRH', 'P62277'})"
"frozenset({'Q92504', 'P04626', 'CRH'})"
"frozenset({'O95168', 'Q6UWR7', 'CRH'})"
"frozenset({'Q0VDF9', 'Q15004', 'CRH'})"
"frozenset({'P35247', 'Q8IWL2', 'CRH'})"
"frozenset({'P12270', 'Q9BWF3', 'CRH'})"
"frozenset({'Q92734', 'Q96LM6', 'CRH'})"
"frozenset({'CRH', 'Q9BYD3', 'Q7Z7H8'})"
"frozenset({'Q9NQG5', 'O75674', 'CRH'})"
"frozenset({'P05067', 'P09132', 'CRH'})"
"frozenset({'P04843', 'P05023', 'CRH'})"
"frozenset({'Q05086', 'P62736', 'CRH'})"
"frozenset({'P68400', 'CRH', 'P0DP23'})"
"frozenset({'Q15717', 'Q9Y478', 'CRH'})"
"frozenset({'Q13635', 'P54826', 'CRH'})"
"frozenset({'Q15392', 'O00483', 'CRH'})"
"frozenset({'Q8IXH7', 'P18615', 'CRH'})"
"frozenset({'Q6IQ23', 'P05198', 'CRH'})"
"frozenset({'Q6P158', 'Q92905', 'CRH'})"
"frozenset({'Q13618', 'Q14157', 'CRH'})"
"frozenset({'P04899', 'P09471', 'CRH'})"
"frozenset({'P14373', 'CRH', 'Q6PJG2'})"
"frozenset({'Q9NZ42', 'P07204', 'CRH'})"
"frozenset({'P05067', 'CRH', 'Q8NEY1'})"
"frozenset({'O60506', 'Q96JY0', 'CRH'})"
"frozenset({'A8MQ03', 'CRH', 'Q8NA69'})"
"frozenset({'Q13131', 'Q7KZF4', 'CRH'})"
"frozenset({'P35579', 'O14639', 'CRH'})"
"frozenset({'P00533', 'Q9BY32', 'CRH'})"
"frozenset({'P00748', 'P51965', 'CRH'})"
"frozenset({'P02686', 'P01903', 'CRH'})"
"frozenset({'P53778', 'Q15198', 'CRH'})"
"frozenset({'Q30154', 'P01903', 'CRH'})"
"frozenset({'P48556', 'CRH', 'Q9C0C7'})"
"frozenset({'P61204', 'Q96T76', 'CRH'})"
"frozenset({'Q9H9S0', 'CRH', 'P82673'})"
"frozenset({'P37275', 'Q9ULJ6', 'CRH'})"
"frozenset({'O60664', 'Q99640', 'CRH'})"
"frozenset({'Q9H165', 'O43639', 'CRH'})"
"frozenset({'O95136', 'CRH', 'Q03113'})"
"frozenset({'P28066', 'P28074', 'CRH'})"
"frozenset({'Q8IWL3', 'Q9NRL3', 'CRH'})"
"frozenset({'Q9UQP3', 'Q13797', 'CRH'})"
"frozenset({'P61106', 'P52597', 'CRH'})"
"frozenset({'P49642', 'Q13114', 'CRH'})"
"frozenset({'P61978', 'CRH', 'O60260'})"
"frozenset({'Q9UNQ0', 'Q8N3V7', 'CRH'})"
"frozenset({'Q15717', 'P62993', 'CRH'})"
"frozenset({'Q9BYR9', 'Q8NE01', 'CRH'})"
"frozenset({'P15927', 'Q9UPW0', 'CRH'})"
"frozenset({'Q14203', 'Q9BT25', 'CRH'})"
"frozenset({'P26368', 'O14548', 'CRH'})"
"frozenset({'Q17R55', 'P13637', 'CRH'})"
"frozenset({'Q8N3L3', 'O76011', 'CRH'})"
"frozenset({'Q99873', 'P52292', 'CRH'})"
"frozenset({'P54725', 'P42566', 'CRH'})"
"frozenset({'O60308', 'O43293', 'CRH'})"
"frozenset({'P63104', 'Q14432', 'CRH'})"
"frozenset({'Q66LE6', 'P54289', 'CRH'})"
"frozenset({'CRH', 'Q96RB7', 'P38405'})"
"frozenset({'Q15691', 'P42566', 'CRH'})"
"frozenset({'Q0D2H9', 'O14653', 'CRH'})"
"frozenset({'Q8N2U0', 'Q7Z7A1', 'CRH'})"
"frozenset({'Q9BUF5', 'Q6PEY2', 'CRH'})"
"frozenset({'P10632', 'Q9H492', 'CRH'})"
"frozenset({'P27482', 'Q14330', 'CRH'})"
"frozenset({'Q9C000', 'O95347', 'CRH'})"
"frozenset({'CRH', 'P15692', 'P08138'})"
"frozenset({'Q96D42', 'CRH', 'Q96H15'})"
"frozenset({'P62316', 'Q9Y5B9', 'CRH'})"
"frozenset({'Q6P1K2', 'Q13950', 'CRH'})"
"frozenset({'P47902', 'CRH', 'P10276'})"
"frozenset({'P62280', 'CRH', 'O95433'})"
"frozenset({'P35244', 'CRH', 'Q14683'})"
"frozenset({'CRH', 'Q9Y5M8', 'Q8TC12'})"
"frozenset({'Q13243', 'O43175', 'CRH'})"
"frozenset({'O75578', 'P06756', 'CRH'})"
"frozenset({'P62304', 'Q15154', 'CRH'})"
"frozenset({'P08865', 'P62263', 'CRH'})"
"frozenset({'O15519', 'Q13077', 'CRH'})"
"frozenset({'P62857', 'P19838', 'CRH'})"
"frozenset({'O95273', 'P17021', 'CRH'})"
"frozenset({'P60709', 'P04083', 'CRH'})"
"frozenset({'Q9P1Z9', 'P04626', 'CRH'})"
"frozenset({'Q15717', 'P54646', 'CRH'})"
"frozenset({'Q86SQ0', 'Q5TCZ1', 'CRH'})"
"frozenset({'Q9P127', 'O00422', 'CRH'})"
"frozenset({'CRH', 'Q9H307', 'P34947'})"
"frozenset({'Q9NVU0', 'A6H8Y1', 'CRH'})"
"frozenset({'P23508', 'Q3KQV3', 'CRH'})"
"frozenset({'Q9UNQ2', 'P62280', 'CRH'})"
"frozenset({'P62987', 'P01106', 'CRH'})"
"frozenset({'P63104', 'Q14974', 'CRH'})"
"frozenset({'P14618', 'Q13526', 'CRH'})"
"frozenset({'Q9Y6Q5', 'P63010', 'CRH'})"
"frozenset({'Q13547', 'CRH', 'Q9BSJ6'})"
"frozenset({'P23396', 'P20333', 'CRH'})"
"frozenset({'CRH', 'Q9H2X6', 'P09341'})"
"frozenset({'P04629', 'Q8NBQ5', 'CRH'})"
"frozenset({'Q12931', 'Q9BXM7', 'CRH'})"
"frozenset({'Q13618', 'Q14681', 'CRH'})"
"frozenset({'Q5T753', 'Q6L8G8', 'CRH'})"
"frozenset({'Q08043', 'P63261', 'CRH'})"
"frozenset({'P05015', 'Q6UXL0', 'CRH'})"
"frozenset({'Q8NEP4', 'P63167', 'CRH'})"
"frozenset({'P48023', 'CRH', 'O95407'})"
"frozenset({'Q14197', 'Q8N5N7', 'CRH'})"
"frozenset({'Q8NA75', 'Q92526', 'CRH'})"
"frozenset({'P01857', 'P08779', 'CRH'})"
"frozenset({'P48023', 'Q12778', 'CRH'})"
"frozenset({'O14508', 'P52630', 'CRH'})"
"frozenset({'P09960', 'P26885', 'CRH'})"
"frozenset({'P05141', 'CRH', 'P10809'})"
"frozenset({'Q13393', 'Q9HBV2', 'CRH'})"
"frozenset({'Q16254', 'Q9UQ80', 'CRH'})"
"frozenset({'P49336', 'P68431', 'CRH'})"
"frozenset({'P41229', 'CRH', 'O75376'})"
"frozenset({'Q86US8', 'Q00005', 'CRH'})"
"frozenset({'P33764', 'Q8WXG8', 'CRH'})"
"frozenset({'P62906', 'Q12905', 'CRH'})"
"frozenset({'Q96D03', 'Q6IPR3', 'CRH'})"
"frozenset({'Q93008', 'Q14166', 'CRH'})"
"frozenset({'Q96RS0', 'Q9UDY4', 'CRH'})"
"frozenset({'P04629', 'Q14527', 'CRH'})"
"frozenset({'Q96HE9', 'CRH', 'Q9BRU9'})"
"frozenset({'O15111', 'CRH', 'O43524'})"
"frozenset({'P40227', 'Q9UBS0', 'CRH'})"
"frozenset({'P05412', 'Q86YP4', 'CRH'})"
"frozenset({'O00574', 'P02775', 'CRH'})"
"frozenset({'P30040', 'CRH', 'P04792'})"
"frozenset({'Q9H4E5', 'P52757', 'CRH'})"
"frozenset({'P41223', 'P05067', 'CRH'})"
"frozenset({'P41180', 'Q15147', 'CRH'})"
"frozenset({'Q86XT4', 'CRH', 'Q9UBN7'})"
"frozenset({'Q8N4Q1', 'Q96L21', 'CRH'})"
"frozenset({'P62854', 'P46782', 'CRH'})"
"frozenset({'CRH', 'O43167', 'Q9BTD3'})"
"frozenset({'Q9H9F9', 'Q53TQ3', 'CRH'})"
"frozenset({'P29558', 'CRH', 'Q9UMX0'})"
"frozenset({'Q14103', 'CRH', 'P06865'})"
"frozenset({'Q8N668', 'Q14289', 'CRH'})"
"frozenset({'P40763', 'P01579', 'CRH'})"
"frozenset({'Q13131', 'CRH', 'P31749'})"
"frozenset({'P62847', 'Q13724', 'CRH'})"
"frozenset({'P06400', 'Q86U42', 'CRH'})"
"frozenset({'Q92560', 'CRH', 'P51571'})"
"frozenset({'Q9BRJ6', 'Q86VP6', 'CRH'})"
"frozenset({'P46379', 'CRH', 'Q9UPZ9'})"
"frozenset({'Q9Y3F4', 'P61221', 'CRH'})"
"frozenset({'Q15637', 'Q14498', 'CRH'})"
"frozenset({'O00458', 'CRH', 'P41235'})"
"frozenset({'CRH', 'P43220', 'Q9Y6D0'})"
"frozenset({'Q13535', 'CRH', 'P51610'})"
"frozenset({'O75478', 'O43660', 'CRH'})"
"frozenset({'A6NMS3', 'CRH', 'P62873'})"
"frozenset({'Q92830', 'Q92585', 'CRH'})"
"frozenset({'P54578', 'Q13200', 'CRH'})"
"frozenset({'Q15678', 'P35221', 'CRH'})"
"frozenset({'Q9BQ89', 'Q86WT6', 'CRH'})"
"frozenset({'P11940', 'Q96EP5', 'CRH'})"
"frozenset({'Q8NI27', 'Q9P016', 'CRH'})"
"frozenset({'Q17RD7', 'Q15390', 'CRH'})"
"frozenset({'P63010', 'P49757', 'CRH'})"
"frozenset({'Q9UBQ0', 'P21283', 'CRH'})"
"frozenset({'P05129', 'CRH', 'P15336'})"
"frozenset({'O76014', 'Q7Z417', 'CRH'})"
"frozenset({'P63241', 'P55072', 'CRH'})"
"frozenset({'P43405', 'Q5VY43', 'CRH'})"
"frozenset({'P13727', 'P35556', 'CRH'})"
"frozenset({'P05412', 'CRH', 'O43148'})"
"frozenset({'P61978', 'CRH', 'Q99873'})"
"frozenset({'Q9C0J8', 'P36873', 'CRH'})"
"frozenset({'Q9BX63', 'Q8WWY8', 'CRH'})"
"frozenset({'Q92830', 'P14316', 'CRH'})"
"frozenset({'Q9H967', 'CRH', 'P62266'})"
"frozenset({'O00124', 'Q6NTF9', 'CRH'})"
"frozenset({'P01133', 'P12034', 'CRH'})"
"frozenset({'P30153', 'CRH', 'Q13136'})"
"frozenset({'O14777', 'Q14651', 'CRH'})"
"frozenset({'P62081', 'CRH', 'P05386'})"
"frozenset({'P26010', 'Q7Z6G8', 'CRH'})"
"frozenset({'Q93009', 'Q6W2J9', 'CRH'})"
"frozenset({'Q92793', 'Q96PN7', 'CRH'})"
"frozenset({'Q9NTM9', 'Q9NRD5', 'CRH'})"
"frozenset({'Q9UQL6', 'P84243', 'CRH'})"
"frozenset({'P01111', 'Q15418', 'CRH'})"
"frozenset({'P25774', 'CRH', 'P14316'})"
"frozenset({'Q08334', 'P01574', 'CRH'})"
"frozenset({'Q9UBU9', 'Q9C0C6', 'CRH'})"
"frozenset({'A8MQ03', 'Q49AN0', 'CRH'})"
"frozenset({'P41273', 'P20036', 'CRH'})"
"frozenset({'P99999', 'O75461', 'CRH'})"
"frozenset({'Q14318', 'Q8N122', 'CRH'})"
"frozenset({'P41240', 'P29353', 'CRH'})"
"frozenset({'P53007', 'P02751', 'CRH'})"
"frozenset({'Q9BX40', 'P26196', 'CRH'})"
"frozenset({'Q9UQC2', 'Q13588', 'CRH'})"
"frozenset({'Q05516', 'Q86YD7', 'CRH'})"
"frozenset({'P62979', 'P62244', 'CRH'})"
"frozenset({'Q13151', 'Q13617', 'CRH'})"
"frozenset({'P04629', 'Q16629', 'CRH'})"
"frozenset({'P05067', 'P02768', 'CRH'})"
"frozenset({'Q96CN9', 'Q5T5P2', 'CRH'})"
"frozenset({'P57078', 'Q8TDD1', 'CRH'})"
"frozenset({'P55072', 'CRH', 'Q6UXN9'})"
"frozenset({'Q15014', 'P50120', 'CRH'})"
"frozenset({'Q13557', 'Q8WZ42', 'CRH'})"
"frozenset({'P29466', 'CRH', 'P42574'})"
"frozenset({'Q86YP4', 'Q13547', 'CRH'})"
"frozenset({'Q04206', 'CRH', 'Q9NPF7'})"
"frozenset({'Q9NXS2', 'Q9Y478', 'CRH'})"
"frozenset({'Q05397', 'CRH', 'P49815'})"
"frozenset({'Q92889', 'CRH', 'P07992'})"
"frozenset({'Q9P2P5', 'Q14694', 'CRH'})"
"frozenset({'Q9UI09', 'O96000', 'CRH'})"
"frozenset({'Q96B97', 'P10721', 'CRH'})"
"frozenset({'O00231', 'Q15018', 'CRH'})"
"frozenset({'Q9UL45', 'Q96HA8', 'CRH'})"
"frozenset({'P48443', 'Q03181', 'CRH'})"
"frozenset({'CRH', 'Q9P0L0', 'Q9HCK4'})"
"frozenset({'Q9NQZ6', 'Q9UK11', 'CRH'})"
"frozenset({'P11586', 'P49736', 'CRH'})"
"frozenset({'P10144', 'Q92934', 'CRH'})"
"frozenset({'P13807', 'CRH', 'O43741'})"
"frozenset({'P12814', 'Q07157', 'CRH'})"
"frozenset({'P20073', 'Q93063', 'CRH'})"
"frozenset({'CRH', 'O43837', 'Q16740'})"
"frozenset({'Q5BKU9', 'P54098', 'CRH'})"
"frozenset({'Q08050', 'P30260', 'CRH'})"
"frozenset({'Q96P70', 'Q9ULC4', 'CRH'})"
"frozenset({'Q9NZR1', 'Q9Y6U3', 'CRH'})"
"frozenset({'Q03164', 'P50750', 'CRH'})"
"frozenset({'O00571', 'O75821', 'CRH'})"
"frozenset({'P26583', 'CRH', 'P09429'})"
"frozenset({'P06241', 'Q9UIF9', 'CRH'})"
"frozenset({'Q9HBH0', 'Q92608', 'CRH'})"
"frozenset({'Q13387', 'CRH', 'Q9UQF2'})"
"frozenset({'Q96FZ5', 'Q9UJ14', 'CRH'})"
"frozenset({'O14558', 'Q15139', 'CRH'})"
"frozenset({'P18084', 'CRH', 'Q01955'})"
"frozenset({'P63000', 'Q07890', 'CRH'})"
"frozenset({'Q9Y3C7', 'CRH', 'O00231'})"
"frozenset({'P57078', 'Q13418', 'CRH'})"
"frozenset({'Q99459', 'CRH', 'P08670'})"
"frozenset({'Q13547', 'Q14188', 'CRH'})"
"frozenset({'P51948', 'CRH', 'P62807'})"
"frozenset({'Q05397', 'CRH', 'O75962'})"
"frozenset({'CRH', 'Q16821', 'Q96SB3'})"
"frozenset({'Q96FW1', 'Q9Y5A9', 'CRH'})"
"frozenset({'Q13618', 'Q9ULP9', 'CRH'})"
"frozenset({'Q9P209', 'O95613', 'CRH'})"
"frozenset({'Q9Y5U5', 'Q12933', 'CRH'})"
"frozenset({'P07355', 'Q00005', 'CRH'})"
"frozenset({'P11362', 'P80370', 'CRH'})"
"frozenset({'Q9Y5Y7', 'CRH', 'Q9BYQ4'})"
"frozenset({'Q96EP0', 'CRH', 'Q9BYQ4'})"
"frozenset({'P28482', 'CRH', 'Q07343'})"
"frozenset({'P09874', 'P54646', 'CRH'})"
"frozenset({'P06400', 'CRH', 'Q16539'})"
"frozenset({'Q13485', 'Q16665', 'CRH'})"
"frozenset({'O75044', 'CRH', 'Q08AD1'})"
"frozenset({'Q07890', 'P62070', 'CRH'})"
"frozenset({'P19784', 'Q15554', 'CRH'})"
"frozenset({'Q9NQ29', 'P02792', 'CRH'})"
"frozenset({'Q9BPX7', 'P26639', 'CRH'})"
"frozenset({'P05067', 'Q8NC51', 'CRH'})"
"frozenset({'P52294', 'CRH', 'Q9Y314'})"
"frozenset({'P61221', 'P60903', 'CRH'})"
"frozenset({'O95071', 'P15170', 'CRH'})"
"frozenset({'Q8IU60', 'CRH', 'P46109'})"
"frozenset({'Q8NGJ6', 'CRH', 'P38405'})"
"frozenset({'P09012', 'Q9UKA9', 'CRH'})"
"frozenset({'CRH', 'O75381', 'P68363'})"
"frozenset({'P15927', 'O95104', 'CRH'})"
"frozenset({'P50990', 'O43463', 'CRH'})"
"frozenset({'Q9BUN8', 'P35354', 'CRH'})"
"frozenset({'Q9UKA1', 'Q92905', 'CRH'})"
"frozenset({'Q24JP5', 'Q96NL6', 'CRH'})"
"frozenset({'Q14192', 'Q9UBR4', 'CRH'})"
"frozenset({'CRH', 'Q8TDR0', 'Q12840'})"
"frozenset({'P12814', 'Q8N2W9', 'CRH'})"
"frozenset({'O14980', 'Q9H5Z1', 'CRH'})"
"frozenset({'P61981', 'CRH', 'Q71U36'})"
"frozenset({'P35638', 'Q9BPX1', 'CRH'})"
"frozenset({'Q05516', 'Q16828', 'CRH'})"
"frozenset({'Q9H1K0', 'Q969Q5', 'CRH'})"
"frozenset({'P31323', 'CRH', 'O60763'})"
"frozenset({'P62258', 'CRH', 'P60891'})"
"frozenset({'P58876', 'O94817', 'CRH'})"
"frozenset({'Q15582', 'P02452', 'CRH'})"
"frozenset({'Q96CP2', 'P28702', 'CRH'})"
"frozenset({'P16104', 'CRH', 'P30041'})"
"frozenset({'Q8NG98', 'CRH', 'P35626'})"
"frozenset({'Q9Y6D9', 'CRH', 'O76064'})"
"frozenset({'P26368', 'Q13595', 'CRH'})"
"frozenset({'Q9H0D6', 'Q9GZX7', 'CRH'})"
"frozenset({'Q86YD3', 'P62829', 'CRH'})"
"frozenset({'Q9BUJ2', 'Q9UI12', 'CRH'})"
"frozenset({'Q14103', 'Q9UKB1', 'CRH'})"
"frozenset({'Q86UY5', 'Q00610', 'CRH'})"
"frozenset({'O14980', 'Q01130', 'CRH'})"
"frozenset({'Q92793', 'Q8IZL8', 'CRH'})"
"frozenset({'CRH', 'Q15047', 'P60174'})"
"frozenset({'O94805', 'O96019', 'CRH'})"
"frozenset({'P11940', 'CRH', 'O75643'})"
"frozenset({'P54578', 'Q9H9H4', 'CRH'})"
"frozenset({'P25786', 'Q13829', 'CRH'})"
"frozenset({'Q13418', 'Q14257', 'CRH'})"
"frozenset({'Q09013', 'P63000', 'CRH'})"
"frozenset({'P84243', 'P16234', 'CRH'})"
"frozenset({'Q14197', 'Q9NP81', 'CRH'})"
"frozenset({'Q9Y6K9', 'Q8NI38', 'CRH'})"
"frozenset({'Q16543', 'P41970', 'CRH'})"
"frozenset({'P35558', 'P05067', 'CRH'})"
"frozenset({'P63000', 'P28799', 'CRH'})"
"frozenset({'Q86XX4', 'Q6W2J9', 'CRH'})"
"frozenset({'P50914', 'P39019', 'CRH'})"
"frozenset({'Q16635', 'O95835', 'CRH'})"
"frozenset({'Q9UJX2', 'Q13416', 'CRH'})"
"frozenset({'Q7Z6Z7', 'CRH', 'P56192'})"
"frozenset({'O75791', 'CRH', 'Q9BQ66'})"
"frozenset({'O00141', 'P48048', 'CRH'})"
"frozenset({'Q9UG63', 'Q8IWL3', 'CRH'})"
"frozenset({'O00571', 'Q04637', 'CRH'})"
"frozenset({'Q96GX1', 'O95292', 'CRH'})"
"frozenset({'Q6PL24', 'Q8N6R1', 'CRH'})"
"frozenset({'P04406', 'Q86U42', 'CRH'})"
"frozenset({'Q86XR8', 'P62280', 'CRH'})"
"frozenset({'CRH', 'O94822', 'Q567U6'})"
"frozenset({'Q5J8X5', 'CRH', 'Q68CJ9'})"
"frozenset({'P21281', 'Q14432', 'CRH'})"
"frozenset({'Q9HCM4', 'P05067', 'CRH'})"
"frozenset({'P60411', 'CRH', 'P32242'})"
"frozenset({'P01857', 'CRH', 'Q14999'})"
"frozenset({'P11182', 'Q9Y5T5', 'CRH'})"
"frozenset({'Q76N89', 'O14640', 'CRH'})"
"frozenset({'Q9GZT8', 'Q96MA1', 'CRH'})"
"frozenset({'Q13794', 'CRH', 'P10275'})"
"frozenset({'Q9Y580', 'Q6P0N0', 'CRH'})"
