negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'TCR', 'P55060', 'Q16719'})"
"frozenset({'TCR', 'P08238', 'O75469'})"
"frozenset({'P98082', 'P05549', 'TCR'})"
"frozenset({'TCR', 'P04629', 'P32969'})"
"frozenset({'Q7L775', 'O43829', 'TCR'})"
"frozenset({'O15212', 'P30046', 'TCR'})"
"frozenset({'P62195', 'P61289', 'TCR'})"
"frozenset({'TCR', 'O95819', 'Q6ZW49'})"
"frozenset({'TCR', 'P00533', 'Q13362'})"
"frozenset({'TCR', 'Q92769', 'Q9BSJ6'})"
"frozenset({'Q9BYV2', 'P61968', 'TCR'})"
"frozenset({'Q9NUL3', 'P15880', 'TCR'})"
"frozenset({'Q9NX40', 'Q16795', 'TCR'})"
"frozenset({'Q96ED9', 'O95251', 'TCR'})"
"frozenset({'P28074', 'Q9H4G0', 'TCR'})"
"frozenset({'O00308', 'P62837', 'TCR'})"
"frozenset({'Q8NEM0', 'O60341', 'TCR'})"
"frozenset({'Q2TAY7', 'Q16666', 'TCR'})"
"frozenset({'Q96DC9', 'Q96B67', 'TCR'})"
"frozenset({'P46527', 'Q12778', 'TCR'})"
"frozenset({'Q9H4A9', 'TCR', 'Q9NT22'})"
"frozenset({'P01308', 'P37840', 'TCR'})"
"frozenset({'Q9UN86', 'Q13283', 'TCR'})"
"frozenset({'Q5T749', 'Q3LI66', 'TCR'})"
"frozenset({'P62993', 'P04626', 'TCR'})"
"frozenset({'Q8IVD9', 'Q5H9I0', 'TCR'})"
"frozenset({'Q99728', 'TCR', 'Q99708'})"
"frozenset({'Q9BXN2', 'Q96S59', 'TCR'})"
"frozenset({'Q9Y5V3', 'Q8IWL3', 'TCR'})"
"frozenset({'TCR', 'O15198', 'Q99613'})"
"frozenset({'P01116', 'TCR', 'Q9BXL5'})"
"frozenset({'P42226', 'Q9UHD2', 'TCR'})"
"frozenset({'Q15797', 'TCR', 'O14980'})"
"frozenset({'P35579', 'Q13829', 'TCR'})"
"frozenset({'Q8IY63', 'P35240', 'TCR'})"
"frozenset({'Q6P1N9', 'P40818', 'TCR'})"
"frozenset({'P01106', 'P51825', 'TCR'})"
"frozenset({'P61218', 'O15084', 'TCR'})"
"frozenset({'Q9H0E3', 'O75478', 'TCR'})"
"frozenset({'Q7Z3Y9', 'Q7RTS7', 'TCR'})"
"frozenset({'Q13617', 'Q9Y3U8', 'TCR'})"
"frozenset({'P52756', 'O60508', 'TCR'})"
"frozenset({'P54760', 'P01588', 'TCR'})"
"frozenset({'TCR', 'P50222', 'P62508'})"
"frozenset({'P61289', 'Q8WVZ9', 'TCR'})"
"frozenset({'Q7L590', 'Q9BRX5', 'TCR'})"
"frozenset({'Q9UK17', 'P12956', 'TCR'})"
"frozenset({'Q9Y2Q9', 'Q9BYC8', 'TCR'})"
"frozenset({'Q92538', 'Q9Y678', 'TCR'})"
"frozenset({'Q8NBI2', 'Q96GF1', 'TCR'})"
"frozenset({'Q9P0L0', 'Q9UBQ5', 'TCR'})"
"frozenset({'P48454', 'Q8TE77', 'TCR'})"
"frozenset({'P10827', 'Q15596', 'TCR'})"
"frozenset({'TCR', 'O00154', 'Q9UMX0'})"
"frozenset({'P43629', 'P02749', 'TCR'})"
"frozenset({'Q13769', 'O95466', 'TCR'})"
"frozenset({'Q16643', 'P62993', 'TCR'})"
"frozenset({'TCR', 'Q9UBB9', 'Q9Y2D8'})"
"frozenset({'Q13501', 'O60858', 'TCR'})"
"frozenset({'Q15788', 'P62805', 'TCR'})"
"frozenset({'P55735', 'TCR', 'P01889'})"
"frozenset({'P05412', 'TCR', 'Q16627'})"
"frozenset({'Q8IWL3', 'Q8NHH1', 'TCR'})"
"frozenset({'Q9HCE1', 'O60869', 'TCR'})"
"frozenset({'Q13541', 'Q9NRD5', 'TCR'})"
"frozenset({'P98175', 'P35244', 'TCR'})"
"frozenset({'Q9UBU9', 'P41161', 'TCR'})"
"frozenset({'Q99459', 'Q9UJX2', 'TCR'})"
"frozenset({'P54886', 'Q9NRC8', 'TCR'})"
"frozenset({'TCR', 'O43172', 'O14980'})"
"frozenset({'TCR', 'Q99878', 'Q99877'})"
"frozenset({'Q16777', 'O95347', 'TCR'})"
"frozenset({'O95758', 'P54198', 'TCR'})"
"frozenset({'Q92609', 'P54253', 'TCR'})"
"frozenset({'Q96LC9', 'P45983', 'TCR'})"
"frozenset({'Q96EI5', 'Q8N357', 'TCR'})"
"frozenset({'Q96PN8', 'Q9BYM8', 'TCR'})"
"frozenset({'TCR', 'Q9HB90', 'P42345'})"
"frozenset({'P12109', 'P20849', 'TCR'})"
"frozenset({'TCR', 'Q8NEM0', 'O76064'})"
"frozenset({'Q13616', 'TCR', 'Q9HAW4'})"
"frozenset({'Q96GX1', 'Q7L2E3', 'TCR'})"
"frozenset({'P14317', 'P42574', 'TCR'})"
"frozenset({'TCR', 'P22694', 'Q96R09'})"
"frozenset({'Q9Y2T1', 'Q8N752', 'TCR'})"
"frozenset({'P30307', 'Q5TCZ1', 'TCR'})"
"frozenset({'Q04837', 'Q03468', 'TCR'})"
"frozenset({'O14777', 'Q96PY6', 'TCR'})"
"frozenset({'Q16539', 'Q92945', 'TCR'})"
"frozenset({'Q9BRK4', 'TCR', 'P25791'})"
"frozenset({'P02786', 'Q8TCQ1', 'TCR'})"
"frozenset({'TCR', 'P49760', 'Q9BZE9'})"
"frozenset({'TCR', 'Q08211', 'P22626'})"
"frozenset({'P0DP24', 'P15336', 'TCR'})"
"frozenset({'Q9HA65', 'O95218', 'TCR'})"
"frozenset({'O95467', 'Q6IAA8', 'TCR'})"
"frozenset({'P04040', 'Q12778', 'TCR'})"
"frozenset({'O75438', 'P03886', 'TCR'})"
"frozenset({'TCR', 'Q9HCS7', 'Q96DB2'})"
"frozenset({'Q5SRE5', 'O75694', 'TCR'})"
"frozenset({'P49736', 'TCR', 'O00311'})"
"frozenset({'Q9H461', 'Q92997', 'TCR'})"
"frozenset({'Q9Y3C8', 'P04818', 'TCR'})"
"frozenset({'Q06323', 'P26368', 'TCR'})"
"frozenset({'P31749', 'Q96S79', 'TCR'})"
"frozenset({'Q15910', 'Q9UJA3', 'TCR'})"
"frozenset({'P52597', 'Q00839', 'TCR'})"
"frozenset({'P68133', 'Q96Q83', 'TCR'})"
"frozenset({'Q00535', 'Q13315', 'TCR'})"
"frozenset({'Q99720', 'P24752', 'TCR'})"
"frozenset({'O95817', 'Q9Y5J7', 'TCR'})"
"frozenset({'Q8NBT0', 'O60925', 'TCR'})"
"frozenset({'O43809', 'TCR', 'O94913'})"
"frozenset({'Q9UBB9', 'Q99608', 'TCR'})"
"frozenset({'Q99627', 'Q13216', 'TCR'})"
"frozenset({'P11940', 'TCR', 'P01889'})"
"frozenset({'Q6P1J9', 'P30876', 'TCR'})"
"frozenset({'Q15717', 'O15533', 'TCR'})"
"frozenset({'TCR', 'Q9P0N9', 'Q96PU5'})"
"frozenset({'Q13426', 'P08670', 'TCR'})"
"frozenset({'Q92925', 'O14497', 'TCR'})"
"frozenset({'Q15050', 'Q9H2P0', 'TCR'})"
"frozenset({'TCR', 'Q15262', 'Q16706'})"
"frozenset({'Q92851', 'P55957', 'TCR'})"
"frozenset({'Q14574', 'Q9Y5K5', 'TCR'})"
"frozenset({'P50226', 'P0DMN0', 'TCR'})"
"frozenset({'Q9NWT6', 'Q5VT06', 'TCR'})"
"frozenset({'TCR', 'P22681', 'P04406'})"
"frozenset({'TCR', 'P48736', 'P61073'})"
"frozenset({'Q15796', 'Q13671', 'TCR'})"
"frozenset({'O43491', 'Q14980', 'TCR'})"
"frozenset({'Q15717', 'TCR', 'Q9UBS3'})"
"frozenset({'Q9Y2Q3', 'Q9NVH1', 'TCR'})"
"frozenset({'P31943', 'Q9Y6B6', 'TCR'})"
"frozenset({'P51617', 'Q13618', 'TCR'})"
"frozenset({'O43298', 'Q9BXS5', 'TCR'})"
"frozenset({'Q9BRX9', 'TCR', 'O95816'})"
"frozenset({'Q9BYN0', 'P78318', 'TCR'})"
"frozenset({'Q00534', 'O15234', 'TCR'})"
"frozenset({'Q7Z434', 'Q9UKV5', 'TCR'})"
"frozenset({'Q9P2D0', 'Q02878', 'TCR'})"
"frozenset({'P58004', 'Q96S15', 'TCR'})"
"frozenset({'TCR', 'Q15369', 'Q9UHV2'})"
"frozenset({'Q6ZT12', 'P49459', 'TCR'})"
"frozenset({'TCR', 'Q9NRD1', 'Q8TCJ2'})"
"frozenset({'TCR', 'Q2TAL6', 'P49069'})"
"frozenset({'Q96KQ4', 'TCR', 'P40222'})"
"frozenset({'Q13573', 'P20073', 'TCR'})"
"frozenset({'Q9Y2I6', 'Q8IY67', 'TCR'})"
"frozenset({'P62241', 'Q8TAE8', 'TCR'})"
"frozenset({'Q9P0L0', 'O95786', 'TCR'})"
"frozenset({'TCR', 'P07900', 'P68400'})"
"frozenset({'O75874', 'P17174', 'TCR'})"
"frozenset({'Q13472', 'Q15554', 'TCR'})"
"frozenset({'O00444', 'Q6P2H3', 'TCR'})"
"frozenset({'TCR', 'P00558', 'O95817'})"
"frozenset({'P62826', 'P28074', 'TCR'})"
"frozenset({'P63279', 'Q13285', 'TCR'})"
"frozenset({'Q9H814', 'P68543', 'TCR'})"
"frozenset({'Q99816', 'P35240', 'TCR'})"
"frozenset({'Q53H12', 'O00308', 'TCR'})"
"frozenset({'P11441', 'Q71U36', 'TCR'})"
"frozenset({'P07101', 'P61981', 'TCR'})"
"frozenset({'Q9NZN8', 'Q6P9H4', 'TCR'})"
"frozenset({'TCR', 'Q15532', 'Q8NI38'})"
"frozenset({'Q96B97', 'P78314', 'TCR'})"
"frozenset({'Q2TAC2', 'Q3B820', 'TCR'})"
"frozenset({'O60264', 'Q9H211', 'TCR'})"
"frozenset({'O43156', 'P78527', 'TCR'})"
"frozenset({'O00716', 'Q13263', 'TCR'})"
"frozenset({'Q04721', 'TCR', 'Q9Y2E6'})"
"frozenset({'P40337', 'P62244', 'TCR'})"
"frozenset({'Q9NZI8', 'Q13490', 'TCR'})"
"frozenset({'Q9NW38', 'Q52LG2', 'TCR'})"
"frozenset({'O94992', 'Q9H6Z9', 'TCR'})"
"frozenset({'TCR', 'Q9H0R8', 'P07737'})"
"frozenset({'P62879', 'Q99677', 'TCR'})"
"frozenset({'P38398', 'Q03468', 'TCR'})"
"frozenset({'P51685', 'Q9Y4X3', 'TCR'})"
"frozenset({'Q5UIP0', 'Q9HCU9', 'TCR'})"
"frozenset({'Q15717', 'Q96IZ6', 'TCR'})"
"frozenset({'P22612', 'Q8NH93', 'TCR'})"
"frozenset({'TCR', 'Q9H0W9', 'O75083'})"
"frozenset({'P63167', 'Q9NVP2', 'TCR'})"
"frozenset({'P11216', 'Q9BTV5', 'TCR'})"
"frozenset({'Q9Y5B9', 'P49756', 'TCR'})"
"frozenset({'Q9P2W3', 'Q8NHC8', 'TCR'})"
"frozenset({'TCR', 'P06899', 'O76064'})"
"frozenset({'TCR', 'P06748', 'P32121'})"
"frozenset({'Q96SF7', 'P54253', 'TCR'})"
"frozenset({'Q9HCD5', 'P36873', 'TCR'})"
"frozenset({'P52569', 'O95292', 'TCR'})"
"frozenset({'P19235', 'Q9UHD0', 'TCR'})"
"frozenset({'P24928', 'TCR', 'P68400'})"
"frozenset({'Q3B726', 'TCR', 'Q9Y297'})"
"frozenset({'Q14974', 'P62258', 'TCR'})"
"frozenset({'Q68CP9', 'Q12824', 'TCR'})"
"frozenset({'P51957', 'Q9H4B7', 'TCR'})"
"frozenset({'P25024', 'TCR', 'P55773'})"
"frozenset({'Q02446', 'P41970', 'TCR'})"
"frozenset({'P84077', 'P13804', 'TCR'})"
"frozenset({'P46379', 'O43681', 'TCR'})"
"frozenset({'Q8TAP6', 'P55081', 'TCR'})"
"frozenset({'P54277', 'P52292', 'TCR'})"
"frozenset({'P41220', 'P63167', 'TCR'})"
"frozenset({'P04629', 'P43304', 'TCR'})"
"frozenset({'P24928', 'P55210', 'TCR'})"
"frozenset({'O15294', 'Q9UBL3', 'TCR'})"
"frozenset({'Q96KT7', 'Q9BXK5', 'TCR'})"
"frozenset({'Q13084', 'Q9NQ50', 'TCR'})"
"frozenset({'Q15047', 'Q13111', 'TCR'})"
"frozenset({'P36402', 'P56545', 'TCR'})"
"frozenset({'TCR', 'P17096', 'P17936'})"
"frozenset({'Q6P1X5', 'P49848', 'TCR'})"
"frozenset({'A8MQ03', 'Q9BRU9', 'TCR'})"
"frozenset({'P50613', 'P08238', 'TCR'})"
"frozenset({'O95741', 'Q9UM47', 'TCR'})"
"frozenset({'P10827', 'Q13569', 'TCR'})"
"frozenset({'TCR', 'P17612', 'Q92558'})"
"frozenset({'P62745', 'Q9Y484', 'TCR'})"
"frozenset({'TCR', 'Q96E14', 'Q9Y4Z0'})"
"frozenset({'TCR', 'P60174', 'P09104'})"
"frozenset({'O15530', 'P41743', 'TCR'})"
"frozenset({'TCR', 'P23458', 'P48357'})"
"frozenset({'P61968', 'Q4VCS5', 'TCR'})"
"frozenset({'TCR', 'P29460', 'Q8N6P7'})"
"frozenset({'O14863', 'Q9HAV0', 'TCR'})"
"frozenset({'P51659', 'Q16740', 'TCR'})"
"frozenset({'P31749', 'Q8TAQ2', 'TCR'})"
"frozenset({'TCR', 'P51970', 'P51149'})"
"frozenset({'P07948', 'Q9BXM9', 'TCR'})"
"frozenset({'P62917', 'Q9UNX3', 'TCR'})"
"frozenset({'P29317', 'P20827', 'TCR'})"
"frozenset({'Q93009', 'P04637', 'TCR'})"
"frozenset({'Q9UDY6', 'P25786', 'TCR'})"
"frozenset({'Q8NHC4', 'P17612', 'TCR'})"
"frozenset({'P06733', 'Q8N7H5', 'TCR'})"
"frozenset({'Q9Y2V2', 'Q8N1Q8', 'TCR'})"
"frozenset({'Q08188', 'P57076', 'TCR'})"
"frozenset({'TCR', 'Q96KR1', 'Q14999'})"
"frozenset({'O60547', 'P30043', 'TCR'})"
"frozenset({'Q6ZXV5', 'Q02297', 'TCR'})"
"frozenset({'O15182', 'Q99871', 'TCR'})"
"frozenset({'Q9NQ50', 'P07910', 'TCR'})"
"frozenset({'Q15654', 'P48380', 'TCR'})"
"frozenset({'P00533', 'P04181', 'TCR'})"
"frozenset({'TCR', 'Q99598', 'Q03060'})"
"frozenset({'P42166', 'P15927', 'TCR'})"
"frozenset({'Q9UDY8', 'Q5T447', 'TCR'})"
"frozenset({'Q9UNN4', 'P31274', 'TCR'})"
"frozenset({'Q15738', 'Q86UK5', 'TCR'})"
"frozenset({'P11802', 'Q9H165', 'TCR'})"
"frozenset({'O43865', 'Q15008', 'TCR'})"
"frozenset({'TCR', 'Q96RR4', 'Q13576'})"
"frozenset({'Q9H0W5', 'P61247', 'TCR'})"
"frozenset({'TCR', 'Q05397', 'Q00987'})"
"frozenset({'Q8TCJ0', 'Q16643', 'TCR'})"
"frozenset({'P63252', 'O60296', 'TCR'})"
"frozenset({'O00716', 'P37231', 'TCR'})"
"frozenset({'P05412', 'Q9BZE4', 'TCR'})"
"frozenset({'TCR', 'O43521', 'Q96FJ2'})"
"frozenset({'P61088', 'Q96EK6', 'TCR'})"
"frozenset({'Q7L5N1', 'Q13309', 'TCR'})"
"frozenset({'TCR', 'P63096', 'P50150'})"
"frozenset({'TCR', 'P43628', 'P30443'})"
"frozenset({'P62328', 'A6NEM1', 'TCR'})"
"frozenset({'P52797', 'P08138', 'TCR'})"
"frozenset({'P19438', 'Q9NS23', 'TCR'})"
"frozenset({'Q6P597', 'P12882', 'TCR'})"
"frozenset({'Q02750', 'TCR', 'P46937'})"
"frozenset({'Q99798', 'P04075', 'TCR'})"
"frozenset({'Q9UJD0', 'Q8IUH5', 'TCR'})"
"frozenset({'Q9Y6M9', 'O43677', 'TCR'})"
"frozenset({'Q99459', 'TCR', 'Q96CW5'})"
"frozenset({'P62424', 'P49207', 'TCR'})"
"frozenset({'Q9H2D6', 'P53350', 'TCR'})"
"frozenset({'Q13618', 'Q15637', 'TCR'})"
"frozenset({'P62249', 'P83731', 'TCR'})"
"frozenset({'TCR', 'Q9Y4R8', 'Q16659'})"
"frozenset({'P35249', 'O00567', 'TCR'})"
"frozenset({'O14775', 'P53778', 'TCR'})"
"frozenset({'P20701', 'P46108', 'TCR'})"
"frozenset({'Q969U6', 'O76014', 'TCR'})"
"frozenset({'Q96K80', 'O43186', 'TCR'})"
"frozenset({'Q9UFB7', 'Q9UL41', 'TCR'})"
"frozenset({'Q86X29', 'Q9H6L2', 'TCR'})"
"frozenset({'P08047', 'P38398', 'TCR'})"
"frozenset({'P06132', 'Q13126', 'TCR'})"
"frozenset({'Q9H040', 'Q9Y696', 'TCR'})"
"frozenset({'TCR', 'Q9NVX2', 'Q99832'})"
"frozenset({'P48960', 'Q8IZH2', 'TCR'})"
"frozenset({'P62081', 'P35268', 'TCR'})"
"frozenset({'Q01094', 'P11362', 'TCR'})"
"frozenset({'Q8NBB4', 'Q9UNY4', 'TCR'})"
"frozenset({'P35225', 'TCR', 'P10912'})"
"frozenset({'P17612', 'P14618', 'TCR'})"
"frozenset({'TCR', 'Q6UY11', 'Q14160'})"
"frozenset({'Q01844', 'P62937', 'TCR'})"
"frozenset({'TCR', 'P05783', 'O75022'})"
"frozenset({'TCR', 'Q9UBU9', 'O43504'})"
"frozenset({'O75643', 'Q8N8D1', 'TCR'})"
"frozenset({'P84022', 'TCR', 'P61244'})"
"frozenset({'TCR', 'P42858', 'O75489'})"
"frozenset({'TCR', 'Q13573', 'O94842'})"
"frozenset({'P05412', 'Q93009', 'TCR'})"
"frozenset({'Q13620', 'TCR', 'O94888'})"
"frozenset({'O60262', 'TCR', 'Q8NG98'})"
"frozenset({'Q8NG31', 'Q8IYT4', 'TCR'})"
"frozenset({'TCR', 'P21912', 'Q9NZ45'})"
"frozenset({'Q13620', 'P63172', 'TCR'})"
"frozenset({'O95229', 'Q1A5X7', 'TCR'})"
"frozenset({'TCR', 'P58658', 'O00238'})"
"frozenset({'Q9GZV9', 'P08581', 'TCR'})"
"frozenset({'P02751', 'P49411', 'TCR'})"
"frozenset({'TCR', 'Q9UEF7', 'P14415'})"
"frozenset({'Q9NR82', 'P53701', 'TCR'})"
"frozenset({'Q12906', 'P42166', 'TCR'})"
"frozenset({'P35579', 'Q99755', 'TCR'})"
"frozenset({'Q04323', 'Q13490', 'TCR'})"
"frozenset({'Q5TB80', 'Q9Y6R9', 'TCR'})"
"frozenset({'P60520', 'Q9UPQ9', 'TCR'})"
"frozenset({'TCR', 'Q14626', 'P07202'})"
"frozenset({'P05112', 'P09619', 'TCR'})"
"frozenset({'P18075', 'P60370', 'TCR'})"
"frozenset({'O00273', 'Q9P2Y5', 'TCR'})"
"frozenset({'Q92985', 'P78337', 'TCR'})"
"frozenset({'Q6ZMM2', 'Q6UY14', 'TCR'})"
"frozenset({'Q15311', 'P57105', 'TCR'})"
"frozenset({'TCR', 'Q7Z6Z7', 'Q86T24'})"
"frozenset({'P18031', 'P01584', 'TCR'})"
"frozenset({'Q14738', 'Q7Z3S7', 'TCR'})"
"frozenset({'P08473', 'TCR', 'O00519'})"
"frozenset({'Q9Y3Y2', 'TCR', 'Q16637'})"
"frozenset({'Q14697', 'TCR', 'Q9NVM4'})"
"frozenset({'Q8IWL3', 'Q9BYT8', 'TCR'})"
"frozenset({'TCR', 'O15126', 'Q05329'})"
"frozenset({'Q92496', 'P02741', 'TCR'})"
"frozenset({'TCR', 'P49407', 'Q5TZ20'})"
"frozenset({'Q9UBU9', 'Q9H9Y4', 'TCR'})"
"frozenset({'P08238', 'Q12866', 'TCR'})"
"frozenset({'Q9UGJ1', 'TCR', 'P63010'})"
"frozenset({'Q86TJ2', 'Q9P2P5', 'TCR'})"
"frozenset({'P98177', 'P27361', 'TCR'})"
"frozenset({'Q93009', 'O15355', 'TCR'})"
"frozenset({'Q9Y6G1', 'P78362', 'TCR'})"
"frozenset({'O75874', 'Q9NUQ9', 'TCR'})"
"frozenset({'Q5T5P2', 'Q9NQT4', 'TCR'})"
"frozenset({'Q9NVK5', 'Q86WH2', 'TCR'})"
"frozenset({'P68104', 'P36897', 'TCR'})"
"frozenset({'TCR', 'O00483', 'O14561'})"
"frozenset({'Q9HCM9', 'P60900', 'TCR'})"
"frozenset({'Q04760', 'P04792', 'TCR'})"
"frozenset({'Q9BVJ6', 'Q15669', 'TCR'})"
"frozenset({'Q00403', 'P01037', 'TCR'})"
"frozenset({'P51617', 'P11166', 'TCR'})"
"frozenset({'Q9UBQ0', 'Q4G0F5', 'TCR'})"
"frozenset({'Q8NA61', 'O43559', 'TCR'})"
"frozenset({'Q16514', 'P20339', 'TCR'})"
"frozenset({'Q9NRX4', 'TCR', 'Q9BSI4'})"
"frozenset({'Q5S007', 'Q14195', 'TCR'})"
"frozenset({'P07947', 'Q8TAK6', 'TCR'})"
"frozenset({'Q09028', 'Q9NYP9', 'TCR'})"
"frozenset({'P83436', 'Q14746', 'TCR'})"
"frozenset({'Q5T749', 'Q9BYR5', 'TCR'})"
"frozenset({'Q9UKW6', 'Q16621', 'TCR'})"
"frozenset({'TCR', 'Q14451', 'Q96N67'})"
"frozenset({'TCR', 'Q86WT6', 'P68106'})"
"frozenset({'Q15022', 'Q13330', 'TCR'})"
"frozenset({'Q9NV56', 'P62805', 'TCR'})"
"frozenset({'Q92523', 'Q92519', 'TCR'})"
"frozenset({'Q8TBE0', 'Q8IX06', 'TCR'})"
"frozenset({'O15357', 'P29317', 'TCR'})"
"frozenset({'P41250', 'P54136', 'TCR'})"
"frozenset({'Q9P2E7', 'Q8WUW1', 'TCR'})"
"frozenset({'A8MQ03', 'TCR', 'Q17RB8'})"
"frozenset({'P31942', 'P16104', 'TCR'})"
"frozenset({'Q6P1M3', 'Q14978', 'TCR'})"
"frozenset({'Q8NGP0', 'P35626', 'TCR'})"
"frozenset({'P39210', 'P11233', 'TCR'})"
"frozenset({'TCR', 'P04632', 'P31785'})"
"frozenset({'P18084', 'TCR', 'Q14324'})"
"frozenset({'Q8IXM3', 'Q14197', 'TCR'})"
"frozenset({'P31947', 'Q9UQ35', 'TCR'})"
"frozenset({'Q15435', 'Q92841', 'TCR'})"
"frozenset({'P32302', 'P78423', 'TCR'})"
"frozenset({'Q13322', 'O60674', 'TCR'})"
"frozenset({'Q8WYN0', 'Q6UWW0', 'TCR'})"
"frozenset({'Q6A162', 'P48023', 'TCR'})"
"frozenset({'P49720', 'Q9UL46', 'TCR'})"
"frozenset({'P16234', 'P19174', 'TCR'})"
"frozenset({'P49407', 'P51693', 'TCR'})"
"frozenset({'Q5R3I4', 'P04183', 'TCR'})"
"frozenset({'TCR', 'Q14CW9', 'Q92830'})"
"frozenset({'Q92567', 'Q15637', 'TCR'})"
"frozenset({'Q9H9S5', 'TCR', 'P29016'})"
"frozenset({'P35626', 'Q9GZM6', 'TCR'})"
"frozenset({'Q15796', 'P40855', 'TCR'})"
"frozenset({'Q8WWY3', 'Q13033', 'TCR'})"
"frozenset({'Q92552', 'TCR', 'P82914'})"
"frozenset({'Q9UQF2', 'Q8TCG1', 'TCR'})"
"frozenset({'Q8IXK0', 'Q3B820', 'TCR'})"
"frozenset({'P11310', 'TCR', 'Q6NVY1'})"
"frozenset({'TCR', 'Q9BT25', 'P58340'})"
"frozenset({'Q9GZT3', 'Q8IWZ8', 'TCR'})"
"frozenset({'P02649', 'TCR', 'Q92947'})"
"frozenset({'P17612', 'Q8NGV0', 'TCR'})"
"frozenset({'TCR', 'O60921', 'Q92547'})"
"frozenset({'TCR', 'O75473', 'Q9ULT6'})"
"frozenset({'Q12834', 'Q9UPN9', 'TCR'})"
"frozenset({'P37802', 'Q6IS14', 'TCR'})"
"frozenset({'TCR', 'Q9Y6K9', 'P0DP25'})"
"frozenset({'TCR', 'Q9HC52', 'O75031'})"
"frozenset({'Q7Z6Z7', 'P43355', 'TCR'})"
"frozenset({'TCR', 'O95425', 'Q9Y383'})"
"frozenset({'Q8NEM7', 'Q86TJ2', 'TCR'})"
"frozenset({'Q969L2', 'Q8NI60', 'TCR'})"
"frozenset({'P55809', 'Q09666', 'TCR'})"
"frozenset({'Q01860', 'O00743', 'TCR'})"
"frozenset({'Q9H8V3', 'P39880', 'TCR'})"
"frozenset({'Q01844', 'Q5JRA6', 'TCR'})"
"frozenset({'TCR', 'O60245', 'P47755'})"
"frozenset({'Q8WV44', 'Q6V9R5', 'TCR'})"
"frozenset({'P34931', 'Q00653', 'TCR'})"
"frozenset({'Q9BZE0', 'Q3LI64', 'TCR'})"
"frozenset({'P02545', 'Q9NZ63', 'TCR'})"
"frozenset({'TCR', 'P04637', 'Q86T24'})"
"frozenset({'P22612', 'Q9GZM6', 'TCR'})"
"frozenset({'TCR', 'P26599', 'P49411'})"
"frozenset({'P19387', 'P38398', 'TCR'})"
"frozenset({'Q9Y3A3', 'Q13459', 'TCR'})"
"frozenset({'Q16629', 'O95400', 'TCR'})"
"frozenset({'TCR', 'O75604', 'Q9BUH8'})"
"frozenset({'P68363', 'Q6NXE6', 'TCR'})"
"frozenset({'TCR', 'P43004', 'P62910'})"
"frozenset({'Q15714', 'Q9BZX2', 'TCR'})"
"frozenset({'Q5BVD1', 'Q9Y258', 'TCR'})"
"frozenset({'Q4KMQ1', 'Q9Y696', 'TCR'})"
"frozenset({'TCR', 'Q13418', 'Q14257'})"
"frozenset({'Q8TBB1', 'P08134', 'TCR'})"
"frozenset({'TCR', 'Q9Y2T4', 'Q01668'})"
"frozenset({'Q9HBE4', 'P17535', 'TCR'})"
"frozenset({'P13945', 'P63096', 'TCR'})"
"frozenset({'P41208', 'P20290', 'TCR'})"
"frozenset({'O15516', 'Q49AN0', 'TCR'})"
"frozenset({'Q9UKX7', 'O60942', 'TCR'})"
"frozenset({'TCR', 'Q99684', 'P60033'})"
"frozenset({'Q96B97', 'P26358', 'TCR'})"
"frozenset({'TCR', 'Q9NR09', 'P52735'})"
"frozenset({'P36873', 'P05114', 'TCR'})"
"frozenset({'O75533', 'Q96FV9', 'TCR'})"
"frozenset({'P67812', 'Q9Y4K3', 'TCR'})"
"frozenset({'P37198', 'Q16666', 'TCR'})"
"frozenset({'Q9HCK5', 'P07900', 'TCR'})"
"frozenset({'Q6ULP2', 'P49917', 'TCR'})"
"frozenset({'Q9H6W3', 'Q9H9J4', 'TCR'})"
"frozenset({'TCR', 'Q9UM22', 'O76011'})"
"frozenset({'O60674', 'P36544', 'TCR'})"
"frozenset({'TCR', 'Q3KQU3', 'Q96JN8'})"
"frozenset({'Q15075', 'P13569', 'TCR'})"
"frozenset({'P60006', 'Q9UJX6', 'TCR'})"
"frozenset({'Q9H0F6', 'Q13077', 'TCR'})"
"frozenset({'TCR', 'Q07889', 'Q13813'})"
"frozenset({'P25490', 'Q14966', 'TCR'})"
"frozenset({'O60232', 'Q14166', 'TCR'})"
"frozenset({'O60232', 'Q9Y371', 'TCR'})"
"frozenset({'TCR', 'Q9NQ50', 'Q9UJZ1'})"
"frozenset({'Q16777', 'P45983', 'TCR'})"
"frozenset({'TCR', 'Q92633', 'O43909'})"
"frozenset({'TCR', 'P49796', 'P08754'})"
"frozenset({'Q9BYW2', 'P42858', 'TCR'})"
"frozenset({'P13631', 'Q8IYU2', 'TCR'})"
"frozenset({'TCR', 'P01563', 'Q99650'})"
"frozenset({'O43913', 'Q9UFC0', 'TCR'})"
"frozenset({'Q15038', 'Q9Y3C7', 'TCR'})"
"frozenset({'TCR', 'Q9P270', 'Q5VTR2'})"
"frozenset({'Q96QK1', 'P24941', 'TCR'})"
"frozenset({'P61803', 'P28845', 'TCR'})"
"frozenset({'Q969F2', 'Q9H993', 'TCR'})"
"frozenset({'Q8IXZ2', 'Q6PKG0', 'TCR'})"
"frozenset({'O95817', 'Q9BY42', 'TCR'})"
