negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'P62280', 'Q13523'})"
"frozenset({'Leptin', 'Q9BXB4', 'Q9BX97'})"
"frozenset({'Q9HD33', 'Q9P015', 'Leptin'})"
"frozenset({'Leptin', 'Q13247', 'P27348'})"
"frozenset({'Leptin', 'P34932', 'Q99814'})"
"frozenset({'Leptin', 'Q9NYL9', 'P21333'})"
"frozenset({'Q16637', 'Leptin', 'Q13509'})"
"frozenset({'Leptin', 'P32456', 'O60238'})"
"frozenset({'O60488', 'Leptin', 'P45844'})"
"frozenset({'Leptin', 'Q9H869', 'O43741'})"
"frozenset({'P41091', 'Leptin', 'Q13573'})"
"frozenset({'Leptin', 'Q9H4L7', 'Q9NR11'})"
"frozenset({'Q15437', 'Leptin', 'Q96GG9'})"
"frozenset({'Leptin', 'Q8WWH5', 'Q86VP6'})"
"frozenset({'P18564', 'Leptin', 'P24043'})"
"frozenset({'Leptin', 'P09874', 'P51124'})"
"frozenset({'Q9BXB5', 'Leptin', 'P51784'})"
"frozenset({'Leptin', 'Q9BZJ0', 'Q9BQ65'})"
"frozenset({'Leptin', 'P78527', 'Q02818'})"
"frozenset({'Q9Y316', 'Leptin', 'P15121'})"
"frozenset({'Leptin', 'Q16610', 'Q12805'})"
"frozenset({'P52597', 'Leptin', 'Q15051'})"
"frozenset({'Leptin', 'Q92851', 'Q8WXF8'})"
"frozenset({'Q8IYU2', 'Q9NWT6', 'Leptin'})"
"frozenset({'Leptin', 'Q8N488', 'Q3KNV8'})"
"frozenset({'Q96AQ6', 'P04629', 'Leptin'})"
"frozenset({'Leptin', 'Q8NBJ5', 'Q5VSL9'})"
"frozenset({'P14868', 'Leptin', 'P41250'})"
"frozenset({'Leptin', 'O60285', 'P05067'})"
"frozenset({'Leptin', 'P42768', 'Q8WV41'})"
"frozenset({'Q02383', 'Leptin', 'P03372'})"
"frozenset({'P52735', 'Leptin', 'Q9NR09'})"
"frozenset({'Leptin', 'P62873', 'Q8NH61'})"
"frozenset({'Leptin', 'Q7L576', 'P50221'})"
"frozenset({'Q8TEK3', 'Leptin', 'Q13415'})"
"frozenset({'Leptin', 'Q8TAQ2', 'Q15796'})"
"frozenset({'Leptin', 'P15924', 'P49450'})"
"frozenset({'Q5KU26', 'Leptin', 'P17931'})"
"frozenset({'O60262', 'Leptin', 'Q8NGA0'})"
"frozenset({'Leptin', 'Q9Y3Z3', 'P05067'})"
"frozenset({'Leptin', 'Q13405', 'Q86VP6'})"
"frozenset({'P27695', 'P23246', 'Leptin'})"
"frozenset({'Q92845', 'Leptin', 'Q15545'})"
"frozenset({'Leptin', 'Q14019', 'Q15717'})"
"frozenset({'P61201', 'Leptin', 'Q9H160'})"
"frozenset({'Leptin', 'Q93008', 'Q96S82'})"
"frozenset({'Leptin', 'Q9NQ87', 'Q93062'})"
"frozenset({'P38405', 'Leptin', 'Q8NH83'})"
"frozenset({'Leptin', 'Q9NWB7', 'A0AVF1'})"
"frozenset({'Q13616', 'Leptin', 'P57078'})"
"frozenset({'Leptin', 'Q15554', 'P34932'})"
"frozenset({'Leptin', 'O43189', 'Q9NVV9'})"
"frozenset({'Q9ULV1', 'Leptin', 'P56703'})"
"frozenset({'Leptin', 'Q9GZZ1', 'Q9UQ07'})"
"frozenset({'Leptin', 'P28482', 'P35548'})"
"frozenset({'Leptin', 'P56524', 'Q99879'})"
"frozenset({'Leptin', 'Q15435', 'Q04323'})"
"frozenset({'P54253', 'Q8WZA2', 'Leptin'})"
"frozenset({'O43920', 'Leptin', 'O95831'})"
"frozenset({'Leptin', 'Q9UBU9', 'Q92574'})"
"frozenset({'Leptin', 'Q9Y4A5', 'O75528'})"
"frozenset({'Leptin', 'Q9Y5W8', 'Q5JWF2'})"
"frozenset({'Leptin', 'O75150', 'Q9Y4E8'})"
"frozenset({'Leptin', 'Q09161', 'Q6ZN17'})"
"frozenset({'O00308', 'Leptin', 'P0CAP1'})"
"frozenset({'Leptin', 'P19438', 'P42677'})"
"frozenset({'Leptin', 'O14980', 'P62879'})"
"frozenset({'Leptin', 'Q9C086', 'P59991'})"
"frozenset({'O95817', 'Leptin', 'P46952'})"
"frozenset({'Leptin', 'O95503', 'Q8NET4'})"
"frozenset({'Leptin', 'Q99798', 'P05026'})"
"frozenset({'Leptin', 'P13010', 'Q01844'})"
"frozenset({'O14545', 'Leptin', 'P42858'})"
"frozenset({'Leptin', 'Q8WUA2', 'Q9Y5N6'})"
"frozenset({'Leptin', 'Q9Y6M4', 'O60637'})"
"frozenset({'Leptin', 'O95359', 'P36873'})"
"frozenset({'Leptin', 'Q15848', 'P01127'})"
"frozenset({'Q71DI3', 'Leptin', 'Q92794'})"
"frozenset({'Q14164', 'Q9NZI8', 'Leptin'})"
"frozenset({'Leptin', 'Q96EB6', 'Q9H2X6'})"
"frozenset({'Leptin', 'Q8NE01', 'P59991'})"
"frozenset({'Leptin', 'Q14CB8', 'Q9HBH0'})"
"frozenset({'P30408', 'Leptin', 'P31689'})"
"frozenset({'Leptin', 'Q13242', 'P26641'})"
"frozenset({'Leptin', 'P10599', 'P62820'})"
"frozenset({'Q96AC1', 'Leptin', 'P48431'})"
"frozenset({'Leptin', 'Q02880', 'P46531'})"
"frozenset({'Q9UKX7', 'Leptin', 'P08243'})"
"frozenset({'Leptin', 'A6NHG9', 'P49407'})"
"frozenset({'Leptin', 'Q4G176', 'P14373'})"
"frozenset({'Q13616', 'Q99878', 'Leptin'})"
"frozenset({'Leptin', 'Q00341', 'Q03405'})"
"frozenset({'Leptin', 'Q15293', 'Q9BYB4'})"
"frozenset({'P41159', 'Leptin', 'P00533'})"
"frozenset({'Leptin', 'Q15646', 'Q05823'})"
"frozenset({'P07437', 'Leptin', 'P26368'})"
"frozenset({'Leptin', 'P04637', 'P41182'})"
"frozenset({'Leptin', 'P02462', 'P26006'})"
"frozenset({'Leptin', 'P12830', 'Q07021'})"
"frozenset({'Leptin', 'Q2PPJ7', 'Q86X10'})"
"frozenset({'Leptin', 'Q99689', 'P21246'})"
"frozenset({'Leptin', 'Q9P2W3', 'P43657'})"
"frozenset({'Q13616', 'Leptin', 'Q9NY93'})"
"frozenset({'Leptin', 'Q9P035', 'P35228'})"
"frozenset({'Q9HCE1', 'Leptin', 'Q969H8'})"
"frozenset({'Leptin', 'P15927', 'P35244'})"
"frozenset({'O00560', 'Leptin', 'Q01344'})"
"frozenset({'Q13438', 'Leptin', 'O75460'})"
"frozenset({'Leptin', 'O95153', 'Q9P1A6'})"
"frozenset({'Q9NPJ6', 'Leptin', 'Q9UBC2'})"
"frozenset({'Leptin', 'P17096', 'P09651'})"
"frozenset({'P63092', 'Leptin', 'P25025'})"
"frozenset({'Leptin', 'Q9H9G7', 'P11182'})"
"frozenset({'Leptin', 'P17181', 'P05013'})"
"frozenset({'Leptin', 'P62877', 'P59991'})"
"frozenset({'Leptin', 'O60884', 'Q15717'})"
"frozenset({'Leptin', 'Q14558', 'P28482'})"
"frozenset({'Leptin', 'Q8N2S1', 'O15265'})"
"frozenset({'Q01433', 'Leptin', 'O15357'})"
"frozenset({'Leptin', 'Q5T7P3', 'O43597'})"
"frozenset({'Leptin', 'P24522', 'Q9UNL4'})"
"frozenset({'Leptin', 'Q13797', 'P50552'})"
"frozenset({'O43776', 'Leptin', 'Q9Y606'})"
"frozenset({'Leptin', 'Q96S44', 'Q9GZT8'})"
"frozenset({'Q92922', 'Leptin', 'Q15466'})"
"frozenset({'Leptin', 'Q14683', 'P01106'})"
"frozenset({'Leptin', 'Q9Y266', 'Q9BW27'})"
"frozenset({'Leptin', 'O95405', 'O00267'})"
"frozenset({'Q9NRJ3', 'Leptin', 'Q8WTU0'})"
"frozenset({'Leptin', 'Q9UJX2', 'P24385'})"
"frozenset({'Leptin', 'Q68CP9', 'O15360'})"
"frozenset({'Q8NI27', 'Leptin', 'Q9H8W4'})"
"frozenset({'Q14164', 'Q00610', 'Leptin'})"
"frozenset({'Q13554', 'Leptin', 'Q13555'})"
"frozenset({'Leptin', 'P19388', 'Q96Q15'})"
"frozenset({'Q9Y388', 'Leptin', 'P50914'})"
"frozenset({'Leptin', 'Q9UPZ9', 'Q9NTX9'})"
"frozenset({'Leptin', 'P29597', 'P42224'})"
"frozenset({'P08887', 'Leptin', 'Q9UBD9'})"
"frozenset({'Q76N32', 'Leptin', 'P31323'})"
"frozenset({'Leptin', 'Q16795', 'Q13423'})"
"frozenset({'Leptin', 'Q8NH48', 'P49407'})"
"frozenset({'Leptin', 'P61421', 'P42166'})"
"frozenset({'P11171', 'Leptin', 'Q13813'})"
"frozenset({'Leptin', 'O95340', 'Q9NPQ8'})"
"frozenset({'P00751', 'P27918', 'Leptin'})"
"frozenset({'Leptin', 'Q9Y6G9', 'Q9NP97'})"
"frozenset({'Leptin', 'Q9H9F9', 'P0C1Z6'})"
"frozenset({'Leptin', 'Q9HDC5', 'Q15717'})"
"frozenset({'Leptin', 'P62987', 'P45880'})"
"frozenset({'Q00987', 'Leptin', 'Q15717'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'Q15018'})"
"frozenset({'Leptin', 'Q9P2W3', 'P25116'})"
"frozenset({'Leptin', 'Q86YT5', 'Q9BYQ4'})"
"frozenset({'O00487', 'Leptin', 'Q13200'})"
"frozenset({'Q9BRK4', 'Leptin', 'Q8TBE0'})"
"frozenset({'Leptin', 'Q13033', 'O95819'})"
"frozenset({'O95817', 'Leptin', 'Q92917'})"
"frozenset({'Leptin', 'P41223', 'Q16629'})"
"frozenset({'Leptin', 'P13569', 'Q96RT1'})"
"frozenset({'Q8TAD8', 'Leptin', 'Q07955'})"
"frozenset({'Leptin', 'Q00597', 'A8MT69'})"
"frozenset({'Leptin', 'P08621', 'Q12874'})"
"frozenset({'Leptin', 'O00161', 'P14618'})"
"frozenset({'Q16647', 'Leptin', 'P05067'})"
"frozenset({'Leptin', 'P55157', 'O15056'})"
"frozenset({'Leptin', 'Q9C0F1', 'Q6ZU80'})"
"frozenset({'Q8WWI1', 'Leptin', 'P50402'})"
"frozenset({'Q13489', 'Leptin', 'Q96F07'})"
"frozenset({'Leptin', 'Q9NP95', 'P22455'})"
"frozenset({'P13646', 'Leptin', 'Q86VS8'})"
"frozenset({'Q8TEX9', 'Leptin', 'P04629'})"
"frozenset({'Leptin', 'Q99598', 'Q9BXJ9'})"
"frozenset({'Leptin', 'Q9NYK1', 'P08571'})"
"frozenset({'Q3LI76', 'Leptin', 'Q5T749'})"
"frozenset({'P43360', 'Leptin', 'Q6PF18'})"
"frozenset({'P62273', 'Leptin', 'P22090'})"
"frozenset({'P06748', 'Leptin', 'P63241'})"
"frozenset({'Leptin', 'P62256', 'P36406'})"
"frozenset({'Leptin', 'P02763', 'P17931'})"
"frozenset({'Leptin', 'Q9Y5K6', 'P33240'})"
"frozenset({'Q9BSI4', 'Leptin', 'P68371'})"
"frozenset({'P08575', 'Leptin', 'Q92854'})"
"frozenset({'Leptin', 'Q01860', 'Q15022'})"
"frozenset({'Q9UMX0', 'Leptin', 'P28066'})"
"frozenset({'Leptin', 'Q15172', 'P32121'})"
"frozenset({'Leptin', 'Q8TF64', 'P06733'})"
"frozenset({'Leptin', 'P62873', 'A6NHG9'})"
"frozenset({'P01112', 'Leptin', 'P10721'})"
"frozenset({'Leptin', 'P10599', 'P11021'})"
"frozenset({'O00212', 'P15882', 'Leptin'})"
"frozenset({'Q5TBB1', 'Leptin', 'Q9BQL6'})"
"frozenset({'P08575', 'Leptin', 'P08631'})"
"frozenset({'Q07954', 'Leptin', 'P27797'})"
"frozenset({'P37231', 'Leptin', 'P54646'})"
"frozenset({'Q96CS3', 'Leptin', 'Q9UI12'})"
"frozenset({'Leptin', 'Q9NVI1', 'Q13535'})"
"frozenset({'Q9BWT7', 'Leptin', 'Q8TBE0'})"
"frozenset({'Q9C009', 'P39880', 'Leptin'})"
"frozenset({'Leptin', 'P62877', 'Q9H469'})"
"frozenset({'Leptin', 'P06702', 'P62993'})"
"frozenset({'Q96KN7', 'Leptin', 'Q15058'})"
"frozenset({'P51858', 'Leptin', 'E9PAV3'})"
"frozenset({'Q6L8G9', 'Leptin', 'O76081'})"
"frozenset({'Leptin', 'O14964', 'Q13485'})"
"frozenset({'A8K0Z3', 'Leptin', 'Q6QNY1'})"
"frozenset({'P22612', 'Leptin', 'P34982'})"
"frozenset({'Leptin', 'Q8IXH7', 'Q13685'})"
"frozenset({'O43390', 'Leptin', 'Q9NQ29'})"
"frozenset({'Leptin', 'Q99784', 'Q9NRI5'})"
"frozenset({'Leptin', 'Q13557', 'P42261'})"
"frozenset({'O14862', 'Q14839', 'Leptin'})"
"frozenset({'Q5U5R9', 'Leptin', 'Q15717'})"
"frozenset({'Leptin', 'O75083', 'P15311'})"
"frozenset({'P25445', 'Leptin', 'P07947'})"
"frozenset({'P83731', 'P35268', 'Leptin'})"
"frozenset({'Leptin', 'Q9H492', 'P12236'})"
"frozenset({'Leptin', 'P40189', 'O14508'})"
"frozenset({'Q8TEE9', 'O14879', 'Leptin'})"
"frozenset({'Leptin', 'Q9NSB8', 'Q14573'})"
"frozenset({'Q9GZR7', 'Leptin', 'Q9UGY1'})"
"frozenset({'Q5SRI9', 'Leptin', 'Q99784'})"
"frozenset({'Leptin', 'Q15907', 'Q7L804'})"
"frozenset({'Leptin', 'Q15051', 'Q8N1N4'})"
"frozenset({'Q00613', 'Leptin', 'Q8N4C8'})"
"frozenset({'Leptin', 'Q9HCS7', 'P30876'})"
"frozenset({'Q9NXR1', 'Leptin', 'Q9UBU9'})"
"frozenset({'Leptin', 'O43164', 'Q15717'})"
"frozenset({'Q5QGT7', 'Leptin', 'Q8NBJ4'})"
"frozenset({'Leptin', 'Q9UDY8', 'Q9Y4K3'})"
"frozenset({'O75771', 'Leptin', 'P19012'})"
"frozenset({'P11274', 'Leptin', 'P19784'})"
"frozenset({'P49915', 'Leptin', 'Q9H492'})"
"frozenset({'P36954', 'Leptin', 'P19388'})"
"frozenset({'O15197', 'Leptin', 'P55196'})"
"frozenset({'Leptin', 'A6NEQ0', 'Q15415'})"
"frozenset({'Leptin', 'O95727', 'Q9BY67'})"
"frozenset({'Q8IZP1', 'Leptin', 'Q8N3Y1'})"
"frozenset({'Leptin', 'P01116', 'P42338'})"
"frozenset({'Q96MY7', 'Leptin', 'Q9NYA3'})"
"frozenset({'Leptin', 'Q8N205', 'Q9BVK8'})"
"frozenset({'Leptin', 'Q16539', 'P62258'})"
"frozenset({'Leptin', 'Q8IXL6', 'P19022'})"
"frozenset({'Q13233', 'Leptin', 'P31689'})"
"frozenset({'Leptin', 'Q9NY12', 'Q8IVT5'})"
"frozenset({'Leptin', 'Q68D86', 'Q9H0I2'})"
"frozenset({'Leptin', 'Q99547', 'Q9NP97'})"
"frozenset({'Leptin', 'P31483', 'P01137'})"
"frozenset({'Leptin', 'O75643', 'P05161'})"
"frozenset({'Leptin', 'Q00839', 'O60783'})"
"frozenset({'A7KAX9', 'Leptin', 'P46109'})"
"frozenset({'Leptin', 'Q13561', 'Q8WVC0'})"
"frozenset({'Leptin', 'Q9NRD0', 'P62330'})"
"frozenset({'Q9H5Q4', 'Leptin', 'Q6UX06'})"
"frozenset({'Q13137', 'Leptin', 'P14678'})"
"frozenset({'P07437', 'Leptin', 'Q99623'})"
"frozenset({'Leptin', 'Q9H4L7', 'P61978'})"
"frozenset({'P62316', 'Leptin', 'P09651'})"
"frozenset({'P46783', 'Leptin', 'O00459'})"
"frozenset({'P51686', 'Leptin', 'P02776'})"
"frozenset({'O14920', 'Leptin', 'O00141'})"
"frozenset({'Leptin', 'P62873', 'Q8NGJ0'})"
"frozenset({'Leptin', 'P0C0E4', 'Q9BUE6'})"
"frozenset({'P56199', 'Leptin', 'P21815'})"
"frozenset({'Leptin', 'P46934', 'Q9Y6E0'})"
"frozenset({'Q92783', 'Q8TEA7', 'Leptin'})"
"frozenset({'Leptin', 'Q9NYF3', 'P56524'})"
"frozenset({'Leptin', 'Q9Y277', 'Q99496'})"
"frozenset({'Leptin', 'Q13123', 'O00422'})"
"frozenset({'Leptin', 'P08670', 'P54725'})"
"frozenset({'P43243', 'Leptin', 'Q9UJV9'})"
"frozenset({'Q92624', 'Leptin', 'Q9GZU1'})"
"frozenset({'Leptin', 'Q9NWA0', 'O15042'})"
"frozenset({'P06748', 'P34925', 'Leptin'})"
"frozenset({'Leptin', 'Q9H6Z9', 'Q13501'})"
"frozenset({'Leptin', 'Q68CP9', 'Q6STE5'})"
"frozenset({'Q5VVX9', 'Q8NG27', 'Leptin'})"
"frozenset({'P50453', 'P68371', 'Leptin'})"
"frozenset({'Leptin', 'P49841', 'P40337'})"
"frozenset({'Leptin', 'P01308', 'Q9Y4H2'})"
"frozenset({'Q9HBJ0', 'Leptin', 'Q9H0E9'})"
"frozenset({'Leptin', 'P04085', 'P02751'})"
"frozenset({'Leptin', 'P62280', 'Q08211'})"
"frozenset({'Q17RP2', 'Leptin', 'P37802'})"
"frozenset({'Leptin', 'P43034', 'Q96I15'})"
"frozenset({'Leptin', 'P29322', 'P00519'})"
"frozenset({'Leptin', 'Q9HBH9', 'Q6R327'})"
"frozenset({'Leptin', 'Q9UHV2', 'Q96PM5'})"
"frozenset({'Q9ULF5', 'Leptin', 'P16220'})"
"frozenset({'Q8NFD5', 'Leptin', 'Q9UGL1'})"
"frozenset({'Leptin', 'Q15024', 'Q92551'})"
"frozenset({'P35251', 'Leptin', 'P43246'})"
"frozenset({'P22612', 'Q9HCP0', 'Leptin'})"
"frozenset({'O60266', 'Q9P2W3', 'Leptin'})"
"frozenset({'P40145', 'P05129', 'Leptin'})"
"frozenset({'Leptin', 'P09012', 'Q15459'})"
"frozenset({'O75934', 'Leptin', 'O76011'})"
"frozenset({'P12004', 'Leptin', 'P13010'})"
"frozenset({'Q9BRK4', 'Leptin', 'Q9NZC7'})"
"frozenset({'P19235', 'Leptin', 'P40933'})"
"frozenset({'Leptin', 'P04629', 'Q7Z4K8'})"
"frozenset({'P02647', 'Leptin', 'Q3KQU3'})"
"frozenset({'Leptin', 'Q01081', 'P54274'})"
"frozenset({'Leptin', 'Q13131', 'P49815'})"
"frozenset({'Leptin', 'P23528', 'P14618'})"
"frozenset({'P50222', 'Leptin', 'Q8IYX1'})"
"frozenset({'P23588', 'P60842', 'Leptin'})"
"frozenset({'Leptin', 'Q6F5E8', 'P46531'})"
"frozenset({'Leptin', 'P08195', 'P16070'})"
"frozenset({'Q92828', 'Leptin', 'P01111'})"
"frozenset({'Q05BQ5', 'Leptin', 'Q96L91'})"
"frozenset({'Q63HQ2', 'Leptin', 'P05230'})"
"frozenset({'Leptin', 'P49336', 'P36956'})"
"frozenset({'P19838', 'Leptin', 'Q6ZMU5'})"
"frozenset({'Q14241', 'Leptin', 'P19388'})"
"frozenset({'Leptin', 'P25791', 'Q9UGL1'})"
"frozenset({'Leptin', 'Q13618', 'P48507'})"
"frozenset({'Q86T03', 'Leptin', 'P06733'})"
"frozenset({'P19021', 'Leptin', 'P22304'})"
"frozenset({'Q96Q42', 'Leptin', 'Q9NVR5'})"
"frozenset({'Leptin', 'Q96QK1', 'Q9ULV4'})"
"frozenset({'Leptin', 'P05091', 'Q96ID5'})"
"frozenset({'Leptin', 'Q13263', 'Q8N8S7'})"
"frozenset({'P35626', 'Leptin', 'Q8NGX1'})"
"frozenset({'Leptin', 'Q9BVG8', 'Q08117'})"
"frozenset({'Q8IWL3', 'Leptin', 'Q9BVQ7'})"
"frozenset({'Leptin', 'Q03014', 'P60371'})"
"frozenset({'Leptin', 'O95273', 'Q8TAK6'})"
"frozenset({'Q5VU43', 'Leptin', 'Q9NSK0'})"
"frozenset({'Leptin', 'P36957', 'Q05516'})"
"frozenset({'Leptin', 'P17612', 'P54710'})"
"frozenset({'Leptin', 'Q9ULK4', 'O60610'})"
"frozenset({'Q9HAT2', 'Leptin', 'Q9UIQ6'})"
"frozenset({'Leptin', 'P30405', 'Q02156'})"
"frozenset({'P68104', 'Leptin', 'P02751'})"
"frozenset({'Q8NGN3', 'Leptin', 'P49407'})"
"frozenset({'P49247', 'Leptin', 'O75716'})"
"frozenset({'P20036', 'Leptin', 'P54764'})"
"frozenset({'Q6NXG1', 'Leptin', 'Q3LI72'})"
"frozenset({'P57678', 'Leptin', 'P51648'})"
"frozenset({'Leptin', 'P53618', 'P49257'})"
"frozenset({'O15519', 'Leptin', 'Q13158'})"
"frozenset({'Q12815', 'Leptin', 'P36406'})"
"frozenset({'Leptin', 'P52272', 'Q04206'})"
"frozenset({'Q8TAP6', 'Leptin', 'P68363'})"
"frozenset({'P11387', 'Leptin', 'Q9UQ80'})"
"frozenset({'Q99719', 'Leptin', 'Q8WYJ6'})"
"frozenset({'P62942', 'Leptin', 'P49773'})"
"frozenset({'Leptin', 'Q92934', 'P45984'})"
"frozenset({'Leptin', 'Q15323', 'Q9BRU9'})"
"frozenset({'Leptin', 'Q13190', 'Q5T3J3'})"
"frozenset({'Leptin', 'P35269', 'Q00839'})"
"frozenset({'Q8N7C3', 'Leptin', 'Q9H668'})"
"frozenset({'O14672', 'Leptin', 'Q9NRD1'})"
"frozenset({'Leptin', 'O60306', 'Q9UJV9'})"
"frozenset({'O95967', 'Q5TZK3', 'Leptin'})"
"frozenset({'O95817', 'Leptin', 'Q06323'})"
"frozenset({'Leptin', 'Q9UBP9', 'Q15027'})"
"frozenset({'P68104', 'Leptin', 'O43261'})"
"frozenset({'Q9UKK3', 'Leptin', 'P42574'})"
"frozenset({'P13639', 'Leptin', 'Q04721'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'Q96QC0'})"
"frozenset({'Leptin', 'P16035', 'P50281'})"
"frozenset({'Q9Y662', 'P20036', 'Leptin'})"
"frozenset({'P08047', 'Leptin', 'Q12873'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'P39656'})"
"frozenset({'Q9NP71', 'Leptin', 'P54646'})"
"frozenset({'Leptin', 'Q13315', 'Q5VTL8'})"
"frozenset({'Leptin', 'P53365', 'O14964'})"
"frozenset({'Leptin', 'P12814', 'P14672'})"
"frozenset({'Leptin', 'Q16181', 'P26368'})"
"frozenset({'Q9BQI3', 'Leptin', 'Q9UHI6'})"
"frozenset({'Leptin', 'P16284', 'P25106'})"
"frozenset({'P08575', 'Q14761', 'Leptin'})"
"frozenset({'Leptin', 'P62318', 'P62304'})"
"frozenset({'Q9Y2X0', 'Leptin', 'O43542'})"
"frozenset({'Q92560', 'Leptin', 'Q16777'})"
"frozenset({'Q9BRJ2', 'Leptin', 'Q13618'})"
"frozenset({'Leptin', 'O43542', 'O43264'})"
"frozenset({'Leptin', 'Q92890', 'P00338'})"
"frozenset({'P14416', 'Leptin', 'P08754'})"
"frozenset({'Leptin', 'Q5HYI8', 'Q96GX1'})"
"frozenset({'Leptin', 'P62891', 'Q07020'})"
"frozenset({'O95817', 'Leptin', 'Q8TDF5'})"
"frozenset({'Leptin', 'Q9HAV7', 'Q5F1R6'})"
"frozenset({'Leptin', 'O94992', 'Q92636'})"
"frozenset({'Leptin', 'Q12931', 'P28482'})"
"frozenset({'A8MV81', 'Leptin', 'Q9UHQ9'})"
"frozenset({'Q9UNL2', 'Leptin', 'P29317'})"
"frozenset({'P11686', 'P46934', 'Leptin'})"
"frozenset({'P22694', 'Leptin', 'Q8NH48'})"
"frozenset({'Leptin', 'Q15554', 'Q9HCN8'})"
"frozenset({'Leptin', 'P36871', 'O75190'})"
"frozenset({'P35232', 'Leptin', 'P24941'})"
"frozenset({'P27694', 'Leptin', 'Q68E01'})"
"frozenset({'Leptin', 'Q04609', 'P32929'})"
"frozenset({'P25445', 'Leptin', 'Q12933'})"
"frozenset({'P33527', 'Q9NZR1', 'Leptin'})"
"frozenset({'Q5RL73', 'Leptin', 'P04792'})"
"frozenset({'Leptin', 'P42331', 'P42858'})"
"frozenset({'O14579', 'Leptin', 'O95714'})"
"frozenset({'Leptin', 'P53794', 'Q86X19'})"
"frozenset({'O00268', 'Leptin', 'Q8IZX4'})"
"frozenset({'Q99459', 'Leptin', 'Q13042'})"
"frozenset({'O14757', 'Leptin', 'Q53H47'})"
"frozenset({'Q9UP83', 'Leptin', 'P63000'})"
"frozenset({'Leptin', 'P30480', 'P30046'})"
"frozenset({'P17676', 'Leptin', 'P05412'})"
"frozenset({'Leptin', 'Q01081', 'P22626'})"
"frozenset({'Q14114', 'Q15532', 'Leptin'})"
"frozenset({'Leptin', 'O43683', 'Q6FHJ7'})"
"frozenset({'Leptin', 'Q9BRN9', 'Q9UDX5'})"
"frozenset({'Leptin', 'P25098', 'Q8NGB6'})"
"frozenset({'Leptin', 'P0C0E4', 'Q8TF66'})"
"frozenset({'Q13322', 'Leptin', 'Q15051'})"
"frozenset({'P49848', 'Leptin', 'P29083'})"
"frozenset({'Leptin', 'O14514', 'Q9UQB8'})"
"frozenset({'Leptin', 'Q9Y5K8', 'P39210'})"
"frozenset({'P49761', 'Leptin', 'Q16629'})"
"frozenset({'Leptin', 'Q66LE6', 'P13051'})"
"frozenset({'Leptin', 'Q9BVG4', 'P29084'})"
"frozenset({'Leptin', 'Q9H3H3', 'Q04864'})"
"frozenset({'P08648', 'Leptin', 'O15123'})"
"frozenset({'Q13547', 'Leptin', 'O43189'})"
"frozenset({'Leptin', 'Q9BXP5', 'P46531'})"
"frozenset({'Q9UIA9', 'Leptin', 'Q9UMR2'})"
"frozenset({'Leptin', 'P16989', 'P05412'})"
"frozenset({'Leptin', 'P01567', 'Q14626'})"
"frozenset({'Leptin', 'P62937', 'P19320'})"
"frozenset({'Leptin', 'Q96LB3', 'Q9Y2I6'})"
"frozenset({'Leptin', 'Q6V1X1', 'O94888'})"
"frozenset({'Leptin', 'O60315', 'P56524'})"
"frozenset({'Leptin', 'Q8WXA8', 'Q5JS37'})"
"frozenset({'Leptin', 'O75530', 'P15498'})"
"frozenset({'P49761', 'Leptin', 'P11940'})"
"frozenset({'Leptin', 'P63279', 'P0DJD1'})"
"frozenset({'Leptin', 'Q9BYE3', 'Q9BQ66'})"
"frozenset({'Leptin', 'Q9Y5N5', 'O75792'})"
"frozenset({'Leptin', 'Q96L14', 'Q9H0L4'})"
"frozenset({'Q01105', 'O60260', 'Leptin'})"
"frozenset({'Leptin', 'P61764', 'P68366'})"
"frozenset({'Leptin', 'O43903', 'P05067'})"
"frozenset({'Leptin', 'P05129', 'Q01970'})"
"frozenset({'Leptin', 'P41134', 'Q9Y3X0'})"
"frozenset({'Q96SB4', 'Leptin', 'O75920'})"
"frozenset({'Leptin', 'Q9Y6I3', 'Q9HCE7'})"
"frozenset({'Leptin', 'Q9Y5K5', 'P57078'})"
"frozenset({'Leptin', 'Q8IYX8', 'P37198'})"
"frozenset({'Q13625', 'Leptin', 'P46937'})"
"frozenset({'Leptin', 'P06241', 'Q08881'})"
"frozenset({'Q9BY41', 'Leptin', 'P06899'})"
"frozenset({'P98164', 'Leptin', 'Q9UQF2'})"
"frozenset({'Leptin', 'Q8TBE0', 'Q08117'})"
"frozenset({'P22314', 'Leptin', 'O75069'})"
"frozenset({'Q16740', 'Leptin', 'Q9UDW1'})"
"frozenset({'Leptin', 'P35813', 'Q14103'})"
"frozenset({'Leptin', 'P42229', 'P10515'})"
"frozenset({'Leptin', 'Q14978', 'Q9P2K1'})"
"frozenset({'Leptin', 'Q9UBU9', 'Q6KCM7'})"
"frozenset({'P09234', 'Leptin', 'Q96EL3'})"
"frozenset({'P61020', 'Leptin', 'Q15717'})"
"frozenset({'Q9ULZ3', 'Leptin', 'Q86W26'})"
"frozenset({'Leptin', 'Q13263', 'Q13794'})"
"frozenset({'Leptin', 'Q9H944', 'Q969H0'})"
"frozenset({'O94762', 'Leptin', 'Q9UQF2'})"
