negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'TSH', 'Q6NUQ1', 'Q9NQW7'})"
"frozenset({'TSH', 'O00459', 'P46782'})"
"frozenset({'TSH', 'P62805', 'P45973'})"
"frozenset({'TSH', 'P68036', 'Q96PU5'})"
"frozenset({'Q96CW1', 'TSH', 'Q8N3V7'})"
"frozenset({'TSH', 'P01579', 'P14784'})"
"frozenset({'TSH', 'Q12959', 'Q9P021'})"
"frozenset({'Q00613', 'Q9UNE7', 'TSH'})"
"frozenset({'TSH', 'O75528', 'Q14CW9'})"
"frozenset({'Q9NRX5', 'Q9Y512', 'TSH'})"
"frozenset({'TSH', 'Q9NP58', 'Q99816'})"
"frozenset({'TSH', 'Q6P597', 'O75558'})"
"frozenset({'TSH', 'Q96T88', 'Q9H0W5'})"
"frozenset({'O76082', 'TSH', 'O76011'})"
"frozenset({'TSH', 'P62258', 'O15481'})"
"frozenset({'TSH', 'Q6IF36', 'P38405'})"
"frozenset({'TSH', 'Q14999', 'O75489'})"
"frozenset({'Q8N3S3', 'O95274', 'TSH'})"
"frozenset({'TSH', 'Q99608', 'A1L4K1'})"
"frozenset({'O75503', 'Q02083', 'TSH'})"
"frozenset({'TSH', 'Q8WTU0', 'Q9BUL9'})"
"frozenset({'Q16204', 'P62714', 'TSH'})"
"frozenset({'P25445', 'Q92851', 'TSH'})"
"frozenset({'TSH', 'Q16555', 'P04629'})"
"frozenset({'TSH', 'P13612', 'P07948'})"
"frozenset({'TSH', 'P14784', 'P01569'})"
"frozenset({'TSH', 'P04004', 'Q08211'})"
"frozenset({'TSH', 'Q9UJ41', 'Q9C0C6'})"
"frozenset({'TSH', 'Q14164', 'Q9NPH2'})"
"frozenset({'Q15907', 'P61020', 'TSH'})"
"frozenset({'TSH', 'P03891', 'P03901'})"
"frozenset({'TSH', 'P10276', 'Q969K7'})"
"frozenset({'TSH', 'Q9H1C4', 'O14735'})"
"frozenset({'TSH', 'Q9UQL6', 'O95166'})"
"frozenset({'P50750', 'Q5VTR2', 'TSH'})"
"frozenset({'TSH', 'O14979', 'Q9GZL7'})"
"frozenset({'P51571', 'Q93034', 'TSH'})"
"frozenset({'TSH', 'Q13085', 'Q8TF42'})"
"frozenset({'Q9BXT2', 'P62140', 'TSH'})"
"frozenset({'TSH', 'Q04864', 'Q9HC07'})"
"frozenset({'TSH', 'P20783', 'P35916'})"
"frozenset({'TSH', 'P07437', 'P37840'})"
"frozenset({'TSH', 'Q92973', 'Q99459'})"
"frozenset({'TSH', 'Q15326', 'Q96SB4'})"
"frozenset({'TSH', 'Q15334', 'P06748'})"
"frozenset({'TSH', 'P11274', 'P27348'})"
"frozenset({'TSH', 'O15164', 'P19793'})"
"frozenset({'TSH', 'O94808', 'A2RUH7'})"
"frozenset({'Q13155', 'P36543', 'TSH'})"
"frozenset({'TSH', 'P30450', 'P00533'})"
"frozenset({'TSH', 'O75604', 'O15151'})"
"frozenset({'TSH', 'Q96KQ4', 'Q8NHY3'})"
"frozenset({'TSH', 'P47897', 'Q15742'})"
"frozenset({'TSH', 'Q8IUC6', 'Q92844'})"
"frozenset({'TSH', 'P62993', 'P22061'})"
"frozenset({'TSH', 'Q14974', 'Q7Z6Z7'})"
"frozenset({'Q13616', 'P25786', 'TSH'})"
"frozenset({'Q96JC9', 'Q8IZT6', 'TSH'})"
"frozenset({'P25205', 'Q9NVP2', 'TSH'})"
"frozenset({'TSH', 'Q9H4P4', 'P07550'})"
"frozenset({'Q13084', 'P49406', 'TSH'})"
"frozenset({'TSH', 'Q494V2', 'O43463'})"
"frozenset({'TSH', 'Q66GS9', 'Q14145'})"
"frozenset({'TSH', 'Q08170', 'Q08211'})"
"frozenset({'TSH', 'Q9UHW5', 'Q96P16'})"
"frozenset({'TSH', 'Q53FV1', 'P32249'})"
"frozenset({'TSH', 'O15047', 'Q6DN03'})"
"frozenset({'TSH', 'Q9BXB4', 'P04629'})"
"frozenset({'TSH', 'O15479', 'P42766'})"
"frozenset({'TSH', 'Q9HAV4', 'P48431'})"
"frozenset({'TSH', 'P26640', 'P29692'})"
"frozenset({'TSH', 'O76015', 'P02538'})"
"frozenset({'TSH', 'Q92754', 'P63279'})"
"frozenset({'TSH', 'P52569', 'P62079'})"
"frozenset({'TSH', 'Q9HC77', 'Q9H4A3'})"
"frozenset({'TSH', 'Q9UBN7', 'Q96S59'})"
"frozenset({'TSH', 'P61421', 'P42167'})"
"frozenset({'Q7L1W4', 'P05067', 'TSH'})"
"frozenset({'Q8IV08', 'TSH', 'P31942'})"
"frozenset({'TSH', 'P24941', 'P50914'})"
"frozenset({'O60911', 'P15056', 'TSH'})"
"frozenset({'Q8WXF0', 'Q08AD1', 'TSH'})"
"frozenset({'TSH', 'Q8N684', 'P34897'})"
"frozenset({'TSH', 'P27635', 'P05387'})"
"frozenset({'TSH', 'P20774', 'P00519'})"
"frozenset({'Q01167', 'O75182', 'TSH'})"
"frozenset({'P62917', 'Q9BW71', 'TSH'})"
"frozenset({'TSH', 'P15336', 'Q14012'})"
"frozenset({'TSH', 'Q8N556', 'P38398'})"
"frozenset({'TSH', 'Q9NZZ3', 'P12830'})"
"frozenset({'TSH', 'A0AV96', 'Q96LI6'})"
"frozenset({'TSH', 'Q96PU5', 'Q08495'})"
"frozenset({'Q9BVG4', 'Q8IV38', 'TSH'})"
"frozenset({'TSH', 'O14757', 'Q00341'})"
"frozenset({'TSH', 'P68431', 'O14646'})"
"frozenset({'Q96HA8', 'Q9C026', 'TSH'})"
"frozenset({'Q15717', 'Q96AZ1', 'TSH'})"
"frozenset({'Q9UHA4', 'TSH', 'Q96A05'})"
"frozenset({'TSH', 'P42285', 'O95166'})"
"frozenset({'TSH', 'O75368', 'Q14019'})"
"frozenset({'TSH', 'P21980', 'Q96HP8'})"
"frozenset({'TSH', 'P48729', 'P17931'})"
"frozenset({'TSH', 'Q9BRK5', 'O75317'})"
"frozenset({'TSH', 'P17302', 'P68363'})"
"frozenset({'TSH', 'Q8N465', 'Q6PKH6'})"
"frozenset({'TSH', 'P05412', 'O43660'})"
"frozenset({'TSH', 'Q5XG87', 'Q8N3Z6'})"
"frozenset({'Q9NRX5', 'O43889', 'TSH'})"
"frozenset({'Q9NQG5', 'Q14974', 'TSH'})"
"frozenset({'TSH', 'O15143', 'P61758'})"
"frozenset({'TSH', 'Q13325', 'Q9NPJ6'})"
"frozenset({'TSH', 'Q6ZW49', 'Q8TAC9'})"
"frozenset({'TSH', 'P19838', 'P16871'})"
"frozenset({'TSH', 'Q16288', 'P62993'})"
"frozenset({'TSH', 'Q9Y666', 'Q6DKI2'})"
"frozenset({'TSH', 'P18146', 'O95235'})"
"frozenset({'TSH', 'Q9BQE3', 'Q9UBN7'})"
"frozenset({'Q13155', 'Q8IYI6', 'TSH'})"
"frozenset({'TSH', 'Q01082', 'P09493'})"
"frozenset({'TSH', 'Q9H0A0', 'P38398'})"
"frozenset({'TSH', 'O76070', 'Q9NUX5'})"
"frozenset({'TSH', 'Q2KJY2', 'Q9H765'})"
"frozenset({'TSH', 'Q9P0N5', 'Q8NF37'})"
"frozenset({'TSH', 'Q99853', 'P31260'})"
"frozenset({'TSH', 'P09651', 'O76094'})"
"frozenset({'O95661', 'P01137', 'TSH'})"
"frozenset({'Q8N6U2', 'P60410', 'TSH'})"
"frozenset({'TSH', 'P13727', 'Q9UPN7'})"
"frozenset({'TSH', 'P35637', 'Q99615'})"
"frozenset({'TSH', 'Q12933', 'Q14397'})"
"frozenset({'TSH', 'Q9NPF5', 'P63261'})"
"frozenset({'TSH', 'Q9NWB6', 'Q9Y6K9'})"
"frozenset({'TSH', 'Q71U36', 'Q16512'})"
"frozenset({'Q07889', 'Q8N431', 'TSH'})"
"frozenset({'TSH', 'P15313', 'P11234'})"
"frozenset({'TSH', 'P34925', 'P55786'})"
"frozenset({'TSH', 'P17612', 'Q8NGE9'})"
"frozenset({'TSH', 'P60709', 'Q9Y3Z3'})"
"frozenset({'TSH', 'P16333', 'Q9NQU5'})"
"frozenset({'TSH', 'Q9NWB7', 'Q8NBT0'})"
"frozenset({'TSH', 'P55273', 'Q0VD86'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q9BSJ6'})"
"frozenset({'TSH', 'P18206', 'Q9Y490'})"
"frozenset({'TSH', 'Q8WZ55', 'P36404'})"
"frozenset({'TSH', 'Q14318', 'P43307'})"
"frozenset({'TSH', 'Q9NYU2', 'Q9NP77'})"
"frozenset({'TSH', 'Q5VWQ0', 'Q06710'})"
"frozenset({'TSH', 'Q9NUW8', 'P55072'})"
"frozenset({'TSH', 'Q9NW61', 'Q96BK5'})"
"frozenset({'Q8WWX9', 'P61604', 'TSH'})"
"frozenset({'TSH', 'P00403', 'P24941'})"
"frozenset({'Q13107', 'O00231', 'TSH'})"
"frozenset({'TSH', 'Q9Y266', 'Q9C0C7'})"
"frozenset({'TSH', 'Q9BZE1', 'P08574'})"
"frozenset({'TSH', 'Q96CX2', 'Q04206'})"
"frozenset({'TSH', 'P49821', 'Q5JTV8'})"
"frozenset({'TSH', 'O95400', 'Q08211'})"
"frozenset({'Q9P2B4', 'P30154', 'TSH'})"
"frozenset({'TSH', 'P49736', 'Q92734'})"
"frozenset({'TSH', 'O15121', 'Q9UL03'})"
"frozenset({'TSH', 'P01112', 'P49841'})"
"frozenset({'TSH', 'Q8NHC7', 'P22612'})"
"frozenset({'TSH', 'P49736', 'Q96KR7'})"
"frozenset({'TSH', 'Q99816', 'Q8NEZ2'})"
"frozenset({'TSH', 'Q02447', 'Q04206'})"
"frozenset({'TSH', 'O75081', 'P54259'})"
"frozenset({'TSH', 'Q13371', 'Q14318'})"
"frozenset({'Q15831', 'P16104', 'TSH'})"
"frozenset({'TSH', 'Q9UMX0', 'P18505'})"
"frozenset({'TSH', 'Q9BVC6', 'P02511'})"
"frozenset({'TSH', 'Q9BW19', 'Q9H8M7'})"
"frozenset({'Q9BZD4', 'TSH', 'Q96P16'})"
"frozenset({'P12034', 'P28482', 'TSH'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q147X3'})"
"frozenset({'TSH', 'P30876', 'Q9BWH6'})"
"frozenset({'TSH', 'O43918', 'Q15788'})"
"frozenset({'TSH', 'Q00887', 'Q05209'})"
"frozenset({'TSH', 'O75444', 'P15407'})"
"frozenset({'TSH', 'Q12788', 'P31947'})"
"frozenset({'Q13347', 'Q99496', 'TSH'})"
"frozenset({'TSH', 'Q9BZR9', 'P08238'})"
"frozenset({'TSH', 'Q9Y6E0', 'Q8WXH2'})"
"frozenset({'TSH', 'P49840', 'P07900'})"
"frozenset({'TSH', 'Q9H9B1', 'P42858'})"
"frozenset({'TSH', 'Q9NU39', 'Q3LI66'})"
"frozenset({'Q13936', 'P04899', 'TSH'})"
"frozenset({'TSH', 'O14910', 'Q8IZU0'})"
"frozenset({'TSH', 'P49639', 'P27658'})"
"frozenset({'TSH', 'Q9Y376', 'Q9BZL1'})"
"frozenset({'TSH', 'Q8NC51', 'Q2NL82'})"
"frozenset({'TSH', 'P08670', 'P62081'})"
"frozenset({'TSH', 'Q7Z333', 'Q13573'})"
"frozenset({'TSH', 'P05412', 'Q5JTH9'})"
"frozenset({'TSH', 'P63104', 'Q15287'})"
"frozenset({'P40424', 'P13569', 'TSH'})"
"frozenset({'TSH', 'P02794', 'Q96NS5'})"
"frozenset({'TSH', 'P32121', 'P13010'})"
"frozenset({'TSH', 'Q00839', 'P26373'})"
"frozenset({'TSH', 'P05412', 'P62304'})"
"frozenset({'TSH', 'O43291', 'Q6P4R8'})"
"frozenset({'TSH', 'Q9H9E3', 'Q9NZQ7'})"
"frozenset({'TSH', 'Q96S59', 'Q14541'})"
"frozenset({'TSH', 'Q9NQL9', 'Q3LI66'})"
"frozenset({'TSH', 'Q92764', 'Q9P0N9'})"
"frozenset({'P09874', 'TSH', 'Q9H4L7'})"
"frozenset({'TSH', 'Q96HR8', 'O75553'})"
"frozenset({'TSH', 'O75044', 'Q9P244'})"
"frozenset({'TSH', 'Q13635', 'Q6UWY0'})"
"frozenset({'TSH', 'O43291', 'Q9Y2H6'})"
"frozenset({'TSH', 'Q13363', 'Q12873'})"
"frozenset({'TSH', 'P27815', 'P27987'})"
"frozenset({'Q02543', 'P42677', 'TSH'})"
"frozenset({'TSH', 'P28070', 'P17980'})"
"frozenset({'TSH', 'P15336', 'P00558'})"
"frozenset({'P45983', 'Q15637', 'TSH'})"
"frozenset({'Q12879', 'P06241', 'TSH'})"
"frozenset({'TSH', 'Q7L804', 'Q9H4M9'})"
"frozenset({'TSH', 'Q9UK41', 'Q8IYX7'})"
"frozenset({'TSH', 'Q96PK6', 'Q9UQL6'})"
"frozenset({'TSH', 'O14531', 'Q99962'})"
"frozenset({'P12004', 'Q03468', 'TSH'})"
"frozenset({'TSH', 'Q13315', 'Q8N2W9'})"
"frozenset({'TSH', 'Q8N9N5', 'P61244'})"
"frozenset({'TSH', 'Q9UBX3', 'Q9UPY8'})"
"frozenset({'TSH', 'P42166', 'O43918'})"
"frozenset({'TSH', 'Q7Z3I7', 'Q9H079'})"
"frozenset({'TSH', 'Q5H9I0', 'P46736'})"
"frozenset({'Q02413', 'P46940', 'TSH'})"
"frozenset({'TSH', 'P02511', 'P07315'})"
"frozenset({'TSH', 'Q15058', 'Q49A88'})"
"frozenset({'TSH', 'Q8WYB5', 'Q8N7G0'})"
"frozenset({'P12956', 'TSH', 'Q9H910'})"
"frozenset({'TSH', 'Q13323', 'B2RUZ4'})"
"frozenset({'Q04725', 'Q04743', 'TSH'})"
"frozenset({'TSH', 'P62244', 'Q9BV73'})"
"frozenset({'TSH', 'O43896', 'P62258'})"
"frozenset({'TSH', 'Q8IWV2', 'O95817'})"
"frozenset({'Q9UDX3', 'Q9BYV2', 'TSH'})"
"frozenset({'TSH', 'Q8N448', 'Q9NTG1'})"
"frozenset({'P84022', 'Q9UBH0', 'TSH'})"
"frozenset({'TSH', 'Q92783', 'O00625'})"
"frozenset({'Q969M1', 'Q9UBU9', 'TSH'})"
"frozenset({'TSH', 'O60506', 'P17931'})"
"frozenset({'Q8TBB1', 'Q96G04', 'TSH'})"
"frozenset({'TSH', 'Q5BJF6', 'Q2M1P5'})"
"frozenset({'TSH', 'P62805', 'O00257'})"
"frozenset({'TSH', 'P42226', 'Q9NVW2'})"
"frozenset({'TSH', 'Q14677', 'Q8N3V7'})"
"frozenset({'Q13309', 'P46527', 'TSH'})"
"frozenset({'P12956', 'TSH', 'O15355'})"
"frozenset({'TSH', 'Q9Y6D9', 'P09917'})"
"frozenset({'Q9BZ29', 'Q13642', 'TSH'})"
"frozenset({'TSH', 'Q9UI95', 'Q9Y253'})"
"frozenset({'TSH', 'Q9UGR2', 'Q9P2P5'})"
"frozenset({'TSH', 'Q15052', 'Q9P286'})"
"frozenset({'TSH', 'Q01968', 'Q9H583'})"
"frozenset({'TSH', 'Q9BTW9', 'Q9GZL7'})"
"frozenset({'TSH', 'O60216', 'P22314'})"
"frozenset({'TSH', 'P40337', 'P53396'})"
"frozenset({'TSH', 'P36956', 'P06493'})"
"frozenset({'TSH', 'P15822', 'O14543'})"
"frozenset({'TSH', 'Q8NE01', 'Q15323'})"
"frozenset({'TSH', 'P23396', 'O95166'})"
"frozenset({'P29033', 'Q13200', 'TSH'})"
"frozenset({'TSH', 'P03905', 'O00483'})"
"frozenset({'TSH', 'P06748', 'Q9H6R4'})"
"frozenset({'TSH', 'Q8IYL2', 'P16473'})"
"frozenset({'TSH', 'O43426', 'O94875'})"
"frozenset({'TSH', 'P06493', 'Q13526'})"
"frozenset({'Q13347', 'TSH', 'P60709'})"
"frozenset({'Q9BTT4', 'O00472', 'TSH'})"
"frozenset({'TSH', 'P07195', 'P55786'})"
"frozenset({'TSH', 'Q96NC0', 'Q9BRK4'})"
"frozenset({'TSH', 'Q13418', 'P57078'})"
"frozenset({'TSH', 'P48730', 'P62820'})"
"frozenset({'TSH', 'Q9UDY8', 'P61088'})"
"frozenset({'TSH', 'P67870', 'O60502'})"
"frozenset({'Q16666', 'O60231', 'TSH'})"
"frozenset({'TSH', 'A8MW92', 'O14746'})"
"frozenset({'TSH', 'O14979', 'P26599'})"
"frozenset({'TSH', 'P60520', 'Q99928'})"
"frozenset({'TSH', 'P08865', 'Q9NW07'})"
"frozenset({'TSH', 'P15336', 'O75676'})"
"frozenset({'TSH', 'P22459', 'P16389'})"
"frozenset({'Q9NW64', 'Q9BWF3', 'TSH'})"
"frozenset({'TSH', 'P61962', 'P50991'})"
"frozenset({'TSH', 'Q9NRG0', 'Q8IZU0'})"
"frozenset({'TSH', 'P49711', 'O00629'})"
"frozenset({'TSH', 'Q07820', 'O00198'})"
"frozenset({'TSH', 'Q8WTR7', 'Q8WWY3'})"
"frozenset({'TSH', 'P17948', 'P01130'})"
"frozenset({'Q9BZD4', 'TSH', 'O15516'})"
"frozenset({'TSH', 'Q92925', 'Q8WVJ2'})"
"frozenset({'P25205', 'Q96GG9', 'TSH'})"
"frozenset({'Q14781', 'TSH', 'P78347'})"
"frozenset({'P22670', 'P48380', 'TSH'})"
"frozenset({'TSH', 'O14656', 'Q8WXE9'})"
"frozenset({'TSH', 'P10275', 'P49023'})"
"frozenset({'TSH', 'P41182', 'Q06187'})"
"frozenset({'Q8N6P7', 'P13232', 'TSH'})"
"frozenset({'TSH', 'P49454', 'P32121'})"
"frozenset({'TSH', 'O00567', 'Q03701'})"
"frozenset({'Q15014', 'Q96DT7', 'TSH'})"
"frozenset({'TSH', 'Q9BQG0', 'Q15370'})"
"frozenset({'TSH', 'Q9UBQ0', 'Q93009'})"
"frozenset({'TSH', 'Q9NSA3', 'P35244'})"
"frozenset({'TSH', 'Q14257', 'O14862'})"
"frozenset({'TSH', 'Q9NUQ3', 'O75665'})"
"frozenset({'TSH', 'P51955', 'P05814'})"
"frozenset({'P42229', 'TSH', 'P24394'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q9NZM5'})"
"frozenset({'TSH', 'P11441', 'P62854'})"
"frozenset({'TSH', 'P82650', 'P51398'})"
"frozenset({'TSH', 'P62805', 'Q9UHJ3'})"
"frozenset({'TSH', 'Q9Y383', 'P46459'})"
"frozenset({'TSH', 'P48729', 'Q04206'})"
"frozenset({'TSH', 'Q99714', 'P02751'})"
"frozenset({'TSH', 'Q70CQ2', 'P48431'})"
"frozenset({'TSH', 'Q9BUN8', 'Q99436'})"
"frozenset({'Q03164', 'TSH', 'O14686'})"
"frozenset({'TSH', 'P35637', 'P30101'})"
"frozenset({'TSH', 'Q86TI0', 'Q68G74'})"
"frozenset({'TSH', 'O60506', 'Q9UJV9'})"
"frozenset({'P55084', 'P18206', 'TSH'})"
"frozenset({'TSH', 'Q4G148', 'Q86XK2'})"
"frozenset({'TSH', 'P05067', 'Q9Y296'})"
"frozenset({'TSH', 'Q92569', 'P31749'})"
"frozenset({'P35226', 'P23396', 'TSH'})"
"frozenset({'TSH', 'Q06609', 'Q96CW5'})"
"frozenset({'TSH', 'P61009', 'Q6NUS6'})"
"frozenset({'TSH', 'P31323', 'P08754'})"
"frozenset({'TSH', 'Q7Z569', 'Q9NTZ6'})"
"frozenset({'TSH', 'P60568', 'P14784'})"
"frozenset({'TSH', 'Q99853', 'Q9UKM9'})"
"frozenset({'TSH', 'P00441', 'Q15124'})"
"frozenset({'TSH', 'P84090', 'Q13432'})"
"frozenset({'TSH', 'Q8NGS2', 'P32121'})"
"frozenset({'TSH', 'P31153', 'O14964'})"
"frozenset({'P48039', 'P30626', 'TSH'})"
"frozenset({'TSH', 'Q2KJY2', 'Q00534'})"
"frozenset({'TSH', 'O14920', 'Q15392'})"
"frozenset({'TSH', 'Q9HAW4', 'Q9HBJ7'})"
"frozenset({'TSH', 'Q86V97', 'P20160'})"
"frozenset({'P48357', 'P13232', 'TSH'})"
"frozenset({'TSH', 'P35268', 'O00567'})"
"frozenset({'TSH', 'O75400', 'Q9NRR5'})"
"frozenset({'Q14657', 'Q99832', 'TSH'})"
"frozenset({'P04798', 'Q00341', 'TSH'})"
"frozenset({'TSH', 'Q7Z4N2', 'P01106'})"
"frozenset({'TSH', 'Q13620', 'Q9NS87'})"
"frozenset({'TSH', 'O60431', 'P22612'})"
"frozenset({'TSH', 'Q13573', 'Q15645'})"
"frozenset({'Q8WUA4', 'Q9UKN8', 'TSH'})"
"frozenset({'TSH', 'Q9UBS5', 'P63211'})"
"frozenset({'TSH', 'P40818', 'O75886'})"
"frozenset({'TSH', 'Q13177', 'P48431'})"
"frozenset({'TSH', 'P13987', 'P52735'})"
"frozenset({'TSH', 'P0CI01', 'Q15691'})"
"frozenset({'TSH', 'Q9UPN4', 'Q9H0W5'})"
"frozenset({'P49721', 'P63146', 'TSH'})"
"frozenset({'O75367', 'Q96DB2', 'TSH'})"
"frozenset({'TSH', 'O15360', 'Q92889'})"
"frozenset({'TSH', 'O75694', 'Q86X19'})"
"frozenset({'TSH', 'P51610', 'P62136'})"
"frozenset({'TSH', 'O14933', 'Q9BVG3'})"
"frozenset({'TSH', 'Q13123', 'Q15029'})"
"frozenset({'TSH', 'P37173', 'Q93074'})"
"frozenset({'TSH', 'O95433', 'Q9HCU4'})"
"frozenset({'TSH', 'Q15418', 'P55786'})"
"frozenset({'TSH', 'Q16254', 'Q96KB5'})"
"frozenset({'TSH', 'Q9BZE1', 'Q9Y676'})"
"frozenset({'TSH', 'Q01082', 'Q9Y3A3'})"
"frozenset({'TSH', 'Q99684', 'O15371'})"
"frozenset({'TSH', 'Q9UET6', 'P62633'})"
"frozenset({'TSH', 'Q3LI64', 'Q9NZ81'})"
"frozenset({'P38936', 'Q7L5D6', 'TSH'})"
"frozenset({'TSH', 'Q86WV1', 'Q12789'})"
"frozenset({'TSH', 'P10276', 'P35558'})"
"frozenset({'TSH', 'P18146', 'P84243'})"
"frozenset({'TSH', 'Q02045', 'Q9BZL4'})"
"frozenset({'Q9UKD2', 'Q8N8Y5', 'TSH'})"
"frozenset({'TSH', 'Q14324', 'P49792'})"
"frozenset({'TSH', 'Q15006', 'Q92979'})"
"frozenset({'TSH', 'P55157', 'Q15027'})"
"frozenset({'TSH', 'P22102', 'Q9UIA9'})"
"frozenset({'TSH', 'Q8N3J5', 'P98170'})"
"frozenset({'TSH', 'Q13352', 'Q8NEY8'})"
"frozenset({'TSH', 'P19105', 'P08047'})"
"frozenset({'TSH', 'Q8NHV4', 'Q9BYN8'})"
"frozenset({'TSH', 'P01116', 'Q13671'})"
"frozenset({'TSH', 'Q9HCY8', 'Q8WYB5'})"
"frozenset({'TSH', 'C9JDP6', 'Q96B33'})"
"frozenset({'TSH', 'P05412', 'P52565'})"
"frozenset({'TSH', 'Q9H9P8', 'Q01860'})"
"frozenset({'O96007', 'TSH', 'O95396'})"
"frozenset({'TSH', 'Q969U7', 'Q92530'})"
"frozenset({'TSH', 'Q14181', 'P56537'})"
"frozenset({'Q8WX93', 'O94875', 'TSH'})"
"frozenset({'P22736', 'P50416', 'TSH'})"
"frozenset({'TSH', 'O95886', 'Q92905'})"
"frozenset({'TSH', 'P00451', 'P00740'})"
"frozenset({'P11308', 'Q9NR30', 'TSH'})"
"frozenset({'TSH', 'P31749', 'P10276'})"
"frozenset({'Q14765', 'Q09472', 'TSH'})"
"frozenset({'TSH', 'Q96JM3', 'O95644'})"
"frozenset({'TSH', 'P63279', 'P02545'})"
"frozenset({'TSH', 'Q5SQN1', 'Q6P597'})"
"frozenset({'P48643', 'Q9Y237', 'TSH'})"
"frozenset({'A6NL26', 'P25098', 'TSH'})"
"frozenset({'TSH', 'P17900', 'Q9UMR2'})"
"frozenset({'TSH', 'Q15165', 'P20645'})"
"frozenset({'TSH', 'Q16576', 'Q15910'})"
"frozenset({'TSH', 'Q5T5S1', 'Q9H334'})"
"frozenset({'TSH', 'Q13315', 'Q9H2P0'})"
"frozenset({'P35222', 'O75478', 'TSH'})"
"frozenset({'TSH', 'Q5JST6', 'Q68D86'})"
"frozenset({'TSH', 'P15336', 'Q16520'})"
"frozenset({'TSH', 'Q8IXB1', 'Q9HAU4'})"
"frozenset({'TSH', 'P63165', 'Q5T5X7'})"
"frozenset({'TSH', 'Q9BUJ2', 'O43670'})"
"frozenset({'TSH', 'P62987', 'Q9UJM3'})"
"frozenset({'TSH', 'Q70UQ0', 'P37198'})"
"frozenset({'TSH', 'Q15468', 'Q8WV35'})"
"frozenset({'TSH', 'P13473', 'P17931'})"
"frozenset({'TSH', 'Q96DA6', 'Q99595'})"
"frozenset({'P48357', 'Q969D9', 'TSH'})"
"frozenset({'TSH', 'Q16659', 'Q06136'})"
"frozenset({'TSH', 'Q9UBS8', 'Q13772'})"
"frozenset({'TSH', 'Q93097', 'Q14332'})"
"frozenset({'TSH', 'Q96BY7', 'P58340'})"
"frozenset({'TSH', 'P38919', 'P16989'})"
"frozenset({'TSH', 'P13501', 'P27986'})"
"frozenset({'TSH', 'Q6W2J9', 'Q9C005'})"
"frozenset({'TSH', 'Q15750', 'Q9Y6K9'})"
"frozenset({'TSH', 'P25098', 'P08172'})"
"frozenset({'TSH', 'Q9H461', 'Q6FHJ7'})"
"frozenset({'TSH', 'P21246', 'Q12873'})"
"frozenset({'TSH', 'Q06455', 'Q5VZL5'})"
"frozenset({'TSH', 'Q6GQQ9', 'Q9H305'})"
"frozenset({'Q12907', 'Q9HCE1', 'TSH'})"
"frozenset({'TSH', 'Q02952', 'P17252'})"
"frozenset({'TSH', 'P30511', 'P55058'})"
"frozenset({'P19387', 'P60228', 'TSH'})"
"frozenset({'TSH', 'Q92731', 'O75122'})"
"frozenset({'TSH', 'Q86YV5', 'P07900'})"
"frozenset({'TSH', 'Q71U36', 'Q9BV73'})"
"frozenset({'TSH', 'P05000', 'P16234'})"
"frozenset({'TSH', 'Q8NGX5', 'P35626'})"
"frozenset({'TSH', 'P15918', 'P07900'})"
"frozenset({'Q9Y277', 'TSH', 'Q00610'})"
"frozenset({'Q9H2L5', 'P43360', 'TSH'})"
"frozenset({'Q6ZU80', 'Q53EZ4', 'TSH'})"
"frozenset({'TSH', 'P61244', 'P0C1Z6'})"
"frozenset({'O60936', 'P42575', 'TSH'})"
"frozenset({'TSH', 'P34897', 'Q9NR81'})"
"frozenset({'TSH', 'O60264', 'Q96T23'})"
"frozenset({'TSH', 'P21549', 'Q96MT4'})"
"frozenset({'TSH', 'Q92731', 'P10826'})"
"frozenset({'TSH', 'P23759', 'P61964'})"
"frozenset({'Q7KZF4', 'P19320', 'TSH'})"
"frozenset({'TSH', 'Q9BYR7', 'Q9NRY6'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q9Y6X2'})"
"frozenset({'TSH', 'P28340', 'Q92900'})"
"frozenset({'TSH', 'Q5T6X5', 'Q01970'})"
"frozenset({'TSH', 'Q494V2', 'O60341'})"
"frozenset({'P09874', 'Q03112', 'TSH'})"
"frozenset({'TSH', 'Q14126', 'O75147'})"
"frozenset({'TSH', 'P62877', 'Q8NHY2'})"
"frozenset({'TSH', 'Q9H2G4', 'Q8N1G0'})"
"frozenset({'TSH', 'O75038', 'Q9UQM7'})"
"frozenset({'TSH', 'Q9UBN4', 'Q8TEL6'})"
"frozenset({'TSH', 'O15126', 'P04637'})"
"frozenset({'P07237', 'Q8TDX7', 'TSH'})"
"frozenset({'TSH', 'Q70J99', 'Q93034'})"
"frozenset({'TSH', 'Q92731', 'Q9NPJ4'})"
"frozenset({'TSH', 'Q9UFF9', 'P33993'})"
"frozenset({'TSH', 'Q08752', 'Q16543'})"
"frozenset({'Q9BXS5', 'Q9Y2D8', 'TSH'})"
"frozenset({'TSH', 'P16671', 'P04628'})"
"frozenset({'TSH', 'O00425', 'P04637'})"
"frozenset({'TSH', 'Q13151', 'Q7L2J0'})"
