negatives
"frozenset({'Q9UKB1', 'Q14671', 'Wnt'})"
"frozenset({'Q6ZRS2', 'Wnt', 'Q09472'})"
"frozenset({'Q08462', 'Wnt', 'P05771'})"
"frozenset({'Wnt', 'P01106', 'P83369'})"
"frozenset({'Q5T7W0', 'Wnt', 'Q9UBU9'})"
"frozenset({'Wnt', 'Q9H257', 'Q96SN8'})"
"frozenset({'Wnt', 'Q9BVL4', 'Q9BXJ5'})"
"frozenset({'P29033', 'Wnt', 'Q8NI35'})"
"frozenset({'Wnt', 'Q01844', 'P61758'})"
"frozenset({'P51397', 'Wnt', 'P19438'})"
"frozenset({'Wnt', 'Q86VP1', 'O15165'})"
"frozenset({'Q9H5I1', 'Wnt', 'Q02363'})"
"frozenset({'Wnt', 'Q13882', 'P08581'})"
"frozenset({'Q9UII4', 'Wnt', 'Q8WVJ2'})"
"frozenset({'Wnt', 'P60411', 'Q7Z3I7'})"
"frozenset({'Q9UKV8', 'Wnt', 'Q8IUF1'})"
"frozenset({'Wnt', 'P24752', 'Q9UNY4'})"
"frozenset({'Q9NYG5', 'Q01094', 'Wnt'})"
"frozenset({'Wnt', 'Q9Y3F4', 'P35226'})"
"frozenset({'Wnt', 'P98171', 'P63000'})"
"frozenset({'Wnt', 'Q70CQ2', 'P50225'})"
"frozenset({'Q9NRW1', 'Wnt', 'P84077'})"
"frozenset({'Q9Y3D0', 'Wnt', 'Q2VPK5'})"
"frozenset({'P42229', 'Wnt', 'O43567'})"
"frozenset({'Q96I25', 'Wnt', 'P26368'})"
"frozenset({'A0AVF1', 'Wnt', 'Q8N4P2'})"
"frozenset({'Q3MHD2', 'Wnt', 'P35914'})"
"frozenset({'P61586', 'Wnt', 'Q99490'})"
"frozenset({'Wnt', 'P38159', 'Q9GZQ8'})"
"frozenset({'Wnt', 'Q9Y3Q8', 'Q9NSY0'})"
"frozenset({'Wnt', 'Q86YM7', 'O60282'})"
"frozenset({'Wnt', 'P09619', 'O60258'})"
"frozenset({'Wnt', 'Q99619', 'P08581'})"
"frozenset({'P49418', 'Q9UHK0', 'Wnt'})"
"frozenset({'P57735', 'P20648', 'Wnt'})"
"frozenset({'Wnt', 'O00193', 'O60563'})"
"frozenset({'Q86YD3', 'P19021', 'Wnt'})"
"frozenset({'Q13123', 'Wnt', 'Q9Y5U2'})"
"frozenset({'Wnt', 'O43390', 'P35244'})"
"frozenset({'P13984', 'P19388', 'Wnt'})"
"frozenset({'Q9H0H5', 'Wnt', 'Q14865'})"
"frozenset({'Wnt', 'Q9UQM7', 'Q8IWT1'})"
"frozenset({'P08243', 'Wnt', 'Q05048'})"
"frozenset({'Q15714', 'Wnt', 'Q14204'})"
"frozenset({'Wnt', 'P35226', 'O94972'})"
"frozenset({'P49023', 'Wnt', 'Q99942'})"
"frozenset({'Q8IYS1', 'Wnt', 'P50221'})"
"frozenset({'P01106', 'Wnt', 'O00308'})"
"frozenset({'Q8IWL3', 'Wnt', 'P82909'})"
"frozenset({'Wnt', 'Q9UEW8', 'Q9H4M9'})"
"frozenset({'Wnt', 'Q92731', 'Q07666'})"
"frozenset({'Wnt', 'O95819', 'P17844'})"
"frozenset({'P67870', 'Wnt', 'Q6IQ26'})"
"frozenset({'P62805', 'Wnt', 'Q9UKV0'})"
"frozenset({'Q09161', 'Wnt', 'Q15428'})"
"frozenset({'Wnt', 'Q16643', 'P55196'})"
"frozenset({'O75791', 'Wnt', 'Q13064'})"
"frozenset({'P54253', 'Wnt', 'Q5HYC2'})"
"frozenset({'P35558', 'Wnt', 'P41235'})"
"frozenset({'Wnt', 'P68104', 'P04406'})"
"frozenset({'Wnt', 'P22087', 'P57678'})"
"frozenset({'P13798', 'P34897', 'Wnt'})"
"frozenset({'Wnt', 'P62249', 'P61513'})"
"frozenset({'Q99952', 'Wnt', 'O14796'})"
"frozenset({'Q12778', 'P49715', 'Wnt'})"
"frozenset({'P46782', 'Wnt', 'P06748'})"
"frozenset({'Wnt', 'Q9P2J5', 'P50452'})"
"frozenset({'Q00577', 'P09651', 'Wnt'})"
"frozenset({'P21589', 'Wnt', 'P51825'})"
"frozenset({'Q9Y4L5', 'Wnt', 'Q96B02'})"
"frozenset({'Q9UHB6', 'P36873', 'Wnt'})"
"frozenset({'Q99623', 'Wnt', 'Q9Y6C9'})"
"frozenset({'Q9H307', 'Q8TAD8', 'Wnt'})"
"frozenset({'Wnt', 'P45880', 'O96008'})"
"frozenset({'Wnt', 'P68400', 'Q96DV4'})"
"frozenset({'P05109', 'Q9BQ83', 'Wnt'})"
"frozenset({'Wnt', 'Q8WTW4', 'Q6PJI9'})"
"frozenset({'P55072', 'Wnt', 'Q8IXB1'})"
"frozenset({'P42858', 'Wnt', 'P09017'})"
"frozenset({'Wnt', 'Q9UHK0', 'Q02750'})"
"frozenset({'Q9NRG4', 'Wnt', 'P04637'})"
"frozenset({'O14964', 'Wnt', 'Q9NYB9'})"
"frozenset({'P13010', 'Wnt', 'P78362'})"
"frozenset({'Q14145', 'Wnt', 'Q9UIM3'})"
"frozenset({'Wnt', 'P42167', 'O14646'})"
"frozenset({'P10244', 'Wnt', 'P14635'})"
"frozenset({'P50402', 'P49736', 'Wnt'})"
"frozenset({'Q9H7D0', 'Wnt', 'Q92556'})"
"frozenset({'Q7Z3Y8', 'Wnt', 'Q14D33'})"
"frozenset({'P42704', 'Wnt', 'Q9H040'})"
"frozenset({'Q9Y623', 'Wnt', 'Q92731'})"
"frozenset({'Q6ICH7', 'Wnt', 'O14656'})"
"frozenset({'O15075', 'Wnt', 'O60307'})"
"frozenset({'P60953', 'O00461', 'Wnt'})"
"frozenset({'Q8NEC5', 'Q15323', 'Wnt'})"
"frozenset({'O95429', 'Wnt', 'Q8IXM7'})"
"frozenset({'Q8TCT1', 'P07737', 'Wnt'})"
"frozenset({'Wnt', 'P20591', 'Q13507'})"
"frozenset({'Q13485', 'Wnt', 'P0DML2'})"
"frozenset({'Wnt', 'P48382', 'O00287'})"
"frozenset({'Wnt', 'P43686', 'P60896'})"
"frozenset({'Wnt', 'Q15025', 'Q96NC0'})"
"frozenset({'Q15024', 'Wnt', 'P35244'})"
"frozenset({'Q06190', 'Wnt', 'Q00537'})"
"frozenset({'Q9BUZ4', 'Wnt', 'Q86VP1'})"
"frozenset({'Q13148', 'Wnt', 'P51617'})"
"frozenset({'Wnt', 'Q9P2J3', 'Q7L5N1'})"
"frozenset({'Wnt', 'P30559', 'Q8IZS8'})"
"frozenset({'Wnt', 'P13929', 'Q99714'})"
"frozenset({'Q92633', 'Q9Y6X5', 'Wnt'})"
"frozenset({'Q86WJ1', 'Q7L7L0', 'Wnt'})"
"frozenset({'P04844', 'Wnt', 'Q9Y5J5'})"
"frozenset({'P62995', 'Wnt', 'Q9H944'})"
"frozenset({'Wnt', 'P05412', 'Q13185'})"
"frozenset({'Wnt', 'P35251', 'P06400'})"
"frozenset({'Wnt', 'Q96BR1', 'Q96J02'})"
"frozenset({'Wnt', 'O14490', 'O95433'})"
"frozenset({'O43683', 'Wnt', 'O95425'})"
"frozenset({'Q4KMG0', 'Wnt', 'P55291'})"
"frozenset({'Q8NGF7', 'Wnt', 'P49407'})"
"frozenset({'P08575', 'P49023', 'Wnt'})"
"frozenset({'Wnt', 'Q6UXN9', 'P34947'})"
"frozenset({'Q6ZU80', 'Wnt', 'Q5T9S5'})"
"frozenset({'P51610', 'Q5TH69', 'Wnt'})"
"frozenset({'Wnt', 'P62805', 'Q09028'})"
"frozenset({'Q15746', 'Wnt', 'P14649'})"
"frozenset({'Q9UQ84', 'Wnt', 'P63279'})"
"frozenset({'Wnt', 'P21554', 'P63096'})"
"frozenset({'Q96CX3', 'Wnt', 'Q9BV44'})"
"frozenset({'Q7L4P6', 'Wnt', 'Q14D33'})"
"frozenset({'P62258', 'P10398', 'Wnt'})"
"frozenset({'Q9HAU4', 'Wnt', 'P48788'})"
"frozenset({'Q93062', 'Wnt', 'Q9NQ87'})"
"frozenset({'Wnt', 'P09382', 'P00441'})"
"frozenset({'Q9UNH5', 'Wnt', 'Q8NHZ8'})"
"frozenset({'Wnt', 'Q12931', 'Q14CZ7'})"
"frozenset({'Wnt', 'P12004', 'O43524'})"
"frozenset({'P18084', 'Wnt', 'P02751'})"
"frozenset({'Q13618', 'Wnt', 'Q9P2N7'})"
"frozenset({'Q3ZCW2', 'Q9BSI4', 'Wnt'})"
"frozenset({'Wnt', 'P31751', 'P35228'})"
"frozenset({'P04233', 'Wnt', 'P28068'})"
"frozenset({'Q03164', 'P01106', 'Wnt'})"
"frozenset({'Wnt', 'Q969G2', 'Q00526'})"
"frozenset({'Wnt', 'O43684', 'Q13257'})"
"frozenset({'Q9BSF4', 'Wnt', 'O00483'})"
"frozenset({'Wnt', 'Q9BWG6', 'Q6PF05'})"
"frozenset({'P50991', 'Wnt', 'O95568'})"
"frozenset({'P46777', 'Wnt', 'P62829'})"
"frozenset({'Wnt', 'Q9NPJ6', 'Q96ST8'})"
"frozenset({'Q9Y282', 'Wnt', 'Q96GC9'})"
"frozenset({'Wnt', 'P48431', 'Q9NWU2'})"
"frozenset({'Wnt', 'Q49MG5', 'Q13315'})"
"frozenset({'O95970', 'Wnt', 'Q9P0K1'})"
"frozenset({'Q96EQ0', 'Wnt', 'P55291'})"
"frozenset({'Wnt', 'O95168', 'P49821'})"
"frozenset({'Q9BY41', 'Wnt', 'Q9UEY8'})"
"frozenset({'P27797', 'P12004', 'Wnt'})"
"frozenset({'P27824', 'Wnt', 'P27701'})"
"frozenset({'Q9Y664', 'Wnt', 'Q96EV2'})"
"frozenset({'Wnt', 'Q9Y587', 'Q9Y6B7'})"
"frozenset({'O43747', 'Q6NUN9', 'Wnt'})"
"frozenset({'Wnt', 'P23258', 'P43405'})"
"frozenset({'Wnt', 'P05412', 'O60869'})"
"frozenset({'P08243', 'Q86WT6', 'Wnt'})"
"frozenset({'O43242', 'P35998', 'Wnt'})"
"frozenset({'Wnt', 'Q9NRR5', 'O43865'})"
"frozenset({'Wnt', 'Q04323', 'Q7L5D6'})"
"frozenset({'Q9Y296', 'Wnt', 'Q9BZR8'})"
"frozenset({'Q14974', 'P35637', 'Wnt'})"
"frozenset({'Wnt', 'Q96SN8', 'Q9P2P6'})"
"frozenset({'Wnt', 'P0C0L5', 'P06681'})"
"frozenset({'Wnt', 'P61221', 'P07948'})"
"frozenset({'Wnt', 'P61244', 'P05412'})"
"frozenset({'Q9UIS9', 'P05109', 'Wnt'})"
"frozenset({'Q6NT76', 'Q96HR9', 'Wnt'})"
"frozenset({'P40337', 'Wnt', 'Q9UBK9'})"
"frozenset({'Q9BVV7', 'Wnt', 'Q9C002'})"
"frozenset({'Wnt', 'P49771', 'P35968'})"
"frozenset({'Wnt', 'Q15154', 'Q96SN8'})"
"frozenset({'Wnt', 'O60814', 'Q6FI13'})"
"frozenset({'O00471', 'Q8IYI6', 'Wnt'})"
"frozenset({'P41220', 'Wnt', 'P05129'})"
"frozenset({'Q6P1J9', 'Wnt', 'P23396'})"
"frozenset({'Q9UQL6', 'Wnt', 'Q12923'})"
"frozenset({'Q5VWN6', 'O15126', 'Wnt'})"
"frozenset({'Q9BTE3', 'Wnt', 'Q93009'})"
"frozenset({'Wnt', 'P04629', 'Q9Y295'})"
"frozenset({'Wnt', 'P12270', 'Q5JTH9'})"
"frozenset({'Q12933', 'Wnt', 'Q9UQN3'})"
"frozenset({'P63244', 'P05107', 'Wnt'})"
"frozenset({'P32121', 'Wnt', 'Q9Y585'})"
"frozenset({'P55735', 'Wnt', 'Q9NYZ3'})"
"frozenset({'Wnt', 'O43586', 'Q9UK33'})"
"frozenset({'P25098', 'P41143', 'Wnt'})"
"frozenset({'Q9NXV2', 'Wnt', 'P06748'})"
"frozenset({'Wnt', 'Q8NHW5', 'P46783'})"
"frozenset({'Q7RTP6', 'P35579', 'Wnt'})"
"frozenset({'P55072', 'Wnt', 'P17987'})"
"frozenset({'Q16540', 'Wnt', 'P52815'})"
"frozenset({'O00217', 'Wnt', 'P31040'})"
"frozenset({'Q6PKC3', 'Wnt', 'Q9UBX7'})"
"frozenset({'Wnt', 'P24588', 'P07550'})"
"frozenset({'P61586', 'Wnt', 'Q6ZSZ5'})"
"frozenset({'P48594', 'Wnt', 'P20333'})"
"frozenset({'Q5U5Q3', 'Wnt', 'Q00325'})"
"frozenset({'Q07889', 'Wnt', 'P06241'})"
"frozenset({'Wnt', 'Q9ULW8', 'P23511'})"
"frozenset({'Q8N531', 'P41212', 'Wnt'})"
"frozenset({'P52272', 'Wnt', 'Q96AG4'})"
"frozenset({'Q8NFZ0', 'O60506', 'Wnt'})"
"frozenset({'Q12824', 'P01100', 'Wnt'})"
"frozenset({'P38405', 'Q9UKL2', 'Wnt'})"
"frozenset({'Q13485', 'Q12857', 'Wnt'})"
"frozenset({'P32121', 'Wnt', 'P16989'})"
"frozenset({'P54920', 'P63027', 'Wnt'})"
"frozenset({'P48643', 'Q99496', 'Wnt'})"
"frozenset({'O96019', 'Wnt', 'Q86UE4'})"
"frozenset({'Q96JN0', 'P48643', 'Wnt'})"
"frozenset({'Q13085', 'Q13200', 'Wnt'})"
"frozenset({'P61964', 'P16220', 'Wnt'})"
"frozenset({'Q9UPT9', 'P06899', 'Wnt'})"
"frozenset({'P63215', 'Wnt', 'Q00722'})"
"frozenset({'O43396', 'Wnt', 'Q5VYK3'})"
"frozenset({'Q13501', 'Wnt', 'Q9Y4P1'})"
"frozenset({'P51668', 'Wnt', 'Q9BUB5'})"
"frozenset({'Wnt', 'P56537', 'Q96AG4'})"
"frozenset({'Q14118', 'Wnt', 'Q8WXA8'})"
"frozenset({'Wnt', 'Q9H0M0', 'Q15038'})"
"frozenset({'Wnt', 'P08047', 'P0DP23'})"
"frozenset({'Q6ZU80', 'Wnt', 'Q8WYA0'})"
"frozenset({'P47985', 'Q9UQ53', 'Wnt'})"
"frozenset({'P67936', 'Wnt', 'Q9BTW9'})"
"frozenset({'O15520', 'Wnt', 'Q96EB6'})"
"frozenset({'P28482', 'Wnt', 'Q9UKX7'})"
"frozenset({'Q6NUN9', 'Wnt', 'Q00610'})"
"frozenset({'Wnt', 'O96033', 'Q15831'})"
"frozenset({'P42285', 'Wnt', 'Q9NQT4'})"
"frozenset({'Q9NPJ8', 'Wnt', 'P78362'})"
"frozenset({'Wnt', 'P05412', 'P20042'})"
"frozenset({'Q6PD62', 'Wnt', 'Q562R1'})"
"frozenset({'P37108', 'Q92905', 'Wnt'})"
"frozenset({'Q8IYF1', 'Wnt', 'O94972'})"
"frozenset({'P29353', 'Q96P48', 'Wnt'})"
"frozenset({'Q8IYI6', 'P00533', 'Wnt'})"
"frozenset({'Wnt', 'P82912', 'Q6PF06'})"
"frozenset({'Wnt', 'Q96CB9', 'Q8N5S1'})"
"frozenset({'Q71U36', 'P21281', 'Wnt'})"
"frozenset({'P22749', 'Wnt', 'P05067'})"
"frozenset({'P51959', 'P24941', 'Wnt'})"
"frozenset({'Wnt', 'P18146', 'P23511'})"
"frozenset({'Q9BYV6', 'Wnt', 'Q9UBK9'})"
"frozenset({'O75643', 'Wnt', 'P23193'})"
"frozenset({'Wnt', 'P40425', 'Q9UQB8'})"
"frozenset({'P38398', 'Wnt', 'Q9H6Z9'})"
"frozenset({'Wnt', 'Q96S97', 'P43115'})"
"frozenset({'Wnt', 'P27694', 'Q9BTP7'})"
"frozenset({'Q8NB15', 'Wnt', 'Q8IZP0'})"
"frozenset({'Wnt', 'O00743', 'Q96GD4'})"
"frozenset({'Wnt', 'Q14258', 'Q9UMR2'})"
"frozenset({'O60641', 'Wnt', 'Q9UQM7'})"
"frozenset({'P18859', 'Wnt', 'P19438'})"
"frozenset({'Q03252', 'Wnt', 'O75531'})"
"frozenset({'Q13618', 'Wnt', 'Q38SD2'})"
"frozenset({'Wnt', 'Q92930', 'P51149'})"
"frozenset({'Wnt', 'P60660', 'Q9BZW7'})"
"frozenset({'Wnt', 'Q13561', 'Q9NVT9'})"
"frozenset({'Q9H2C0', 'Wnt', 'Q9BUF5'})"
"frozenset({'P55081', 'Q4V328', 'Wnt'})"
"frozenset({'P61201', 'Wnt', 'Q13616'})"
"frozenset({'P27105', 'Q7L1Q6', 'Wnt'})"
"frozenset({'Wnt', 'O43896', 'Q9Y2J2'})"
"frozenset({'P00533', 'Wnt', 'Q15819'})"
"frozenset({'Q9BUI4', 'Wnt', 'O95678'})"
"frozenset({'O43143', 'Wnt', 'Q12789'})"
"frozenset({'P58107', 'P01106', 'Wnt'})"
"frozenset({'P51693', 'Wnt', 'Q96GM8'})"
"frozenset({'Wnt', 'Q567U6', 'Q6A162'})"
"frozenset({'P05387', 'Q06710', 'Wnt'})"
"frozenset({'Q15208', 'Wnt', 'P42345'})"
"frozenset({'Q86SQ0', 'Q7Z460', 'Wnt'})"
"frozenset({'Wnt', 'P0DP23', 'P50579'})"
"frozenset({'P36578', 'Wnt', 'P62280'})"
"frozenset({'Wnt', 'P68431', 'P04080'})"
"frozenset({'P22670', 'Q9Y6Q9', 'Wnt'})"
"frozenset({'Q9P0K8', 'Wnt', 'Q9UKN8'})"
"frozenset({'P47755', 'Wnt', 'Q10589'})"
"frozenset({'P11021', 'Wnt', 'P61106'})"
"frozenset({'Wnt', 'P13693', 'P68104'})"
"frozenset({'Wnt', 'P11387', 'P63279'})"
"frozenset({'Wnt', 'Q7L804', 'O75044'})"
"frozenset({'Wnt', 'O75528', 'Q86TJ2'})"
"frozenset({'Q92688', 'Wnt', 'Q9Y5K5'})"
"frozenset({'O15131', 'Wnt', 'O95154'})"
"frozenset({'Q9BUQ8', 'Wnt', 'Q7RTV0'})"
"frozenset({'Wnt', 'P21583', 'Q6PID8'})"
"frozenset({'P12004', 'P01889', 'Wnt'})"
"frozenset({'Wnt', 'Q969G2', 'Q8IZP0'})"
"frozenset({'Wnt', 'Q96CN9', 'Q5T5P2'})"
"frozenset({'O15162', 'P28749', 'Wnt'})"
"frozenset({'Q04206', 'Q9UL18', 'Wnt'})"
"frozenset({'P07438', 'Q07627', 'Wnt'})"
"frozenset({'Wnt', 'Q9H9S0', 'Q6PIY7'})"
"frozenset({'Q9Y5B0', 'O94822', 'Wnt'})"
"frozenset({'Wnt', 'P67870', 'Q9BZE4'})"
"frozenset({'Q96S53', 'Wnt', 'Q14966'})"
"frozenset({'Wnt', 'O94921', 'P08238'})"
"frozenset({'Q9BVK8', 'Wnt', 'Q9BZJ8'})"
"frozenset({'Q8NHY2', 'Wnt', 'P15408'})"
"frozenset({'Wnt', 'Q9Y597', 'O75044'})"
"frozenset({'Q16643', 'Wnt', 'O15027'})"
"frozenset({'O76050', 'O75800', 'Wnt'})"
"frozenset({'P62269', 'Wnt', 'Q8IWS0'})"
"frozenset({'Wnt', 'O76081', 'P19086'})"
"frozenset({'Q06330', 'Wnt', 'P03372'})"
"frozenset({'O95271', 'P54274', 'Wnt'})"
"frozenset({'P61964', 'Wnt', 'Q66K80'})"
"frozenset({'P15927', 'Wnt', 'O95104'})"
"frozenset({'P01892', 'O95467', 'Wnt'})"
"frozenset({'Q9HAW0', 'Q8N1F7', 'Wnt'})"
"frozenset({'Wnt', 'P35869', 'Q14653'})"
"frozenset({'Wnt', 'Q13620', 'Q16531'})"
"frozenset({'Q92734', 'P55735', 'Wnt'})"
"frozenset({'Q00839', 'O60216', 'Wnt'})"
"frozenset({'P21815', 'Wnt', 'Q13683'})"
"frozenset({'P36873', 'Wnt', 'Q9UQM7'})"
"frozenset({'Wnt', 'P19320', 'P01857'})"
"frozenset({'P62258', 'Wnt', 'Q8NI22'})"
"frozenset({'Q9UQL6', 'Q99459', 'Wnt'})"
"frozenset({'P29016', 'Wnt', 'Q9BTN0'})"
"frozenset({'O75157', 'O75970', 'Wnt'})"
"frozenset({'O00487', 'Wnt', 'P25789'})"
"frozenset({'Q99909', 'P35638', 'Wnt'})"
"frozenset({'Q9H0I2', 'Wnt', 'Q63HR2'})"
"frozenset({'Wnt', 'P15884', 'Q9H6L4'})"
"frozenset({'Q9P0K8', 'Wnt', 'P35453'})"
"frozenset({'Wnt', 'Q7Z6Z7', 'Q7L190'})"
"frozenset({'Wnt', 'Q13952', 'Q7Z3K3'})"
"frozenset({'P08473', 'P53985', 'Wnt'})"
"frozenset({'Q4KMG9', 'Q15717', 'Wnt'})"
"frozenset({'Wnt', 'P12814', 'P35226'})"
"frozenset({'Q9UQ80', 'P54274', 'Wnt'})"
"frozenset({'Q13509', 'Q8TEL6', 'Wnt'})"
"frozenset({'Wnt', 'P83916', 'Q8IY57'})"
"frozenset({'P46060', 'O14715', 'Wnt'})"
"frozenset({'Q9Y2D8', 'Q9BSD7', 'Wnt'})"
"frozenset({'P08253', 'P04839', 'Wnt'})"
"frozenset({'P18850', 'Wnt', 'P20711'})"
"frozenset({'P55085', 'Wnt', 'P08311'})"
"frozenset({'Wnt', 'Q86V97', 'Q16670'})"
"frozenset({'Wnt', 'Q15003', 'Q96LK0'})"
"frozenset({'Wnt', 'Q6IF99', 'P22694'})"
"frozenset({'O60343', 'Wnt', 'Q92870'})"
"frozenset({'Q9UL18', 'Wnt', 'Q9H0A0'})"
"frozenset({'Q9BXP5', 'Wnt', 'Q15291'})"
"frozenset({'Wnt', 'P15153', 'Q13153'})"
"frozenset({'Q9NQT8', 'P35579', 'Wnt'})"
"frozenset({'Q9Y6G3', 'O14958', 'Wnt'})"
"frozenset({'Wnt', 'P18084', 'P17301'})"
"frozenset({'P15289', 'Wnt', 'P41208'})"
"frozenset({'Q8NG75', 'Wnt', 'P22694'})"
"frozenset({'Wnt', 'O95257', 'O95067'})"
"frozenset({'Q14626', 'Wnt', 'Q9GZX6'})"
"frozenset({'P19320', 'Wnt', 'P61604'})"
"frozenset({'P61160', 'Q53TN4', 'Wnt'})"
"frozenset({'Q9UHV2', 'Q92793', 'Wnt'})"
"frozenset({'Q9NZT1', 'Wnt', 'O95685'})"
"frozenset({'P31025', 'Wnt', 'Q9UHD9'})"
"frozenset({'P01106', 'Q75NE6', 'Wnt'})"
"frozenset({'Q86SG6', 'P15884', 'Wnt'})"
"frozenset({'Wnt', 'Q8TDR0', 'Q9UNH7'})"
"frozenset({'Q96SQ5', 'Wnt', 'Q9Y250'})"
"frozenset({'Q14974', 'Q96JA3', 'Wnt'})"
"frozenset({'P18754', 'P34897', 'Wnt'})"
"frozenset({'Q96NU7', 'Wnt', 'P47813'})"
"frozenset({'Q14152', 'Wnt', 'P08729'})"
"frozenset({'Q9BRX9', 'P50990', 'Wnt'})"
"frozenset({'Q9UNE7', 'Wnt', 'Q07002'})"
"frozenset({'Wnt', 'Q01484', 'O75953'})"
"frozenset({'Wnt', 'P62508', 'Q9NPJ4'})"
"frozenset({'Wnt', 'P40855', 'Q16394'})"
"frozenset({'Wnt', 'Q13148', 'O43175'})"
"frozenset({'O15111', 'Wnt', 'Q96EP0'})"
"frozenset({'Q8TD10', 'Wnt', 'P33993'})"
"frozenset({'Wnt', 'O14920', 'Q9NYJ8'})"
"frozenset({'Q96F07', 'Wnt', 'P51116'})"
"frozenset({'Wnt', 'O95257', 'Q13561'})"
"frozenset({'Q15075', 'Wnt', 'Q13315'})"
"frozenset({'Q8TCT0', 'Q14527', 'Wnt'})"
"frozenset({'O60216', 'Wnt', 'P01833'})"
"frozenset({'Q8IWA4', 'Wnt', 'O95140'})"
"frozenset({'Q86US8', 'Wnt', 'Q15172'})"
"frozenset({'Wnt', 'Q92769', 'P10276'})"
"frozenset({'Q9Y5K6', 'Q4G0J3', 'Wnt'})"
"frozenset({'Wnt', 'Q00610', 'P04637'})"
"frozenset({'P52565', 'Wnt', 'Q9H171'})"
"frozenset({'O43291', 'Wnt', 'Q6P4R8'})"
"frozenset({'Wnt', 'Q9NS37', 'O00268'})"
"frozenset({'Q9NYF5', 'P63104', 'Wnt'})"
"frozenset({'Q9Y5M8', 'P04035', 'Wnt'})"
"frozenset({'Q9HC73', 'P05013', 'Wnt'})"
"frozenset({'P27361', 'Wnt', 'P19838'})"
"frozenset({'O43602', 'Q96T66', 'Wnt'})"
"frozenset({'P06493', 'Q8NFA0', 'Wnt'})"
"frozenset({'Wnt', 'P35226', 'P14373'})"
"frozenset({'Wnt', 'O43660', 'O43395'})"
"frozenset({'Q8NCP5', 'Wnt', 'Q8IZQ1'})"
"frozenset({'Q9UHV7', 'A0JLT2', 'Wnt'})"
"frozenset({'Wnt', 'Q92541', 'P60033'})"
"frozenset({'Q8IW35', 'Wnt', 'O00161'})"
"frozenset({'Wnt', 'Q15397', 'Q96HE9'})"
"frozenset({'P62891', 'Wnt', 'P62913'})"
"frozenset({'Q13618', 'Wnt', 'Q14790'})"
"frozenset({'Q86SJ2', 'Q86WK6', 'Wnt'})"
"frozenset({'Q14562', 'Wnt', 'P46531'})"
"frozenset({'P18583', 'Wnt', 'Q08211'})"
"frozenset({'P42766', 'Q86VP6', 'Wnt'})"
"frozenset({'P29474', 'Wnt', 'Q16566'})"
"frozenset({'Wnt', 'Q9H7B4', 'P05067'})"
"frozenset({'Q8IZT6', 'Wnt', 'P48059'})"
"frozenset({'Q99996', 'Wnt', 'Q9Y5V3'})"
"frozenset({'Wnt', 'P62314', 'Q13619'})"
"frozenset({'Q96HR3', 'Wnt', 'Q969H0'})"
"frozenset({'Q96D71', 'Wnt', 'P48059'})"
"frozenset({'Q9UJW9', 'Wnt', 'Q14D33'})"
"frozenset({'Q96DA6', 'Wnt', 'O00483'})"
"frozenset({'Wnt', 'O75506', 'P60369'})"
"frozenset({'P62873', 'Wnt', 'P01111'})"
"frozenset({'Wnt', 'O43719', 'Q8IZL8'})"
"frozenset({'Q96P48', 'Q8TF42', 'Wnt'})"
"frozenset({'Wnt', 'Q9NYF8', 'P19784'})"
"frozenset({'Q86XR8', 'Wnt', 'P61247'})"
"frozenset({'P62318', 'Wnt', 'Q15428'})"
"frozenset({'Wnt', 'Q12792', 'P30566'})"
"frozenset({'Wnt', 'P63167', 'P63208'})"
"frozenset({'P62277', 'Q9UL18', 'Wnt'})"
"frozenset({'O95155', 'P61960', 'Wnt'})"
"frozenset({'P62993', 'Wnt', 'Q86WV1'})"
"frozenset({'O95185', 'Wnt', 'Q06124'})"
"frozenset({'Q9Y6X1', 'Q9NS71', 'Wnt'})"
"frozenset({'P11233', 'P49815', 'Wnt'})"
"frozenset({'Q14011', 'Wnt', 'Q99728'})"
"frozenset({'Q8IY92', 'Wnt', 'P68400'})"
"frozenset({'Q9BYN0', 'Wnt', 'Q99614'})"
"frozenset({'Wnt', 'Q5VZL5', 'Q13185'})"
"frozenset({'Q6P1J9', 'P12814', 'Wnt'})"
"frozenset({'O15111', 'Wnt', 'O43353'})"
"frozenset({'P0CG20', 'Q16082', 'Wnt'})"
"frozenset({'Wnt', 'P15927', 'Q86UK7'})"
"frozenset({'O76083', 'Wnt', 'O95817'})"
"frozenset({'P30281', 'Wnt', 'P15531'})"
"frozenset({'Wnt', 'P16104', 'Q8IYW5'})"
"frozenset({'Wnt', 'P05062', 'O60921'})"
"frozenset({'Wnt', 'O43390', 'P07384'})"
"frozenset({'Wnt', 'O75582', 'Q15910'})"
"frozenset({'O14964', 'Wnt', 'Q8IZL8'})"
"frozenset({'Wnt', 'Q9NPJ6', 'Q4VCS5'})"
"frozenset({'Wnt', 'O94973', 'P35244'})"
"frozenset({'P11498', 'Wnt', 'P61247'})"
"frozenset({'Q9UET6', 'Wnt', 'P13797'})"
"frozenset({'Wnt', 'P41279', 'Q05639'})"
"frozenset({'Q9UBD3', 'P49682', 'Wnt'})"
"frozenset({'O75083', 'Wnt', 'Q6ZMR3'})"
"frozenset({'Q9NPD3', 'P42285', 'Wnt'})"
"frozenset({'P12236', 'Wnt', 'P03372'})"
"frozenset({'O00560', 'Wnt', 'Q14324'})"
