negatives
"frozenset({'Q9Y624', 'TNFalpha', 'P12830'})"
"frozenset({'Q9BV68', 'Q8NG27', 'TNFalpha'})"
"frozenset({'P68431', 'TNFalpha', 'Q9H8E8'})"
"frozenset({'P17612', 'TNFalpha', 'Q8NGK0'})"
"frozenset({'Q96JC9', 'TNFalpha', 'Q96HR8'})"
"frozenset({'P62258', 'P26045', 'TNFalpha'})"
"frozenset({'Q16576', 'Q9Y467', 'TNFalpha'})"
"frozenset({'Q9BZJ0', 'O60306', 'TNFalpha'})"
"frozenset({'O95817', 'P50570', 'TNFalpha'})"
"frozenset({'Q96GC5', 'TNFalpha', 'P09651'})"
"frozenset({'Q04917', 'P27348', 'TNFalpha'})"
"frozenset({'Q9UH99', 'Q6AZY7', 'TNFalpha'})"
"frozenset({'Q08211', 'TNFalpha', 'P52756'})"
"frozenset({'P40692', 'TNFalpha', 'Q9GZS3'})"
"frozenset({'O14828', 'TNFalpha', 'P29317'})"
"frozenset({'Q8N8A6', 'TNFalpha', 'Q99523'})"
"frozenset({'TNFalpha', 'Q9NRD1', 'Q9UMR5'})"
"frozenset({'P62995', 'O75531', 'TNFalpha'})"
"frozenset({'P38606', 'TNFalpha', 'P21796'})"
"frozenset({'P12004', 'TNFalpha', 'Q13829'})"
"frozenset({'P40337', 'Q15185', 'TNFalpha'})"
"frozenset({'P24941', 'TNFalpha', 'P12830'})"
"frozenset({'TNFalpha', 'P39023', 'P34947'})"
"frozenset({'P11234', 'P45983', 'TNFalpha'})"
"frozenset({'P60709', 'O14682', 'TNFalpha'})"
"frozenset({'Q969R5', 'Q06330', 'TNFalpha'})"
"frozenset({'Q08380', 'P49368', 'TNFalpha'})"
"frozenset({'P36888', 'P01344', 'TNFalpha'})"
"frozenset({'Q6P2D0', 'P50402', 'TNFalpha'})"
"frozenset({'Q15276', 'Q5T5S1', 'TNFalpha'})"
"frozenset({'P24539', 'TNFalpha', 'O00299'})"
"frozenset({'TNFalpha', 'Q92614', 'Q6P4F7'})"
"frozenset({'Q92817', 'TNFalpha', 'Q9NRR4'})"
"frozenset({'P10914', 'TNFalpha', 'Q14938'})"
"frozenset({'P07437', 'TNFalpha', 'P11308'})"
"frozenset({'P01106', 'P06400', 'TNFalpha'})"
"frozenset({'Q6FHJ7', 'TNFalpha', 'Q8IWZ3'})"
"frozenset({'TNFalpha', 'P68400', 'P12830'})"
"frozenset({'TNFalpha', 'Q14155', 'Q7Z6B7'})"
"frozenset({'O60880', 'P06241', 'TNFalpha'})"
"frozenset({'O75145', 'Q9Y2X7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q02878', 'P36578'})"
"frozenset({'Q9NR80', 'TNFalpha', 'O14640'})"
"frozenset({'P26368', 'TNFalpha', 'Q8IWX8'})"
"frozenset({'O15344', 'TNFalpha', 'P07437'})"
"frozenset({'Q8NFB2', 'TNFalpha', 'P78310'})"
"frozenset({'Q9UBX2', 'TNFalpha', 'P62750'})"
"frozenset({'Q86X76', 'TNFalpha', 'P35240'})"
"frozenset({'P51858', 'TNFalpha', 'P38646'})"
"frozenset({'Q9NQC3', 'TNFalpha', 'Q16270'})"
"frozenset({'Q6P3X3', 'Q9Y5J5', 'TNFalpha'})"
"frozenset({'O14807', 'TNFalpha', 'P15056'})"
"frozenset({'Q15392', 'TNFalpha', 'P54707'})"
"frozenset({'Q6IFG1', 'TNFalpha', 'P62873'})"
"frozenset({'P60709', 'TNFalpha', 'P61158'})"
"frozenset({'P26196', 'Q9GZS1', 'TNFalpha'})"
"frozenset({'P0DMV8', 'P54257', 'TNFalpha'})"
"frozenset({'P35226', 'TNFalpha', 'O96019'})"
"frozenset({'O75147', 'Q96QV6', 'TNFalpha'})"
"frozenset({'O14904', 'Q8N474', 'TNFalpha'})"
"frozenset({'P28566', 'TNFalpha', 'P62879'})"
"frozenset({'O60741', 'Q96PU5', 'TNFalpha'})"
"frozenset({'Q96D46', 'O75369', 'TNFalpha'})"
"frozenset({'Q7Z4I7', 'P05067', 'TNFalpha'})"
"frozenset({'O60361', 'Q00403', 'TNFalpha'})"
"frozenset({'P62249', 'P05067', 'TNFalpha'})"
"frozenset({'P38405', 'Q8NGZ9', 'TNFalpha'})"
"frozenset({'P12757', 'Q13485', 'TNFalpha'})"
"frozenset({'Q8N0Y5', 'TNFalpha', 'P62873'})"
"frozenset({'TNFalpha', 'Q9HCE7', 'Q00987'})"
"frozenset({'TNFalpha', 'Q9UBU9', 'Q99653'})"
"frozenset({'TNFalpha', 'P62330', 'P49407'})"
"frozenset({'Q6PF06', 'TNFalpha', 'Q92665'})"
"frozenset({'Q2TAZ0', 'Q9Y4P8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P51532', 'P24522'})"
"frozenset({'Q96GQ7', 'TNFalpha', 'P61981'})"
"frozenset({'TNFalpha', 'P20338', 'O14944'})"
"frozenset({'Q92917', 'TNFalpha', 'Q92620'})"
"frozenset({'P51649', 'TNFalpha', 'P19838'})"
"frozenset({'P63151', 'Q13936', 'TNFalpha'})"
"frozenset({'O00506', 'Q9BQQ3', 'TNFalpha'})"
"frozenset({'P0DMV8', 'P09972', 'TNFalpha'})"
"frozenset({'P55347', 'P49639', 'TNFalpha'})"
"frozenset({'O43513', 'O75586', 'TNFalpha'})"
"frozenset({'Q15125', 'O75446', 'TNFalpha'})"
"frozenset({'Q7L576', 'TNFalpha', 'P62873'})"
"frozenset({'O60331', 'TNFalpha', 'O95782'})"
"frozenset({'P38936', 'Q13098', 'TNFalpha'})"
"frozenset({'O75815', 'TNFalpha', 'Q96J88'})"
"frozenset({'O60841', 'Q12800', 'TNFalpha'})"
"frozenset({'Q12986', 'Q8IWZ8', 'TNFalpha'})"
"frozenset({'P43220', 'P37268', 'TNFalpha'})"
"frozenset({'Q6ZU80', 'TNFalpha', 'Q9UBT7'})"
"frozenset({'Q2VPK5', 'TNFalpha', 'Q9BTM9'})"
"frozenset({'Q96PM5', 'Q9NVV5', 'TNFalpha'})"
"frozenset({'A2RU67', 'Q5VX71', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P30838', 'P11831'})"
"frozenset({'Q86W42', 'TNFalpha', 'Q13769'})"
"frozenset({'TNFalpha', 'P46013', 'Q13185'})"
"frozenset({'Q14498', 'TNFalpha', 'Q96MA6'})"
"frozenset({'P29083', 'P50613', 'TNFalpha'})"
"frozenset({'Q99873', 'TNFalpha', 'P09651'})"
"frozenset({'Q96ST3', 'Q9Y4K0', 'TNFalpha'})"
"frozenset({'Q9UPT5', 'P00533', 'TNFalpha'})"
"frozenset({'Q14012', 'P29350', 'TNFalpha'})"
"frozenset({'Q15008', 'Q5JVF3', 'TNFalpha'})"
"frozenset({'Q07157', 'Q92908', 'TNFalpha'})"
"frozenset({'P29590', 'TNFalpha', 'P04637'})"
"frozenset({'O75940', 'Q9Y265', 'TNFalpha'})"
"frozenset({'Q9HB65', 'TNFalpha', 'P42568'})"
"frozenset({'O00716', 'TNFalpha', 'P38646'})"
"frozenset({'Q8NFZ0', 'P35244', 'TNFalpha'})"
"frozenset({'Q13797', 'TNFalpha', 'Q13683'})"
"frozenset({'Q5T4S7', 'P13612', 'TNFalpha'})"
"frozenset({'Q58FF7', 'Q86YV6', 'TNFalpha'})"
"frozenset({'P33993', 'O60271', 'TNFalpha'})"
"frozenset({'Q9NRR5', 'Q56P03', 'TNFalpha'})"
"frozenset({'Q96MT8', 'TNFalpha', 'Q96CS2'})"
"frozenset({'P61077', 'Q9NZQ3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P36578', 'O95166'})"
"frozenset({'P29016', 'Q16625', 'TNFalpha'})"
"frozenset({'Q9P0W2', 'Q96KQ4', 'TNFalpha'})"
"frozenset({'Q8TAT6', 'TNFalpha', 'P30304'})"
"frozenset({'TNFalpha', 'P33981', 'P55072'})"
"frozenset({'Q9H0M0', 'TNFalpha', 'P07900'})"
"frozenset({'TNFalpha', 'Q8TET4', 'Q14683'})"
"frozenset({'O00459', 'TNFalpha', 'P27986'})"
"frozenset({'Q9H9S0', 'TNFalpha', 'P17844'})"
"frozenset({'Q9Y230', 'P35244', 'TNFalpha'})"
"frozenset({'Q16849', 'Q9UBY8', 'TNFalpha'})"
"frozenset({'Q13469', 'P27694', 'TNFalpha'})"
"frozenset({'Q9GZQ8', 'TNFalpha', 'P07437'})"
"frozenset({'TNFalpha', 'Q86U42', 'P04629'})"
"frozenset({'P10415', 'O95817', 'TNFalpha'})"
"frozenset({'P12757', 'TNFalpha', 'Q8N3E9'})"
"frozenset({'P62979', 'TNFalpha', 'P62263'})"
"frozenset({'Q13671', 'TNFalpha', 'Q7Z699'})"
"frozenset({'O94888', 'Q9UMX0', 'TNFalpha'})"
"frozenset({'Q969G3', 'O15353', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q99459', 'Q13263'})"
"frozenset({'Q15262', 'TNFalpha', 'Q29983'})"
"frozenset({'TNFalpha', 'Q9UBU9', 'Q9HDC9'})"
"frozenset({'Q9Y3S2', 'Q07627', 'TNFalpha'})"
"frozenset({'P11473', 'Q96JN0', 'TNFalpha'})"
"frozenset({'Q9H5J8', 'Q8IXL6', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y4A9', 'P62873'})"
"frozenset({'TNFalpha', 'P24941', 'Q9UIV1'})"
"frozenset({'Q9HCK8', 'P02545', 'TNFalpha'})"
"frozenset({'P26373', 'TNFalpha', 'Q8N5N7'})"
"frozenset({'O15055', 'TNFalpha', 'P61968'})"
"frozenset({'Q9H845', 'P48380', 'TNFalpha'})"
"frozenset({'P02652', 'TNFalpha', 'Q8N9F7'})"
"frozenset({'P10911', 'TNFalpha', 'P35241'})"
"frozenset({'Q9BZL1', 'P49639', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P02749', 'P55040'})"
"frozenset({'P01106', 'Q92854', 'TNFalpha'})"
"frozenset({'P19525', 'TNFalpha', 'Q9H0D6'})"
"frozenset({'Q13618', 'TNFalpha', 'Q96J92'})"
"frozenset({'P68402', 'Q6P1N9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q15080', 'P17252'})"
"frozenset({'P46459', 'O75351', 'TNFalpha'})"
"frozenset({'Q9HCK5', 'P25398', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9C019', 'P49023'})"
"frozenset({'P23771', 'O75626', 'TNFalpha'})"
"frozenset({'P19320', 'P11586', 'TNFalpha'})"
"frozenset({'Q8IV45', 'A8MQ03', 'TNFalpha'})"
"frozenset({'P62487', 'O15514', 'TNFalpha'})"
"frozenset({'O95995', 'TNFalpha', 'Q3KQV3'})"
"frozenset({'P50148', 'TNFalpha', 'Q96RI0'})"
"frozenset({'P22695', 'Q8WUK0', 'TNFalpha'})"
"frozenset({'Q1A5X7', 'TNFalpha', 'O60437'})"
"frozenset({'P15173', 'O60573', 'TNFalpha'})"
"frozenset({'P62993', 'P12074', 'TNFalpha'})"
"frozenset({'P26373', 'P08865', 'TNFalpha'})"
"frozenset({'P41208', 'Q6PD62', 'TNFalpha'})"
"frozenset({'P62258', 'P42166', 'TNFalpha'})"
"frozenset({'P07814', 'TNFalpha', 'P07437'})"
"frozenset({'Q9NZJ0', 'P27348', 'TNFalpha'})"
"frozenset({'Q8NFZ4', 'Q5VX71', 'TNFalpha'})"
"frozenset({'P35222', 'TNFalpha', 'P22223'})"
"frozenset({'TNFalpha', 'Q7Z7C8', 'P49848'})"
"frozenset({'P52799', 'P42338', 'TNFalpha'})"
"frozenset({'Q15007', 'Q5T200', 'TNFalpha'})"
"frozenset({'P83876', 'P52597', 'TNFalpha'})"
"frozenset({'P06753', 'TNFalpha', 'Q06830'})"
"frozenset({'P26599', 'Q99497', 'TNFalpha'})"
"frozenset({'P01106', 'Q8NF50', 'TNFalpha'})"
"frozenset({'P31749', 'TNFalpha', 'P26358'})"
"frozenset({'Q9H0M0', 'Q9BUZ4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9H6Z9', 'Q8TBB1'})"
"frozenset({'Q14999', 'TNFalpha', 'O43175'})"
"frozenset({'P35658', 'O00410', 'TNFalpha'})"
"frozenset({'P10415', 'P07711', 'TNFalpha'})"
"frozenset({'Q15428', 'Q96I25', 'TNFalpha'})"
"frozenset({'Q12946', 'Q96I24', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y4X3', 'P51681'})"
"frozenset({'P50539', 'TNFalpha', 'Q6XUX3'})"
"frozenset({'P07954', 'TNFalpha', 'P50395'})"
"frozenset({'O15069', 'Q9NRH1', 'TNFalpha'})"
"frozenset({'P06493', 'TNFalpha', 'O95835'})"
"frozenset({'Q08211', 'Q13247', 'TNFalpha'})"
"frozenset({'P08581', 'Q15464', 'TNFalpha'})"
"frozenset({'O75400', 'P15927', 'TNFalpha'})"
"frozenset({'P21589', 'TNFalpha', 'Q9Y263'})"
"frozenset({'P35579', 'Q13464', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13422', 'Q96SW2'})"
"frozenset({'Q04864', 'Q9NX01', 'TNFalpha'})"
"frozenset({'Q9Y3B7', 'Q9Y512', 'TNFalpha'})"
"frozenset({'Q12962', 'Q86TJ2', 'TNFalpha'})"
"frozenset({'Q8NHQ1', 'Q99757', 'TNFalpha'})"
"frozenset({'Q9ULV0', 'TNFalpha', 'Q16643'})"
"frozenset({'TNFalpha', 'P61221', 'P13010'})"
"frozenset({'TNFalpha', 'Q9P0V3', 'Q9HB21'})"
"frozenset({'Q9ULV4', 'TNFalpha', 'O75436'})"
"frozenset({'TNFalpha', 'Q9UMX1', 'Q92611'})"
"frozenset({'P53350', 'P12272', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NRD5', 'P23975'})"
"frozenset({'TNFalpha', 'Q93034', 'P07339'})"
"frozenset({'Q93008', 'TNFalpha', 'Q9HCE7'})"
"frozenset({'O00444', 'TNFalpha', 'Q66GS9'})"
"frozenset({'O95232', 'TNFalpha', 'Q2TAY7'})"
"frozenset({'Q15014', 'O60684', 'TNFalpha'})"
"frozenset({'O95817', 'Q8IVA1', 'TNFalpha'})"
"frozenset({'P80188', 'Q9UMX0', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'Q15024'})"
"frozenset({'P10276', 'O15438', 'TNFalpha'})"
"frozenset({'Q13509', 'O14576', 'TNFalpha'})"
"frozenset({'P15172', 'Q969P5', 'TNFalpha'})"
"frozenset({'Q7L099', 'TNFalpha', 'P04629'})"
"frozenset({'Q13618', 'TNFalpha', 'Q8N1N4'})"
"frozenset({'Q9HBH1', 'P49450', 'TNFalpha'})"
"frozenset({'O43513', 'O14964', 'TNFalpha'})"
"frozenset({'Q8IVT5', 'Q9UBU9', 'TNFalpha'})"
"frozenset({'Q9HCE1', 'TNFalpha', 'Q9NW08'})"
"frozenset({'Q504Q3', 'Q15417', 'TNFalpha'})"
"frozenset({'Q5T3F8', 'O75947', 'TNFalpha'})"
"frozenset({'P49759', 'Q8TES7', 'TNFalpha'})"
"frozenset({'A6NEM1', 'O00555', 'TNFalpha'})"
"frozenset({'Q96MT4', 'P21549', 'TNFalpha'})"
"frozenset({'P0DMV8', 'P49257', 'TNFalpha'})"
"frozenset({'Q15633', 'TNFalpha', 'P27361'})"
"frozenset({'O60237', 'Q96A00', 'TNFalpha'})"
"frozenset({'Q15034', 'Q8IVU3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13586', 'P23634'})"
"frozenset({'P04118', 'TNFalpha', 'P16233'})"
"frozenset({'P09661', 'P12270', 'TNFalpha'})"
"frozenset({'Q86WH2', 'O43815', 'TNFalpha'})"
"frozenset({'O95644', 'Q14164', 'TNFalpha'})"
"frozenset({'Q5VIR6', 'Q9HCH0', 'TNFalpha'})"
"frozenset({'Q68CJ9', 'TNFalpha', 'Q9NUM3'})"
"frozenset({'Q01968', 'TNFalpha', 'Q08379'})"
"frozenset({'Q6PD62', 'TNFalpha', 'O43432'})"
"frozenset({'O00193', 'P46060', 'TNFalpha'})"
"frozenset({'Q96ID5', 'Q03013', 'TNFalpha'})"
"frozenset({'P35222', 'O15105', 'TNFalpha'})"
"frozenset({'Q13618', 'P33076', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P06733', 'Q8N766'})"
"frozenset({'P05067', 'Q96DI7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13323', 'Q5BVD1'})"
"frozenset({'Q16670', 'P60372', 'TNFalpha'})"
"frozenset({'P42285', 'O75530', 'TNFalpha'})"
"frozenset({'P37837', 'P07195', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P43360', 'Q9NRV9'})"
"frozenset({'P68402', 'P31946', 'TNFalpha'})"
"frozenset({'Q9BQC6', 'TNFalpha', 'P09651'})"
"frozenset({'Q9BTZ2', 'O75306', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'P08069'})"
"frozenset({'P52564', 'Q9Y4K3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q14103', 'P15692'})"
"frozenset({'P24941', 'Q9P2S5', 'TNFalpha'})"
"frozenset({'P15882', 'Q13387', 'TNFalpha'})"
"frozenset({'Q92841', 'Q13573', 'TNFalpha'})"
"frozenset({'Q9BUE0', 'O75478', 'TNFalpha'})"
"frozenset({'Q969F0', 'TNFalpha', 'O95159'})"
"frozenset({'P22681', 'TNFalpha', 'P11021'})"
"frozenset({'Q9BT92', 'TNFalpha', 'Q9UHB4'})"
"frozenset({'Q9UBU9', 'Q9Y3Y2', 'TNFalpha'})"
"frozenset({'P46108', 'Q9UK85', 'TNFalpha'})"
"frozenset({'Q05D60', 'O95613', 'TNFalpha'})"
"frozenset({'P13612', 'TNFalpha', 'P32969'})"
"frozenset({'Q13042', 'O95067', 'TNFalpha'})"
"frozenset({'Q86U86', 'TNFalpha', 'Q9UPN9'})"
"frozenset({'Q5BKZ1', 'P19387', 'TNFalpha'})"
"frozenset({'Q9Y242', 'Q13315', 'TNFalpha'})"
"frozenset({'Q8IXZ2', 'TNFalpha', 'Q6PJG2'})"
"frozenset({'P50213', 'Q99798', 'TNFalpha'})"
"frozenset({'P22694', 'Q8NGW6', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8WVV9', 'P04629'})"
"frozenset({'Q13283', 'TNFalpha', 'P68400'})"
"frozenset({'Q9ULA0', 'Q9NSB4', 'TNFalpha'})"
"frozenset({'P56524', 'TNFalpha', 'O75376'})"
"frozenset({'Q8NEL9', 'TNFalpha', 'Q8IY63'})"
"frozenset({'Q8N680', 'P61956', 'TNFalpha'})"
"frozenset({'A6NDL8', 'P22612', 'TNFalpha'})"
"frozenset({'P21675', 'TNFalpha', 'Q9HCU9'})"
"frozenset({'P27694', 'Q96EP5', 'TNFalpha'})"
"frozenset({'Q13564', 'TNFalpha', 'Q8TBC4'})"
"frozenset({'Q13618', 'TNFalpha', 'P22102'})"
"frozenset({'Q14832', 'TNFalpha', 'P63211'})"
"frozenset({'P35611', 'TNFalpha', 'Q5JUQ0'})"
"frozenset({'TNFalpha', 'O75586', 'Q96KQ7'})"
"frozenset({'P22087', 'Q15910', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P28331', 'P42574'})"
"frozenset({'P59998', 'Q96AE4', 'TNFalpha'})"
"frozenset({'P16591', 'TNFalpha', 'Q8IZP0'})"
"frozenset({'Q8N7W2', 'P26196', 'TNFalpha'})"
"frozenset({'P35626', 'Q8NG83', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92900', 'Q99523'})"
"frozenset({'P61764', 'Q9Y3A4', 'TNFalpha'})"
"frozenset({'Q9H5Z1', 'TNFalpha', 'Q66GS9'})"
"frozenset({'O14543', 'O15530', 'TNFalpha'})"
"frozenset({'P31151', 'Q93034', 'TNFalpha'})"
"frozenset({'P0DMV8', 'Q06710', 'TNFalpha'})"
"frozenset({'P35579', 'Q05682', 'TNFalpha'})"
"frozenset({'O14818', 'P00519', 'TNFalpha'})"
"frozenset({'P27695', 'TNFalpha', 'P04637'})"
"frozenset({'Q9UL18', 'Q9BUJ2', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P14373', 'Q96F44'})"
"frozenset({'Q9BYQ6', 'Q9BYR8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q96T60', 'Q9Y4B6'})"
"frozenset({'P31483', 'TNFalpha', 'Q9NNW5'})"
"frozenset({'Q16254', 'Q9UBU9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O14976', 'O60763'})"
"frozenset({'Q9BRJ7', 'P55795', 'TNFalpha'})"
"frozenset({'Q8TF63', 'Q99750', 'TNFalpha'})"
"frozenset({'O00762', 'TNFalpha', 'Q04206'})"
"frozenset({'Q96F85', 'TNFalpha', 'Q96H35'})"
"frozenset({'Q14088', 'Q7L099', 'TNFalpha'})"
"frozenset({'P54274', 'P50213', 'TNFalpha'})"
"frozenset({'Q9GZU7', 'P68366', 'TNFalpha'})"
"frozenset({'P16104', 'TNFalpha', 'P24928'})"
"frozenset({'O43567', 'Q9UBU9', 'TNFalpha'})"
"frozenset({'Q15717', 'Q9UHV9', 'TNFalpha'})"
"frozenset({'Q96T76', 'TNFalpha', 'P10828'})"
"frozenset({'P54274', 'TNFalpha', 'Q92598'})"
"frozenset({'TNFalpha', 'P39023', 'P49407'})"
"frozenset({'P40337', 'TNFalpha', 'P24928'})"
"frozenset({'O75771', 'Q9HCE1', 'TNFalpha'})"
"frozenset({'Q8TEH3', 'P30305', 'TNFalpha'})"
"frozenset({'Q3LI64', 'Q9BXF9', 'TNFalpha'})"
"frozenset({'O95373', 'Q15628', 'TNFalpha'})"
"frozenset({'Q99728', 'P51668', 'TNFalpha'})"
"frozenset({'Q15025', 'TNFalpha', 'O14980'})"
"frozenset({'O75147', 'Q9UHD8', 'TNFalpha'})"
"frozenset({'Q8IXH6', 'TNFalpha', 'Q9H492'})"
"frozenset({'O75586', 'TNFalpha', 'Q969H0'})"
"frozenset({'P08246', 'P17676', 'TNFalpha'})"
"frozenset({'Q9BSJ2', 'Q06609', 'TNFalpha'})"
"frozenset({'P18146', 'Q9HD15', 'TNFalpha'})"
"frozenset({'P00966', 'P54274', 'TNFalpha'})"
"frozenset({'P02786', 'P26651', 'TNFalpha'})"
"frozenset({'Q96DV4', 'TNFalpha', 'P68400'})"
"frozenset({'TNFalpha', 'Q8NGS8', 'P49407'})"
"frozenset({'Q13618', 'O75821', 'TNFalpha'})"
"frozenset({'Q13509', 'TNFalpha', 'Q99759'})"
"frozenset({'Q01094', 'Q06587', 'TNFalpha'})"
"frozenset({'Q9HCE1', 'TNFalpha', 'Q9Y3T9'})"
"frozenset({'O75448', 'Q9H944', 'TNFalpha'})"
"frozenset({'P40337', 'P54764', 'TNFalpha'})"
"frozenset({'P18846', 'Q70SY1', 'TNFalpha'})"
"frozenset({'Q5T124', 'O94955', 'TNFalpha'})"
"frozenset({'Q96HY6', 'O95154', 'TNFalpha'})"
"frozenset({'P15880', 'TNFalpha', 'P61326'})"
"frozenset({'Q13464', 'O60331', 'TNFalpha'})"
"frozenset({'P60763', 'Q7Z5H3', 'TNFalpha'})"
"frozenset({'O75147', 'Q14160', 'TNFalpha'})"
"frozenset({'Q8IWV1', 'O00459', 'TNFalpha'})"
"frozenset({'Q9Y2I6', 'TNFalpha', 'Q9P2K3'})"
"frozenset({'P09874', 'P14625', 'TNFalpha'})"
"frozenset({'P52789', 'P13612', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P20073', 'P60709'})"
"frozenset({'Q8WWA0', 'TNFalpha', 'Q13492'})"
"frozenset({'Q96S65', 'Q99633', 'TNFalpha'})"
"frozenset({'Q6EMK4', 'TNFalpha', 'Q6L8G4'})"
"frozenset({'Q96Q77', 'TNFalpha', 'Q96PQ6'})"
"frozenset({'Q07157', 'TNFalpha', 'Q66GS9'})"
"frozenset({'Q13310', 'TNFalpha', 'P36915'})"
"frozenset({'P26010', 'Q01955', 'TNFalpha'})"
"frozenset({'P02751', 'Q12906', 'TNFalpha'})"
"frozenset({'Q8N6M6', 'TNFalpha', 'Q96QB1'})"
"frozenset({'Q15717', 'Q96B02', 'TNFalpha'})"
"frozenset({'Q9P0J7', 'Q9UNM6', 'TNFalpha'})"
"frozenset({'Q8WXK4', 'Q15369', 'TNFalpha'})"
"frozenset({'P04440', 'Q9BXB1', 'TNFalpha'})"
"frozenset({'Q00978', 'P62805', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P14678', 'Q6P2Q9'})"
"frozenset({'O14777', 'P18848', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P38117', 'P42704'})"
"frozenset({'Q7Z434', 'Q9BQ95', 'TNFalpha'})"
"frozenset({'P51991', 'TNFalpha', 'Q9BY32'})"
"frozenset({'Q13347', 'Q5JSZ5', 'TNFalpha'})"
"frozenset({'Q8WW22', 'P50991', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q6ISB3', 'P61968'})"
"frozenset({'P53701', 'O60664', 'TNFalpha'})"
"frozenset({'Q16851', 'O60566', 'TNFalpha'})"
"frozenset({'Q5S007', 'P52564', 'TNFalpha'})"
"frozenset({'Q9NPJ6', 'Q06481', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92782', 'P51531'})"
"frozenset({'O95988', 'TNFalpha', 'Q969F9'})"
"frozenset({'Q9UKV3', 'Q9NZC7', 'TNFalpha'})"
"frozenset({'O43524', 'P04179', 'TNFalpha'})"
"frozenset({'Q96SD1', 'TNFalpha', 'P78527'})"
"frozenset({'O15084', 'Q8TAE8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q14061', 'Q9Y3C8'})"
"frozenset({'P31942', 'Q6VAB6', 'TNFalpha'})"
"frozenset({'P61587', 'TNFalpha', 'P27986'})"
"frozenset({'O15182', 'Q96EV8', 'TNFalpha'})"
"frozenset({'Q9P0K8', 'Q12947', 'TNFalpha'})"
"frozenset({'Q6ZUJ8', 'TNFalpha', 'P27986'})"
"frozenset({'Q9H9J2', 'P21246', 'TNFalpha'})"
"frozenset({'Q6Q788', 'TNFalpha', 'P41235'})"
"frozenset({'Q16829', 'TNFalpha', 'P53778'})"
"frozenset({'P63244', 'TNFalpha', 'P46777'})"
"frozenset({'P01106', 'TNFalpha', 'Q68DN1'})"
"frozenset({'P0DP25', 'P09669', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P42768', 'Q92729'})"
"frozenset({'TNFalpha', 'Q96SQ5', 'Q8N1B4'})"
"frozenset({'TNFalpha', 'Q8IW41', 'Q9H609'})"
"frozenset({'Q8N5M4', 'O15355', 'TNFalpha'})"
"frozenset({'Q9NVN8', 'TNFalpha', 'P31321'})"
"frozenset({'Q15170', 'Q9UNL2', 'TNFalpha'})"
"frozenset({'O95757', 'TNFalpha', 'Q00613'})"
"frozenset({'P29474', 'P50502', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NQG6', 'P53365'})"
"frozenset({'TNFalpha', 'O15371', 'P20042'})"
"frozenset({'TNFalpha', 'Q49A88', 'Q96C92'})"
"frozenset({'Q01892', 'Q16254', 'TNFalpha'})"
"frozenset({'Q05655', 'TNFalpha', 'Q02539'})"
"frozenset({'Q9BZE9', 'Q96JH7', 'TNFalpha'})"
"frozenset({'P01562', 'TNFalpha', 'P40189'})"
"frozenset({'Q15717', 'P78414', 'TNFalpha'})"
"frozenset({'Q15561', 'TNFalpha', 'A6NEM1'})"
"frozenset({'P48553', 'Q96KC9', 'TNFalpha'})"
"frozenset({'P30504', 'P43632', 'TNFalpha'})"
"frozenset({'Q9NVI1', 'TNFalpha', 'P20333'})"
"frozenset({'TNFalpha', 'P60520', 'O43765'})"
"frozenset({'Q6H8Q1', 'Q8WZ42', 'TNFalpha'})"
"frozenset({'P23588', 'TNFalpha', 'Q96Q27'})"
