negatives
"frozenset({'P61960', 'Q96EK5', 'IL4'})"
"frozenset({'P23396', 'IL4', 'P27635'})"
"frozenset({'P42773', 'O43865', 'IL4'})"
"frozenset({'Q96GX1', 'IL4', 'P27824'})"
"frozenset({'P46934', 'IL4', 'Q01628'})"
"frozenset({'P35244', 'IL4', 'P61006'})"
"frozenset({'IL4', 'P33993', 'Q14498'})"
"frozenset({'Q9Y2E5', 'Q9NRD1', 'IL4'})"
"frozenset({'Q9H9E1', 'P02545', 'IL4'})"
"frozenset({'Q92905', 'IL4', 'P82650'})"
"frozenset({'P31689', 'IL4', 'P04637'})"
"frozenset({'Q99496', 'Q92616', 'IL4'})"
"frozenset({'P61764', 'P49821', 'IL4'})"
"frozenset({'Q9Y5Y2', 'Q71UI9', 'IL4'})"
"frozenset({'Q9BV57', 'P00558', 'IL4'})"
"frozenset({'Q9UBQ6', 'IL4', 'Q9Y3E0'})"
"frozenset({'P61221', 'IL4', 'O15372'})"
"frozenset({'Q9UHC9', 'P20823', 'IL4'})"
"frozenset({'P32456', 'P49841', 'IL4'})"
"frozenset({'Q9NZ94', 'IL4', 'P18848'})"
"frozenset({'P54253', 'IL4', 'P57738'})"
"frozenset({'P78352', 'P28223', 'IL4'})"
"frozenset({'P53779', 'IL4', 'Q13547'})"
"frozenset({'Q8N4J0', 'IL4', 'Q8N680'})"
"frozenset({'P84022', 'Q13555', 'IL4'})"
"frozenset({'P62140', 'P24844', 'IL4'})"
"frozenset({'P34932', 'O14920', 'IL4'})"
"frozenset({'Q6NUN9', 'Q02878', 'IL4'})"
"frozenset({'P62244', 'IL4', 'P46776'})"
"frozenset({'Q8IY92', 'Q9Y5V3', 'IL4'})"
"frozenset({'Q8N8A2', 'IL4', 'O00743'})"
"frozenset({'Q6UXL0', 'IL4', 'Q969D9'})"
"frozenset({'P0CAP1', 'P17707', 'IL4'})"
"frozenset({'P43699', 'IL4', 'Q15788'})"
"frozenset({'Q16625', 'P56747', 'IL4'})"
"frozenset({'Q14108', 'IL4', 'Q8N490'})"
"frozenset({'P10914', 'Q13568', 'IL4'})"
"frozenset({'IL4', 'P16220', 'Q86UK5'})"
"frozenset({'Q14296', 'Q9H2K2', 'IL4'})"
"frozenset({'Q16854', 'P17600', 'IL4'})"
"frozenset({'O95402', 'P30542', 'IL4'})"
"frozenset({'Q8NBF2', 'IL4', 'Q8IUD2'})"
"frozenset({'Q8WYN0', 'Q9BSB4', 'IL4'})"
"frozenset({'P16104', 'IL4', 'Q9H488'})"
"frozenset({'Q6PJQ5', 'Q9UBV8', 'IL4'})"
"frozenset({'P62847', 'P38919', 'IL4'})"
"frozenset({'P46777', 'IL4', 'O14980'})"
"frozenset({'Q9UHK0', 'IL4', 'O00499'})"
"frozenset({'O60341', 'IL4', 'O95619'})"
"frozenset({'A0JLT2', 'IL4', 'O00571'})"
"frozenset({'Q02221', 'Q969T3', 'IL4'})"
"frozenset({'Q8NBT0', 'P49368', 'IL4'})"
"frozenset({'Q9NPF2', 'IL4', 'P20036'})"
"frozenset({'P12830', 'Q9BVG8', 'IL4'})"
"frozenset({'P78314', 'P04626', 'IL4'})"
"frozenset({'Q14790', 'Q15078', 'IL4'})"
"frozenset({'P06400', 'IL4', 'P35251'})"
"frozenset({'P11142', 'IL4', 'Q13217'})"
"frozenset({'Q8N0Z6', 'O75678', 'IL4'})"
"frozenset({'P60411', 'P60328', 'IL4'})"
"frozenset({'Q9BZE4', 'IL4', 'P27635'})"
"frozenset({'Q99437', 'IL4', 'Q96HJ5'})"
"frozenset({'A8K0Z3', 'IL4', 'Q14457'})"
"frozenset({'IL4', 'O95777', 'O14874'})"
"frozenset({'P60410', 'Q6IB77', 'IL4'})"
"frozenset({'Q9UHX1', 'IL4', 'Q9Y266'})"
"frozenset({'O43852', 'P04049', 'IL4'})"
"frozenset({'P05787', 'Q2TAY7', 'IL4'})"
"frozenset({'P50552', 'P27348', 'IL4'})"
"frozenset({'P32121', 'Q9Y585', 'IL4'})"
"frozenset({'Q15262', 'IL4', 'Q02763'})"
"frozenset({'Q9H6L4', 'IL4', 'Q8N684'})"
"frozenset({'Q8IZU0', 'IL4', 'Q9Y5T4'})"
"frozenset({'P16989', 'Q8WX92', 'IL4'})"
"frozenset({'O95630', 'Q9BXJ7', 'IL4'})"
"frozenset({'IL4', 'Q15059', 'Q86YD7'})"
"frozenset({'P01106', 'P24046', 'IL4'})"
"frozenset({'Q9NVR5', 'IL4', 'Q9HCM2'})"
"frozenset({'Q03933', 'IL4', 'P33992'})"
"frozenset({'P13010', 'IL4', 'Q08211'})"
"frozenset({'P62191', 'Q9UBN6', 'IL4'})"
"frozenset({'Q9Y6W6', 'P42858', 'IL4'})"
"frozenset({'P78527', 'IL4', 'P53041'})"
"frozenset({'P36776', 'Q9NRM7', 'IL4'})"
"frozenset({'O94903', 'IL4', 'P04632'})"
"frozenset({'Q9H2A9', 'IL4', 'Q7Z7H5'})"
"frozenset({'P62891', 'Q6ZN18', 'IL4'})"
"frozenset({'P49790', 'IL4', 'Q9NRG9'})"
"frozenset({'O95402', 'IL4', 'Q5VWG9'})"
"frozenset({'Q3SY84', 'IL4', 'P08727'})"
"frozenset({'P08700', 'Q969J5', 'IL4'})"
"frozenset({'Q15389', 'P06213', 'IL4'})"
"frozenset({'O60262', 'Q99677', 'IL4'})"
"frozenset({'P15259', 'Q9H0R8', 'IL4'})"
"frozenset({'O43166', 'IL4', 'Q8WXF0'})"
"frozenset({'P18124', 'P05412', 'IL4'})"
"frozenset({'Q14980', 'IL4', 'O60885'})"
"frozenset({'O75604', 'IL4', 'O60504'})"
"frozenset({'Q9Y3Q8', 'IL4', 'Q9NSY0'})"
"frozenset({'O00469', 'Q9NRD1', 'IL4'})"
"frozenset({'P49789', 'P12931', 'IL4'})"
"frozenset({'P63000', 'IL4', 'Q8N264'})"
"frozenset({'O43852', 'O15144', 'IL4'})"
"frozenset({'P01106', 'IL4', 'P23771'})"
"frozenset({'P13010', 'IL4', 'Q14697'})"
"frozenset({'Q9UL17', 'P32246', 'IL4'})"
"frozenset({'P13612', 'Q07889', 'IL4'})"
"frozenset({'P25774', 'P98170', 'IL4'})"
"frozenset({'P19838', 'P0DOY2', 'IL4'})"
"frozenset({'P12235', 'Q9P2B7', 'IL4'})"
"frozenset({'P62829', 'IL4', 'O95718'})"
"frozenset({'P46094', 'O00626', 'IL4'})"
"frozenset({'Q658P3', 'P80370', 'IL4'})"
"frozenset({'P62714', 'IL4', 'Q8IZS8'})"
"frozenset({'Q02878', 'Q15050', 'IL4'})"
"frozenset({'P08047', 'O43186', 'IL4'})"
"frozenset({'Q99683', 'Q8TDY2', 'IL4'})"
"frozenset({'Q9UKT8', 'Q8WVJ2', 'IL4'})"
"frozenset({'P16885', 'IL4', 'P12931'})"
"frozenset({'P63261', 'IL4', 'O95819'})"
"frozenset({'Q9UBS0', 'IL4', 'Q9Y243'})"
"frozenset({'Q7Z3S9', 'IL4', 'O60259'})"
"frozenset({'P49736', 'P28331', 'IL4'})"
"frozenset({'Q9UNE7', 'P0DMV9', 'IL4'})"
"frozenset({'Q13190', 'O15498', 'IL4'})"
"frozenset({'Q5R372', 'P34897', 'IL4'})"
"frozenset({'Q9NP31', 'Q9UKG1', 'IL4'})"
"frozenset({'O60925', 'Q96RY7', 'IL4'})"
"frozenset({'Q14203', 'P54727', 'IL4'})"
"frozenset({'P60880', 'IL4', 'P00533'})"
"frozenset({'IL4', 'Q6ZT21', 'P07307'})"
"frozenset({'O15027', 'IL4', 'Q9BWF3'})"
"frozenset({'Q8N7P3', 'IL4', 'O14493'})"
"frozenset({'P63104', 'P30084', 'IL4'})"
"frozenset({'Q96DZ1', 'Q15831', 'IL4'})"
"frozenset({'Q6ZNA4', 'Q8WWZ3', 'IL4'})"
"frozenset({'P25788', 'P18428', 'IL4'})"
"frozenset({'O95751', 'Q15744', 'IL4'})"
"frozenset({'Q66LE6', 'IL4', 'Q9GZS3'})"
"frozenset({'P08631', 'O43559', 'IL4'})"
"frozenset({'P30566', 'Q66GS9', 'IL4'})"
"frozenset({'Q8WV35', 'Q15468', 'IL4'})"
"frozenset({'P78545', 'IL4', 'Q16594'})"
"frozenset({'Q9NRA8', 'Q3KNV8', 'IL4'})"
"frozenset({'Q13769', 'P04792', 'IL4'})"
"frozenset({'P04637', 'IL4', 'Q13049'})"
"frozenset({'P02776', 'IL4', 'P51677'})"
"frozenset({'P30050', 'P60033', 'IL4'})"
"frozenset({'P62937', 'IL4', 'P00441'})"
"frozenset({'P11802', 'IL4', 'Q99956'})"
"frozenset({'P55209', 'IL4', 'P62899'})"
"frozenset({'Q04864', 'Q9NXR1', 'IL4'})"
"frozenset({'O00410', 'Q92844', 'IL4'})"
"frozenset({'Q13449', 'P04156', 'IL4'})"
"frozenset({'Q06945', 'Q6PD62', 'IL4'})"
"frozenset({'Q9H6D7', 'P49327', 'IL4'})"
"frozenset({'P12814', 'IL4', 'Q9UQM7'})"
"frozenset({'Q15291', 'IL4', 'Q99459'})"
"frozenset({'IL4', 'P00533', 'P13232'})"
"frozenset({'O95602', 'IL4', 'P32969'})"
"frozenset({'Q53HC5', 'Q13618', 'IL4'})"
"frozenset({'O14795', 'Q14183', 'IL4'})"
"frozenset({'Q96T58', 'IL4', 'Q13363'})"
"frozenset({'P21549', 'P35226', 'IL4'})"
"frozenset({'P60174', 'IL4', 'Q15047'})"
"frozenset({'P17480', 'IL4', 'O75147'})"
"frozenset({'Q8WXE1', 'IL4', 'Q9Y2T3'})"
"frozenset({'O43291', 'P07099', 'IL4'})"
"frozenset({'P11142', 'Q7Z624', 'IL4'})"
"frozenset({'P62854', 'IL4', 'P60866'})"
"frozenset({'Q9BZ29', 'IL4', 'Q16537'})"
"frozenset({'P15336', 'IL4', 'P21796'})"
"frozenset({'P51116', 'IL4', 'Q8N5I3'})"
"frozenset({'P22694', 'Q8NGD4', 'IL4'})"
"frozenset({'O95292', 'IL4', 'Q9BX63'})"
"frozenset({'Q8N6Y0', 'Q9BQ89', 'IL4'})"
"frozenset({'P78314', 'P62993', 'IL4'})"
"frozenset({'Q8IZP0', 'IL4', 'Q12929'})"
"frozenset({'IL4', 'P20700', 'O94817'})"
"frozenset({'Q92734', 'Q14258', 'IL4'})"
"frozenset({'P15311', 'Q99714', 'IL4'})"
"frozenset({'Q06124', 'IL4', 'O95866'})"
"frozenset({'Q9UM63', 'Q92793', 'IL4'})"
"frozenset({'Q08379', 'IL4', 'Q92529'})"
"frozenset({'Q9Y5M8', 'IL4', 'Q9NP72'})"
"frozenset({'P22392', 'P25788', 'IL4'})"
"frozenset({'Q6P1L8', 'Q8TAE8', 'IL4'})"
"frozenset({'Q08050', 'IL4', 'P08253'})"
"frozenset({'Q9C002', 'IL4', 'P36542'})"
"frozenset({'P56202', 'O43889', 'IL4'})"
"frozenset({'Q13123', 'IL4', 'O00267'})"
"frozenset({'O00410', 'IL4', 'Q14974'})"
"frozenset({'Q9Y3B3', 'O43187', 'IL4'})"
"frozenset({'P49916', 'IL4', 'Q8NBT2'})"
"frozenset({'Q9H6Z9', 'Q96IF1', 'IL4'})"
"frozenset({'P48163', 'IL4', 'Q14137'})"
"frozenset({'Q9NTN9', 'Q9HD26', 'IL4'})"
"frozenset({'P01023', 'P13569', 'IL4'})"
"frozenset({'Q96SB4', 'IL4', 'P68400'})"
"frozenset({'Q96LK0', 'IL4', 'Q68D86'})"
"frozenset({'Q9NQW1', 'P50991', 'IL4'})"
"frozenset({'O14544', 'P40189', 'IL4'})"
"frozenset({'P19878', 'P28482', 'IL4'})"
"frozenset({'Q9BTC0', 'IL4', 'Q9Y5H9'})"
"frozenset({'Q99435', 'Q8IZL8', 'IL4'})"
"frozenset({'Q96CS2', 'IL4', 'Q13561'})"
"frozenset({'Q9Y4E8', 'Q13490', 'IL4'})"
"frozenset({'Q9NRJ4', 'P12931', 'IL4'})"
"frozenset({'P14678', 'IL4', 'Q9HCE7'})"
"frozenset({'O60506', 'Q9UQ35', 'IL4'})"
"frozenset({'P20648', 'P50995', 'IL4'})"
"frozenset({'Q04724', 'IL4', 'P20042'})"
"frozenset({'Q04206', 'IL4', 'Q9UNL4'})"
"frozenset({'O43157', 'Q9C0C4', 'IL4'})"
"frozenset({'P27694', 'IL4', 'P20340'})"
"frozenset({'Q06190', 'IL4', 'Q00537'})"
"frozenset({'Q6QNY0', 'IL4', 'Q96EV8'})"
"frozenset({'P45973', 'Q96SB4', 'IL4'})"
"frozenset({'Q9UHD9', 'Q9Y5V3', 'IL4'})"
"frozenset({'P35346', 'IL4', 'P50542'})"
"frozenset({'P33778', 'Q71UI9', 'IL4'})"
"frozenset({'Q9H5K3', 'IL4', 'Q9GZU3'})"
"frozenset({'P26842', 'Q12933', 'IL4'})"
"frozenset({'Q96KQ7', 'IL4', 'P39880'})"
"frozenset({'Q8TF72', 'IL4', 'Q15349'})"
"frozenset({'Q8N6G5', 'IL4', 'Q92633'})"
"frozenset({'Q15759', 'P60953', 'IL4'})"
"frozenset({'Q6NVU6', 'Q3LI76', 'IL4'})"
"frozenset({'Q9NYP9', 'Q6ZNE5', 'IL4'})"
"frozenset({'P49736', 'P13639', 'IL4'})"
"frozenset({'P10636', 'Q71U36', 'IL4'})"
"frozenset({'Q6NUQ1', 'Q7Z6J9', 'IL4'})"
"frozenset({'P12882', 'P16152', 'IL4'})"
"frozenset({'P62191', 'P28065', 'IL4'})"
"frozenset({'Q8N1B4', 'IL4', 'Q5T7W7'})"
"frozenset({'Q9Y3B3', 'Q9NPH3', 'IL4'})"
"frozenset({'Q14209', 'IL4', 'Q8N488'})"
"frozenset({'O95573', 'P05067', 'IL4'})"
"frozenset({'P12931', 'IL4', 'P32248'})"
"frozenset({'P35914', 'Q05932', 'IL4'})"
"frozenset({'P01106', 'Q92537', 'IL4'})"
"frozenset({'P26641', 'IL4', 'Q92905'})"
"frozenset({'P15153', 'IL4', 'P45985'})"
"frozenset({'Q16363', 'Q13683', 'IL4'})"
"frozenset({'P09429', 'Q9H967', 'IL4'})"
"frozenset({'Q96IW7', 'O60763', 'IL4'})"
"frozenset({'IL4', 'Q9H0C2', 'P45880'})"
"frozenset({'Q96PY6', 'O14777', 'IL4'})"
"frozenset({'Q13188', 'IL4', 'P67775'})"
"frozenset({'Q01130', 'Q13573', 'IL4'})"
"frozenset({'P35626', 'IL4', 'Q8NH61'})"
"frozenset({'P24928', 'P31269', 'IL4'})"
"frozenset({'P51692', 'Q13469', 'IL4'})"
"frozenset({'O43151', 'O43765', 'IL4'})"
"frozenset({'P51159', 'Q8NFW9', 'IL4'})"
"frozenset({'Q5T749', 'IL4', 'Q8WW24'})"
"frozenset({'Q9H239', 'IL4', 'P09958'})"
"frozenset({'Q8WVM8', 'IL4', 'Q9P0N5'})"
"frozenset({'Q9NR30', 'IL4', 'Q9NRC8'})"
"frozenset({'Q15486', 'Q15915', 'IL4'})"
"frozenset({'Q16629', 'P62995', 'IL4'})"
"frozenset({'P05067', 'IL4', 'Q9Y3Y2'})"
"frozenset({'P07288', 'P01023', 'IL4'})"
"frozenset({'Q13310', 'P15170', 'IL4'})"
"frozenset({'Q9HCI7', 'Q5VTR2', 'IL4'})"
"frozenset({'IL4', 'P16220', 'Q96EB6'})"
"frozenset({'Q5T013', 'IL4', 'Q8IUQ4'})"
"frozenset({'P60228', 'P13612', 'IL4'})"
"frozenset({'P35244', 'IL4', 'Q9Y5B9'})"
"frozenset({'Q8IYI8', 'IL4', 'Q13077'})"
"frozenset({'P63092', 'Q08828', 'IL4'})"
"frozenset({'O43402', 'Q9UBU9', 'IL4'})"
"frozenset({'P62136', 'IL4', 'Q8TCU5'})"
"frozenset({'Q9Y6C2', 'O15320', 'IL4'})"
"frozenset({'P06400', 'IL4', 'Q66K89'})"
"frozenset({'Q13616', 'IL4', 'Q8IXB1'})"
"frozenset({'P35221', 'Q96KN1', 'IL4'})"
"frozenset({'O15297', 'Q00987', 'IL4'})"
"frozenset({'Q99459', 'IL4', 'Q08211'})"
"frozenset({'P01344', 'P27540', 'IL4'})"
"frozenset({'Q00005', 'IL4', 'P67775'})"
"frozenset({'Q01860', 'Q7L190', 'IL4'})"
"frozenset({'P63146', 'P62987', 'IL4'})"
"frozenset({'P21860', 'IL4', 'P60903'})"
"frozenset({'Q9UKB1', 'IL4', 'Q96K76'})"
"frozenset({'Q96LK0', 'IL4', 'O43829'})"
"frozenset({'Q9BQ04', 'P05067', 'IL4'})"
"frozenset({'P35611', 'O14757', 'IL4'})"
"frozenset({'Q01094', 'IL4', 'Q96B01'})"
"frozenset({'Q9NX04', 'IL4', 'O14980'})"
"frozenset({'Q96HA8', 'IL4', 'Q5TYM5'})"
"frozenset({'Q9HAU5', 'IL4', 'P05556'})"
"frozenset({'O00206', 'IL4', 'Q15139'})"
"frozenset({'P49006', 'P13569', 'IL4'})"
"frozenset({'Q13573', 'IL4', 'Q12789'})"
"frozenset({'Q8TAT6', 'O75955', 'IL4'})"
"frozenset({'P58012', 'IL4', 'P13056'})"
"frozenset({'Q15717', 'IL4', 'P13995'})"
"frozenset({'Q96GY3', 'Q9BVG8', 'IL4'})"
"frozenset({'IL4', 'P35626', 'Q8NGF9'})"
"frozenset({'P05386', 'IL4', 'P62913'})"
"frozenset({'P30260', 'IL4', 'Q96LZ3'})"
"frozenset({'Q8N3U4', 'IL4', 'Q13535'})"
"frozenset({'Q9UI95', 'Q9BS18', 'IL4'})"
"frozenset({'P05412', 'IL4', 'O43143'})"
"frozenset({'Q53HC5', 'IL4', 'Q7Z3K3'})"
"frozenset({'IL4', 'Q86VQ0', 'Q08J23'})"
"frozenset({'Q13885', 'Q9UBU8', 'IL4'})"
"frozenset({'P05231', 'P40238', 'IL4'})"
"frozenset({'Q99728', 'Q2NKX8', 'IL4'})"
"frozenset({'P51991', 'IL4', 'P23246'})"
"frozenset({'Q9BT67', 'IL4', 'Q9NU53'})"
"frozenset({'Q53TS8', 'Q13285', 'IL4'})"
"frozenset({'Q9UQL6', 'Q9Y697', 'IL4'})"
"frozenset({'Q9HB58', 'P20073', 'IL4'})"
"frozenset({'P30279', 'P46527', 'IL4'})"
"frozenset({'O95983', 'Q99497', 'IL4'})"
"frozenset({'Q00535', 'P02686', 'IL4'})"
"frozenset({'Q86XR8', 'IL4', 'Q6Y7W6'})"
"frozenset({'P22607', 'O15524', 'IL4'})"
"frozenset({'Q99459', 'IL4', 'Q9BRX2'})"
"frozenset({'Q13547', 'IL4', 'Q14469'})"
"frozenset({'P55040', 'A6NC98', 'IL4'})"
"frozenset({'Q9BYP7', 'IL4', 'Q9H4A3'})"
"frozenset({'Q96MT8', 'Q96RR4', 'IL4'})"
"frozenset({'Q14999', 'IL4', 'Q9BY77'})"
"frozenset({'O60506', 'IL4', 'Q92841'})"
"frozenset({'P43358', 'A2A368', 'IL4'})"
"frozenset({'A8MQ03', 'Q03014', 'IL4'})"
"frozenset({'P32121', 'Q9H255', 'IL4'})"
"frozenset({'Q5T0J7', 'Q9BQQ3', 'IL4'})"
"frozenset({'Q8TAD4', 'Q7Z5B4', 'IL4'})"
"frozenset({'P13569', 'IL4', 'P16615'})"
"frozenset({'Q13315', 'Q5TAX3', 'IL4'})"
"frozenset({'O60684', 'Q8IVT5', 'IL4'})"
"frozenset({'Q8NFZ5', 'IL4', 'O00233'})"
"frozenset({'Q93008', 'Q9H9S0', 'IL4'})"
"frozenset({'Q13162', 'IL4', 'P04629'})"
"frozenset({'IL4', 'O43399', 'P61158'})"
"frozenset({'P09341', 'O00574', 'IL4'})"
"frozenset({'Q8IUH5', 'Q01658', 'IL4'})"
"frozenset({'P35228', 'P61247', 'IL4'})"
"frozenset({'Q96L50', 'Q7L5N1', 'IL4'})"
"frozenset({'Q7Z4V5', 'IL4', 'Q8WTR2'})"
"frozenset({'Q12905', 'IL4', 'P49792'})"
"frozenset({'Q9NZQ3', 'Q8N137', 'IL4'})"
"frozenset({'P45378', 'Q969Q1', 'IL4'})"
"frozenset({'Q9BTA9', 'IL4', 'Q8TDR0'})"
"frozenset({'P62820', 'Q15717', 'IL4'})"
"frozenset({'P11441', 'IL4', 'P62913'})"
"frozenset({'Q59EK9', 'IL4', 'P61225'})"
"frozenset({'Q9NXJ5', 'P55789', 'IL4'})"
"frozenset({'Q9HC56', 'IL4', 'P20036'})"
"frozenset({'Q15365', 'Q15654', 'IL4'})"
"frozenset({'Q9BVV2', 'Q9UHD9', 'IL4'})"
"frozenset({'P36402', 'Q9Y265', 'IL4'})"
"frozenset({'P07954', 'P33778', 'IL4'})"
"frozenset({'P62888', 'Q13620', 'IL4'})"
"frozenset({'Q16778', 'IL4', 'P39687'})"
"frozenset({'P36578', 'Q99558', 'IL4'})"
"frozenset({'Q15633', 'IL4', 'O43818'})"
"frozenset({'O96013', 'P04637', 'IL4'})"
"frozenset({'Q86VP6', 'IL4', 'P35908'})"
"frozenset({'Q92731', 'Q9GZR2', 'IL4'})"
"frozenset({'P51674', 'Q8IUH5', 'IL4'})"
"frozenset({'Q6A163', 'P04259', 'IL4'})"
"frozenset({'IL4', 'Q9HCE1', 'Q5T9L3'})"
"frozenset({'P32121', 'Q8NH04', 'IL4'})"
"frozenset({'Q8NA61', 'Q9Y2I6', 'IL4'})"
"frozenset({'P23458', 'IL4', 'P01567'})"
"frozenset({'P17612', 'IL4', 'Q12802'})"
"frozenset({'Q14781', 'Q9BQ66', 'IL4'})"
"frozenset({'P11021', 'P25705', 'IL4'})"
"frozenset({'P42345', 'P25963', 'IL4'})"
"frozenset({'Q9P209', 'Q3B820', 'IL4'})"
"frozenset({'O43298', 'Q7L590', 'IL4'})"
"frozenset({'Q99638', 'P04150', 'IL4'})"
"frozenset({'Q92731', 'P12814', 'IL4'})"
"frozenset({'Q14999', 'IL4', 'Q8NFH3'})"
"frozenset({'Q16659', 'O76021', 'IL4'})"
"frozenset({'Q9GZQ8', 'P05129', 'IL4'})"
"frozenset({'P08047', 'Q13535', 'IL4'})"
"frozenset({'Q96GD4', 'Q9NP77', 'IL4'})"
"frozenset({'Q96D09', 'Q9NRI5', 'IL4'})"
"frozenset({'P60033', 'Q5JSZ5', 'IL4'})"
"frozenset({'P17036', 'Q14192', 'IL4'})"
"frozenset({'Q15008', 'Q9UNM6', 'IL4'})"
"frozenset({'Q8IV20', 'P25686', 'IL4'})"
"frozenset({'P11047', 'P14543', 'IL4'})"
"frozenset({'Q86UU5', 'IL4', 'O75031'})"
"frozenset({'P18084', 'P53708', 'IL4'})"
"frozenset({'P23919', 'IL4', 'P22061'})"
"frozenset({'P04406', 'IL4', 'P09086'})"
"frozenset({'Q92858', 'IL4', 'O00764'})"
"frozenset({'O43680', 'Q99081', 'IL4'})"
"frozenset({'P20333', 'Q13546', 'IL4'})"
"frozenset({'Q9BPZ7', 'IL4', 'Q69YU3'})"
"frozenset({'Q15149', 'P35637', 'IL4'})"
"frozenset({'Q13242', 'Q14999', 'IL4'})"
"frozenset({'Q8NBW4', 'IL4', 'P21281'})"
"frozenset({'O75420', 'O60307', 'IL4'})"
"frozenset({'Q99549', 'IL4', 'Q9H0U6'})"
"frozenset({'P60174', 'IL4', 'P19404'})"
"frozenset({'Q6NUQ4', 'P26842', 'IL4'})"
"frozenset({'Q12933', 'IL4', 'O43167'})"
"frozenset({'Q8WUM4', 'Q16659', 'IL4'})"
"frozenset({'Q9C0B0', 'IL4', 'Q9BUL8'})"
"frozenset({'Q96AE4', 'IL4', 'Q12873'})"
"frozenset({'O14965', 'IL4', 'Q8NE35'})"
"frozenset({'IL4', 'Q14CZ7', 'Q9HBV2'})"
"frozenset({'Q6P4R8', 'IL4', 'Q5JU00'})"
"frozenset({'Q9UJU2', 'Q15796', 'IL4'})"
"frozenset({'O14904', 'O95813', 'IL4'})"
"frozenset({'O95999', 'Q9NPP4', 'IL4'})"
"frozenset({'Q99816', 'P56945', 'IL4'})"
"frozenset({'Q8IUF1', 'IL4', 'Q9GZT9'})"
"frozenset({'P59991', 'Q8TAI1', 'IL4'})"
"frozenset({'P62873', 'IL4', 'Q8NH54'})"
"frozenset({'Q8IYB1', 'Q5SW79', 'IL4'})"
"frozenset({'P19784', 'Q99496', 'IL4'})"
"frozenset({'P01857', 'P02533', 'IL4'})"
"frozenset({'Q96F24', 'Q99570', 'IL4'})"
"frozenset({'Q9BSI4', 'IL4', 'Q9NWT1'})"
"frozenset({'P38936', 'P61289', 'IL4'})"
"frozenset({'Q7L0Q8', 'IL4', 'O95158'})"
"frozenset({'Q8IWL3', 'IL4', 'Q9BVK6'})"
"frozenset({'IL4', 'Q9HD33', 'Q9NVS2'})"
"frozenset({'Q08380', 'IL4', 'Q6Y7W6'})"
"frozenset({'Q32MZ4', 'Q15910', 'IL4'})"
"frozenset({'P50613', 'P07355', 'IL4'})"
"frozenset({'P50991', 'Q96H55', 'IL4'})"
"frozenset({'P16520', 'Q08722', 'IL4'})"
"frozenset({'P12931', 'P35916', 'IL4'})"
"frozenset({'Q9H0E2', 'P86480', 'IL4'})"
"frozenset({'P60228', 'Q6PKG0', 'IL4'})"
"frozenset({'IL4', 'P57078', 'O00743'})"
"frozenset({'P12956', 'IL4', 'P09874'})"
"frozenset({'O14641', 'IL4', 'Q9BSL1'})"
"frozenset({'Q92731', 'P05388', 'IL4'})"
"frozenset({'Q96NL6', 'Q99615', 'IL4'})"
"frozenset({'Q5H9F3', 'Q99496', 'IL4'})"
"frozenset({'P62195', 'O14818', 'IL4'})"
"frozenset({'Q96PV7', 'Q9UKZ1', 'IL4'})"
"frozenset({'O95251', 'Q9UER7', 'IL4'})"
"frozenset({'Q13643', 'A2RUH7', 'IL4'})"
"frozenset({'Q99538', 'IL4', 'Q04917'})"
"frozenset({'Q15717', 'IL4', 'P35354'})"
"frozenset({'Q00325', 'IL4', 'Q9HCE1'})"
"frozenset({'P00736', 'IL4', 'P0C0L4'})"
"frozenset({'P35913', 'P62873', 'IL4'})"
"frozenset({'Q5T4S7', 'IL4', 'Q5VYK3'})"
"frozenset({'O60941', 'Q9GZM8', 'IL4'})"
"frozenset({'P20823', 'Q9HBY8', 'IL4'})"
"frozenset({'Q9P253', 'IL4', 'Q86VX9'})"
"frozenset({'Q12849', 'P50914', 'IL4'})"
"frozenset({'Q9P0J0', 'P17612', 'IL4'})"
"frozenset({'IL4', 'P19397', 'P17252'})"
"frozenset({'O95219', 'IL4', 'Q9H0H0'})"
"frozenset({'P52566', 'IL4', 'P29353'})"
"frozenset({'Q6PD62', 'Q03164', 'IL4'})"
"frozenset({'P30480', 'IL4', 'P08579'})"
"frozenset({'Q16236', 'P36507', 'IL4'})"
"frozenset({'P51692', 'Q9BTE3', 'IL4'})"
"frozenset({'O00257', 'Q8N448', 'IL4'})"
"frozenset({'P11142', 'P31749', 'IL4'})"
"frozenset({'Q9UBT2', 'O43865', 'IL4'})"
"frozenset({'O75746', 'Q92544', 'IL4'})"
"frozenset({'P61978', 'P55345', 'IL4'})"
"frozenset({'Q9UM47', 'IL4', 'P52943'})"
"frozenset({'Q5JST6', 'O75604', 'IL4'})"
"frozenset({'Q8TEE9', 'P63244', 'IL4'})"
"frozenset({'P25490', 'IL4', 'P49407'})"
"frozenset({'Q9BPU9', 'IL4', 'Q9UKX7'})"
"frozenset({'O95206', 'Q9NRR5', 'IL4'})"
"frozenset({'Q6P4R8', 'IL4', 'P08238'})"
"frozenset({'P27540', 'Q92793', 'IL4'})"
"frozenset({'P82979', 'O00148', 'IL4'})"
"frozenset({'Q13616', 'O43474', 'IL4'})"
"frozenset({'P61221', 'P62273', 'IL4'})"
"frozenset({'P32121', 'Q8NGP0', 'IL4'})"
"frozenset({'P62333', 'P25398', 'IL4'})"
"frozenset({'P56377', 'IL4', 'O14980'})"
"frozenset({'P04626', 'Q99952', 'IL4'})"
