negatives
"frozenset({'O14807', 'EGFR1', 'Q9P2W3'})"
"frozenset({'P49321', 'EGFR1', 'O95352'})"
"frozenset({'P35998', 'EGFR1', 'P50991'})"
"frozenset({'O75147', 'EGFR1', 'P07196'})"
"frozenset({'P98170', 'P63167', 'EGFR1'})"
"frozenset({'P48431', 'EGFR1', 'Q92858'})"
"frozenset({'P19338', 'EGFR1', 'P24941'})"
"frozenset({'Q13459', 'EGFR1', 'Q16513'})"
"frozenset({'Q09028', 'Q8WVD3', 'EGFR1'})"
"frozenset({'Q4VCS5', 'EGFR1', 'Q709F0'})"
"frozenset({'Q96QK1', 'P13612', 'EGFR1'})"
"frozenset({'P06493', 'O15392', 'EGFR1'})"
"frozenset({'Q5H9F3', 'Q93009', 'EGFR1'})"
"frozenset({'P26196', 'EGFR1', 'P31946'})"
"frozenset({'Q09472', 'EGFR1', 'P60568'})"
"frozenset({'Q8TEX9', 'P01106', 'EGFR1'})"
"frozenset({'P01127', 'EGFR1', 'O14786'})"
"frozenset({'EGFR1', 'Q06323', 'P25787'})"
"frozenset({'P56381', 'EGFR1', 'P30049'})"
"frozenset({'P62826', 'EGFR1', 'Q14974'})"
"frozenset({'P37840', 'Q9NZZ3', 'EGFR1'})"
"frozenset({'P51681', 'EGFR1', 'P25098'})"
"frozenset({'P09619', 'P05015', 'EGFR1'})"
"frozenset({'Q9UQR1', 'EGFR1', 'Q13315'})"
"frozenset({'P50548', 'Q2M3V2', 'EGFR1'})"
"frozenset({'Q06187', 'EGFR1', 'P50222'})"
"frozenset({'Q96KQ4', 'EGFR1', 'Q5HYW2'})"
"frozenset({'P46934', 'EGFR1', 'P14784'})"
"frozenset({'P20810', 'P12277', 'EGFR1'})"
"frozenset({'Q9UQ35', 'Q12899', 'EGFR1'})"
"frozenset({'Q96RU7', 'EGFR1', 'Q5RL73'})"
"frozenset({'Q8NI22', 'P62314', 'EGFR1'})"
"frozenset({'Q969S8', 'EGFR1', 'Q7L7L0'})"
"frozenset({'Q16531', 'EGFR1', 'Q96SW2'})"
"frozenset({'Q9Y3M2', 'EGFR1', 'Q5EBL8'})"
"frozenset({'O00560', 'EGFR1', 'Q9NT22'})"
"frozenset({'Q9BXJ1', 'EGFR1', 'Q8WWY3'})"
"frozenset({'Q99873', 'EGFR1', 'P54274'})"
"frozenset({'O95274', 'Q2PZI1', 'EGFR1'})"
"frozenset({'Q15051', 'EGFR1', 'P05023'})"
"frozenset({'EGFR1', 'P50991', 'O95433'})"
"frozenset({'Q8TDD1', 'EGFR1', 'Q9BVK6'})"
"frozenset({'EGFR1', 'Q99523', 'Q9BZF9'})"
"frozenset({'Q9H0W5', 'EGFR1', 'P10412'})"
"frozenset({'Q92630', 'EGFR1', 'P18146'})"
"frozenset({'Q15056', 'P63092', 'EGFR1'})"
"frozenset({'P51610', 'EGFR1', 'P02545'})"
"frozenset({'Q9H9G7', 'P54105', 'EGFR1'})"
"frozenset({'P59022', 'Q15038', 'EGFR1'})"
"frozenset({'P05067', 'EGFR1', 'Q9Y496'})"
"frozenset({'P27635', 'P50914', 'EGFR1'})"
"frozenset({'Q12796', 'EGFR1', 'P10276'})"
"frozenset({'P39023', 'EGFR1', 'P03372'})"
"frozenset({'Q9P2D0', 'EGFR1', 'Q9C0F1'})"
"frozenset({'Q16777', 'Q9NVM4', 'EGFR1'})"
"frozenset({'Q9Y2R0', 'P20674', 'EGFR1'})"
"frozenset({'Q96QF0', 'EGFR1', 'Q5SW79'})"
"frozenset({'EGFR1', 'P22612', 'Q96RD3'})"
"frozenset({'Q96CV9', 'EGFR1', 'Q9BTV5'})"
"frozenset({'O75306', 'Q9UBU9', 'EGFR1'})"
"frozenset({'O75436', 'EGFR1', 'O75351'})"
"frozenset({'Q9UJX3', 'Q96B97', 'EGFR1'})"
"frozenset({'Q96B26', 'EGFR1', 'Q99547'})"
"frozenset({'Q8TCT0', 'P04629', 'EGFR1'})"
"frozenset({'Q96J77', 'EGFR1', 'P08651'})"
"frozenset({'P51665', 'EGFR1', 'O15259'})"
"frozenset({'P42224', 'P55072', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9NVI1', 'Q9P035'})"
"frozenset({'Q13111', 'EGFR1', 'P52701'})"
"frozenset({'O95837', 'P43088', 'EGFR1'})"
"frozenset({'Q96IZ0', 'EGFR1', 'P14416'})"
"frozenset({'Q9UK32', 'EGFR1', 'P26358'})"
"frozenset({'O95007', 'EGFR1', 'Q9P2W3'})"
"frozenset({'P49848', 'P35711', 'EGFR1'})"
"frozenset({'EGFR1', 'P20339', 'Q60I27'})"
"frozenset({'P24928', 'Q09472', 'EGFR1'})"
"frozenset({'O15067', 'Q14164', 'EGFR1'})"
"frozenset({'Q9NQW1', 'P35226', 'EGFR1'})"
"frozenset({'P17987', 'O94905', 'EGFR1'})"
"frozenset({'P49790', 'EGFR1', 'P52292'})"
"frozenset({'P47985', 'P08574', 'EGFR1'})"
"frozenset({'Q9H9J2', 'EGFR1', 'O14958'})"
"frozenset({'Q96MF2', 'Q8N5A5', 'EGFR1'})"
"frozenset({'Q00325', 'P62993', 'EGFR1'})"
"frozenset({'EGFR1', 'P08243', 'Q09666'})"
"frozenset({'P46976', 'EGFR1', 'P10768'})"
"frozenset({'P11229', 'P16520', 'EGFR1'})"
"frozenset({'O76003', 'EGFR1', 'P07237'})"
"frozenset({'EGFR1', 'P61088', 'O76013'})"
"frozenset({'O15294', 'EGFR1', 'O75312'})"
"frozenset({'Q16649', 'Q9UJW3', 'EGFR1'})"
"frozenset({'Q9BT88', 'EGFR1', 'Q92624'})"
"frozenset({'P43405', 'EGFR1', 'P21854'})"
"frozenset({'P41182', 'EGFR1', 'P20823'})"
"frozenset({'P38484', 'EGFR1', 'Q16619'})"
"frozenset({'EGFR1', 'P29353', 'P52566'})"
"frozenset({'EGFR1', 'Q14197', 'Q9Y2R5'})"
"frozenset({'Q969P0', 'Q68D91', 'EGFR1'})"
"frozenset({'Q8TAQ2', 'EGFR1', 'Q02880'})"
"frozenset({'P35611', 'EGFR1', 'P98160'})"
"frozenset({'Q8TBZ2', 'EGFR1', 'P49662'})"
"frozenset({'Q9H0I9', 'EGFR1', 'P35754'})"
"frozenset({'P52435', 'Q3V6T2', 'EGFR1'})"
"frozenset({'P05549', 'EGFR1', 'P62993'})"
"frozenset({'Q9NYF0', 'Q9NRD5', 'EGFR1'})"
"frozenset({'P01106', 'Q03701', 'EGFR1'})"
"frozenset({'P19338', 'EGFR1', 'P35241'})"
"frozenset({'P42574', 'EGFR1', 'O60551'})"
"frozenset({'P62851', 'EGFR1', 'P46776'})"
"frozenset({'Q3SYF9', 'EGFR1', 'Q13554'})"
"frozenset({'Q13191', 'EGFR1', 'P15498'})"
"frozenset({'Q8NHQ1', 'EGFR1', 'P43897'})"
"frozenset({'Q92542', 'P62081', 'EGFR1'})"
"frozenset({'Q96T76', 'Q53GS9', 'EGFR1'})"
"frozenset({'P49366', 'EGFR1', 'O60664'})"
"frozenset({'P62136', 'EGFR1', 'Q8TEC5'})"
"frozenset({'Q9Y312', 'EGFR1', 'Q6P3X3'})"
"frozenset({'Q15014', 'EGFR1', 'P51149'})"
"frozenset({'Q9NP55', 'EGFR1', 'Q9UMX0'})"
"frozenset({'Q13021', 'Q8IUN9', 'EGFR1'})"
"frozenset({'P78527', 'EGFR1', 'Q16526'})"
"frozenset({'P32119', 'EGFR1', 'P00338'})"
"frozenset({'P62487', 'Q9H204', 'EGFR1'})"
"frozenset({'EGFR1', 'P61224', 'Q9Y485'})"
"frozenset({'Q16512', 'Q8TAA9', 'EGFR1'})"
"frozenset({'P19338', 'EGFR1', 'Q9GZQ8'})"
"frozenset({'P07954', 'P21673', 'EGFR1'})"
"frozenset({'Q9UHD0', 'P19235', 'EGFR1'})"
"frozenset({'Q9NQ11', 'EGFR1', 'Q86VZ2'})"
"frozenset({'P18887', 'Q9UNA4', 'EGFR1'})"
"frozenset({'P04629', 'P30260', 'EGFR1'})"
"frozenset({'P36578', 'EGFR1', 'P61513'})"
"frozenset({'Q92925', 'EGFR1', 'Q13200'})"
"frozenset({'P56880', 'Q8N6F1', 'EGFR1'})"
"frozenset({'P07951', 'EGFR1', 'O96000'})"
"frozenset({'P17980', 'Q8N726', 'EGFR1'})"
"frozenset({'P62847', 'P62263', 'EGFR1'})"
"frozenset({'P61927', 'EGFR1', 'P12830'})"
"frozenset({'EGFR1', 'Q13554', 'P27815'})"
"frozenset({'P0C1Z6', 'EGFR1', 'Q8TD31'})"
"frozenset({'P25788', 'EGFR1', 'Q8TAF3'})"
"frozenset({'P17480', 'EGFR1', 'O15160'})"
"frozenset({'EGFR1', 'P40429', 'P62906'})"
"frozenset({'Q9P0L0', 'EGFR1', 'Q96TC7'})"
"frozenset({'P22695', 'EGFR1', 'P06576'})"
"frozenset({'Q8TAU3', 'P25800', 'EGFR1'})"
"frozenset({'Q92905', 'EGFR1', 'Q86UA1'})"
"frozenset({'Q9HB58', 'EGFR1', 'Q96FV9'})"
"frozenset({'Q9GZS3', 'P24928', 'EGFR1'})"
"frozenset({'A3KMH1', 'EGFR1', 'Q9UJX2'})"
"frozenset({'Q13948', 'EGFR1', 'Q9H2C0'})"
"frozenset({'P19474', 'Q9BW85', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9BXW4', 'Q00610'})"
"frozenset({'Q6P1J9', 'EGFR1', 'Q16695'})"
"frozenset({'P38432', 'EGFR1', 'Q96EZ8'})"
"frozenset({'EGFR1', 'P09769', 'Q05397'})"
"frozenset({'P07197', 'EGFR1', 'Q13315'})"
"frozenset({'P55036', 'P40939', 'EGFR1'})"
"frozenset({'Q6WCQ1', 'Q15233', 'EGFR1'})"
"frozenset({'EGFR1', 'P02679', 'P35219'})"
"frozenset({'Q9UNX3', 'EGFR1', 'Q16670'})"
"frozenset({'P62851', 'P06748', 'EGFR1'})"
"frozenset({'EGFR1', 'O14514', 'P78352'})"
"frozenset({'Q9NVN8', 'Q96D46', 'EGFR1'})"
"frozenset({'O60260', 'P27797', 'EGFR1'})"
"frozenset({'Q5T8P6', 'P06400', 'EGFR1'})"
"frozenset({'Q04724', 'P18847', 'EGFR1'})"
"frozenset({'O94903', 'Q96HP4', 'EGFR1'})"
"frozenset({'P53618', 'P49755', 'EGFR1'})"
"frozenset({'P26678', 'EGFR1', 'Q16821'})"
"frozenset({'P04629', 'EGFR1', 'O15160'})"
"frozenset({'Q6A162', 'Q9H1K1', 'EGFR1'})"
"frozenset({'O94806', 'EGFR1', 'P46527'})"
"frozenset({'EGFR1', 'Q8NG84', 'P22612'})"
"frozenset({'Q9Y399', 'Q9Y2R9', 'EGFR1'})"
"frozenset({'Q9BYQ3', 'P32242', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9UHF4', 'P40225'})"
"frozenset({'Q6NZI2', 'EGFR1', 'Q5R372'})"
"frozenset({'P46020', 'O15442', 'EGFR1'})"
"frozenset({'Q6IQ23', 'Q14493', 'EGFR1'})"
"frozenset({'Q99731', 'EGFR1', 'Q9NPB9'})"
"frozenset({'Q13620', 'P49189', 'EGFR1'})"
"frozenset({'O60684', 'Q13547', 'EGFR1'})"
"frozenset({'Q00987', 'EGFR1', 'Q9BQ75'})"
"frozenset({'Q12791', 'EGFR1', 'P56539'})"
"frozenset({'A4D1P6', 'O60506', 'EGFR1'})"
"frozenset({'P10242', 'P19338', 'EGFR1'})"
"frozenset({'Q06547', 'P61968', 'EGFR1'})"
"frozenset({'Q9Y2K1', 'Q9H6Z9', 'EGFR1'})"
"frozenset({'Q8N7W2', 'EGFR1', 'Q9UBU8'})"
"frozenset({'Q5VWG9', 'Q15543', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9NPJ6', 'P40222'})"
"frozenset({'Q17RB8', 'Q92993', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9GZQ8', 'P17844'})"
"frozenset({'Q03112', 'P01100', 'EGFR1'})"
"frozenset({'Q9Y5B8', 'EGFR1', 'O95678'})"
"frozenset({'Q5TC82', 'EGFR1', 'P61088'})"
"frozenset({'A2RU67', 'EGFR1', 'Q8TDX6'})"
"frozenset({'Q9P0W0', 'EGFR1', 'Q8N6P7'})"
"frozenset({'O77932', 'EGFR1', 'Q15024'})"
"frozenset({'P02686', 'Q14164', 'EGFR1'})"
"frozenset({'Q12805', 'EGFR1', 'P06733'})"
"frozenset({'P52803', 'Q8N6L0', 'EGFR1'})"
"frozenset({'Q02156', 'EGFR1', 'P45984'})"
"frozenset({'P35557', 'EGFR1', 'Q14397'})"
"frozenset({'P45983', 'EGFR1', 'P10276'})"
"frozenset({'P42574', 'EGFR1', 'Q16236'})"
"frozenset({'P25490', 'EGFR1', 'P08047'})"
"frozenset({'P49757', 'EGFR1', 'P78318'})"
"frozenset({'P56199', 'EGFR1', 'Q13751'})"
"frozenset({'Q96EN8', 'EGFR1', 'Q92506'})"
"frozenset({'Q9NPF7', 'EGFR1', 'P78552'})"
"frozenset({'EGFR1', 'P05412', 'Q96DV4'})"
"frozenset({'P56279', 'EGFR1', 'O94967'})"
"frozenset({'O95900', 'EGFR1', 'Q9BYD3'})"
"frozenset({'P43694', 'EGFR1', 'Q13976'})"
"frozenset({'EGFR1', 'Q71U36', 'Q01860'})"
"frozenset({'O75593', 'EGFR1', 'Q6PI48'})"
"frozenset({'Q8N3L3', 'EGFR1', 'Q96EV8'})"
"frozenset({'P31146', 'EGFR1', 'P84022'})"
"frozenset({'Q8TAT6', 'EGFR1', 'Q8IZM9'})"
"frozenset({'P68400', 'Q93009', 'EGFR1'})"
"frozenset({'Q6KC79', 'Q9H0W5', 'EGFR1'})"
"frozenset({'P31946', 'EGFR1', 'Q9Y2U5'})"
"frozenset({'EGFR1', 'P12081', 'P49286'})"
"frozenset({'P13646', 'EGFR1', 'O75791'})"
"frozenset({'P10586', 'EGFR1', 'Q92890'})"
"frozenset({'EGFR1', 'P09661', 'O75533'})"
"frozenset({'P31947', 'EGFR1', 'Q14153'})"
"frozenset({'P51687', 'P61968', 'EGFR1'})"
"frozenset({'Q96GD4', 'P06748', 'EGFR1'})"
"frozenset({'Q9UBY0', 'O43745', 'EGFR1'})"
"frozenset({'Q8N3C7', 'Q15645', 'EGFR1'})"
"frozenset({'P12931', 'Q4V348', 'EGFR1'})"
"frozenset({'P05067', 'EGFR1', 'Q8NA03'})"
"frozenset({'O00206', 'EGFR1', 'Q9BT09'})"
"frozenset({'Q9BW83', 'EGFR1', 'Q9P2H3'})"
"frozenset({'P49459', 'P62979', 'EGFR1'})"
"frozenset({'Q9BQS8', 'P60520', 'EGFR1'})"
"frozenset({'Q6A162', 'EGFR1', 'Q9HC98'})"
"frozenset({'O43353', 'EGFR1', 'Q9H257'})"
"frozenset({'Q8NB90', 'EGFR1', 'Q9UHV9'})"
"frozenset({'P61952', 'EGFR1', 'P49286'})"
"frozenset({'P48643', 'EGFR1', 'Q9H6T3'})"
"frozenset({'Q9P1Z2', 'P46934', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9BTV5', 'Q8WUX2'})"
"frozenset({'P11021', 'EGFR1', 'Q9BZG8'})"
"frozenset({'P19012', 'EGFR1', 'Q8N7C3'})"
"frozenset({'EGFR1', 'Q01082', 'Q16539'})"
"frozenset({'EGFR1', 'P55769', 'O00231'})"
"frozenset({'P26373', 'EGFR1', 'P84098'})"
"frozenset({'Q13322', 'Q8IUH5', 'EGFR1'})"
"frozenset({'Q14118', 'P25685', 'EGFR1'})"
"frozenset({'P38936', 'Q13509', 'EGFR1'})"
"frozenset({'Q9HCE1', 'EGFR1', 'Q12986'})"
"frozenset({'P50454', 'EGFR1', 'Q9NRD1'})"
"frozenset({'Q9H0W5', 'EGFR1', 'Q13200'})"
"frozenset({'P51532', 'Q6STE5', 'EGFR1'})"
"frozenset({'Q13485', 'Q00341', 'EGFR1'})"
"frozenset({'Q9H269', 'EGFR1', 'O75400'})"
"frozenset({'O95363', 'EGFR1', 'Q9UN86'})"
"frozenset({'P35968', 'P01127', 'EGFR1'})"
"frozenset({'Q13242', 'P05067', 'EGFR1'})"
"frozenset({'P49639', 'Q86UW9', 'EGFR1'})"
"frozenset({'EGFR1', 'Q7Z419', 'Q9H832'})"
"frozenset({'P51812', 'P23508', 'EGFR1'})"
"frozenset({'Q15717', 'Q86TB9', 'EGFR1'})"
"frozenset({'Q01844', 'O96019', 'EGFR1'})"
"frozenset({'P32455', 'P36873', 'EGFR1'})"
"frozenset({'Q9H0W5', 'Q5JTV8', 'EGFR1'})"
"frozenset({'P68036', 'Q6ZMZ0', 'EGFR1'})"
"frozenset({'Q8IW35', 'EGFR1', 'Q71U36'})"
"frozenset({'Q13404', 'O14730', 'EGFR1'})"
"frozenset({'P35626', 'Q8NH49', 'EGFR1'})"
"frozenset({'P25963', 'EGFR1', 'P34931'})"
"frozenset({'Q13404', 'EGFR1', 'Q9C0C9'})"
"frozenset({'Q659C4', 'Q8NBT0', 'EGFR1'})"
"frozenset({'Q9HC36', 'EGFR1', 'Q9NQ29'})"
"frozenset({'O95816', 'Q9NWA0', 'EGFR1'})"
"frozenset({'Q58FF8', 'Q9Y243', 'EGFR1'})"
"frozenset({'P12755', 'EGFR1', 'P06576'})"
"frozenset({'P38606', 'EGFR1', 'P01011'})"
"frozenset({'Q8N1B4', 'Q8N715', 'EGFR1'})"
"frozenset({'Q16665', 'O75925', 'EGFR1'})"
"frozenset({'Q15041', 'P34897', 'EGFR1'})"
"frozenset({'Q01844', 'EGFR1', 'P50402'})"
"frozenset({'O15164', 'EGFR1', 'P49286'})"
"frozenset({'P49821', 'Q8IWL3', 'EGFR1'})"
"frozenset({'Q9NWS6', 'Q9BPY3', 'EGFR1'})"
"frozenset({'P43243', 'Q99733', 'EGFR1'})"
"frozenset({'Q9H0D6', 'EGFR1', 'Q9HCE1'})"
"frozenset({'P32121', 'O60500', 'EGFR1'})"
"frozenset({'Q07021', 'EGFR1', 'P51398'})"
"frozenset({'Q9Y385', 'O43889', 'EGFR1'})"
"frozenset({'P60896', 'EGFR1', 'P68104'})"
"frozenset({'P35637', 'EGFR1', 'P52565'})"
"frozenset({'P49368', 'P61160', 'EGFR1'})"
"frozenset({'Q14CS0', 'EGFR1', 'Q9GZN1'})"
"frozenset({'P78364', 'Q92769', 'EGFR1'})"
"frozenset({'P98174', 'Q13277', 'EGFR1'})"
"frozenset({'Q53ET0', 'EGFR1', 'Q13131'})"
"frozenset({'Q9NQG5', 'EGFR1', 'O15514'})"
"frozenset({'Q9Y6E0', 'EGFR1', 'Q8TAE6'})"
"frozenset({'P67775', 'EGFR1', 'Q562F6'})"
"frozenset({'O75683', 'EGFR1', 'Q9H9Z2'})"
"frozenset({'Q6K0P9', 'EGFR1', 'O15355'})"
"frozenset({'P13612', 'EGFR1', 'Q9UNQ2'})"
"frozenset({'P49368', 'EGFR1', 'Q02318'})"
"frozenset({'P16871', 'EGFR1', 'P31785'})"
"frozenset({'Q9UM11', 'EGFR1', 'P60484'})"
"frozenset({'Q04864', 'EGFR1', 'Q8IVS8'})"
"frozenset({'EGFR1', 'P35606', 'Q9BV68'})"
"frozenset({'Q8IZD2', 'Q9H5H4', 'EGFR1'})"
"frozenset({'P61289', 'EGFR1', 'P04637'})"
"frozenset({'Q8NEV4', 'EGFR1', 'P40227'})"
"frozenset({'EGFR1', 'O14965', 'Q14203'})"
"frozenset({'P19320', 'EGFR1', 'P49721'})"
"frozenset({'Q15022', 'Q07955', 'EGFR1'})"
"frozenset({'Q5JPE7', 'Q05086', 'EGFR1'})"
"frozenset({'EGFR1', 'P05412', 'P01215'})"
"frozenset({'Q9UGC7', 'EGFR1', 'O60256'})"
"frozenset({'Q8N5I3', 'EGFR1', 'Q9HCK4'})"
"frozenset({'P78559', 'EGFR1', 'P12814'})"
"frozenset({'P51148', 'P20963', 'EGFR1'})"
"frozenset({'Q9Y383', 'EGFR1', 'Q13618'})"
"frozenset({'Q9UN36', 'Q15418', 'EGFR1'})"
"frozenset({'Q00987', 'P62979', 'EGFR1'})"
"frozenset({'Q96QV6', 'EGFR1', 'P0C1H6'})"
"frozenset({'P11142', 'P31749', 'EGFR1'})"
"frozenset({'Q0D2H9', 'EGFR1', 'Q53EZ4'})"
"frozenset({'Q9Y243', 'EGFR1', 'P20248'})"
"frozenset({'Q8IY92', 'EGFR1', 'P02768'})"
"frozenset({'EGFR1', 'P63173', 'Q8WXK4'})"
"frozenset({'P61289', 'Q9BQ83', 'EGFR1'})"
"frozenset({'Q8TAT6', 'EGFR1', 'P05455'})"
"frozenset({'Q9Y490', 'EGFR1', 'Q6PGP7'})"
"frozenset({'P06493', 'Q9GZV5', 'EGFR1'})"
"frozenset({'Q13469', 'EGFR1', 'O43463'})"
"frozenset({'Q9UJX2', 'EGFR1', 'Q8WWY3'})"
"frozenset({'EGFR1', 'P22694', 'P61158'})"
"frozenset({'Q17RP2', 'P37802', 'EGFR1'})"
"frozenset({'Q16665', 'P38398', 'EGFR1'})"
"frozenset({'Q9H944', 'EGFR1', 'Q9UBK2'})"
"frozenset({'Q99757', 'EGFR1', 'O75934'})"
"frozenset({'P11137', 'EGFR1', 'P18146'})"
"frozenset({'Q8WXX5', 'EGFR1', 'P05412'})"
"frozenset({'P24385', 'Q9UBU9', 'EGFR1'})"
"frozenset({'Q2M2I8', 'Q8TCY9', 'EGFR1'})"
"frozenset({'P28222', 'O14610', 'EGFR1'})"
"frozenset({'P42224', 'EGFR1', 'P19438'})"
"frozenset({'P10606', 'Q8ND90', 'EGFR1'})"
"frozenset({'O00505', 'EGFR1', 'Q9BY77'})"
"frozenset({'Q96GX9', 'EGFR1', 'Q76G19'})"
"frozenset({'O15372', 'Q14240', 'EGFR1'})"
"frozenset({'P17301', 'EGFR1', 'Q07890'})"
"frozenset({'Q02930', 'P15336', 'EGFR1'})"
"frozenset({'Q6A162', 'EGFR1', 'Q5T686'})"
"frozenset({'Q04724', 'EGFR1', 'Q04206'})"
"frozenset({'Q14244', 'P62714', 'EGFR1'})"
"frozenset({'Q9BWC9', 'EGFR1', 'P04637'})"
"frozenset({'EGFR1', 'Q86XI2', 'P03372'})"
"frozenset({'Q9BRQ0', 'Q6P1J9', 'EGFR1'})"
"frozenset({'EGFR1', 'P52739', 'Q9NS73'})"
"frozenset({'O60260', 'P43243', 'EGFR1'})"
"frozenset({'P49459', 'P35613', 'EGFR1'})"
"frozenset({'P04843', 'EGFR1', 'P62195'})"
"frozenset({'Q9Y3M2', 'EGFR1', 'Q9NQT8'})"
"frozenset({'P01308', 'P35568', 'EGFR1'})"
"frozenset({'EGFR1', 'Q8WYA6', 'Q7Z7H3'})"
"frozenset({'O15123', 'P22455', 'EGFR1'})"
"frozenset({'Q9UBS0', 'Q15185', 'EGFR1'})"
"frozenset({'P35908', 'EGFR1', 'P07477'})"
"frozenset({'Q04917', 'Q9H902', 'EGFR1'})"
"frozenset({'Q14999', 'Q9NVI7', 'EGFR1'})"
"frozenset({'Q8IZ83', 'Q92945', 'EGFR1'})"
"frozenset({'P35226', 'EGFR1', 'Q96T58'})"
"frozenset({'P53779', 'EGFR1', 'Q9UK08'})"
"frozenset({'Q08380', 'EGFR1', 'P21926'})"
"frozenset({'Q9BRA0', 'EGFR1', 'Q9UK45'})"
"frozenset({'Q9Y3Q8', 'EGFR1', 'P10909'})"
"frozenset({'EGFR1', 'Q567U6', 'O00327'})"
"frozenset({'O00625', 'P07954', 'EGFR1'})"
"frozenset({'Q5JSZ5', 'EGFR1', 'Q96M94'})"
"frozenset({'Q9GZR7', 'EGFR1', 'Q99848'})"
"frozenset({'Q9Y6J0', 'EGFR1', 'Q96JC9'})"
"frozenset({'Q15287', 'EGFR1', 'P46781'})"
"frozenset({'Q01844', 'P15036', 'EGFR1'})"
"frozenset({'Q13620', 'Q9Y224', 'EGFR1'})"
"frozenset({'Q86VM9', 'EGFR1', 'Q13618'})"
"frozenset({'Q9NX09', 'EGFR1', 'Q7Z6Z7'})"
"frozenset({'P01100', 'EGFR1', 'P40189'})"
"frozenset({'Q14318', 'P17980', 'EGFR1'})"
"frozenset({'Q9ULK4', 'EGFR1', 'Q15046'})"
"frozenset({'Q96RT8', 'Q06609', 'EGFR1'})"
"frozenset({'Q15833', 'EGFR1', 'Q15349'})"
"frozenset({'O14964', 'P42566', 'EGFR1'})"
"frozenset({'P04150', 'EGFR1', 'O43294'})"
"frozenset({'O60260', 'P07355', 'EGFR1'})"
"frozenset({'P05067', 'EGFR1', 'P40337'})"
"frozenset({'Q14839', 'O14862', 'EGFR1'})"
"frozenset({'P29590', 'EGFR1', 'P23769'})"
"frozenset({'Q15397', 'Q9UBU9', 'EGFR1'})"
"frozenset({'EGFR1', 'P20336', 'P16035'})"
"frozenset({'O60359', 'EGFR1', 'Q13555'})"
"frozenset({'Q96PY5', 'EGFR1', 'Q9Y3D0'})"
"frozenset({'P07737', 'EGFR1', 'O15264'})"
"frozenset({'Q9Y4P8', 'P50570', 'EGFR1'})"
"frozenset({'P51148', 'Q9UBU9', 'EGFR1'})"
"frozenset({'P46108', 'EGFR1', 'Q92569'})"
"frozenset({'Q9NUQ7', 'P10321', 'EGFR1'})"
"frozenset({'P26038', 'P16871', 'EGFR1'})"
"frozenset({'Q9Y294', 'EGFR1', 'Q8IWY9'})"
"frozenset({'Q96BD5', 'EGFR1', 'P05412'})"
"frozenset({'P11172', 'EGFR1', 'Q9H4A4'})"
"frozenset({'P62995', 'EGFR1', 'Q01860'})"
"frozenset({'Q9H9S0', 'EGFR1', 'P10070'})"
"frozenset({'Q9BSB4', 'P78527', 'EGFR1'})"
"frozenset({'Q9UKJ3', 'EGFR1', 'O43251'})"
"frozenset({'EGFR1', 'Q5VT06', 'O60308'})"
"frozenset({'O15354', 'P25685', 'EGFR1'})"
"frozenset({'EGFR1', 'Q13885', 'Q9BUU2'})"
"frozenset({'P22090', 'P62263', 'EGFR1'})"
"frozenset({'Q15397', 'P34897', 'EGFR1'})"
"frozenset({'P01024', 'EGFR1', 'Q8N9F7'})"
"frozenset({'Q9BQ66', 'EGFR1', 'Q9Y223'})"
"frozenset({'Q96IZ5', 'P61978', 'EGFR1'})"
"frozenset({'P07550', 'P41220', 'EGFR1'})"
"frozenset({'Q15717', 'EGFR1', 'Q9Y2D0'})"
"frozenset({'Q99496', 'EGFR1', 'Q6UN15'})"
"frozenset({'Q9BQ67', 'O14980', 'EGFR1'})"
"frozenset({'Q96MM6', 'EGFR1', 'O76011'})"
"frozenset({'Q8N5J2', 'EGFR1', 'Q96IK5'})"
"frozenset({'P41227', 'EGFR1', 'Q9GZZ1'})"
"frozenset({'Q9GZT6', 'EGFR1', 'P30044'})"
"frozenset({'Q9UJV9', 'EGFR1', 'P38919'})"
"frozenset({'O00305', 'EGFR1', 'Q15172'})"
"frozenset({'Q99572', 'EGFR1', 'O75031'})"
"frozenset({'P22626', 'EGFR1', 'Q9P2K2'})"
"frozenset({'Q92858', 'Q9NRF8', 'EGFR1'})"
"frozenset({'Q06547', 'P25800', 'EGFR1'})"
"frozenset({'P37231', 'EGFR1', 'Q13772'})"
"frozenset({'EGFR1', 'Q9Y2D8', 'P25791'})"
"frozenset({'Q92604', 'EGFR1', 'P34931'})"
"frozenset({'Q9HA38', 'EGFR1', 'Q15633'})"
"frozenset({'Q9UHA7', 'O75150', 'EGFR1'})"
"frozenset({'Q8N0Z3', 'Q9H6D7', 'EGFR1'})"
"frozenset({'P62899', 'EGFR1', 'P46781'})"
"frozenset({'P51636', 'EGFR1', 'P00533'})"
"frozenset({'Q9BRR9', 'A8MQ03', 'EGFR1'})"
"frozenset({'Q8WUI4', 'EGFR1', 'Q6FI13'})"
"frozenset({'P04629', 'EGFR1', 'Q01780'})"
"frozenset({'O75787', 'EGFR1', 'P06733'})"
