negatives
"frozenset({'Q6NUK4', 'P31947', 'Notch'})"
"frozenset({'O60711', 'P01137', 'Notch'})"
"frozenset({'Notch', 'Q96CW1', 'P35908'})"
"frozenset({'P22626', 'Notch', 'P40337'})"
"frozenset({'Notch', 'P42224', 'Q9Y566'})"
"frozenset({'P36873', 'O60840', 'Notch'})"
"frozenset({'Notch', 'P06276', 'Q9Y215'})"
"frozenset({'Notch', 'O14775', 'P11229'})"
"frozenset({'Notch', 'P61221', 'A6NNT2'})"
"frozenset({'Notch', 'Q58A45', 'Q9Y4F3'})"
"frozenset({'P49841', 'O95996', 'Notch'})"
"frozenset({'Notch', 'Q9ULR3', 'Q9BQK8'})"
"frozenset({'Notch', 'Q9Y6H1', 'P25705'})"
"frozenset({'Notch', 'O75330', 'Q13190'})"
"frozenset({'Notch', 'Q8TE12', 'O00505'})"
"frozenset({'Notch', 'Q14129', 'P15884'})"
"frozenset({'P54253', 'Notch', 'P34932'})"
"frozenset({'Notch', 'Q9GZX6', 'P78552'})"
"frozenset({'Notch', 'Q96L14', 'O94854'})"
"frozenset({'Notch', 'Q99460', 'Q9UBU9'})"
"frozenset({'Notch', 'O60346', 'P52799'})"
"frozenset({'Notch', 'Q7Z6Z7', 'Q9NZC7'})"
"frozenset({'P46940', 'Q93009', 'Notch'})"
"frozenset({'Notch', 'P16035', 'Q86SQ4'})"
"frozenset({'Notch', 'Q9BYD3', 'P49760'})"
"frozenset({'Notch', 'Q08828', 'P61952'})"
"frozenset({'Notch', 'Q9UJV3', 'Q96M95'})"
"frozenset({'Q5S007', 'Q15628', 'Notch'})"
"frozenset({'Notch', 'P04629', 'P35249'})"
"frozenset({'Notch', 'P06753', 'P13805'})"
"frozenset({'Notch', 'Q96GD4', 'Q16695'})"
"frozenset({'P55197', 'Q12824', 'Notch'})"
"frozenset({'Notch', 'Q13617', 'P23396'})"
"frozenset({'Notch', 'Q13153', 'P78545'})"
"frozenset({'Notch', 'Q9NYJ8', 'Q13546'})"
"frozenset({'Notch', 'Q8WYH8', 'P24941'})"
"frozenset({'Notch', 'P25685', 'Q8IW41'})"
"frozenset({'Q9UKW4', 'P09619', 'Notch'})"
"frozenset({'Notch', 'P35520', 'Q9UER7'})"
"frozenset({'Notch', 'Q8N6G5', 'Q9BS91'})"
"frozenset({'Notch', 'Q16778', 'Q09472'})"
"frozenset({'Notch', 'Q8NGB4', 'P38405'})"
"frozenset({'Notch', 'P10636', 'Q96RG2'})"
"frozenset({'Notch', 'Q15287', 'P21127'})"
"frozenset({'Q8IWL3', 'Q6Y1H2', 'Notch'})"
"frozenset({'P17858', 'P27540', 'Notch'})"
"frozenset({'Notch', 'Q99962', 'Q9Y2H0'})"
"frozenset({'Notch', 'Q86YP4', 'Q06330'})"
"frozenset({'Q8NER5', 'P01137', 'Notch'})"
"frozenset({'Notch', 'O94986', 'O00444'})"
"frozenset({'P60329', 'Notch', 'Q8NA54'})"
"frozenset({'Notch', 'O00471', 'Q9NV70'})"
"frozenset({'Notch', 'P46527', 'O75530'})"
"frozenset({'Notch', 'P27816', 'P78362'})"
"frozenset({'Notch', 'P23276', 'P51811'})"
"frozenset({'Notch', 'P42702', 'P22301'})"
"frozenset({'Q92569', 'P02585', 'Notch'})"
"frozenset({'Notch', 'Q12906', 'P35268'})"
"frozenset({'Notch', 'O15467', 'P51681'})"
"frozenset({'Notch', 'Q8N9W6', 'Q86Y33'})"
"frozenset({'Notch', 'P63000', 'Q8NF50'})"
"frozenset({'Notch', 'Q9P2W3', 'Q8NG94'})"
"frozenset({'Notch', 'Q6PGQ7', 'P50750'})"
"frozenset({'Notch', 'P60033', 'P11940'})"
"frozenset({'Q07817', 'Notch', 'Q9NP97'})"
"frozenset({'Notch', 'P15822', 'Q9UKB1'})"
"frozenset({'Notch', 'Q9NVX2', 'O75147'})"
"frozenset({'O43852', 'Notch', 'O14744'})"
"frozenset({'Notch', 'Q8N0V5', 'Q05707'})"
"frozenset({'Notch', 'A6NC98', 'Q9BXY8'})"
"frozenset({'P09651', 'Q9UKV3', 'Notch'})"
"frozenset({'Notch', 'Q14469', 'P34932'})"
"frozenset({'Notch', 'P00533', 'Q9UKG1'})"
"frozenset({'O75940', 'Notch', 'Q14974'})"
"frozenset({'Notch', 'P60953', 'Q86VI3'})"
"frozenset({'Q03135', 'P20648', 'Notch'})"
"frozenset({'Notch', 'Q9BR76', 'Q9ULV4'})"
"frozenset({'Notch', 'Q8WUH2', 'Q13485'})"
"frozenset({'Notch', 'Q9NYB0', 'Q8N8S7'})"
"frozenset({'Q9C086', 'Q9NRD5', 'Notch'})"
"frozenset({'Q9NRH1', 'Notch', 'Q14194'})"
"frozenset({'Notch', 'Q9BVI4', 'Q68CZ1'})"
"frozenset({'P09496', 'Notch', 'Q9NQW6'})"
"frozenset({'Notch', 'Q6NYC1', 'P62805'})"
"frozenset({'Notch', 'Q9BYT8', 'O14772'})"
"frozenset({'Notch', 'A2VDF0', 'Q96RS6'})"
"frozenset({'Notch', 'Q5VUJ6', 'Q9UKB1'})"
"frozenset({'Notch', 'P52564', 'P61224'})"
"frozenset({'Notch', 'P10275', 'P09086'})"
"frozenset({'Notch', 'Q2MV58', 'Q8NBJ5'})"
"frozenset({'Notch', 'Q12952', 'Q13416'})"
"frozenset({'Q92769', 'Notch', 'P03372'})"
"frozenset({'Q9UBB9', 'Notch', 'Q9Y371'})"
"frozenset({'Notch', 'Q12933', 'Q92905'})"
"frozenset({'Notch', 'Q96NY9', 'A4GXA9'})"
"frozenset({'O75365', 'Notch', 'Q7Z4Q2'})"
"frozenset({'Notch', 'O00401', 'P17301'})"
"frozenset({'Notch', 'Q06323', 'P55809'})"
"frozenset({'Notch', 'Q14197', 'Q9Y3D9'})"
"frozenset({'P32242', 'Notch', 'Q6L8G9'})"
"frozenset({'Notch', 'Q9UBU9', 'P06753'})"
"frozenset({'Notch', 'Q9Y3M2', 'P31749'})"
"frozenset({'Notch', 'P26367', 'Q96Q77'})"
"frozenset({'Q9Y3T9', 'Notch', 'O14980'})"
"frozenset({'O43255', 'Notch', 'Q9ULD0'})"
"frozenset({'Notch', 'P09211', 'P49639'})"
"frozenset({'P67870', 'P47710', 'Notch'})"
"frozenset({'Notch', 'Q9BSF4', 'O00483'})"
"frozenset({'Notch', 'P55157', 'Q92918'})"
"frozenset({'Notch', 'P17948', 'O43915'})"
"frozenset({'Notch', 'P62993', 'Q00610'})"
"frozenset({'O75928', 'Notch', 'P14136'})"
"frozenset({'Notch', 'Q96IK5', 'Q8IY34'})"
"frozenset({'Notch', 'P61221', 'Q15388'})"
"frozenset({'Notch', 'Q6ZU80', 'P40222'})"
"frozenset({'P31689', 'Notch', 'Q6ZRF8'})"
"frozenset({'Notch', 'Q5T686', 'Q5TAB7'})"
"frozenset({'Q8IWZ5', 'Notch', 'Q9BYE3'})"
"frozenset({'Notch', 'P26010', 'P49023'})"
"frozenset({'Q8WWM7', 'Notch', 'P13612'})"
"frozenset({'Notch', 'Q13868', 'Q9Y2L1'})"
"frozenset({'Notch', 'P27658', 'Q02446'})"
"frozenset({'Notch', 'Q93009', 'Q96AP0'})"
"frozenset({'Q9H477', 'Q8N4Q0', 'Notch'})"
"frozenset({'Notch', 'Q7L5Y9', 'Q6VN20'})"
"frozenset({'Notch', 'P04908', 'Q969S8'})"
"frozenset({'Notch', 'P30622', 'Q14839'})"
"frozenset({'Notch', 'Q2KHM9', 'Q9P2S5'})"
"frozenset({'P46531', 'Notch', 'Q9UPN7'})"
"frozenset({'Notch', 'Q13555', 'Q4G163'})"
"frozenset({'Notch', 'Q9H0R8', 'P23109'})"
"frozenset({'Notch', 'Q9Y2I6', 'O60293'})"
"frozenset({'Notch', 'P49411', 'P62244'})"
"frozenset({'Notch', 'P06493', 'P41279'})"
"frozenset({'Notch', 'P13612', 'P08572'})"
"frozenset({'Notch', 'Q9NZJ0', 'O14757'})"
"frozenset({'P09651', 'Notch', 'P23528'})"
"frozenset({'Notch', 'Q9NPJ6', 'P78406'})"
"frozenset({'Notch', 'P42166', 'P68400'})"
"frozenset({'Notch', 'Q8N6L0', 'Q8IVJ1'})"
"frozenset({'Notch', 'O76081', 'Q96CS3'})"
"frozenset({'Notch', 'Q15072', 'Q03405'})"
"frozenset({'Notch', 'Q96P70', 'Q8IZT6'})"
"frozenset({'Notch', 'P62701', 'Q13557'})"
"frozenset({'Notch', 'Q16821', 'P46013'})"
"frozenset({'Notch', 'P14625', 'P19388'})"
"frozenset({'Notch', 'P62877', 'Q15910'})"
"frozenset({'Notch', 'Q00987', 'Q9NRG0'})"
"frozenset({'Notch', 'P51172', 'P63208'})"
"frozenset({'Q96CG3', 'Q9UBU9', 'Notch'})"
"frozenset({'Notch', 'Q9P283', 'P04183'})"
"frozenset({'Q86YJ7', 'P00533', 'Notch'})"
"frozenset({'Notch', 'P62306', 'P62304'})"
"frozenset({'Q66K74', 'Q08830', 'Notch'})"
"frozenset({'Q9H0E3', 'Notch', 'P50402'})"
"frozenset({'Notch', 'Q9UHD1', 'O95433'})"
"frozenset({'Notch', 'P52815', 'Q9HD33'})"
"frozenset({'Notch', 'Q6PEX3', 'Q6L8G9'})"
"frozenset({'Notch', 'Q5TA76', 'Q9BYR2'})"
"frozenset({'Notch', 'P55072', 'O43707'})"
"frozenset({'Notch', 'P62854', 'P61254'})"
"frozenset({'Notch', 'B7ZAQ6', 'Q96GX1'})"
"frozenset({'Notch', 'Q12906', 'Q9BYD2'})"
"frozenset({'Notch', 'O60725', 'Q15717'})"
"frozenset({'Notch', 'Q8WXI9', 'O14862'})"
"frozenset({'P49238', 'Notch', 'P04899'})"
"frozenset({'Notch', 'Q99598', 'Q01081'})"
"frozenset({'Notch', 'Q6NUJ2', 'P60328'})"
"frozenset({'Notch', 'P61218', 'Q5VTH2'})"
"frozenset({'Notch', 'Q8TCJ0', 'Q13451'})"
"frozenset({'Notch', 'P32121', 'P31749'})"
"frozenset({'Notch', 'Q15717', 'P42694'})"
"frozenset({'Notch', 'Q9HCH0', 'P25054'})"
"frozenset({'P36873', 'O95639', 'Notch'})"
"frozenset({'Notch', 'O95232', 'P62316'})"
"frozenset({'Notch', 'P06493', 'Q99708'})"
"frozenset({'Notch', 'Q9H898', 'Q13618'})"
"frozenset({'Notch', 'Q9UBX7', 'Q9UQ49'})"
"frozenset({'Notch', 'P27824', 'Q9Y4K3'})"
"frozenset({'Notch', 'P84103', 'O95400'})"
"frozenset({'Notch', 'P15036', 'Q6SJ96'})"
"frozenset({'Notch', 'P62263', 'P52272'})"
"frozenset({'Notch', 'Q9UBB4', 'Q9Y5J5'})"
"frozenset({'Notch', 'P0CG04', 'Q8IY92'})"
"frozenset({'Notch', 'P51668', 'Q15034'})"
"frozenset({'Notch', 'Q96EE3', 'Q9P2P5'})"
"frozenset({'Notch', 'P83731', 'P04637'})"
"frozenset({'Notch', 'P07947', 'P62140'})"
"frozenset({'Notch', 'P19838', 'P17980'})"
"frozenset({'Notch', 'O75593', 'Q86T24'})"
"frozenset({'Notch', 'Q9BQY4', 'Q5VWP2'})"
"frozenset({'Notch', 'P52735', 'Q15633'})"
"frozenset({'Notch', 'Q99665', 'P15018'})"
"frozenset({'Notch', 'O75582', 'P33778'})"
"frozenset({'Notch', 'O95486', 'O75081'})"
"frozenset({'Notch', 'Q6ZS27', 'Q13077'})"
"frozenset({'Notch', 'Q7Z2E3', 'Q5VT06'})"
"frozenset({'Notch', 'Q5T5C0', 'P32856'})"
"frozenset({'Notch', 'P38405', 'Q8NGS2'})"
"frozenset({'Q01860', 'Q9BXW9', 'Notch'})"
"frozenset({'Notch', 'Q96KS0', 'Q99814'})"
"frozenset({'Q13508', 'P53708', 'Notch'})"
"frozenset({'Notch', 'Q5W5X9', 'Q96R06'})"
"frozenset({'Q9NWT6', 'Q2TAL8', 'Notch'})"
"frozenset({'P54619', 'Notch', 'O00418'})"
"frozenset({'Notch', 'Q12834', 'Q9Y4A5'})"
"frozenset({'Notch', 'P62979', 'P55854'})"
"frozenset({'Notch', 'Q86XR8', 'P61962'})"
"frozenset({'Notch', 'Q01780', 'P04180'})"
"frozenset({'Notch', 'Q9UQ84', 'P62258'})"
"frozenset({'Notch', 'Q9UMS4', 'Q13573'})"
"frozenset({'Notch', 'Q9ULV5', 'P52564'})"
"frozenset({'Notch', 'O75914', 'P52198'})"
"frozenset({'Notch', 'P60660', 'P35749'})"
"frozenset({'Notch', 'P50613', 'Q6ZYL4'})"
"frozenset({'Notch', 'P12532', 'Q14164'})"
"frozenset({'Notch', 'P52597', 'P19838'})"
"frozenset({'Q14055', 'Notch', 'P26012'})"
"frozenset({'Q8NF91', 'Notch', 'Q14134'})"
"frozenset({'Notch', 'P68104', 'Q9UKV5'})"
"frozenset({'Notch', 'P19087', 'O95573'})"
"frozenset({'Notch', 'Q9HAU4', 'P12757'})"
"frozenset({'Notch', 'Q9Y446', 'Q562F6'})"
"frozenset({'O15259', 'Q9UBK9', 'Notch'})"
"frozenset({'Notch', 'Q13490', 'Q96HA8'})"
"frozenset({'Notch', 'Q9UKL0', 'Q9UHJ3'})"
"frozenset({'Notch', 'Q9Y6N6', 'Q14118'})"
"frozenset({'Notch', 'O00625', 'P23528'})"
"frozenset({'Q2TAY7', 'Notch', 'P49792'})"
"frozenset({'O60264', 'P46531', 'Notch'})"
"frozenset({'Notch', 'Q9UG63', 'Q7Z2Z2'})"
"frozenset({'Notch', 'P29400', 'P26012'})"
"frozenset({'Q92569', 'P47897', 'Notch'})"
"frozenset({'Notch', 'Q86Z20', 'Q96LM5'})"
"frozenset({'Notch', 'Q9P2K3', 'Q13547'})"
"frozenset({'Notch', 'Q9BPZ7', 'Q9BQ89'})"
"frozenset({'P31948', 'Notch', 'O95816'})"
"frozenset({'Notch', 'O14607', 'P32119'})"
"frozenset({'Notch', 'P27540', 'P68400'})"
"frozenset({'Notch', 'Q14008', 'P04629'})"
"frozenset({'Notch', 'P55198', 'Q15744'})"
"frozenset({'Q7L2J0', 'Notch', 'Q9P227'})"
"frozenset({'Notch', 'P45983', 'P05067'})"
"frozenset({'Notch', 'Q9Y5B9', 'Q9H9S0'})"
"frozenset({'Notch', 'P41597', 'O60674'})"
"frozenset({'P48145', 'Q8N729', 'Notch'})"
"frozenset({'P12931', 'P23246', 'Notch'})"
"frozenset({'Notch', 'P04629', 'P50748'})"
"frozenset({'Notch', 'Q14103', 'Q8TAD4'})"
"frozenset({'Notch', 'P11940', 'P38398'})"
"frozenset({'Q9UM47', 'P07949', 'Notch'})"
"frozenset({'Notch', 'Q7L0Q8', 'Q0D2I5'})"
"frozenset({'Notch', 'P23396', 'Q9NRX1'})"
"frozenset({'Notch', 'Q9UHB6', 'Q9UGI8'})"
"frozenset({'Notch', 'P63096', 'P17252'})"
"frozenset({'Notch', 'P05067', 'Q9HC62'})"
"frozenset({'Notch', 'P17980', 'Q7L5Y9'})"
"frozenset({'Notch', 'Q15276', 'Q9H5N1'})"
"frozenset({'Notch', 'O15357', 'P21709'})"
"frozenset({'Notch', 'O94776', 'Q96HR3'})"
"frozenset({'P61981', 'P63104', 'Notch'})"
"frozenset({'Notch', 'O43921', 'P06241'})"
"frozenset({'Notch', 'P17861', 'Q15650'})"
"frozenset({'Notch', 'Q99728', 'Q15717'})"
"frozenset({'Notch', 'Q6KC79', 'O95084'})"
"frozenset({'Notch', 'Q6L8H2', 'A8MQ03'})"
"frozenset({'Notch', 'Q6PIU2', 'Q96EQ0'})"
"frozenset({'Notch', 'Q96RS0', 'Q13203'})"
"frozenset({'P05412', 'Notch', 'P35249'})"
"frozenset({'Notch', 'P40227', 'P50213'})"
"frozenset({'Notch', 'Q13636', 'P26374'})"
"frozenset({'Notch', 'P16035', 'P61289'})"
"frozenset({'O00329', 'Q9UBK5', 'Notch'})"
"frozenset({'Notch', 'P42331', 'P28340'})"
"frozenset({'Notch', 'P31947', 'P62269'})"
"frozenset({'Notch', 'P04637', 'P49757'})"
"frozenset({'Notch', 'Q86X55', 'Q15717'})"
"frozenset({'Notch', 'O14757', 'Q13470'})"
"frozenset({'Notch', 'Q99496', 'Q9HC52'})"
"frozenset({'Notch', 'O96008', 'O95831'})"
"frozenset({'Notch', 'O00267', 'Q9UMX5'})"
"frozenset({'Notch', 'Q9UHD9', 'Q70CQ2'})"
"frozenset({'Notch', 'P62987', 'P63027'})"
"frozenset({'O75044', 'Notch', 'O15075'})"
"frozenset({'Q9GZT3', 'Q7Z3Y8', 'Notch'})"
"frozenset({'O60885', 'Notch', 'Q9UGL1'})"
"frozenset({'Notch', 'P19838', 'P25490'})"
"frozenset({'Notch', 'O00255', 'P34932'})"
"frozenset({'Notch', 'Q00978', 'O95231'})"
"frozenset({'Notch', 'O95861', 'Q9Y316'})"
"frozenset({'O60264', 'O00159', 'Notch'})"
"frozenset({'P50552', 'P08648', 'Notch'})"
"frozenset({'Notch', 'Q13283', 'Q9UNN5'})"
"frozenset({'Notch', 'P50395', 'P35241'})"
"frozenset({'Notch', 'Q96AH8', 'Q9NY65'})"
"frozenset({'Notch', 'P06737', 'Q96NL6'})"
"frozenset({'P40763', 'Q93009', 'Notch'})"
"frozenset({'Notch', 'Q13506', 'Q9HCE1'})"
"frozenset({'Q9UQK1', 'O96017', 'Notch'})"
"frozenset({'Notch', 'Q5T751', 'Q9BQ66'})"
"frozenset({'Notch', 'Q96EY7', 'O60506'})"
"frozenset({'Notch', 'O00192', 'P04629'})"
"frozenset({'Q96GX9', 'P36873', 'Notch'})"
"frozenset({'Notch', 'Q9ULV5', 'Q8IZ13'})"
"frozenset({'Notch', 'O95786', 'Q14164'})"
"frozenset({'P60763', 'Q7L576', 'Notch'})"
"frozenset({'Notch', 'P08238', 'P14598'})"
"frozenset({'Notch', 'Q9H9A5', 'O94986'})"
"frozenset({'Notch', 'P40227', 'O95433'})"
"frozenset({'Notch', 'P27348', 'O60488'})"
"frozenset({'Q86Y28', 'O75360', 'Notch'})"
"frozenset({'Notch', 'P04629', 'Q8WUM0'})"
"frozenset({'Notch', 'Q92540', 'Q15717'})"
"frozenset({'Notch', 'Q92766', 'Q8TDX7'})"
"frozenset({'Notch', 'Q92830', 'P13010'})"
"frozenset({'Notch', 'O14775', 'P41586'})"
"frozenset({'Q03135', 'O75581', 'Notch'})"
"frozenset({'Notch', 'P12532', 'P07099'})"
"frozenset({'Notch', 'Q9P2W3', 'Q8NG77'})"
"frozenset({'Notch', 'P31946', 'Q9NZJ0'})"
"frozenset({'Notch', 'Q9Y2Z4', 'O14979'})"
"frozenset({'Notch', 'Q14019', 'P52565'})"
"frozenset({'Notch', 'Q06124', 'Q9H3M7'})"
"frozenset({'Notch', 'Q9UBX3', 'Q9P0J0'})"
"frozenset({'Notch', 'Q8N6L0', 'O75425'})"
"frozenset({'Notch', 'P35998', 'P07437'})"
"frozenset({'Notch', 'Q9UMX0', 'P54252'})"
"frozenset({'Notch', 'Q86UW9', 'P62760'})"
"frozenset({'A6NEM1', 'Q96SQ5', 'Notch'})"
"frozenset({'Notch', 'Q13224', 'Q05209'})"
"frozenset({'Notch', 'Q13368', 'Q01101'})"
"frozenset({'Notch', 'P07900', 'Q96SW2'})"
"frozenset({'Notch', 'P00533', 'P10275'})"
"frozenset({'Notch', 'Q9H467', 'P27361'})"
"frozenset({'Notch', 'P27361', 'Q9HBH9'})"
"frozenset({'Notch', 'Q8NCD3', 'P31749'})"
"frozenset({'P49448', 'Notch', 'Q99496'})"
"frozenset({'P09936', 'P63279', 'Notch'})"
"frozenset({'Q9UBB9', 'Q9BT49', 'Notch'})"
"frozenset({'Notch', 'Q13642', 'Q96SB4'})"
"frozenset({'Notch', 'P56945', 'Q06124'})"
"frozenset({'Notch', 'Q9UBZ9', 'Q9UI95'})"
"frozenset({'Notch', 'O00459', 'Q9HBH0'})"
"frozenset({'O95365', 'P14921', 'Notch'})"
"frozenset({'Notch', 'O43679', 'P25800'})"
"frozenset({'Notch', 'Q8TEX9', 'Q92973'})"
"frozenset({'Notch', 'Q93009', 'Q9NZJ7'})"
"frozenset({'Q9BQE9', 'P51532', 'Notch'})"
"frozenset({'O60307', 'Q8N122', 'Notch'})"
"frozenset({'Notch', 'P07550', 'P38646'})"
"frozenset({'Notch', 'P11047', 'P26006'})"
"frozenset({'Notch', 'O75469', 'P17252'})"
"frozenset({'P07737', 'Notch', 'P13612'})"
"frozenset({'Notch', 'Q15287', 'P61978'})"
"frozenset({'Notch', 'O75934', 'P15884'})"
"frozenset({'Q5JU00', 'P54132', 'Notch'})"
"frozenset({'Notch', 'P56279', 'Q96HA8'})"
"frozenset({'Notch', 'P61604', 'Q01995'})"
"frozenset({'Notch', 'Q13619', 'P00918'})"
"frozenset({'P14136', 'Q96HA1', 'Notch'})"
"frozenset({'Notch', 'P28288', 'Q15154'})"
"frozenset({'Notch', 'Q96DF8', 'Q01844'})"
"frozenset({'Notch', 'P17600', 'P29475'})"
"frozenset({'Q5VSG8', 'Q9HAT2', 'Notch'})"
"frozenset({'Notch', 'Q9Y2I6', 'O75420'})"
"frozenset({'Notch', 'Q99558', 'O15111'})"
"frozenset({'Notch', 'P49790', 'P03372'})"
"frozenset({'Notch', 'Q14257', 'P62258'})"
"frozenset({'Q9UHF4', 'P05014', 'Notch'})"
"frozenset({'Notch', 'P48552', 'Q99873'})"
"frozenset({'Notch', 'P05787', 'O95757'})"
"frozenset({'Notch', 'Q8IVT2', 'Q99615'})"
"frozenset({'Notch', 'P05067', 'Q7L985'})"
"frozenset({'Notch', 'Q15365', 'O75147'})"
"frozenset({'Notch', 'Q13619', 'Q9BQ67'})"
"frozenset({'Q9BUJ2', 'Q15365', 'Notch'})"
"frozenset({'Notch', 'Q86Y33', 'Q9GZZ9'})"
"frozenset({'Q9C086', 'P18065', 'Notch'})"
"frozenset({'Notch', 'Q9UK05', 'Q13873'})"
"frozenset({'Notch', 'P48736', 'P63211'})"
"frozenset({'Q96NZ9', 'Notch', 'Q9Y605'})"
"frozenset({'Notch', 'P17980', 'Q07812'})"
"frozenset({'Notch', 'Q7Z699', 'P62136'})"
"frozenset({'Notch', 'Q7LGA3', 'P30443'})"
"frozenset({'Q99933', 'P10636', 'Notch'})"
"frozenset({'Notch', 'Q9NZ71', 'Q13618'})"
"frozenset({'Notch', 'O95602', 'P32121'})"
"frozenset({'P17858', 'Notch', 'Q9NRD1'})"
"frozenset({'A6NFY7', 'Q7Z3Y8', 'Notch'})"
"frozenset({'Notch', 'P55072', 'Q96S55'})"
"frozenset({'P61073', 'Q9Y258', 'Notch'})"
"frozenset({'Q13616', 'Notch', 'Q9UK96'})"
"frozenset({'Notch', 'P29353', 'P13645'})"
"frozenset({'Notch', 'P62081', 'Q8WZA2'})"
"frozenset({'Notch', 'Q9NRC8', 'P38432'})"
"frozenset({'Q6PJ21', 'Q9HCE1', 'Notch'})"
"frozenset({'Notch', 'P50548', 'Q9BRK5'})"
"frozenset({'Notch', 'O15379', 'Q15910'})"
"frozenset({'O95238', 'Q15831', 'Notch'})"
"frozenset({'Notch', 'P14138', 'P24530'})"
"frozenset({'Notch', 'Q15427', 'Q9NY27'})"
"frozenset({'Notch', 'Q12873', 'P13805'})"
"frozenset({'P01036', 'Notch', 'Q8IU85'})"
"frozenset({'Notch', 'Q92990', 'Q86WV6'})"
"frozenset({'Q13813', 'Q15393', 'Notch'})"
"frozenset({'Notch', 'Q9H5I1', 'Q8NHQ1'})"
"frozenset({'Notch', 'P07996', 'P10600'})"
"frozenset({'Notch', 'Q15596', 'Q9UHD2'})"
"frozenset({'P43405', 'Notch', 'P11049'})"
"frozenset({'Notch', 'Q63ZY3', 'Q96RU7'})"
"frozenset({'Notch', 'P62495', 'Q8IYD1'})"
"frozenset({'P19320', 'Notch', 'P49368'})"
"frozenset({'Q96SA4', 'Notch', 'P17931'})"
"frozenset({'Notch', 'P36578', 'O60260'})"
"frozenset({'Notch', 'P19838', 'Q02556'})"
"frozenset({'Notch', 'Q9UQ80', 'P08579'})"
"frozenset({'Notch', 'Q9BZR9', 'P08238'})"
"frozenset({'Q6UXV4', 'Notch', 'O75431'})"
"frozenset({'Notch', 'Q7Z3S9', 'Q9NSA3'})"
"frozenset({'Notch', 'Q9UJS0', 'Q9NRD1'})"
"frozenset({'Notch', 'Q92831', 'Q7RTS3'})"
"frozenset({'Notch', 'Q15428', 'Q09161'})"
"frozenset({'Notch', 'P62258', 'P00325'})"
"frozenset({'Notch', 'Q13323', 'Q9UNK0'})"
"frozenset({'Notch', 'Q9NS23', 'P37173'})"
"frozenset({'Notch', 'O14497', 'O95644'})"
"frozenset({'Notch', 'P28715', 'P41182'})"
"frozenset({'Notch', 'Q9UBT6', 'Q9BXK1'})"
"frozenset({'Notch', 'P17040', 'Q92817'})"
"frozenset({'Q9UL03', 'Notch', 'Q6P9B9'})"
"frozenset({'Notch', 'Q96JG6', 'Q969Q6'})"
"frozenset({'Notch', 'P62993', 'P07305'})"
"frozenset({'Notch', 'P50222', 'Q9HC56'})"
"frozenset({'Notch', 'Q9NS23', 'Q7L0Q8'})"
"frozenset({'Notch', 'Q9P2D0', 'Q9H0A0'})"
"frozenset({'Q8WUB8', 'Notch', 'O75886'})"
"frozenset({'Notch', 'P02538', 'Q7Z3Z0'})"
"frozenset({'Notch', 'Q9UI46', 'Q13501'})"
"frozenset({'Notch', 'Q86X55', 'Q9NRR4'})"
"frozenset({'Notch', 'Q9NTN9', 'Q93062'})"
"frozenset({'Notch', 'Q9HCI5', 'Q13424'})"
"frozenset({'Q9UBN7', 'Notch', 'Q9H9Y6'})"
"frozenset({'Notch', 'P14921', 'Q16850'})"
"frozenset({'Notch', 'P05067', 'Q15404'})"
"frozenset({'Notch', 'Q86UK7', 'O60506'})"
"frozenset({'Notch', 'P36954', 'Q9UHW5'})"
"frozenset({'Notch', 'Q92917', 'O60231'})"
"frozenset({'Notch', 'Q9Y6X2', 'Q99684'})"
"frozenset({'Notch', 'P25098', 'Q99835'})"
"frozenset({'Notch', 'Q9NRM7', 'P55196'})"
"frozenset({'Q96KC2', 'P61218', 'Notch'})"
"frozenset({'Notch', 'Q12846', 'Q9UEU0'})"
"frozenset({'Notch', 'P12755', 'P19338'})"
"frozenset({'Notch', 'Q9NRD1', 'P49327'})"
"frozenset({'Notch', 'Q9H1R3', 'P08238'})"
"frozenset({'Notch', 'Q9BRQ8', 'Q1A5X7'})"
"frozenset({'Q9Y463', 'Q12815', 'Notch'})"
"frozenset({'P68363', 'Notch', 'Q99496'})"
"frozenset({'Notch', 'Q8TD31', 'Q14161'})"
"frozenset({'O00329', 'Q9UKM9', 'Notch'})"
"frozenset({'A6NEM1', 'Q5EBL2', 'Notch'})"
"frozenset({'Notch', 'Q9NZN8', 'Q9UHA2'})"
"frozenset({'Notch', 'Q9P0L2', 'Q14160'})"
"frozenset({'Q99759', 'Notch', 'O94832'})"
"frozenset({'Q7L273', 'Notch', 'Q9BRX9'})"
"frozenset({'Q04864', 'Q9Y3B2', 'Notch'})"
"frozenset({'Notch', 'Q9BYQ2', 'P26371'})"
"frozenset({'Notch', 'Q13823', 'Q9BYG3'})"
"frozenset({'Notch', 'Q03518', 'P68104'})"
"frozenset({'Notch', 'P05067', 'P01583'})"
"frozenset({'P17612', 'Notch', 'Q8NG84'})"
"frozenset({'Q92614', 'Notch', 'P63261'})"
"frozenset({'Notch', 'Q8NEV9', 'Q14213'})"
"frozenset({'Notch', 'Q15714', 'Q14204'})"
"frozenset({'Notch', 'Q15329', 'P03372'})"
"frozenset({'Notch', 'Q13936', 'P28223'})"
"frozenset({'Notch', 'Q9UKG9', 'P07900'})"
"frozenset({'P09651', 'Notch', 'P40337'})"
"frozenset({'Notch', 'O60244', 'Q9H2G2'})"
"frozenset({'Notch', 'Q15773', 'P54646'})"
