negatives
"frozenset({'Q8IWR0', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'P35998', 'P40227'})"
"frozenset({'Q9H307', 'BCR', 'Q9Y383'})"
"frozenset({'P46937', 'BCR', 'Q01196'})"
"frozenset({'BCR', 'Q01860', 'Q86VE0'})"
"frozenset({'BCR', 'Q92817', 'Q9HAW8'})"
"frozenset({'BCR', 'P54274', 'P25490'})"
"frozenset({'BCR', 'P04183', 'O75821'})"
"frozenset({'BCR', 'O75396', 'P02751'})"
"frozenset({'BCR', 'Q9GZQ8', 'P04637'})"
"frozenset({'Q93079', 'BCR', 'Q96DB2'})"
"frozenset({'BCR', 'P50281', 'P22455'})"
"frozenset({'BCR', 'Q96AQ1', 'O60341'})"
"frozenset({'BCR', 'Q9BYQ4', 'P60410'})"
"frozenset({'BCR', 'P17948', 'O00459'})"
"frozenset({'BCR', 'Q99700', 'P60896'})"
"frozenset({'BCR', 'Q9NPF7', 'Q08334'})"
"frozenset({'P52739', 'BCR', 'Q03164'})"
"frozenset({'BCR', 'P07550', 'P51648'})"
"frozenset({'BCR', 'P14866', 'Q6AZZ1'})"
"frozenset({'A5D8V6', 'BCR', 'O75886'})"
"frozenset({'BCR', 'Q16401', 'Q9BRP4'})"
"frozenset({'BCR', 'Q14764', 'Q9UKK3'})"
"frozenset({'Q13277', 'BCR', 'Q9UHD1'})"
"frozenset({'BCR', 'Q7L2J0', 'Q8N163'})"
"frozenset({'Q86Y33', 'BCR', 'Q15323'})"
"frozenset({'O00422', 'BCR', 'O43665'})"
"frozenset({'Q9Y2I1', 'BCR', 'P42694'})"
"frozenset({'BCR', 'O75360', 'Q9Y316'})"
"frozenset({'BCR', 'Q5UIP0', 'O00358'})"
"frozenset({'Q9HB71', 'BCR', 'P22392'})"
"frozenset({'BCR', 'Q05513', 'O60551'})"
"frozenset({'BCR', 'P55210', 'P18146'})"
"frozenset({'BCR', 'P19429', 'Q9HAU4'})"
"frozenset({'P38936', 'BCR', 'Q13098'})"
"frozenset({'BCR', 'P02787', 'P27824'})"
"frozenset({'Q9BQA1', 'BCR', 'Q13237'})"
"frozenset({'Q8IWT3', 'BCR', 'P04637'})"
"frozenset({'Q13617', 'BCR', 'Q96Q27'})"
"frozenset({'BCR', 'P62424', 'O00541'})"
"frozenset({'BCR', 'P16455', 'P62805'})"
"frozenset({'BCR', 'P51817', 'P07900'})"
"frozenset({'Q9UJC3', 'BCR', 'Q8N0S2'})"
"frozenset({'P22612', 'BCR', 'Q16558'})"
"frozenset({'BCR', 'Q9HCE7', 'Q15796'})"
"frozenset({'BCR', 'Q9ULZ3', 'Q8NB25'})"
"frozenset({'BCR', 'Q03591', 'P18428'})"
"frozenset({'Q05682', 'P05161', 'BCR'})"
"frozenset({'BCR', 'Q6ZQN5', 'Q15738'})"
"frozenset({'Q8NBJ4', 'BCR', 'Q04721'})"
"frozenset({'P41252', 'BCR', 'Q9UBX2'})"
"frozenset({'P49674', 'BCR', 'P57078'})"
"frozenset({'BCR', 'Q8TBK6', 'Q9UI36'})"
"frozenset({'BCR', 'P32298', 'P46934'})"
"frozenset({'BCR', 'Q9UBU9', 'Q15904'})"
"frozenset({'BCR', 'P42166', 'P51858'})"
"frozenset({'BCR', 'Q16659', 'O00165'})"
"frozenset({'P22681', 'BCR', 'P62837'})"
"frozenset({'BCR', 'P19320', 'O75367'})"
"frozenset({'P41219', 'BCR', 'Q15560'})"
"frozenset({'BCR', 'Q12933', 'Q8NBP7'})"
"frozenset({'Q02880', 'P07766', 'BCR'})"
"frozenset({'O43678', 'BCR', 'P22694'})"
"frozenset({'BCR', 'P62834', 'Q9Y4K3'})"
"frozenset({'Q5TD97', 'BCR', 'O95363'})"
"frozenset({'BCR', 'Q13618', 'Q8WXF1'})"
"frozenset({'Q9UPV9', 'BCR', 'Q8TDR0'})"
"frozenset({'Q92769', 'BCR', 'Q15672'})"
"frozenset({'BCR', 'Q96A56', 'O95166'})"
"frozenset({'BCR', 'Q9UBU9', 'O00592'})"
"frozenset({'BCR', 'Q16531', 'Q13573'})"
"frozenset({'BCR', 'Q9HCU8', 'Q14191'})"
"frozenset({'Q9H9T3', 'BCR', 'Q96EB1'})"
"frozenset({'Q9BPX7', 'BCR', 'Q70Z53'})"
"frozenset({'BCR', 'O60939', 'Q9H0H0'})"
"frozenset({'P40939', 'P22736', 'BCR'})"
"frozenset({'BCR', 'P62633', 'P39023'})"
"frozenset({'Q13435', 'BCR', 'Q8TBK6'})"
"frozenset({'BCR', 'P19320', 'P33991'})"
"frozenset({'P61586', 'Q16513', 'BCR'})"
"frozenset({'Q8WXI2', 'P04049', 'BCR'})"
"frozenset({'BCR', 'Q01130', 'P52272'})"
"frozenset({'P63211', 'BCR', 'P62873'})"
"frozenset({'P00519', 'BCR', 'P17931'})"
"frozenset({'BCR', 'O75077', 'P04156'})"
"frozenset({'P22087', 'BCR', 'Q15649'})"
"frozenset({'Q96HA1', 'BCR', 'Q6UXL0'})"
"frozenset({'BCR', 'Q08379', 'Q8TC71'})"
"frozenset({'BCR', 'P48729', 'Q9Y297'})"
"frozenset({'BCR', 'Q96AZ1', 'Q9BUF5'})"
"frozenset({'O15524', 'BCR', 'P23258'})"
"frozenset({'O75400', 'BCR', 'Q9Y388'})"
"frozenset({'P13637', 'BCR', 'Q13237'})"
"frozenset({'P31943', 'BCR', 'P01730'})"
"frozenset({'BCR', 'O14980', 'Q8NDI1'})"
"frozenset({'P49720', 'BCR', 'O43681'})"
"frozenset({'BCR', 'Q07666', 'Q13573'})"
"frozenset({'P63151', 'O14980', 'BCR'})"
"frozenset({'BCR', 'Q9H6U8', 'Q6NUS6'})"
"frozenset({'P47755', 'BCR', 'Q9H3F6'})"
"frozenset({'Q13557', 'BCR', 'Q70SY1'})"
"frozenset({'BCR', 'P08311', 'P48594'})"
"frozenset({'P78318', 'BCR', 'P12532'})"
"frozenset({'O96028', 'BCR', 'P46821'})"
"frozenset({'P04181', 'BCR', 'P36871'})"
"frozenset({'BCR', 'Q96JH8', 'P15976'})"
"frozenset({'BCR', 'O00231', 'Q13885'})"
"frozenset({'BCR', 'P35754', 'P40925'})"
"frozenset({'BCR', 'P15927', 'Q12768'})"
"frozenset({'Q9UM54', 'BCR', 'Q13561'})"
"frozenset({'BCR', 'Q8NGR4', 'P35626'})"
"frozenset({'Q9UK41', 'BCR', 'Q9H2G9'})"
"frozenset({'BCR', 'P27694', 'Q96QC0'})"
"frozenset({'BCR', 'P04049', 'Q9P286'})"
"frozenset({'BCR', 'Q92800', 'A6NHQ4'})"
"frozenset({'Q9NUG6', 'BCR', 'Q03154'})"
"frozenset({'BCR', 'Q13618', 'Q14203'})"
"frozenset({'O60216', 'BCR', 'P05089'})"
"frozenset({'BCR', 'Q92769', 'Q96EB6'})"
"frozenset({'BCR', 'Q14653', 'Q09472'})"
"frozenset({'P35244', 'Q96FI4', 'BCR'})"
"frozenset({'BCR', 'P49207', 'P30050'})"
"frozenset({'BCR', 'P05023', 'Q9H492'})"
"frozenset({'Q6UY14', 'BCR', 'Q7Z2X4'})"
"frozenset({'BCR', 'Q02556', 'Q15306'})"
"frozenset({'Q9NZD8', 'BCR', 'Q15742'})"
"frozenset({'BCR', 'P04908', 'O14744'})"
"frozenset({'BCR', 'P11021', 'P11142'})"
"frozenset({'P12830', 'BCR', 'Q9Y2H8'})"
"frozenset({'Q96JG9', 'BCR', 'Q9H2C0'})"
"frozenset({'BCR', 'P13612', 'P25788'})"
"frozenset({'P06576', 'BCR', 'Q16659'})"
"frozenset({'BCR', 'O94822', 'P23497'})"
"frozenset({'BCR', 'Q15853', 'P29508'})"
"frozenset({'BCR', 'Q14203', 'Q96S59'})"
"frozenset({'P46778', 'P83881', 'BCR'})"
"frozenset({'BCR', 'Q13469', 'O75367'})"
"frozenset({'BCR', 'P22694', 'Q8NH43'})"
"frozenset({'BCR', 'Q96PK6', 'P63208'})"
"frozenset({'BCR', 'Q9H0A8', 'Q9UBI1'})"
"frozenset({'P52797', 'BCR', 'P20936'})"
"frozenset({'BCR', 'P05067', 'Q8WVP5'})"
"frozenset({'BCR', 'Q92930', 'Q71U36'})"
"frozenset({'BCR', 'O95274', 'P18031'})"
"frozenset({'BCR', 'Q9UNM6', 'P78362'})"
"frozenset({'BCR', 'Q9P0L0', 'Q9UI09'})"
"frozenset({'Q96P53', 'BCR', 'Q8WY07'})"
"frozenset({'O14519', 'BCR', 'Q92769'})"
"frozenset({'Q99598', 'BCR', 'Q2TAY7'})"
"frozenset({'Q93034', 'BCR', 'Q9BYZ6'})"
"frozenset({'P30044', 'P35270', 'BCR'})"
"frozenset({'BCR', 'P08238', 'Q13451'})"
"frozenset({'Q9H553', 'BCR', 'Q9H3S7'})"
"frozenset({'Q96JY6', 'BCR', 'Q96AP0'})"
"frozenset({'BCR', 'Q15029', 'Q6NUN9'})"
"frozenset({'BCR', 'Q16836', 'P01889'})"
"frozenset({'P10827', 'BCR', 'Q71SY5'})"
"frozenset({'BCR', 'Q7Z6J8', 'P43364'})"
"frozenset({'Q9H8Y8', 'BCR', 'P55273'})"
"frozenset({'O94868', 'Q15834', 'BCR'})"
"frozenset({'BCR', 'Q9H161', 'Q15744'})"
"frozenset({'P02652', 'P41235', 'BCR'})"
"frozenset({'BCR', 'Q6UB35', 'Q9Y6E7'})"
"frozenset({'Q6P1L5', 'BCR', 'P34897'})"
"frozenset({'BCR', 'Q15436', 'Q15819'})"
"frozenset({'BCR', 'Q9BV73', 'P46781'})"
"frozenset({'P00374', 'BCR', 'Q9H3R0'})"
"frozenset({'BCR', 'Q9UBX2', 'P02545'})"
"frozenset({'P38432', 'BCR', 'Q99873'})"
"frozenset({'BCR', 'P54819', 'O60739'})"
"frozenset({'P58335', 'BCR', 'Q9BXB1'})"
"frozenset({'BCR', 'Q7Z2T5', 'Q9BU02'})"
"frozenset({'Q13287', 'Q14669', 'BCR'})"
"frozenset({'BCR', 'P52272', 'Q08211'})"
"frozenset({'BCR', 'P22694', 'A6NMS3'})"
"frozenset({'BCR', 'P52435', 'Q9H204'})"
"frozenset({'BCR', 'Q8IWL3', 'Q7Z460'})"
"frozenset({'BCR', 'Q9Y2D8', 'Q99608'})"
"frozenset({'BCR', 'Q92621', 'P01106'})"
"frozenset({'P00533', 'Q8N1I0', 'BCR'})"
"frozenset({'BCR', 'Q8TAD4', 'Q92633'})"
"frozenset({'BCR', 'Q9BU76', 'Q6NUQ1'})"
"frozenset({'BCR', 'Q13112', 'Q96LI5'})"
"frozenset({'P25786', 'BCR', 'Q06323'})"
"frozenset({'Q9BYM8', 'BCR', 'P51668'})"
"frozenset({'BCR', 'P09619', 'O15520'})"
"frozenset({'BCR', 'O43566', 'P11215'})"
"frozenset({'BCR', 'P29074', 'Q9UQ35'})"
"frozenset({'BCR', 'Q969W0', 'Q9NUV7'})"
"frozenset({'BCR', 'Q9BSB4', 'P19367'})"
"frozenset({'BCR', 'Q01130', 'Q05519'})"
"frozenset({'BCR', 'Q13084', 'O43734'})"
"frozenset({'BCR', 'P46782', 'P62280'})"
"frozenset({'Q14966', 'BCR', 'P15927'})"
"frozenset({'BCR', 'P04629', 'P41227'})"
"frozenset({'BCR', 'P30042', 'Q96FC7'})"
"frozenset({'Q13547', 'BCR', 'Q12873'})"
"frozenset({'Q15750', 'BCR', 'P0DP24'})"
"frozenset({'P03956', 'BCR', 'P80162'})"
"frozenset({'O60260', 'BCR', 'P22392'})"
"frozenset({'BCR', 'O43390', 'O75525'})"
"frozenset({'BCR', 'P52597', 'P52298'})"
"frozenset({'BCR', 'Q12888', 'Q8TDS5'})"
"frozenset({'BCR', 'O75530', 'Q15366'})"
"frozenset({'BCR', 'P20333', 'P63261'})"
"frozenset({'O43166', 'BCR', 'Q96S53'})"
"frozenset({'Q99623', 'BCR', 'P68371'})"
"frozenset({'Q02878', 'BCR', 'Q13620'})"
"frozenset({'P48735', 'BCR', 'Q8IWL3'})"
"frozenset({'BCR', 'Q9UBC2', 'P63218'})"
"frozenset({'Q9H0W5', 'BCR', 'Q3ZCQ8'})"
"frozenset({'Q14145', 'BCR', 'Q9Y6P5'})"
"frozenset({'BCR', 'P39687', 'Q9BUN8'})"
"frozenset({'O43157', 'BCR', 'P10301'})"
"frozenset({'BCR', 'P62258', 'Q969F2'})"
"frozenset({'BCR', 'Q9H0I2', 'Q9BYQ6'})"
"frozenset({'Q8NGN5', 'BCR', 'P22694'})"
"frozenset({'O15143', 'BCR', 'Q92688'})"
"frozenset({'BCR', 'Q06190', 'O15357'})"
"frozenset({'P55060', 'BCR', 'Q9UHD1'})"
"frozenset({'Q99471', 'Q15370', 'BCR'})"
"frozenset({'BCR', 'Q5TBC7', 'Q15562'})"
"frozenset({'Q8N5N7', 'BCR', 'Q8N983'})"
"frozenset({'BCR', 'P10912', 'P01579'})"
"frozenset({'P15884', 'BCR', 'Q9Y2J2'})"
"frozenset({'Q5R372', 'BCR', 'O00327'})"
"frozenset({'Q07352', 'BCR', 'P54274'})"
"frozenset({'Q15369', 'BCR', 'Q93063'})"
"frozenset({'BCR', 'Q9P287', 'Q9NZM3'})"
"frozenset({'BCR', 'Q8NG98', 'P38405'})"
"frozenset({'Q8TBZ3', 'BCR', 'P08559'})"
"frozenset({'BCR', 'Q7Z4H7', 'Q8IWL3'})"
"frozenset({'Q9Y698', 'BCR', 'P42262'})"
"frozenset({'BCR', 'Q12888', 'Q9UJX3'})"
"frozenset({'BCR', 'Q9BZK3', 'Q8TBB1'})"
"frozenset({'BCR', 'Q8N6L0', 'P23763'})"
"frozenset({'Q7L5A3', 'BCR', 'Q8NCR3'})"
"frozenset({'BCR', 'P51114', 'Q9NYY3'})"
"frozenset({'Q9UKW4', 'BCR', 'Q13094'})"
"frozenset({'O14964', 'BCR', 'P37198'})"
"frozenset({'Q7Z7J9', 'BCR', 'P04150'})"
"frozenset({'BCR', 'Q9NX58', 'P49458'})"
"frozenset({'BCR', 'P17535', 'Q13485'})"
"frozenset({'P98095', 'Q9BYE3', 'BCR'})"
"frozenset({'BCR', 'Q8N1B4', 'P46087'})"
"frozenset({'Q16891', 'BCR', 'P13805'})"
"frozenset({'Q13315', 'BCR', 'Q86U86'})"
"frozenset({'Q9HBE4', 'BCR', 'Q969J5'})"
"frozenset({'Q9Y285', 'BCR', 'P05412'})"
"frozenset({'Q9UEG4', 'P22087', 'BCR'})"
"frozenset({'Q9UJV9', 'O43143', 'BCR'})"
"frozenset({'BCR', 'Q9UKE5', 'O43318'})"
"frozenset({'BCR', 'P32121', 'O00443'})"
"frozenset({'P29317', 'BCR', 'O43320'})"
"frozenset({'BCR', 'P26368', 'O75937'})"
"frozenset({'P35232', 'BCR', 'Q9UKV8'})"
"frozenset({'Q5VTR2', 'BCR', 'Q96IX9'})"
"frozenset({'BCR', 'Q13976', 'Q15147'})"
"frozenset({'P04406', 'BCR', 'P19971'})"
"frozenset({'BCR', 'P15036', 'Q9NR96'})"
"frozenset({'Q9BUB5', 'BCR', 'Q96D15'})"
"frozenset({'BCR', 'Q96DN5', 'Q96ST8'})"
"frozenset({'BCR', 'P05067', 'Q13451'})"
"frozenset({'BCR', 'Q8WZ74', 'P30154'})"
"frozenset({'BCR', 'Q14166', 'P63146'})"
"frozenset({'BCR', 'P10321', 'Q8N1L9'})"
"frozenset({'BCR', 'O60499', 'P43657'})"
"frozenset({'BCR', 'P57076', 'Q16610'})"
"frozenset({'P37840', 'BCR', 'O60716'})"
"frozenset({'Q99836', 'BCR', 'P11142'})"
"frozenset({'Q9H410', 'BCR', 'Q9Y2Z0'})"
"frozenset({'BCR', 'P63261', 'P23528'})"
"frozenset({'P42685', 'BCR', 'Q15427'})"
"frozenset({'Q2M3V2', 'BCR', 'Q9BQ95'})"
"frozenset({'Q9NUB4', 'BCR', 'Q8IUH5'})"
"frozenset({'BCR', 'P49407', 'P28331'})"
"frozenset({'P17174', 'BCR', 'P01889'})"
"frozenset({'Q9GZN8', 'P62140', 'BCR'})"
"frozenset({'P46060', 'Q08J23', 'BCR'})"
"frozenset({'BCR', 'P49716', 'Q8WYK1'})"
"frozenset({'BCR', 'Q16777', 'Q9BXA6'})"
"frozenset({'Q9NPF5', 'BCR', 'Q9GZN1'})"
"frozenset({'BCR', 'P37058', 'P11216'})"
"frozenset({'BCR', 'Q00597', 'Q9NW38'})"
"frozenset({'BCR', 'Q15717', 'O15511'})"
"frozenset({'BCR', 'P05067', 'Q499Z3'})"
"frozenset({'BCR', 'Q05516', 'Q16637'})"
"frozenset({'BCR', 'O43741', 'Q6PI77'})"
"frozenset({'P52948', 'BCR', 'P02545'})"
"frozenset({'P49917', 'Q99519', 'BCR'})"
"frozenset({'BCR', 'Q96AT9', 'Q9H8W4'})"
"frozenset({'Q12904', 'BCR', 'Q12792'})"
"frozenset({'Q8TD31', 'BCR', 'Q9GZM8'})"
"frozenset({'BCR', 'Q14994', 'P43686'})"
"frozenset({'BCR', 'Q14204', 'P14866'})"
"frozenset({'BCR', 'P33316', 'P50395'})"
"frozenset({'BCR', 'P08238', 'P55072'})"
"frozenset({'P55854', 'BCR', 'Q9Y618'})"
"frozenset({'BCR', 'Q99683', 'Q8TDY2'})"
"frozenset({'BCR', 'Q9H9A7', 'Q13156'})"
"frozenset({'BCR', 'Q9Y383', 'Q8WXA9'})"
"frozenset({'BCR', 'Q96JM2', 'Q9UBS4'})"
"frozenset({'BCR', 'Q92544', 'Q92522'})"
"frozenset({'P21583', 'BCR', 'P98198'})"
"frozenset({'BCR', 'P51164', 'P20648'})"
"frozenset({'BCR', 'Q8IYS2', 'O75787'})"
"frozenset({'P62266', 'BCR', 'Q7Z7F7'})"
"frozenset({'P62826', 'BCR', 'P51858'})"
"frozenset({'BCR', 'Q7Z569', 'O14920'})"
"frozenset({'BCR', 'P62244', 'P46781'})"
"frozenset({'BCR', 'Q6P1M3', 'O95425'})"
"frozenset({'Q9Y4K1', 'BCR', 'Q92845'})"
"frozenset({'Q15910', 'BCR', 'P33176'})"
"frozenset({'O43915', 'BCR', 'P04629'})"
"frozenset({'Q9BRA2', 'BCR', 'P63167'})"
"frozenset({'BCR', 'P25490', 'P26651'})"
"frozenset({'BCR', 'O00560', 'Q9UHB7'})"
"frozenset({'BCR', 'Q00325', 'P35240'})"
"frozenset({'BCR', 'Q96CS3', 'Q9H9F9'})"
"frozenset({'BCR', 'Q6IQ23', 'Q96AG4'})"
"frozenset({'BCR', 'Q9UJV3', 'Q16665'})"
"frozenset({'BCR', 'Q9P2W3', 'P01116'})"
"frozenset({'BCR', 'P33241', 'Q4ZG55'})"
"frozenset({'BCR', 'P13612', 'P24821'})"
"frozenset({'P03372', 'BCR', 'Q92769'})"
"frozenset({'P55209', 'BCR', 'Q96NT1'})"
"frozenset({'Q14532', 'BCR', 'Q14CN4'})"
"frozenset({'BCR', 'Q9P244', 'P41220'})"
"frozenset({'O95416', 'BCR', 'Q3LI76'})"
"frozenset({'BCR', 'Q13618', 'Q13084'})"
"frozenset({'BCR', 'Q8IWL3', 'P38646'})"
"frozenset({'Q02878', 'BCR', 'P05412'})"
"frozenset({'BCR', 'P01920', 'P01909'})"
"frozenset({'BCR', 'Q8WXI9', 'O14862'})"
"frozenset({'BCR', 'P62333', 'P20618'})"
"frozenset({'BCR', 'P14735', 'Q8TC07'})"
"frozenset({'BCR', 'Q14699', 'P01106'})"
"frozenset({'Q9H0K1', 'BCR', 'P27986'})"
"frozenset({'O00744', 'BCR', 'Q9H237'})"
"frozenset({'Q9UBI6', 'BCR', 'Q13972'})"
"frozenset({'P42336', 'BCR', 'P09769'})"
"frozenset({'BCR', 'P23508', 'O15067'})"
"frozenset({'Q9BZK7', 'BCR', 'O75376'})"
"frozenset({'Q14103', 'BCR', 'O75530'})"
"frozenset({'O43707', 'Q8WZ42', 'BCR'})"
"frozenset({'O14503', 'BCR', 'Q9GZZ1'})"
"frozenset({'BCR', 'P31948', 'P17980'})"
"frozenset({'BCR', 'Q14344', 'Q02156'})"
"frozenset({'BCR', 'O75533', 'Q99496'})"
"frozenset({'P31314', 'BCR', 'P40424'})"
"frozenset({'BCR', 'P62306', 'P62304'})"
"frozenset({'BCR', 'Q9HCS7', 'Q9H4L4'})"
"frozenset({'P52952', 'BCR', 'Q04724'})"
"frozenset({'O95678', 'BCR', 'Q9BXB1'})"
"frozenset({'Q99624', 'BCR', 'P05114'})"
"frozenset({'Q76FK4', 'BCR', 'Q9NQL2'})"
"frozenset({'BCR', 'P08572', 'P26012'})"
"frozenset({'BCR', 'Q96J02', 'P11940'})"
"frozenset({'Q9BYR5', 'BCR', 'P59991'})"
"frozenset({'BCR', 'O95433', 'P53041'})"
"frozenset({'BCR', 'P62318', 'Q9Y3F4'})"
"frozenset({'Q9UKL0', 'BCR', 'Q4V328'})"
"frozenset({'BCR', 'Q9NR11', 'O00299'})"
"frozenset({'BCR', 'Q96RS6', 'Q9P275'})"
"frozenset({'BCR', 'P29353', 'Q12972'})"
"frozenset({'P21246', 'BCR', 'Q15388'})"
"frozenset({'Q2YD98', 'BCR', 'Q96EB6'})"
"frozenset({'Q8N3K9', 'Q16082', 'BCR'})"
"frozenset({'P41279', 'BCR', 'P19838'})"
"frozenset({'BCR', 'Q15019', 'P40337'})"
"frozenset({'BCR', 'P61956', 'Q96JQ0'})"
"frozenset({'Q96JN2', 'BCR', 'P29972'})"
"frozenset({'BCR', 'P34931', 'P35658'})"
"frozenset({'BCR', 'Q92993', 'Q8NEA9'})"
"frozenset({'BCR', 'P61009', 'Q2MV58'})"
"frozenset({'BCR', 'Q9UBB6', 'P55072'})"
"frozenset({'Q9NX95', 'BCR', 'Q9NV70'})"
"frozenset({'BCR', 'Q86VP6', 'O60313'})"
"frozenset({'BCR', 'Q15717', 'P49756'})"
"frozenset({'BCR', 'Q15843', 'Q9BY44'})"
"frozenset({'O00629', 'BCR', 'O95433'})"
"frozenset({'BCR', 'Q7L190', 'Q96RF0'})"
"frozenset({'BCR', 'P20309', 'P84077'})"
"frozenset({'BCR', 'Q9Y679', 'Q99608'})"
"frozenset({'Q96S82', 'BCR', 'Q70CQ2'})"
"frozenset({'Q96GG9', 'BCR', 'Q99627'})"
"frozenset({'Q9Y5Y3', 'BCR', 'P62993'})"
"frozenset({'BCR', 'Q86VE0', 'P60410'})"
"frozenset({'Q9BQS8', 'BCR', 'Q7Z6L1'})"
"frozenset({'Q9UKL0', 'Q13127', 'BCR'})"
"frozenset({'BCR', 'Q504Q3', 'P08238'})"
"frozenset({'BCR', 'O75096', 'P49407'})"
"frozenset({'BCR', 'Q9BYR9', 'Q5T5A8'})"
"frozenset({'BCR', 'Q9NPJ6', 'Q8N5W9'})"
"frozenset({'Q14849', 'BCR', 'Q9BRK5'})"
"frozenset({'Q9Y232', 'BCR', 'P62807'})"
"frozenset({'Q14694', 'BCR', 'P63244'})"
"frozenset({'Q99598', 'BCR', 'Q9UKV8'})"
"frozenset({'BCR', 'Q9H0A8', 'Q8NBT0'})"
"frozenset({'BCR', 'P09067', 'Q9BYD5'})"
"frozenset({'Q8TCT1', 'BCR', 'P18669'})"
"frozenset({'BCR', 'Q8IVT5', 'P62714'})"
"frozenset({'BCR', 'P50402', 'O15027'})"
"frozenset({'O15530', 'Q9H8T0', 'BCR'})"
"frozenset({'Q15464', 'BCR', 'P15498'})"
"frozenset({'Q7RTS7', 'BCR', 'Q15323'})"
"frozenset({'Q5T0J7', 'BCR', 'O95295'})"
"frozenset({'BCR', 'P08069', 'O14508'})"
"frozenset({'Q96TA2', 'BCR', 'Q6UXV4'})"
"frozenset({'BCR', 'P07437', 'P05412'})"
"frozenset({'P25705', 'BCR', 'Q9BQE3'})"
"frozenset({'Q93079', 'BCR', 'Q9H040'})"
"frozenset({'Q00796', 'BCR', 'Q6ZMR3'})"
"frozenset({'Q05397', 'BCR', 'Q9H4E7'})"
"frozenset({'BCR', 'Q8IY92', 'Q92889'})"
"frozenset({'BCR', 'Q9UGM6', 'Q8IWL3'})"
"frozenset({'BCR', 'P40424', 'Q96AQ6'})"
"frozenset({'BCR', 'Q9Y4J8', 'Q9BXG8'})"
"frozenset({'P35579', 'BCR', 'Q9NQT8'})"
"frozenset({'P49023', 'BCR', 'P63261'})"
"frozenset({'BCR', 'Q96HP0', 'Q07890'})"
"frozenset({'Q9H5Y7', 'BCR', 'Q16543'})"
"frozenset({'BCR', 'O00400', 'Q9P0N5'})"
"frozenset({'Q14766', 'BCR', 'Q15113'})"
"frozenset({'BCR', 'Q99767', 'Q16659'})"
"frozenset({'BCR', 'Q14103', 'Q9H4L7'})"
"frozenset({'BCR', 'Q9H4X1', 'P04637'})"
"frozenset({'Q02930', 'BCR', 'O14867'})"
"frozenset({'Q9UPE1', 'BCR', 'Q86VP6'})"
"frozenset({'BCR', 'O43602', 'Q96AP0'})"
"frozenset({'BCR', 'P28072', 'P48556'})"
"frozenset({'BCR', 'Q8NHQ9', 'P05067'})"
"frozenset({'P04181', 'BCR', 'Q8N357'})"
"frozenset({'Q9NZD8', 'BCR', 'P60891'})"
"frozenset({'BCR', 'Q9BQY4', 'Q96PV6'})"
"frozenset({'O60671', 'BCR', 'P68400'})"
"frozenset({'O60678', 'BCR', 'Q15436'})"
"frozenset({'BCR', 'P07437', 'Q01860'})"
"frozenset({'BCR', 'Q9UHB6', 'P27105'})"
"frozenset({'BCR', 'P13612', 'Q14160'})"
"frozenset({'BCR', 'P62263', 'Q9Y2S0'})"
"frozenset({'P54253', 'BCR', 'Q9Y3S1'})"
"frozenset({'Q14683', 'BCR', 'Q96KQ7'})"
"frozenset({'BCR', 'P04899', 'O15552'})"
"frozenset({'Q16236', 'BCR', 'Q9NRD5'})"
"frozenset({'P62910', 'BCR', 'Q9UMX5'})"
"frozenset({'BCR', 'P07333', 'P11487'})"
"frozenset({'BCR', 'P27694', 'P09651'})"
"frozenset({'BCR', 'P12956', 'P58012'})"
"frozenset({'BCR', 'P01241', 'Q96DZ1'})"
"frozenset({'BCR', 'P08865', 'Q5C9Z4'})"
"frozenset({'P54725', 'BCR', 'P32780'})"
"frozenset({'BCR', 'Q92772', 'Q58FG0'})"
"frozenset({'Q15047', 'BCR', 'P41227'})"
"frozenset({'Q15910', 'BCR', 'O43524'})"
"frozenset({'BCR', 'Q92905', 'Q15029'})"
"frozenset({'Q9H4P4', 'BCR', 'Q96A37'})"
"frozenset({'BCR', 'Q9UQE7', 'P11802'})"
"frozenset({'BCR', 'Q9H9D4', 'O75525'})"
"frozenset({'BCR', 'Q96T88', 'P29590'})"
"frozenset({'BCR', 'Q9HBU9', 'Q9BXP2'})"
"frozenset({'P56199', 'BCR', 'P24043'})"
"frozenset({'P03956', 'BCR', 'P04150'})"
"frozenset({'BCR', 'Q96I99', 'P19404'})"
"frozenset({'P48730', 'P27348', 'BCR'})"
"frozenset({'BCR', 'O14562', 'Q96I15'})"
"frozenset({'BCR', 'Q96EQ8', 'P51668'})"
"frozenset({'Q0VAQ4', 'BCR', 'P41143'})"
"frozenset({'BCR', 'Q7KZ85', 'P04626'})"
"frozenset({'Q13464', 'BCR', 'Q96Q40'})"
"frozenset({'Q12906', 'BCR', 'Q7L2J0'})"
"frozenset({'P43243', 'Q04206', 'BCR'})"
"frozenset({'BCR', 'P43405', 'Q8IUC6'})"
"frozenset({'Q9BW61', 'BCR', 'P61962'})"
"frozenset({'BCR', 'Q9H9S0', 'Q8IWZ8'})"
"frozenset({'Q9NWR8', 'BCR', 'P04899'})"
"frozenset({'BCR', 'P33993', 'O15078'})"
"frozenset({'O14543', 'BCR', 'P01589'})"
"frozenset({'Q8NE63', 'Q5SRE5', 'BCR'})"
"frozenset({'P68036', 'BCR', 'P62877'})"
"frozenset({'P11362', 'BCR', 'Q02156'})"
"frozenset({'BCR', 'Q9NPJ6', 'O95954'})"
