negatives
"frozenset({'Q13285', 'IL6', 'P49675'})"
"frozenset({'P62714', 'IL6', 'P49368'})"
"frozenset({'Q8N5N7', 'Q6NUK4', 'IL6'})"
"frozenset({'Q14315', 'IL6', 'Q13557'})"
"frozenset({'IL6', 'Q9BTM9', 'Q06830'})"
"frozenset({'IL6', 'Q15434', 'P84103'})"
"frozenset({'IL6', 'P31483', 'O00472'})"
"frozenset({'IL6', 'P53396', 'O00629'})"
"frozenset({'P48039', 'Q00975', 'IL6'})"
"frozenset({'P05783', 'IL6', 'Q8N2W9'})"
"frozenset({'P08238', 'Q8IWD4', 'IL6'})"
"frozenset({'P20073', 'P08572', 'IL6'})"
"frozenset({'Q6IBS0', 'IL6', 'P12830'})"
"frozenset({'Q16254', 'IL6', 'Q9UBL3'})"
"frozenset({'P0DPB3', 'IL6', 'O14980'})"
"frozenset({'IL6', 'Q9H967', 'P63244'})"
"frozenset({'P36952', 'IL6', 'P04637'})"
"frozenset({'P17040', 'IL6', 'Q8TBC5'})"
"frozenset({'IL6', 'O15344', 'O00487'})"
"frozenset({'Q9H9S4', 'IL6', 'Q9UGJ0'})"
"frozenset({'Q15831', 'IL6', 'P03891'})"
"frozenset({'IL6', 'P55157', 'O43900'})"
"frozenset({'O75475', 'P01375', 'IL6'})"
"frozenset({'IL6', 'P17948', 'P27540'})"
"frozenset({'Q13561', 'O00399', 'IL6'})"
"frozenset({'Q10570', 'IL6', 'Q9H6E5'})"
"frozenset({'IL6', 'Q8IWV8', 'Q14CS0'})"
"frozenset({'IL6', 'P05067', 'Q9H165'})"
"frozenset({'IL6', 'P61353', 'Q92901'})"
"frozenset({'Q09472', 'P07355', 'IL6'})"
"frozenset({'IL6', 'P06400', 'Q68CP9'})"
"frozenset({'IL6', 'Q13315', 'Q9UJ14'})"
"frozenset({'P04626', 'IL6', 'P17252'})"
"frozenset({'IL6', 'Q6ZTQ4', 'Q969S2'})"
"frozenset({'P36578', 'P38919', 'IL6'})"
"frozenset({'Q8N6S4', 'Q9Y5Y4', 'IL6'})"
"frozenset({'Q9BZS1', 'IL6', 'Q5BKZ1'})"
"frozenset({'Q9UBF8', 'IL6', 'Q9Y3M2'})"
"frozenset({'Q9NUY8', 'Q96CP2', 'IL6'})"
"frozenset({'IL6', 'Q86W42', 'Q6I9Y2'})"
"frozenset({'IL6', 'P61978', 'P49792'})"
"frozenset({'P28676', 'IL6', 'Q9H4Y5'})"
"frozenset({'Q9HCG7', 'IL6', 'A1L0T0'})"
"frozenset({'P63215', 'IL6', 'P17252'})"
"frozenset({'P07237', 'O15260', 'IL6'})"
"frozenset({'IL6', 'Q9BYN0', 'Q04726'})"
"frozenset({'IL6', 'O76002', 'P25098'})"
"frozenset({'Q9UKF6', 'Q15366', 'IL6'})"
"frozenset({'O60762', 'IL6', 'Q05516'})"
"frozenset({'IL6', 'Q6IN84', 'Q9NVA1'})"
"frozenset({'IL6', 'P31689', 'O95433'})"
"frozenset({'P53621', 'IL6', 'P04629'})"
"frozenset({'IL6', 'O15504', 'Q14974'})"
"frozenset({'P48454', 'IL6', 'P05067'})"
"frozenset({'P12931', 'IL6', 'P11137'})"
"frozenset({'P63096', 'IL6', 'Q5UE93'})"
"frozenset({'O00257', 'Q96EY4', 'IL6'})"
"frozenset({'P32121', 'IL6', 'Q8NGR3'})"
"frozenset({'IL6', 'P0DMV9', 'Q9UNE7'})"
"frozenset({'IL6', 'P38398', 'P78396'})"
"frozenset({'IL6', 'P30086', 'P00441'})"
"frozenset({'Q5JTZ9', 'IL6', 'Q96DR7'})"
"frozenset({'IL6', 'Q13625', 'P62993'})"
"frozenset({'P46776', 'IL6', 'P40429'})"
"frozenset({'IL6', 'Q12800', 'Q9H3H9'})"
"frozenset({'Q13509', 'IL6', 'P10636'})"
"frozenset({'Q13630', 'IL6', 'P49915'})"
"frozenset({'P35637', 'P36871', 'IL6'})"
"frozenset({'Q38SD2', 'IL6', 'O43707'})"
"frozenset({'IL6', 'Q15714', 'P41252'})"
"frozenset({'IL6', 'P23771', 'Q9HB29'})"
"frozenset({'O00198', 'Q9HD36', 'IL6'})"
"frozenset({'IL6', 'Q9H3C7', 'Q9UKB1'})"
"frozenset({'Q14241', 'O00444', 'IL6'})"
"frozenset({'P61201', 'IL6', 'Q8WV16'})"
"frozenset({'P16619', 'IL6', 'P32248'})"
"frozenset({'IL6', 'P50579', 'P17096'})"
"frozenset({'P29218', 'P04271', 'IL6'})"
"frozenset({'P56556', 'IL6', 'P56181'})"
"frozenset({'IL6', 'P78344', 'P51149'})"
"frozenset({'IL6', 'Q969U7', 'Q92530'})"
"frozenset({'O76011', 'IL6', 'Q14088'})"
"frozenset({'IL6', 'Q8TCU4', 'P49917'})"
"frozenset({'IL6', 'Q9BWC9', 'Q7L5N1'})"
"frozenset({'P09341', 'P32246', 'IL6'})"
"frozenset({'IL6', 'P04216', 'P06239'})"
"frozenset({'IL6', 'P49721', 'Q9UNM6'})"
"frozenset({'Q92665', 'IL6', 'P82650'})"
"frozenset({'Q9H6Z9', 'IL6', 'Q5T5U3'})"
"frozenset({'Q92574', 'IL6', 'P49815'})"
"frozenset({'P52272', 'P62244', 'IL6'})"
"frozenset({'IL6', 'Q04864', 'Q5T7W7'})"
"frozenset({'Q6NT76', 'IL6', 'Q9HC52'})"
"frozenset({'Q15643', 'Q14324', 'IL6'})"
"frozenset({'Q9Y490', 'IL6', 'Q96DX5'})"
"frozenset({'IL6', 'Q9UHK0', 'P61106'})"
"frozenset({'IL6', 'P25685', 'P11021'})"
"frozenset({'Q13522', 'IL6', 'P17252'})"
"frozenset({'IL6', 'P01567', 'Q01113'})"
"frozenset({'Q8N108', 'IL6', 'Q8TEW6'})"
"frozenset({'P31749', 'IL6', 'P23443'})"
"frozenset({'IL6', 'O15212', 'Q96EK4'})"
"frozenset({'IL6', 'P56537', 'O00273'})"
"frozenset({'P06241', 'Q96GP6', 'IL6'})"
"frozenset({'O95147', 'IL6', 'Q562F6'})"
"frozenset({'Q6PKG0', 'IL6', 'P62277'})"
"frozenset({'IL6', 'Q96HR3', 'Q969H0'})"
"frozenset({'IL6', 'O60568', 'Q9UHL3'})"
"frozenset({'Q9UKE5', 'IL6', 'Q14687'})"
"frozenset({'Q9NS23', 'Q13009', 'IL6'})"
"frozenset({'P06858', 'Q7L5N1', 'IL6'})"
"frozenset({'IL6', 'O14920', 'Q12778'})"
"frozenset({'P31323', 'Q7Z4T9', 'IL6'})"
"frozenset({'P10909', 'IL6', 'Q14676'})"
"frozenset({'P08237', 'Q9BQ52', 'IL6'})"
"frozenset({'O94776', 'Q07002', 'IL6'})"
"frozenset({'Q9UBQ5', 'Q9Y478', 'IL6'})"
"frozenset({'O75251', 'IL6', 'O00483'})"
"frozenset({'Q13596', 'IL6', 'Q15041'})"
"frozenset({'P35244', 'IL6', 'P05089'})"
"frozenset({'O75436', 'P10412', 'IL6'})"
"frozenset({'Q3ZCQ8', 'IL6', 'A1L188'})"
"frozenset({'Q9UEE9', 'Q01844', 'IL6'})"
"frozenset({'P48643', 'IL6', 'Q8TCT1'})"
"frozenset({'Q96L33', 'IL6', 'Q9P227'})"
"frozenset({'O75665', 'IL6', 'Q15154'})"
"frozenset({'Q9Y2J4', 'IL6', 'Q9ULV0'})"
"frozenset({'IL6', 'P00338', 'Q2NKX8'})"
"frozenset({'Q9UM73', 'IL6', 'P20936'})"
"frozenset({'Q9Y2Q3', 'P31942', 'IL6'})"
"frozenset({'IL6', 'P05067', 'Q15560'})"
"frozenset({'IL6', 'Q969T4', 'Q9P0P0'})"
"frozenset({'P46776', 'IL6', 'P62829'})"
"frozenset({'IL6', 'P17480', 'Q00987'})"
"frozenset({'P49450', 'IL6', 'Q9Y5B9'})"
"frozenset({'IL6', 'P06396', 'Q86VW0'})"
"frozenset({'O95622', 'IL6', 'Q9HAV0'})"
"frozenset({'IL6', 'P0DP25', 'Q96NL6'})"
"frozenset({'IL6', 'Q05469', 'P22612'})"
"frozenset({'IL6', 'O75027', 'Q9BRK5'})"
"frozenset({'IL6', 'P12830', 'Q16513'})"
"frozenset({'P01909', 'IL6', 'Q13948'})"
"frozenset({'P16989', 'IL6', 'Q12905'})"
"frozenset({'Q16665', 'IL6', 'Q8WYQ5'})"
"frozenset({'IL6', 'Q8N720', 'O94972'})"
"frozenset({'IL6', 'Q9UG63', 'Q14152'})"
"frozenset({'Q7Z2G1', 'IL6', 'Q96KK5'})"
"frozenset({'P49286', 'Q7Z5L9', 'IL6'})"
"frozenset({'P51164', 'IL6', 'P07738'})"
"frozenset({'IL6', 'Q8N6F8', 'P09234'})"
"frozenset({'P46821', 'IL6', 'Q6K0P9'})"
"frozenset({'IL6', 'Q04917', 'Q9Y2U5'})"
"frozenset({'IL6', 'Q66LE6', 'Q9BTL4'})"
"frozenset({'P63104', 'Q06413', 'IL6'})"
"frozenset({'IL6', 'Q15650', 'P37231'})"
"frozenset({'Q15836', 'O43752', 'IL6'})"
"frozenset({'IL6', 'P62330', 'P49407'})"
"frozenset({'Q12931', 'IL6', 'Q6YN16'})"
"frozenset({'IL6', 'Q86VP6', 'P10809'})"
"frozenset({'IL6', 'P31273', 'Q6IA69'})"
"frozenset({'IL6', 'A8MT69', 'Q9BYV2'})"
"frozenset({'Q9Y4K3', 'IL6', 'O43734'})"
"frozenset({'IL6', 'Q9H9A5', 'Q9NZN8'})"
"frozenset({'P37840', 'Q16854', 'IL6'})"
"frozenset({'IL6', 'P49368', 'Q9NY27'})"
"frozenset({'Q16658', 'P68032', 'IL6'})"
"frozenset({'IL6', 'P02743', 'Q14469'})"
"frozenset({'P40222', 'IL6', 'Q9Y3C0'})"
"frozenset({'Q96BR5', 'Q9NX18', 'IL6'})"
"frozenset({'IL6', 'Q6IQ23', 'P08865'})"
"frozenset({'P08559', 'IL6', 'O94966'})"
"frozenset({'Q9NZJ5', 'IL6', 'P49768'})"
"frozenset({'Q969K3', 'IL6', 'Q9Y239'})"
"frozenset({'Q9UBU9', 'IL6', 'P00491'})"
"frozenset({'Q9NWX6', 'Q96MX6', 'IL6'})"
"frozenset({'O43542', 'IL6', 'Q6NVH7'})"
"frozenset({'O14735', 'P05067', 'IL6'})"
"frozenset({'O95544', 'IL6', 'P31946'})"
"frozenset({'IL6', 'Q03468', 'P28715'})"
"frozenset({'IL6', 'O95782', 'O14980'})"
"frozenset({'IL6', 'P61978', 'Q5VWX1'})"
"frozenset({'Q92665', 'O60783', 'IL6'})"
"frozenset({'P12273', 'IL6', 'Q9UHQ7'})"
"frozenset({'IL6', 'Q86VM9', 'Q00839'})"
"frozenset({'Q14997', 'Q92905', 'IL6'})"
"frozenset({'P30050', 'O75530', 'IL6'})"
"frozenset({'P11441', 'O43765', 'IL6'})"
"frozenset({'Q9ULZ3', 'IL6', 'O43586'})"
"frozenset({'P39748', 'P57081', 'IL6'})"
"frozenset({'O75530', 'IL6', 'P12956'})"
"frozenset({'Q9H8V3', 'IL6', 'Q96A33'})"
"frozenset({'IL6', 'P25788', 'Q8IUC2'})"
"frozenset({'O94903', 'IL6', 'P68402'})"
"frozenset({'IL6', 'Q9UBN6', 'P53396'})"
"frozenset({'IL6', 'Q9H4M9', 'Q8N3F8'})"
"frozenset({'O15205', 'P60900', 'IL6'})"
"frozenset({'IL6', 'Q16778', 'Q9Y5B9'})"
"frozenset({'P04629', 'IL6', 'Q9Y224'})"
"frozenset({'P62508', 'IL6', 'Q05D60'})"
"frozenset({'IL6', 'Q9UQ35', 'O00303'})"
"frozenset({'Q9H2A7', 'P41597', 'IL6'})"
"frozenset({'Q5TAX3', 'P01106', 'IL6'})"
"frozenset({'P62318', 'IL6', 'O75643'})"
"frozenset({'IL6', 'Q15527', 'Q00613'})"
"frozenset({'P52272', 'Q01130', 'IL6'})"
"frozenset({'P32121', 'Q8NGG7', 'IL6'})"
"frozenset({'IL6', 'Q9Y265', 'Q99714'})"
"frozenset({'P08670', 'IL6', 'Q13330'})"
"frozenset({'IL6', 'Q14566', 'P25205'})"
"frozenset({'P35222', 'IL6', 'O00512'})"
"frozenset({'Q16795', 'Q99496', 'IL6'})"
"frozenset({'O00422', 'Q8IYB3', 'IL6'})"
"frozenset({'P10275', 'P27361', 'IL6'})"
"frozenset({'Q16822', 'IL6', 'Q9P013'})"
"frozenset({'Q9H0E2', 'IL6', 'Q86Y13'})"
"frozenset({'Q71U36', 'IL6', 'Q8IWJ2'})"
"frozenset({'Q99640', 'P51812', 'IL6'})"
"frozenset({'IL6', 'Q9P127', 'Q9BUP0'})"
"frozenset({'IL6', 'Q13438', 'Q9UBS4'})"
"frozenset({'P54725', 'IL6', 'Q8N137'})"
"frozenset({'P60410', 'IL6', 'Q86YD7'})"
"frozenset({'IL6', 'P09086', 'P04406'})"
"frozenset({'Q7Z3S9', 'IL6', 'Q8TAB7'})"
"frozenset({'Q12834', 'O60566', 'IL6'})"
"frozenset({'IL6', 'Q8TD31', 'Q9UL45'})"
"frozenset({'P57086', 'IL6', 'Q96JS3'})"
"frozenset({'O75116', 'O43264', 'IL6'})"
"frozenset({'IL6', 'Q13635', 'Q96AE7'})"
"frozenset({'P86481', 'IL6', 'Q96K80'})"
"frozenset({'IL6', 'P22087', 'Q96EZ8'})"
"frozenset({'P62851', 'IL6', 'P61313'})"
"frozenset({'IL6', 'Q13501', 'Q9NWM8'})"
"frozenset({'Q9NQC3', 'Q86UP2', 'IL6'})"
"frozenset({'IL6', 'P55809', 'P51688'})"
"frozenset({'IL6', 'P63261', 'P45983'})"
"frozenset({'Q9BS26', 'IL6', 'A5PLL7'})"
"frozenset({'P62241', 'IL6', 'P62269'})"
"frozenset({'P30084', 'Q8IVT5', 'IL6'})"
"frozenset({'Q8NB46', 'IL6', 'Q9H8S9'})"
"frozenset({'IL6', 'P43234', 'P98170'})"
"frozenset({'IL6', 'Q13011', 'O94986'})"
"frozenset({'P16104', 'IL6', 'O15297'})"
"frozenset({'IL6', 'P13612', 'P55884'})"
"frozenset({'Q8WU58', 'IL6', 'Q99471'})"
"frozenset({'IL6', 'Q9UM11', 'Q9Y6C2'})"
"frozenset({'Q6NXE6', 'IL6', 'P49368'})"
"frozenset({'P63279', 'IL6', 'P09936'})"
"frozenset({'IL6', 'Q8N5I2', 'Q53G59'})"
"frozenset({'Q16816', 'IL6', 'Q86XI6'})"
"frozenset({'P31323', 'O15260', 'IL6'})"
"frozenset({'IL6', 'Q9BYM8', 'O14933'})"
"frozenset({'Q15554', 'IL6', 'O00148'})"
"frozenset({'P09619', 'IL6', 'P15498'})"
"frozenset({'IL6', 'Q13247', 'Q96GM8'})"
"frozenset({'IL6', 'Q9UHB9', 'Q16637'})"
"frozenset({'Q2LD37', 'P52739', 'IL6'})"
"frozenset({'P43657', 'P03886', 'IL6'})"
"frozenset({'Q6P597', 'IL6', 'O60341'})"
"frozenset({'P41214', 'IL6', 'O43143'})"
"frozenset({'Q96BZ8', 'IL6', 'Q5JR59'})"
"frozenset({'IL6', 'Q9UBQ0', 'Q9UBQ7'})"
"frozenset({'Q15327', 'IL6', 'Q9UPY8'})"
"frozenset({'P55735', 'IL6', 'Q15436'})"
"frozenset({'Q99755', 'P05067', 'IL6'})"
"frozenset({'P51587', 'P24941', 'IL6'})"
"frozenset({'P00533', 'IL6', 'Q9BT67'})"
"frozenset({'O00743', 'IL6', 'O75170'})"
"frozenset({'IL6', 'P00540', 'A6NEM1'})"
"frozenset({'IL6', 'Q6P656', 'Q92878'})"
"frozenset({'P0CJ70', 'IL6', 'P25090'})"
"frozenset({'IL6', 'P20809', 'Q5VWK5'})"
"frozenset({'IL6', 'P49790', 'Q8IY92'})"
"frozenset({'O94955', 'IL6', 'P25445'})"
"frozenset({'Q9NP81', 'IL6', 'P43243'})"
"frozenset({'Q8N4S0', 'IL6', 'Q9BSI4'})"
"frozenset({'P51784', 'Q9H8V3', 'IL6'})"
"frozenset({'P52306', 'Q96LS8', 'IL6'})"
"frozenset({'IL6', 'P22694', 'P16220'})"
"frozenset({'Q9NWF9', 'IL6', 'O60602'})"
"frozenset({'IL6', 'P61769', 'P30508'})"
"frozenset({'P05412', 'P68371', 'IL6'})"
"frozenset({'Q13547', 'Q8N1G0', 'IL6'})"
"frozenset({'IL6', 'P13804', 'P20340'})"
"frozenset({'Q9UHV5', 'P05067', 'IL6'})"
"frozenset({'P40763', 'IL6', 'P30154'})"
"frozenset({'Q9P0J0', 'IL6', 'O95168'})"
"frozenset({'P23508', 'Q92797', 'IL6'})"
"frozenset({'P13994', 'IL6', 'Q92989'})"
"frozenset({'IL6', 'O15294', 'P42336'})"
"frozenset({'IL6', 'Q04206', 'Q14457'})"
"frozenset({'Q13485', 'IL6', 'Q9UER7'})"
"frozenset({'O00212', 'IL6', 'Q13009'})"
"frozenset({'IL6', 'P03372', 'Q96S59'})"
"frozenset({'Q9Y2Q5', 'IL6', 'Q9Y5K8'})"
"frozenset({'IL6', 'P47929', 'Q86SE9'})"
"frozenset({'P33993', 'IL6', 'P53350'})"
"frozenset({'P23229', 'IL6', 'P02462'})"
"frozenset({'IL6', 'Q7Z698', 'Q5T749'})"
"frozenset({'P49716', 'P35240', 'IL6'})"
"frozenset({'Q00535', 'P49207', 'IL6'})"
"frozenset({'Q86W92', 'IL6', 'P31946'})"
"frozenset({'P12532', 'IL6', 'Q14164'})"
"frozenset({'Q05195', 'IL6', 'Q4LE39'})"
"frozenset({'IL6', 'P01100', 'P14921'})"
"frozenset({'IL6', 'P78337', 'Q99471'})"
"frozenset({'Q9NPJ6', 'Q8TCU4', 'IL6'})"
"frozenset({'P16109', 'IL6', 'Q9BXS5'})"
"frozenset({'A7KAX9', 'Q9UBU9', 'IL6'})"
"frozenset({'IL6', 'P25490', 'P04637'})"
"frozenset({'Q05655', 'IL6', 'P61073'})"
"frozenset({'Q15637', 'Q8WZ42', 'IL6'})"
"frozenset({'IL6', 'P01106', 'Q9NX24'})"
"frozenset({'P08648', 'P26012', 'IL6'})"
"frozenset({'P35613', 'Q658P3', 'IL6'})"
"frozenset({'Q9UMS4', 'IL6', 'P09012'})"
"frozenset({'Q9BYE7', 'IL6', 'P07900'})"
"frozenset({'IL6', 'P15822', 'Q12983'})"
"frozenset({'Q96JC9', 'IL6', 'Q6ZNL6'})"
"frozenset({'IL6', 'Q8ND82', 'P83916'})"
"frozenset({'P51674', 'IL6', 'Q9UDW1'})"
"frozenset({'P21796', 'IL6', 'P51649'})"
"frozenset({'Q9NQ92', 'IL6', 'Q13951'})"
"frozenset({'Q9UQ07', 'Q9BRK5', 'IL6'})"
"frozenset({'Q9NTJ5', 'P53618', 'IL6'})"
"frozenset({'IL6', 'P40939', 'P04629'})"
"frozenset({'IL6', 'P21333', 'Q504Q3'})"
"frozenset({'IL6', 'P52294', 'P14373'})"
"frozenset({'Q96EE3', 'IL6', 'A8CG34'})"
"frozenset({'P35637', 'IL6', 'Q14687'})"
"frozenset({'IL6', 'O95817', 'P46109'})"
"frozenset({'IL6', 'Q9BVS4', 'Q9ULT8'})"
"frozenset({'P01903', 'IL6', 'P13760'})"
"frozenset({'IL6', 'Q99853', 'Q9Y5Q9'})"
"frozenset({'P05362', 'IL6', 'P06899'})"
"frozenset({'P05231', 'Q13651', 'IL6'})"
"frozenset({'P51784', 'IL6', 'P98170'})"
"frozenset({'P08238', 'Q13233', 'IL6'})"
"frozenset({'IL6', 'P42224', 'O60749'})"
"frozenset({'Q9HCG7', 'IL6', 'Q9H9J2'})"
"frozenset({'IL6', 'P37231', 'P24468'})"
"frozenset({'P09919', 'IL6', 'P16234'})"
"frozenset({'IL6', 'O76015', 'Q13526'})"
"frozenset({'Q15361', 'IL6', 'Q15797'})"
"frozenset({'IL6', 'P51617', 'O60308'})"
"frozenset({'P54619', 'IL6', 'Q9BYQ4'})"
"frozenset({'P36578', 'P35240', 'IL6'})"
"frozenset({'Q14526', 'IL6', 'O95983'})"
"frozenset({'IL6', 'P07910', 'P20333'})"
"frozenset({'IL6', 'Q9NVU7', 'P04629'})"
"frozenset({'IL6', 'Q9Y679', 'Q9NWD8'})"
"frozenset({'Q9NV58', 'P55072', 'IL6'})"
"frozenset({'P61952', 'IL6', 'P43657'})"
"frozenset({'Q9Y287', 'O43889', 'IL6'})"
"frozenset({'IL6', 'Q96CW5', 'P68363'})"
"frozenset({'IL6', 'Q9BQS8', 'Q96SZ5'})"
"frozenset({'P35232', 'O15234', 'IL6'})"
"frozenset({'P57735', 'IL6', 'Q9ULV0'})"
"frozenset({'IL6', 'O95202', 'Q12906'})"
"frozenset({'IL6', 'O95057', 'Q9HAU5'})"
"frozenset({'IL6', 'Q8IYM1', 'Q99719'})"
"frozenset({'Q99459', 'IL6', 'P57740'})"
"frozenset({'Q8NBT0', 'IL6', 'Q8TC44'})"
"frozenset({'O43914', 'O15389', 'IL6'})"
"frozenset({'P01236', 'P15509', 'IL6'})"
"frozenset({'Q92560', 'P22314', 'IL6'})"
"frozenset({'Q9BUH8', 'Q9P2F9', 'IL6'})"
"frozenset({'Q8NCL9', 'Q9BQA9', 'IL6'})"
"frozenset({'IL6', 'Q99683', 'O43318'})"
"frozenset({'P11362', 'P29353', 'IL6'})"
"frozenset({'Q13618', 'IL6', 'Q15369'})"
"frozenset({'IL6', 'P0CJ69', 'P25090'})"
"frozenset({'IL6', 'P07900', 'P68104'})"
"frozenset({'Q9Y2K6', 'O00159', 'IL6'})"
"frozenset({'IL6', 'Q8WYQ5', 'P78406'})"
"frozenset({'P20138', 'P40855', 'IL6'})"
"frozenset({'Q9NVP2', 'IL6', 'P25205'})"
"frozenset({'IL6', 'O43815', 'Q9UKZ9'})"
"frozenset({'IL6', 'P49407', 'O76000'})"
"frozenset({'Q13573', 'IL6', 'Q96GM5'})"
"frozenset({'IL6', 'Q9H040', 'P58876'})"
"frozenset({'IL6', 'P38398', 'Q8WXE1'})"
"frozenset({'O95166', 'Q15029', 'IL6'})"
"frozenset({'IL6', 'O14862', 'Q14151'})"
"frozenset({'IL6', 'P42568', 'Q9HB65'})"
"frozenset({'P41161', 'Q15717', 'IL6'})"
"frozenset({'IL6', 'Q8NEY8', 'Q5JR59'})"
"frozenset({'IL6', 'Q92887', 'P63027'})"
"frozenset({'Q53R12', 'Q96B77', 'IL6'})"
"frozenset({'P10275', 'P54855', 'IL6'})"
"frozenset({'Q15139', 'IL6', 'P24723'})"
"frozenset({'P56270', 'IL6', 'P43146'})"
"frozenset({'P08670', 'Q5RL73', 'IL6'})"
"frozenset({'IL6', 'Q9BPU9', 'Q9BW27'})"
"frozenset({'IL6', 'Q9UBI6', 'P98174'})"
"frozenset({'Q9Y3B2', 'IL6', 'Q9Y2H9'})"
"frozenset({'P09467', 'IL6', 'O60260'})"
"frozenset({'IL6', 'P22694', 'Q9P1Q5'})"
"frozenset({'P83731', 'P18077', 'IL6'})"
"frozenset({'Q08378', 'Q12962', 'IL6'})"
"frozenset({'P52597', 'Q8IWZ8', 'IL6'})"
"frozenset({'IL6', 'O95602', 'P68104'})"
"frozenset({'Q13156', 'Q01831', 'IL6'})"
"frozenset({'Q8WWC4', 'Q96RQ3', 'IL6'})"
"frozenset({'IL6', 'P04075', 'P12830'})"
"frozenset({'IL6', 'Q00839', 'P04629'})"
"frozenset({'IL6', 'P99999', 'Q96HR8'})"
"frozenset({'IL6', 'Q8NH61', 'P22612'})"
"frozenset({'Q9Y383', 'IL6', 'O60506'})"
"frozenset({'IL6', 'P35659', 'P35226'})"
"frozenset({'IL6', 'O75431', 'Q9NX63'})"
"frozenset({'IL6', 'Q15276', 'Q9UJY5'})"
"frozenset({'IL6', 'P24864', 'Q9UJX5'})"
"frozenset({'Q12933', 'IL6', 'Q96JC9'})"
"frozenset({'Q96I34', 'Q8WWY3', 'IL6'})"
"frozenset({'Q9NRY6', 'IL6', 'P27658'})"
"frozenset({'IL6', 'P61981', 'Q96PU5'})"
"frozenset({'P62837', 'Q9BYV6', 'IL6'})"
"frozenset({'P35544', 'Q9NRX1', 'IL6'})"
"frozenset({'P04629', 'IL6', 'P48449'})"
"frozenset({'IL6', 'O95758', 'P09211'})"
"frozenset({'P63096', 'IL6', 'P81274'})"
"frozenset({'Q12933', 'IL6', 'Q8N720'})"
"frozenset({'Q86YH6', 'IL6', 'P05067'})"
"frozenset({'P12532', 'P01023', 'IL6'})"
"frozenset({'IL6', 'Q9NW13', 'P46777'})"
"frozenset({'IL6', 'Q9C0C7', 'O75385'})"
"frozenset({'Q13671', 'P61225', 'IL6'})"
"frozenset({'IL6', 'Q15717', 'Q9Y3P9'})"
"frozenset({'O00585', 'P46094', 'IL6'})"
"frozenset({'P57088', 'IL6', 'O95758'})"
"frozenset({'Q5TCM9', 'Q5T7P2', 'IL6'})"
"frozenset({'IL6', 'Q6NUS6', 'Q9HCE1'})"
"frozenset({'Q16795', 'IL6', 'P22694'})"
"frozenset({'P63218', 'Q96QD9', 'IL6'})"
"frozenset({'IL6', 'P49368', 'O95433'})"
"frozenset({'O00213', 'IL6', 'P51693'})"
"frozenset({'P14317', 'IL6', 'P11912'})"
"frozenset({'P17066', 'IL6', 'P54274'})"
"frozenset({'IL6', 'Q16539', 'Q06330'})"
"frozenset({'IL6', 'Q13042', 'Q15796'})"
"frozenset({'Q96FW1', 'IL6', 'Q9Y4E8'})"
"frozenset({'Q9P2W3', 'IL6', 'Q8NGE0'})"
"frozenset({'Q96FW1', 'IL6', 'Q9BQ61'})"
"frozenset({'Q9NWQ8', 'P15927', 'IL6'})"
"frozenset({'IL6', 'P49589', 'O94855'})"
"frozenset({'Q9UJ41', 'IL6', 'P61077'})"
"frozenset({'P49756', 'IL6', 'Q08379'})"
"frozenset({'IL6', 'Q15717', 'P62491'})"
"frozenset({'P46940', 'IL6', 'Q9UBX2'})"
"frozenset({'IL6', 'P46734', 'Q13387'})"
"frozenset({'IL6', 'P17931', 'Q8N697'})"
"frozenset({'P08238', 'IL6', 'O94868'})"
"frozenset({'P12931', 'IL6', 'P61978'})"
"frozenset({'IL6', 'O00746', 'P15531'})"
"frozenset({'O14936', 'O94868', 'IL6'})"
"frozenset({'O00358', 'Q14839', 'IL6'})"
"frozenset({'IL6', 'Q96B96', 'Q17RD7'})"
"frozenset({'IL6', 'Q04917', 'Q99538'})"
"frozenset({'Q96D46', 'P62826', 'IL6'})"
"frozenset({'IL6', 'Q96AW1', 'O60925'})"
"frozenset({'Q9NZL4', 'IL6', 'Q6UWE0'})"
"frozenset({'Q9HCH0', 'Q5R372', 'IL6'})"
"frozenset({'Q8WWV3', 'Q8N5N7', 'IL6'})"
"frozenset({'P01215', 'IL6', 'P01225'})"
"frozenset({'P05412', 'Q9H5H4', 'IL6'})"
"frozenset({'Q09472', 'IL6', 'P05112'})"
"frozenset({'Q9H4L4', 'IL6', 'Q16666'})"
"frozenset({'IL6', 'P52209', 'P01889'})"
"frozenset({'IL6', 'Q9UM13', 'O60729'})"
"frozenset({'Q15181', 'IL6', 'Q5MNZ9'})"
"frozenset({'IL6', 'P46778', 'P62424'})"
"frozenset({'Q86X19', 'O95490', 'IL6'})"
"frozenset({'Q9Y5A9', 'IL6', 'Q14152'})"
"frozenset({'P35443', 'IL6', 'P49746'})"
"frozenset({'P06753', 'P08575', 'IL6'})"
"frozenset({'Q96QB1', 'P63000', 'IL6'})"
"frozenset({'Q96DZ9', 'Q96NL3', 'IL6'})"
"frozenset({'IL6', 'P01178', 'Q92731'})"
"frozenset({'IL6', 'P27694', 'Q5T8P6'})"
"frozenset({'Q9NQP4', 'IL6', 'O75679'})"
"frozenset({'P63104', 'Q04695', 'IL6'})"
"frozenset({'O43542', 'Q99570', 'IL6'})"
"frozenset({'IL6', 'Q9HBM6', 'Q14CW9'})"
"frozenset({'P63208', 'IL6', 'Q93034'})"
"frozenset({'P27361', 'P07949', 'IL6'})"
