negatives
"frozenset({'Q96HT8', 'Q99757', 'BDNF'})"
"frozenset({'P14314', 'BDNF', 'Q01844'})"
"frozenset({'P78368', 'BDNF', 'P84022'})"
"frozenset({'P18031', 'BDNF', 'Q9Y4H2'})"
"frozenset({'Q8IWL3', 'O43929', 'BDNF'})"
"frozenset({'Q9UHW9', 'BDNF', 'Q9BYP7'})"
"frozenset({'Q96GA3', 'BDNF', 'Q9Y6N9'})"
"frozenset({'Q8NBE8', 'BDNF', 'Q92905'})"
"frozenset({'Q9Y5K6', 'O15013', 'BDNF'})"
"frozenset({'O14531', 'BDNF', 'Q16854'})"
"frozenset({'Q9Y4K3', 'Q16531', 'BDNF'})"
"frozenset({'BDNF', 'P04629', 'P49257'})"
"frozenset({'P26715', 'Q4LDR2', 'BDNF'})"
"frozenset({'BDNF', 'P82933', 'P82675'})"
"frozenset({'BDNF', 'O75821', 'O95714'})"
"frozenset({'P53611', 'Q96JG8', 'BDNF'})"
"frozenset({'Q9NZQ3', 'BDNF', 'O00233'})"
"frozenset({'P49590', 'BDNF', 'Q6ZYL4'})"
"frozenset({'BDNF', 'P16333', 'Q9NYQ7'})"
"frozenset({'BDNF', 'Q9GZR7', 'Q9UN86'})"
"frozenset({'O75665', 'BDNF', 'P06737'})"
"frozenset({'Q99623', 'BDNF', 'P38398'})"
"frozenset({'P06753', 'BDNF', 'Q9NR12'})"
"frozenset({'BDNF', 'Q9Y6D5', 'P19438'})"
"frozenset({'P50502', 'P0DMV9', 'BDNF'})"
"frozenset({'P13010', 'P25788', 'BDNF'})"
"frozenset({'Q9BVP2', 'BDNF', 'Q14999'})"
"frozenset({'P31946', 'BDNF', 'Q9UQC2'})"
"frozenset({'O60353', 'BDNF', 'O14905'})"
"frozenset({'BDNF', 'P49368', 'Q8N8W4'})"
"frozenset({'BDNF', 'Q16526', 'Q14974'})"
"frozenset({'P42696', 'BDNF', 'Q9H0R8'})"
"frozenset({'BDNF', 'P19320', 'O75604'})"
"frozenset({'P01344', 'P06213', 'BDNF'})"
"frozenset({'Q92858', 'Q14204', 'BDNF'})"
"frozenset({'P05412', 'BDNF', 'P31948'})"
"frozenset({'Q14397', 'P49841', 'BDNF'})"
"frozenset({'Q13148', 'BDNF', 'Q13347'})"
"frozenset({'Q9NX01', 'BDNF', 'Q9BVS4'})"
"frozenset({'Q15038', 'BDNF', 'Q9BSL1'})"
"frozenset({'O15379', 'BDNF', 'Q96T37'})"
"frozenset({'Q9BSJ6', 'P04637', 'BDNF'})"
"frozenset({'Q16254', 'O75496', 'BDNF'})"
"frozenset({'P13284', 'BDNF', 'Q8WUY9'})"
"frozenset({'P06753', 'Q96M63', 'BDNF'})"
"frozenset({'Q96B26', 'BDNF', 'P09234'})"
"frozenset({'P34897', 'P78332', 'BDNF'})"
"frozenset({'Q9UHB7', 'BDNF', 'Q96JC9'})"
"frozenset({'BDNF', 'Q9H1K1', 'Q5U5X0'})"
"frozenset({'Q56VL3', 'Q99496', 'BDNF'})"
"frozenset({'Q0VD86', 'BDNF', 'Q12905'})"
"frozenset({'P12755', 'BDNF', 'P62987'})"
"frozenset({'Q03154', 'BDNF', 'O75934'})"
"frozenset({'Q92561', 'Q8TAQ2', 'BDNF'})"
"frozenset({'BDNF', 'P19013', 'Q15323'})"
"frozenset({'Q9NWU2', 'O60907', 'BDNF'})"
"frozenset({'P55795', 'Q9NRD1', 'BDNF'})"
"frozenset({'Q96HP0', 'Q2M1P5', 'BDNF'})"
"frozenset({'P16989', 'Q15843', 'BDNF'})"
"frozenset({'P78337', 'O14558', 'BDNF'})"
"frozenset({'Q96CS2', 'P37198', 'BDNF'})"
"frozenset({'P46940', 'BDNF', 'Q8TF42'})"
"frozenset({'P13942', 'BDNF', 'P04183'})"
"frozenset({'BDNF', 'O00767', 'Q9UJ71'})"
"frozenset({'P78329', 'BDNF', 'P12931'})"
"frozenset({'P04406', 'BDNF', 'Q99879'})"
"frozenset({'BDNF', 'P23396', 'P35228'})"
"frozenset({'Q9NZC7', 'BDNF', 'P30876'})"
"frozenset({'Q00613', 'BDNF', 'O15143'})"
"frozenset({'O43432', 'BDNF', 'P42574'})"
"frozenset({'Q86U70', 'BDNF', 'P54253'})"
"frozenset({'O60231', 'BDNF', 'P19320'})"
"frozenset({'Q15788', 'Q92988', 'BDNF'})"
"frozenset({'O43247', 'BDNF', 'Q8IWV8'})"
"frozenset({'P62714', 'BDNF', 'P30480'})"
"frozenset({'Q9NZL4', 'BDNF', 'P46108'})"
"frozenset({'BDNF', 'P68036', 'Q9BT67'})"
"frozenset({'P78527', 'BDNF', 'Q14999'})"
"frozenset({'Q14627', 'BDNF', 'P29597'})"
"frozenset({'P18827', 'P49746', 'BDNF'})"
"frozenset({'P05412', 'BDNF', 'Q9UQ88'})"
"frozenset({'Q04695', 'BDNF', 'P25054'})"
"frozenset({'BDNF', 'P46108', 'P31939'})"
"frozenset({'P46779', 'BDNF', 'P62244'})"
"frozenset({'Q8IUC1', 'BDNF', 'A8MQ03'})"
"frozenset({'BDNF', 'P04921', 'Q00013'})"
"frozenset({'Q96A00', 'Q05513', 'BDNF'})"
"frozenset({'Q9NP66', 'BDNF', 'P25800'})"
"frozenset({'Q6I9Y2', 'Q6ZUT6', 'BDNF'})"
"frozenset({'P46783', 'P22090', 'BDNF'})"
"frozenset({'P24941', 'Q14247', 'BDNF'})"
"frozenset({'P14625', 'BDNF', 'P11142'})"
"frozenset({'Q07021', 'Q15628', 'BDNF'})"
"frozenset({'BDNF', 'Q08117', 'P25800'})"
"frozenset({'P08069', 'Q9NSA1', 'BDNF'})"
"frozenset({'P31751', 'P04406', 'BDNF'})"
"frozenset({'P49411', 'BDNF', 'P35637'})"
"frozenset({'Q9Y5A6', 'BDNF', 'Q9NWS9'})"
"frozenset({'P62249', 'BDNF', 'Q9H1Y0'})"
"frozenset({'Q6NUN9', 'BDNF', 'P35249'})"
"frozenset({'P41970', 'BDNF', 'Q02363'})"
"frozenset({'P19367', 'BDNF', 'P12004'})"
"frozenset({'Q5VTD9', 'BDNF', 'P07199'})"
"frozenset({'Q13114', 'P62979', 'BDNF'})"
"frozenset({'Q9NSK0', 'BDNF', 'O75478'})"
"frozenset({'P49411', 'O95718', 'BDNF'})"
"frozenset({'P56556', 'BDNF', 'O75380'})"
"frozenset({'Q5VTQ0', 'BDNF', 'P46199'})"
"frozenset({'Q9BTC0', 'BDNF', 'O00308'})"
"frozenset({'Q13148', 'P36578', 'BDNF'})"
"frozenset({'P55957', 'BDNF', 'Q07817'})"
"frozenset({'P23246', 'Q9H0W5', 'BDNF'})"
"frozenset({'Q9HCY8', 'O95718', 'BDNF'})"
"frozenset({'Q5T4B2', 'BDNF', 'Q8WZ79'})"
"frozenset({'Q8IZU0', 'Q96LR5', 'BDNF'})"
"frozenset({'O95872', 'BDNF', 'O43143'})"
"frozenset({'P21796', 'Q12933', 'BDNF'})"
"frozenset({'P62820', 'BDNF', 'Q9NRW1'})"
"frozenset({'Q9UNE7', 'BDNF', 'Q13501'})"
"frozenset({'Q8TAT5', 'BDNF', 'Q9NPA8'})"
"frozenset({'P25205', 'BDNF', 'P30153'})"
"frozenset({'BDNF', 'Q99828', 'P60763'})"
"frozenset({'Q07666', 'P29350', 'BDNF'})"
"frozenset({'O14654', 'BDNF', 'Q9H4B6'})"
"frozenset({'Q15040', 'Q9BYQ3', 'BDNF'})"
"frozenset({'P24941', 'Q99728', 'BDNF'})"
"frozenset({'P63279', 'BDNF', 'Q9UL19'})"
"frozenset({'P01137', 'BDNF', 'Q12873'})"
"frozenset({'Q70CQ2', 'BDNF', 'O75351'})"
"frozenset({'Q13643', 'Q9NQ94', 'BDNF'})"
"frozenset({'Q12933', 'Q9H1R3', 'BDNF'})"
"frozenset({'P30273', 'BDNF', 'P32927'})"
"frozenset({'BDNF', 'Q9UKE5', 'Q00688'})"
"frozenset({'P78527', 'BDNF', 'P49336'})"
"frozenset({'Q16186', 'P00533', 'BDNF'})"
"frozenset({'P46783', 'BDNF', 'P62244'})"
"frozenset({'BDNF', 'P62269', 'P19320'})"
"frozenset({'BDNF', 'Q5S007', 'P11216'})"
"frozenset({'Q8IV53', 'BDNF', 'Q15717'})"
"frozenset({'P62487', 'P52435', 'BDNF'})"
"frozenset({'Q06830', 'P52701', 'BDNF'})"
"frozenset({'Q6DKI1', 'P11161', 'BDNF'})"
"frozenset({'P41743', 'BDNF', 'P11234'})"
"frozenset({'Q9BXW9', 'P20333', 'BDNF'})"
"frozenset({'Q96T76', 'P01889', 'BDNF'})"
"frozenset({'Q14209', 'BDNF', 'P24385'})"
"frozenset({'BDNF', 'Q9NVC6', 'O95402'})"
"frozenset({'Q9H4A3', 'P42345', 'BDNF'})"
"frozenset({'Q4LE39', 'Q01167', 'BDNF'})"
"frozenset({'Q06830', 'Q9Y297', 'BDNF'})"
"frozenset({'P16104', 'BDNF', 'Q9H3N1'})"
"frozenset({'Q16082', 'BDNF', 'O75679'})"
"frozenset({'P80723', 'BDNF', 'Q9UHB6'})"
"frozenset({'P15976', 'BDNF', 'O15379'})"
"frozenset({'P24394', 'BDNF', 'P01569'})"
"frozenset({'Q9UBU9', 'BDNF', 'Q03135'})"
"frozenset({'Q07666', 'O95400', 'BDNF'})"
"frozenset({'P63104', 'BDNF', 'P10636'})"
"frozenset({'P11487', 'BDNF', 'P04629'})"
"frozenset({'Q9P2E3', 'BDNF', 'P06241'})"
"frozenset({'BDNF', 'Q9GZU0', 'Q15717'})"
"frozenset({'BDNF', 'Q00839', 'P30419'})"
"frozenset({'P56856', 'A6NM45', 'BDNF'})"
"frozenset({'Q5T700', 'O60238', 'BDNF'})"
"frozenset({'P63279', 'BDNF', 'Q15542'})"
"frozenset({'P10809', 'BDNF', 'Q9Y2T4'})"
"frozenset({'BDNF', 'O43924', 'Q9NP72'})"
"frozenset({'Q9C0C7', 'BDNF', 'P30153'})"
"frozenset({'O60500', 'P46940', 'BDNF'})"
"frozenset({'BDNF', 'O95429', 'Q96F86'})"
"frozenset({'Q9Y3E5', 'BDNF', 'Q8TCJ2'})"
"frozenset({'P37108', 'BDNF', 'P62316'})"
"frozenset({'Q7Z3K3', 'BDNF', 'P52747'})"
"frozenset({'Q9NZT1', 'Q16821', 'BDNF'})"
"frozenset({'BDNF', 'P38398', 'O00148'})"
"frozenset({'BDNF', 'P12931', 'P06241'})"
"frozenset({'Q96Q83', 'BDNF', 'Q93009'})"
"frozenset({'P17812', 'BDNF', 'P20839'})"
"frozenset({'P22314', 'BDNF', 'Q8NEG7'})"
"frozenset({'P12830', 'Q08174', 'BDNF'})"
"frozenset({'BDNF', 'P08238', 'Q8TF76'})"
"frozenset({'Q8IZP0', 'BDNF', 'Q13322'})"
"frozenset({'Q6ZW49', 'Q9BTK6', 'BDNF'})"
"frozenset({'Q9ULC5', 'BDNF', 'P52732'})"
"frozenset({'P30556', 'BDNF', 'P54707'})"
"frozenset({'Q9NPI6', 'BDNF', 'Q7Z2W4'})"
"frozenset({'P61247', 'BDNF', 'P27694'})"
"frozenset({'O95817', 'Q13571', 'BDNF'})"
"frozenset({'Q93008', 'Q96S82', 'BDNF'})"
"frozenset({'BDNF', 'O75251', 'P36776'})"
"frozenset({'BDNF', 'P49796', 'Q9HCC6'})"
"frozenset({'Q9Y277', 'Q99623', 'BDNF'})"
"frozenset({'Q9UM54', 'BDNF', 'Q14203'})"
"frozenset({'P11047', 'P05556', 'BDNF'})"
"frozenset({'Q86YV6', 'BDNF', 'P12829'})"
"frozenset({'BDNF', 'Q8TF42', 'P08238'})"
"frozenset({'BDNF', 'P19367', 'P31749'})"
"frozenset({'Q7Z5K2', 'Q13315', 'BDNF'})"
"frozenset({'Q9H4A5', 'BDNF', 'P18146'})"
"frozenset({'BDNF', 'P04271', 'Q9NZD8'})"
"frozenset({'Q13315', 'BDNF', 'Q16665'})"
"frozenset({'P62195', 'Q13409', 'BDNF'})"
"frozenset({'Q9NP97', 'Q14204', 'BDNF'})"
"frozenset({'BDNF', 'O60266', 'P41220'})"
"frozenset({'P51668', 'BDNF', 'O94874'})"
"frozenset({'P07686', 'P15311', 'BDNF'})"
"frozenset({'Q13315', 'O95757', 'BDNF'})"
"frozenset({'P31751', 'P04637', 'BDNF'})"
"frozenset({'Q9NPI1', 'O96019', 'BDNF'})"
"frozenset({'Q9Y383', 'BDNF', 'P35268'})"
"frozenset({'P54619', 'P35813', 'BDNF'})"
"frozenset({'Q99935', 'Q70SY1', 'BDNF'})"
"frozenset({'Q92851', 'BDNF', 'P19438'})"
"frozenset({'Q9H0H5', 'BDNF', 'P63000'})"
"frozenset({'P01563', 'BDNF', 'P15509'})"
"frozenset({'Q8IWF7', 'BDNF', 'Q9BUK6'})"
"frozenset({'Q00613', 'P25445', 'BDNF'})"
"frozenset({'BDNF', 'P05141', 'Q9HCE7'})"
"frozenset({'O00571', 'BDNF', 'O15264'})"
"frozenset({'P22314', 'P62253', 'BDNF'})"
"frozenset({'P21796', 'O60664', 'BDNF'})"
"frozenset({'P02647', 'P07711', 'BDNF'})"
"frozenset({'Q8TCN5', 'BDNF', 'O94901'})"
"frozenset({'P67870', 'BDNF', 'Q99496'})"
"frozenset({'Q92538', 'BDNF', 'Q96PZ0'})"
"frozenset({'P53611', 'BDNF', 'P61006'})"
"frozenset({'O00716', 'BDNF', 'P42771'})"
"frozenset({'P50914', 'Q99496', 'BDNF'})"
"frozenset({'Q70E73', 'BDNF', 'Q99962'})"
"frozenset({'BDNF', 'O95897', 'Q9NPI8'})"
"frozenset({'Q66K74', 'P22626', 'BDNF'})"
"frozenset({'Q13315', 'BDNF', 'P40763'})"
"frozenset({'P17861', 'BDNF', 'P08151'})"
"frozenset({'O60341', 'BDNF', 'P35222'})"
"frozenset({'P07332', 'BDNF', 'Q08752'})"
"frozenset({'Q9NRD5', 'BDNF', 'Q9BYV2'})"
"frozenset({'Q15173', 'Q08289', 'BDNF'})"
"frozenset({'Q5T619', 'Q96EG3', 'BDNF'})"
"frozenset({'Q03164', 'BDNF', 'P01178'})"
"frozenset({'P04150', 'Q9P2W1', 'BDNF'})"
"frozenset({'BDNF', 'Q08380', 'P63167'})"
"frozenset({'BDNF', 'Q9BVA1', 'P01100'})"
"frozenset({'BDNF', 'P36873', 'Q9UPR0'})"
"frozenset({'O95817', 'BDNF', 'Q9H8Y8'})"
"frozenset({'O96014', 'BDNF', 'P41221'})"
"frozenset({'Q92673', 'Q7L5N1', 'BDNF'})"
"frozenset({'Q9Y2W2', 'Q15365', 'BDNF'})"
"frozenset({'Q9Y616', 'BDNF', 'O43187'})"
"frozenset({'P50995', 'Q99459', 'BDNF'})"
"frozenset({'P40939', 'BDNF', 'P23258'})"
"frozenset({'Q92731', 'Q99832', 'BDNF'})"
"frozenset({'P15923', 'Q9H9J2', 'BDNF'})"
"frozenset({'Q13485', 'Q9HCY8', 'BDNF'})"
"frozenset({'P12931', 'BDNF', 'O14490'})"
"frozenset({'O43493', 'O43502', 'BDNF'})"
"frozenset({'P49773', 'Q8WUI4', 'BDNF'})"
"frozenset({'Q9UGJ0', 'BDNF', 'P13807'})"
"frozenset({'BDNF', 'Q8N3Y1', 'P63208'})"
"frozenset({'Q7Z4H7', 'Q68CZ6', 'BDNF'})"
"frozenset({'BDNF', 'P31749', 'Q5VV52'})"
"frozenset({'Q06210', 'BDNF', 'P40227'})"
"frozenset({'Q00987', 'O95819', 'BDNF'})"
"frozenset({'Q5R372', 'O43482', 'BDNF'})"
"frozenset({'Q9Y478', 'P62899', 'BDNF'})"
"frozenset({'O00716', 'O00767', 'BDNF'})"
"frozenset({'BDNF', 'P08238', 'P26368'})"
"frozenset({'Q8NFH3', 'P78406', 'BDNF'})"
"frozenset({'Q13326', 'BDNF', 'P0DMV8'})"
"frozenset({'Q96CS3', 'BDNF', 'P49736'})"
"frozenset({'BDNF', 'P21359', 'O14807'})"
"frozenset({'Q13123', 'BDNF', 'Q05519'})"
"frozenset({'O75616', 'Q13618', 'BDNF'})"
"frozenset({'Q8WXG9', 'BDNF', 'Q8WZ79'})"
"frozenset({'P42858', 'BDNF', 'Q8WTP9'})"
"frozenset({'Q9P2A4', 'BDNF', 'Q5ST30'})"
"frozenset({'O14965', 'O15350', 'BDNF'})"
"frozenset({'Q86Y01', 'Q04721', 'BDNF'})"
"frozenset({'O14544', 'BDNF', 'Q9UKG1'})"
"frozenset({'P62136', 'BDNF', 'O75376'})"
"frozenset({'Q9HC56', 'BDNF', 'Q70UQ0'})"
"frozenset({'Q9HCC6', 'BDNF', 'Q9BQ75'})"
"frozenset({'BDNF', 'Q9NR12', 'Q9HCE7'})"
"frozenset({'P23769', 'P17542', 'BDNF'})"
"frozenset({'O96017', 'BDNF', 'Q96SB3'})"
"frozenset({'P21281', 'BDNF', 'P43246'})"
"frozenset({'Q9Y478', 'BDNF', 'Q13131'})"
"frozenset({'Q9UJM3', 'O95718', 'BDNF'})"
"frozenset({'P38919', 'BDNF', 'Q6IQ23'})"
"frozenset({'Q96BY2', 'BDNF', 'P18146'})"
"frozenset({'P36871', 'BDNF', 'P37837'})"
"frozenset({'BDNF', 'O95786', 'P02686'})"
"frozenset({'Q8NEC5', 'P60331', 'BDNF'})"
"frozenset({'Q8TCJ0', 'BDNF', 'P06733'})"
"frozenset({'P83731', 'P62266', 'BDNF'})"
"frozenset({'O15090', 'BDNF', 'Q99958'})"
"frozenset({'Q7Z698', 'BDNF', 'Q9NZD8'})"
"frozenset({'O60341', 'BDNF', 'Q567U6'})"
"frozenset({'Q13111', 'P52701', 'BDNF'})"
"frozenset({'Q9UBF9', 'BDNF', 'P12814'})"
"frozenset({'P07954', 'Q9NR45', 'BDNF'})"
"frozenset({'P04626', 'BDNF', 'P37058'})"
"frozenset({'Q9C0J9', 'BDNF', 'P27540'})"
"frozenset({'Q13829', 'BDNF', 'Q9UNN5'})"
"frozenset({'Q8IZD4', 'BDNF', 'P26196'})"
"frozenset({'Q9NS23', 'BDNF', 'Q01094'})"
"frozenset({'P06493', 'BDNF', 'P30153'})"
"frozenset({'P46777', 'P32969', 'BDNF'})"
"frozenset({'Q14680', 'Q9NYF3', 'BDNF'})"
"frozenset({'P04792', 'Q04917', 'BDNF'})"
"frozenset({'P14854', 'BDNF', 'O75380'})"
"frozenset({'Q99961', 'BDNF', 'Q96EK5'})"
"frozenset({'Q7Z2Z2', 'BDNF', 'Q9UG63'})"
"frozenset({'Q8N5L8', 'Q5VSY0', 'BDNF'})"
"frozenset({'Q5TA76', 'Q8IWZ5', 'BDNF'})"
"frozenset({'O94972', 'Q6ZVK8', 'BDNF'})"
"frozenset({'P17252', 'BDNF', 'P35398'})"
"frozenset({'P02489', 'BDNF', 'P43320'})"
"frozenset({'Q8IZH2', 'BDNF', 'O60308'})"
"frozenset({'Q15386', 'O75365', 'BDNF'})"
"frozenset({'BDNF', 'Q14999', 'P28799'})"
"frozenset({'O15055', 'P13693', 'BDNF'})"
"frozenset({'Q9NRD5', 'O14519', 'BDNF'})"
"frozenset({'BDNF', 'Q9BSM1', 'Q96SW2'})"
"frozenset({'P43364', 'Q9Y2S0', 'BDNF'})"
"frozenset({'O94952', 'Q6P1J9', 'BDNF'})"
"frozenset({'Q9NU53', 'BDNF', 'Q8WVQ1'})"
"frozenset({'BDNF', 'Q13315', 'Q6PKG0'})"
"frozenset({'Q9NX40', 'Q16891', 'BDNF'})"
"frozenset({'Q9HC10', 'BDNF', 'P60880'})"
"frozenset({'Q13616', 'P60896', 'BDNF'})"
"frozenset({'Q6NUN9', 'BDNF', 'Q9NX58'})"
"frozenset({'P06748', 'BDNF', 'O00567'})"
"frozenset({'BDNF', 'P32119', 'P40763'})"
"frozenset({'Q15796', 'P07602', 'BDNF'})"
"frozenset({'Q8NG98', 'P35626', 'BDNF'})"
"frozenset({'Q9Y2V7', 'P62328', 'BDNF'})"
"frozenset({'BDNF', 'P19320', 'P49721'})"
"frozenset({'Q9BRS2', 'Q5TC82', 'BDNF'})"
"frozenset({'Q15154', 'BDNF', 'O00410'})"
"frozenset({'O00232', 'BDNF', 'P60900'})"
"frozenset({'Q86V81', 'Q8IYB3', 'BDNF'})"
"frozenset({'P60842', 'BDNF', 'Q16526'})"
"frozenset({'Q9UKL0', 'P51532', 'BDNF'})"
"frozenset({'P62140', 'BDNF', 'Q16643'})"
"frozenset({'O75030', 'P49773', 'BDNF'})"
"frozenset({'Q01664', 'BDNF', 'Q12857'})"
"frozenset({'Q07955', 'BDNF', 'Q08211'})"
"frozenset({'P51610', 'P28749', 'BDNF'})"
"frozenset({'P19793', 'Q9UHV7', 'BDNF'})"
"frozenset({'Q9P2P5', 'O15372', 'BDNF'})"
"frozenset({'O43707', 'P06396', 'BDNF'})"
"frozenset({'Q9H0C8', 'Q92750', 'BDNF'})"
"frozenset({'Q9BY44', 'P04798', 'BDNF'})"
"frozenset({'P49917', 'Q9NUU7', 'BDNF'})"
"frozenset({'Q8IXL7', 'Q9UBU9', 'BDNF'})"
"frozenset({'Q9C0F3', 'Q96HA8', 'BDNF'})"
"frozenset({'P24863', 'BDNF', 'Q14186'})"
"frozenset({'BDNF', 'Q9H0W5', 'P23396'})"
"frozenset({'P02751', 'Q13283', 'BDNF'})"
"frozenset({'Q96GG9', 'BDNF', 'O14641'})"
"frozenset({'Q6IPM2', 'BDNF', 'P36406'})"
"frozenset({'Q8NHV4', 'BDNF', 'Q9H1D9'})"
"frozenset({'P06748', 'Q9ULX3', 'BDNF'})"
"frozenset({'P63167', 'BDNF', 'Q9UPN4'})"
"frozenset({'Q8NGG4', 'P35626', 'BDNF'})"
"frozenset({'Q9UQ16', 'O60939', 'BDNF'})"
"frozenset({'Q9UJX2', 'BDNF', 'O14980'})"
"frozenset({'O75385', 'Q9Y478', 'BDNF'})"
"frozenset({'Q6ZMI0', 'Q8NB37', 'BDNF'})"
"frozenset({'Q9ULL4', 'BDNF', 'O95754'})"
"frozenset({'P11586', 'BDNF', 'Q9H0R8'})"
"frozenset({'Q9UI15', 'BDNF', 'P61960'})"
"frozenset({'Q8IYN2', 'BDNF', 'Q8N4L8'})"
"frozenset({'P51858', 'P35030', 'BDNF'})"
"frozenset({'P09619', 'BDNF', 'P16885'})"
"frozenset({'P13747', 'O43908', 'BDNF'})"
"frozenset({'Q53H96', 'BDNF', 'P49721'})"
"frozenset({'Q14119', 'Q9UGI0', 'BDNF'})"
"frozenset({'P62318', 'BDNF', 'Q86VP6'})"
"frozenset({'BDNF', 'Q9UHB6', 'Q5TCX8'})"
"frozenset({'P62314', 'BDNF', 'Q96SW2'})"
"frozenset({'P38646', 'BDNF', 'Q92905'})"
"frozenset({'Q13011', 'BDNF', 'P78417'})"
"frozenset({'P12830', 'BDNF', 'P29692'})"
"frozenset({'Q07021', 'O14920', 'BDNF'})"
"frozenset({'Q02297', 'Q9BZ76', 'BDNF'})"
"frozenset({'Q8IWZ5', 'BDNF', 'Q6L8G8'})"
"frozenset({'Q9H6X2', 'Q13291', 'BDNF'})"
"frozenset({'P67809', 'Q13618', 'BDNF'})"
"frozenset({'P17174', 'BDNF', 'Q7Z7G0'})"
"frozenset({'Q92570', 'BDNF', 'P31314'})"
"frozenset({'P09622', 'Q92673', 'BDNF'})"
"frozenset({'P19793', 'BDNF', 'P41235'})"
"frozenset({'Q86U86', 'Q16666', 'BDNF'})"
"frozenset({'O95292', 'P61221', 'BDNF'})"
"frozenset({'Q9P2P5', 'Q93008', 'BDNF'})"
"frozenset({'Q8TDX6', 'A2RU67', 'BDNF'})"
"frozenset({'P24928', 'Q9H0W5', 'BDNF'})"
"frozenset({'Q92481', 'P04637', 'BDNF'})"
"frozenset({'P00533', 'P40855', 'BDNF'})"
"frozenset({'Q7Z5R6', 'Q9UKS6', 'BDNF'})"
"frozenset({'BDNF', 'Q96BK5', 'P18146'})"
"frozenset({'BDNF', 'P54578', 'O00487'})"
"frozenset({'P23508', 'P61289', 'BDNF'})"
"frozenset({'O75420', 'Q96QZ7', 'BDNF'})"
"frozenset({'P01106', 'P41212', 'BDNF'})"
"frozenset({'Q96NB2', 'BDNF', 'P84103'})"
"frozenset({'BDNF', 'Q9BTM9', 'P45974'})"
"frozenset({'Q9H492', 'Q13576', 'BDNF'})"
"frozenset({'P0DP23', 'BDNF', 'P15884'})"
"frozenset({'P11172', 'BDNF', 'P07741'})"
"frozenset({'Q9UBU9', 'BDNF', 'Q12873'})"
"frozenset({'P01106', 'BDNF', 'Q05516'})"
"frozenset({'P18065', 'P00533', 'BDNF'})"
"frozenset({'Q04206', 'P60510', 'BDNF'})"
"frozenset({'P35626', 'BDNF', 'Q96R69'})"
"frozenset({'Q5MJ09', 'BDNF', 'Q9BQ75'})"
"frozenset({'Q9BYP8', 'Q5T7P3', 'BDNF'})"
"frozenset({'Q9C0B0', 'BDNF', 'P62888'})"
"frozenset({'Q15006', 'Q9UKT9', 'BDNF'})"
"frozenset({'P10145', 'BDNF', 'O00574'})"
"frozenset({'Q9GZV5', 'BDNF', 'Q9Y2T4'})"
"frozenset({'BDNF', 'P36873', 'O75807'})"
"frozenset({'Q9Y484', 'P54105', 'BDNF'})"
"frozenset({'Q13200', 'BDNF', 'P49736'})"
"frozenset({'BDNF', 'P12004', 'Q5VTR2'})"
"frozenset({'P33151', 'O95863', 'BDNF'})"
"frozenset({'BDNF', 'Q5VUB5', 'Q9H6Z9'})"
"frozenset({'P49682', 'BDNF', 'P02776'})"
"frozenset({'P61587', 'BDNF', 'Q96N67'})"
"frozenset({'P35680', 'BDNF', 'O43186'})"
"frozenset({'Q04721', 'Q06330', 'BDNF'})"
"frozenset({'P17152', 'BDNF', 'Q9Y5J5'})"
"frozenset({'P14625', 'P05412', 'BDNF'})"
"frozenset({'O14757', 'BDNF', 'P08238'})"
"frozenset({'Q96D31', 'Q13586', 'BDNF'})"
"frozenset({'P24539', 'BDNF', 'Q9P2K3'})"
"frozenset({'Q8NGS0', 'BDNF', 'P49407'})"
"frozenset({'P04733', 'P46087', 'BDNF'})"
"frozenset({'P0DP23', 'O60858', 'BDNF'})"
"frozenset({'Q96RT1', 'BDNF', 'Q14168'})"
"frozenset({'P04229', 'BDNF', 'P02686'})"
"frozenset({'P51617', 'Q9UKB1', 'BDNF'})"
"frozenset({'BDNF', 'A6NDS4', 'P62993'})"
"frozenset({'P60468', 'BDNF', 'Q92611'})"
"frozenset({'P63218', 'O00555', 'BDNF'})"
"frozenset({'Q9P0L0', 'Q9H4L5', 'BDNF'})"
"frozenset({'Q9Y266', 'BDNF', 'Q9NRG9'})"
"frozenset({'P68133', 'P62136', 'BDNF'})"
"frozenset({'Q14012', 'P46527', 'BDNF'})"
"frozenset({'Q15027', 'BDNF', 'P62993'})"
"frozenset({'BDNF', 'Q7Z3S9', 'Q496Y0'})"
"frozenset({'Q9Y463', 'Q9UQL6', 'BDNF'})"
"frozenset({'P25788', 'BDNF', 'P41250'})"
"frozenset({'P09619', 'P85037', 'BDNF'})"
"frozenset({'Q9UBN7', 'Q09472', 'BDNF'})"
"frozenset({'Q99683', 'P20333', 'BDNF'})"
"frozenset({'Q9Y2R0', 'Q9BVV7', 'BDNF'})"
"frozenset({'BDNF', 'Q7Z3Y8', 'Q9Y5K8'})"
"frozenset({'Q9NVR5', 'P49418', 'BDNF'})"
"frozenset({'O00585', 'P32246', 'BDNF'})"
"frozenset({'P01242', 'BDNF', 'Q13651'})"
"frozenset({'BDNF', 'P0CG13', 'Q13541'})"
"frozenset({'O14576', 'A6NHL2', 'BDNF'})"
"frozenset({'P09467', 'O60603', 'BDNF'})"
"frozenset({'P67870', 'Q8TAF3', 'BDNF'})"
"frozenset({'P61313', 'Q13310', 'BDNF'})"
"frozenset({'BDNF', 'Q86T24', 'O75593'})"
"frozenset({'P08648', 'BDNF', 'Q9HBI0'})"
