negatives
"frozenset({'Q9NPJ4', 'TWEAK', 'Q05516'})"
"frozenset({'P11441', 'P63173', 'TWEAK'})"
"frozenset({'Q8IWL3', 'O43809', 'TWEAK'})"
"frozenset({'P30153', 'P05129', 'TWEAK'})"
"frozenset({'O00238', 'TWEAK', 'Q13873'})"
"frozenset({'Q92905', 'P82914', 'TWEAK'})"
"frozenset({'TWEAK', 'Q7Z6Z7', 'P62917'})"
"frozenset({'Q9UGN5', 'Q8WV48', 'TWEAK'})"
"frozenset({'TWEAK', 'Q15717', 'Q49AR2'})"
"frozenset({'Q05329', 'P17612', 'TWEAK'})"
"frozenset({'O75553', 'Q3SYF9', 'TWEAK'})"
"frozenset({'O15355', 'Q66K74', 'TWEAK'})"
"frozenset({'P40261', 'TWEAK', 'P05067'})"
"frozenset({'Q8NHZ8', 'TWEAK', 'P16298'})"
"frozenset({'Q05513', 'P19883', 'TWEAK'})"
"frozenset({'O43237', 'TWEAK', 'P07437'})"
"frozenset({'P24385', 'P06493', 'TWEAK'})"
"frozenset({'Q9Y294', 'Q9NPG3', 'TWEAK'})"
"frozenset({'P60410', 'Q9H2X0', 'TWEAK'})"
"frozenset({'P49746', 'P35443', 'TWEAK'})"
"frozenset({'P60981', 'Q9HB07', 'TWEAK'})"
"frozenset({'P0C0L4', 'Q6ISB3', 'TWEAK'})"
"frozenset({'Q8WUK0', 'P14373', 'TWEAK'})"
"frozenset({'P30566', 'Q9NQW7', 'TWEAK'})"
"frozenset({'Q9BYD1', 'Q96DV4', 'TWEAK'})"
"frozenset({'P17480', 'TWEAK', 'P08670'})"
"frozenset({'O43639', 'Q8WUW1', 'TWEAK'})"
"frozenset({'P27348', 'TWEAK', 'Q92574'})"
"frozenset({'Q9HBH1', 'O00400', 'TWEAK'})"
"frozenset({'Q9HAU0', 'Q9NU53', 'TWEAK'})"
"frozenset({'P25398', 'P83731', 'TWEAK'})"
"frozenset({'O43143', 'TWEAK', 'Q8NDT2'})"
"frozenset({'P01889', 'Q9Y266', 'TWEAK'})"
"frozenset({'Q9BV73', 'TWEAK', 'P46783'})"
"frozenset({'P84022', 'TWEAK', 'P50750'})"
"frozenset({'TWEAK', 'Q9UQL6', 'P62701'})"
"frozenset({'P32519', 'P31276', 'TWEAK'})"
"frozenset({'Q9P0N5', 'P35610', 'TWEAK'})"
"frozenset({'Q96BY2', 'Q9H213', 'TWEAK'})"
"frozenset({'Q9BPW5', 'TWEAK', 'Q01844'})"
"frozenset({'Q14694', 'Q9Y4K3', 'TWEAK'})"
"frozenset({'Q96GM5', 'TWEAK', 'Q3B820'})"
"frozenset({'P62899', 'Q9UKV8', 'TWEAK'})"
"frozenset({'O43402', 'Q9HCE1', 'TWEAK'})"
"frozenset({'Q16623', 'Q16854', 'TWEAK'})"
"frozenset({'O75147', 'P98175', 'TWEAK'})"
"frozenset({'O15357', 'P26641', 'TWEAK'})"
"frozenset({'Q9Y2I6', 'Q8TEP8', 'TWEAK'})"
"frozenset({'Q9NZ71', 'Q86WV1', 'TWEAK'})"
"frozenset({'P33778', 'TWEAK', 'Q96DB2'})"
"frozenset({'Q9NYZ3', 'P63010', 'TWEAK'})"
"frozenset({'P53999', 'P52294', 'TWEAK'})"
"frozenset({'Q05513', 'P28482', 'TWEAK'})"
"frozenset({'P25445', 'Q9HAS0', 'TWEAK'})"
"frozenset({'P78527', 'Q9H0R8', 'TWEAK'})"
"frozenset({'P05023', 'P14415', 'TWEAK'})"
"frozenset({'P24522', 'P62081', 'TWEAK'})"
"frozenset({'Q5W150', 'TWEAK', 'O75478'})"
"frozenset({'P35226', 'TWEAK', 'P49368'})"
"frozenset({'P10073', 'TWEAK', 'Q96IT1'})"
"frozenset({'Q13148', 'Q92956', 'TWEAK'})"
"frozenset({'Q96EB6', 'Q32P51', 'TWEAK'})"
"frozenset({'TWEAK', 'P63279', 'Q8N726'})"
"frozenset({'P03372', 'O95425', 'TWEAK'})"
"frozenset({'P43364', 'TWEAK', 'Q8N131'})"
"frozenset({'P20963', 'P36873', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9BRX9', 'Q15468'})"
"frozenset({'P10644', 'P17612', 'TWEAK'})"
"frozenset({'Q9ULL4', 'P63000', 'TWEAK'})"
"frozenset({'TWEAK', 'P50613', 'Q00839'})"
"frozenset({'P25686', 'TWEAK', 'Q9UBU8'})"
"frozenset({'Q8N5T2', 'TWEAK', 'P01876'})"
"frozenset({'Q9BSF4', 'O00159', 'TWEAK'})"
"frozenset({'O94827', 'TWEAK', 'Q92730'})"
"frozenset({'Q8WV41', 'P48023', 'TWEAK'})"
"frozenset({'P27635', 'Q9Y3I0', 'TWEAK'})"
"frozenset({'Q9NRM7', 'TWEAK', 'Q9H4B6'})"
"frozenset({'TWEAK', 'P50613', 'P02686'})"
"frozenset({'Q8WW01', 'Q9BSV6', 'TWEAK'})"
"frozenset({'Q86XP0', 'Q14344', 'TWEAK'})"
"frozenset({'Q8TEW0', 'TWEAK', 'Q08345'})"
"frozenset({'P30153', 'TWEAK', 'O95376'})"
"frozenset({'Q16637', 'O15111', 'TWEAK'})"
"frozenset({'A6NL26', 'TWEAK', 'P25098'})"
"frozenset({'P41218', 'P11940', 'TWEAK'})"
"frozenset({'Q86YW7', 'TWEAK', 'P55061'})"
"frozenset({'P29322', 'P52798', 'TWEAK'})"
"frozenset({'P68400', 'Q9NYL9', 'TWEAK'})"
"frozenset({'P05388', 'TWEAK', 'P08708'})"
"frozenset({'P10074', 'P38936', 'TWEAK'})"
"frozenset({'Q01995', 'TWEAK', 'Q15637'})"
"frozenset({'O43524', 'P35222', 'TWEAK'})"
"frozenset({'TWEAK', 'P00533', 'P16615'})"
"frozenset({'Q99550', 'O60308', 'TWEAK'})"
"frozenset({'Q86T82', 'TWEAK', 'P01106'})"
"frozenset({'P50222', 'O14929', 'TWEAK'})"
"frozenset({'Q2NL82', 'P62807', 'TWEAK'})"
"frozenset({'P31948', 'P35241', 'TWEAK'})"
"frozenset({'Q9NX14', 'TWEAK', 'P60842'})"
"frozenset({'Q9NYP9', 'Q9BVL2', 'TWEAK'})"
"frozenset({'P05771', 'O60262', 'TWEAK'})"
"frozenset({'P27348', 'Q92974', 'TWEAK'})"
"frozenset({'TWEAK', 'P13010', 'Q9UQL6'})"
"frozenset({'TWEAK', 'P48059', 'Q8N2R0'})"
"frozenset({'Q8NGR2', 'Q9P2W3', 'TWEAK'})"
"frozenset({'P04279', 'P24941', 'TWEAK'})"
"frozenset({'Q15323', 'TWEAK', 'P78386'})"
"frozenset({'P09651', 'TWEAK', 'Q9BY77'})"
"frozenset({'P12980', 'TWEAK', 'Q6ZUT1'})"
"frozenset({'P06753', 'Q9BQD3', 'TWEAK'})"
"frozenset({'Q9H0R8', 'P60660', 'TWEAK'})"
"frozenset({'P60953', 'P60709', 'TWEAK'})"
"frozenset({'P06241', 'TWEAK', 'Q96J02'})"
"frozenset({'TWEAK', 'P40925', 'P00338'})"
"frozenset({'Q14192', 'Q9H2S9', 'TWEAK'})"
"frozenset({'Q15691', 'TWEAK', 'P98082'})"
"frozenset({'P27348', 'P09493', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9UL46', 'Q8TBB1'})"
"frozenset({'P00973', 'Q96LA8', 'TWEAK'})"
"frozenset({'P52298', 'Q13616', 'TWEAK'})"
"frozenset({'P48643', 'Q13618', 'TWEAK'})"
"frozenset({'Q9Y4E8', 'P33993', 'TWEAK'})"
"frozenset({'Q9Y4F9', 'Q9H4A3', 'TWEAK'})"
"frozenset({'Q9P2H0', 'TWEAK', 'P52292'})"
"frozenset({'O95295', 'TWEAK', 'Q9UJ41'})"
"frozenset({'Q9UJ41', 'TWEAK', 'Q9BQD3'})"
"frozenset({'O43290', 'O60260', 'TWEAK'})"
"frozenset({'Q01968', 'TWEAK', 'O14950'})"
"frozenset({'O15047', 'TWEAK', 'Q92793'})"
"frozenset({'Q9HAU5', 'TWEAK', 'O00233'})"
"frozenset({'Q9Y4E8', 'Q8WWY3', 'TWEAK'})"
"frozenset({'Q9Y230', 'TWEAK', 'Q9NPF5'})"
"frozenset({'Q96C92', 'O95835', 'TWEAK'})"
"frozenset({'Q9P2R6', 'TWEAK', 'P61964'})"
"frozenset({'Q9Y2R9', 'TWEAK', 'P05412'})"
"frozenset({'Q8TAZ6', 'Q8N6S5', 'TWEAK'})"
"frozenset({'P12277', 'O75147', 'TWEAK'})"
"frozenset({'Q9BSL1', 'TWEAK', 'Q8IUH5'})"
"frozenset({'Q5VUD6', 'P21673', 'TWEAK'})"
"frozenset({'TWEAK', 'O14980', 'Q16236'})"
"frozenset({'O43251', 'TWEAK', 'Q6W2J9'})"
"frozenset({'P22415', 'P11464', 'TWEAK'})"
"frozenset({'TWEAK', 'P20226', 'Q03060'})"
"frozenset({'Q96D53', 'TWEAK', 'P48047'})"
"frozenset({'Q9Y5N6', 'TWEAK', 'P27694'})"
"frozenset({'P52756', 'Q9UBU9', 'TWEAK'})"
"frozenset({'Q9BUE0', 'TWEAK', 'P62487'})"
"frozenset({'Q9Y478', 'TWEAK', 'Q9UKK9'})"
"frozenset({'O75400', 'Q9Y4E5', 'TWEAK'})"
"frozenset({'P61313', 'Q02543', 'TWEAK'})"
"frozenset({'P49327', 'P33527', 'TWEAK'})"
"frozenset({'Q15428', 'TWEAK', 'Q8WYA6'})"
"frozenset({'P43243', 'Q9BXB1', 'TWEAK'})"
"frozenset({'P0DP23', 'P16104', 'TWEAK'})"
"frozenset({'P16619', 'TWEAK', 'P58012'})"
"frozenset({'Q9BYR5', 'TWEAK', 'Q8TBB1'})"
"frozenset({'O43747', 'TWEAK', 'Q8NC96'})"
"frozenset({'Q9UNX3', 'Q96CX3', 'TWEAK'})"
"frozenset({'P63244', 'O00625', 'TWEAK'})"
"frozenset({'TWEAK', 'P15336', 'P05412'})"
"frozenset({'Q01201', 'TWEAK', 'P20749'})"
"frozenset({'P27635', 'Q92615', 'TWEAK'})"
"frozenset({'P39019', 'TWEAK', 'P49736'})"
"frozenset({'Q08050', 'P49450', 'TWEAK'})"
"frozenset({'P47755', 'Q00610', 'TWEAK'})"
"frozenset({'P11233', 'P49815', 'TWEAK'})"
"frozenset({'O14640', 'TWEAK', 'P98082'})"
"frozenset({'TWEAK', 'P23193', 'Q8WTR2'})"
"frozenset({'Q7L0Q8', 'TWEAK', 'P62244'})"
"frozenset({'Q00688', 'P05783', 'TWEAK'})"
"frozenset({'TWEAK', 'Q5S007', 'O00410'})"
"frozenset({'O75581', 'Q9BQB4', 'TWEAK'})"
"frozenset({'P62269', 'Q9BV73', 'TWEAK'})"
"frozenset({'P32121', 'TWEAK', 'A6NKK0'})"
"frozenset({'Q9NX04', 'Q6P1W5', 'TWEAK'})"
"frozenset({'Q9H8P0', 'P55263', 'TWEAK'})"
"frozenset({'P35579', 'Q9BUA6', 'TWEAK'})"
"frozenset({'Q96D09', 'Q5JY77', 'TWEAK'})"
"frozenset({'Q15287', 'Q9NRR5', 'TWEAK'})"
"frozenset({'Q13620', 'P04629', 'TWEAK'})"
"frozenset({'P14625', 'P63244', 'TWEAK'})"
"frozenset({'P05106', 'P47712', 'TWEAK'})"
"frozenset({'P12004', 'TWEAK', 'Q9H3F6'})"
"frozenset({'Q96GE6', 'TWEAK', 'P51828'})"
"frozenset({'O60293', 'Q15024', 'TWEAK'})"
"frozenset({'Q13535', 'Q6NUN0', 'TWEAK'})"
"frozenset({'Q96A08', 'Q96KK5', 'TWEAK'})"
"frozenset({'P01889', 'TWEAK', 'Q13200'})"
"frozenset({'P17275', 'P35638', 'TWEAK'})"
"frozenset({'P62873', 'TWEAK', 'Q8NGE2'})"
"frozenset({'P29460', 'TWEAK', 'P19838'})"
"frozenset({'P25786', 'Q8IX21', 'TWEAK'})"
"frozenset({'Q93063', 'Q16394', 'TWEAK'})"
"frozenset({'Q9NQT4', 'Q13901', 'TWEAK'})"
"frozenset({'Q9BTD8', 'Q9H1E3', 'TWEAK'})"
"frozenset({'Q9Y5X3', 'TWEAK', 'P53675'})"
"frozenset({'Q99819', 'Q15669', 'TWEAK'})"
"frozenset({'Q5JR59', 'TWEAK', 'Q86UD4'})"
"frozenset({'TWEAK', 'Q13546', 'O00429'})"
"frozenset({'Q01094', 'Q9BT22', 'TWEAK'})"
"frozenset({'Q3MII6', 'TWEAK', 'Q9BQ89'})"
"frozenset({'Q13547', 'TWEAK', 'Q9UI36'})"
"frozenset({'P48146', 'P25788', 'TWEAK'})"
"frozenset({'Q9BRP8', 'Q92667', 'TWEAK'})"
"frozenset({'Q7Z2W4', 'TWEAK', 'P15151'})"
"frozenset({'Q96N66', 'Q53R12', 'TWEAK'})"
"frozenset({'P51668', 'Q8TDN6', 'TWEAK'})"
"frozenset({'P31785', 'TWEAK', 'Q8IZJ0'})"
"frozenset({'O60403', 'P38405', 'TWEAK'})"
"frozenset({'Q8IXZ2', 'Q08AG7', 'TWEAK'})"
"frozenset({'P35228', 'Q9UPY3', 'TWEAK'})"
"frozenset({'Q9NPG1', 'TWEAK', 'P27986'})"
"frozenset({'Q04446', 'Q9P0L0', 'TWEAK'})"
"frozenset({'Q8NI37', 'TWEAK', 'P41182'})"
"frozenset({'Q9H8W5', 'P63146', 'TWEAK'})"
"frozenset({'O00716', 'Q68E01', 'TWEAK'})"
"frozenset({'P14373', 'A1A519', 'TWEAK'})"
"frozenset({'Q9H307', 'TWEAK', 'P05787'})"
"frozenset({'P22607', 'TWEAK', 'P01111'})"
"frozenset({'Q86YD7', 'Q8TF50', 'TWEAK'})"
"frozenset({'P68400', 'P49795', 'TWEAK'})"
"frozenset({'TWEAK', 'P04049', 'P31946'})"
"frozenset({'P42226', 'P52333', 'TWEAK'})"
"frozenset({'TWEAK', 'Q8NEB9', 'P06493'})"
"frozenset({'TWEAK', 'Q5TFQ8', 'Q93062'})"
"frozenset({'A4D1S5', 'Q8NBJ4', 'TWEAK'})"
"frozenset({'Q9UQF2', 'TWEAK', 'Q9HBG4'})"
"frozenset({'Q9BXB1', 'TWEAK', 'P57081'})"
"frozenset({'Q8N163', 'Q00987', 'TWEAK'})"
"frozenset({'Q2MV58', 'Q01130', 'TWEAK'})"
"frozenset({'P31483', 'P28562', 'TWEAK'})"
"frozenset({'P61247', 'TWEAK', 'P46778'})"
"frozenset({'Q9ULK4', 'P62308', 'TWEAK'})"
"frozenset({'P25490', 'Q96IK5', 'TWEAK'})"
"frozenset({'P49841', 'TWEAK', 'Q01974'})"
"frozenset({'P63167', 'TWEAK', 'Q00341'})"
"frozenset({'P48729', 'TWEAK', 'P37840'})"
"frozenset({'P35244', 'TWEAK', 'Q06830'})"
"frozenset({'Q6UX06', 'Q93062', 'TWEAK'})"
"frozenset({'P54257', 'P08670', 'TWEAK'})"
"frozenset({'O00566', 'TWEAK', 'Q9BSC4'})"
"frozenset({'P61247', 'P09651', 'TWEAK'})"
"frozenset({'Q8IVI9', 'TWEAK', 'P25054'})"
"frozenset({'Q92900', 'P19320', 'TWEAK'})"
"frozenset({'P29474', 'Q9Y2H9', 'TWEAK'})"
"frozenset({'O94888', 'Q8WVZ9', 'TWEAK'})"
"frozenset({'P23769', 'P86479', 'TWEAK'})"
"frozenset({'P47756', 'Q68EM7', 'TWEAK'})"
"frozenset({'Q641Q2', 'O75116', 'TWEAK'})"
"frozenset({'Q9HA77', 'Q5BKU9', 'TWEAK'})"
"frozenset({'Q8WUM4', 'P35270', 'TWEAK'})"
"frozenset({'Q99755', 'Q03167', 'TWEAK'})"
"frozenset({'P62993', 'P48995', 'TWEAK'})"
"frozenset({'P62140', 'Q6IQ23', 'TWEAK'})"
"frozenset({'P98177', 'P04179', 'TWEAK'})"
"frozenset({'Q9H4K1', 'TWEAK', 'Q8IYF3'})"
"frozenset({'Q92561', 'Q6UB98', 'TWEAK'})"
"frozenset({'P22612', 'Q86X55', 'TWEAK'})"
"frozenset({'O14979', 'TWEAK', 'Q09666'})"
"frozenset({'P38405', 'Q8NGN6', 'TWEAK'})"
"frozenset({'Q02543', 'O75530', 'TWEAK'})"
"frozenset({'Q9BSD7', 'O60260', 'TWEAK'})"
"frozenset({'Q12906', 'O14879', 'TWEAK'})"
"frozenset({'TWEAK', 'Q86Y26', 'P52292'})"
"frozenset({'Q9Y2T3', 'O00193', 'TWEAK'})"
"frozenset({'TWEAK', 'P31946', 'Q16890'})"
"frozenset({'Q8IWL3', 'TWEAK', 'Q8WVI0'})"
"frozenset({'Q92900', 'O95777', 'TWEAK'})"
"frozenset({'P04629', 'P05198', 'TWEAK'})"
"frozenset({'P35226', 'P12814', 'TWEAK'})"
"frozenset({'Q04724', 'TWEAK', 'Q8N5U6'})"
"frozenset({'Q8IZ21', 'TWEAK', 'O60216'})"
"frozenset({'Q9ULX6', 'Q13398', 'TWEAK'})"
"frozenset({'TWEAK', 'Q12913', 'Q9Y2H8'})"
"frozenset({'TWEAK', 'Q5U3C3', 'Q92633'})"
"frozenset({'Q9UBS4', 'Q96GX1', 'TWEAK'})"
"frozenset({'Q9BSU1', 'TWEAK', 'P17900'})"
"frozenset({'Q8WY64', 'Q5JST6', 'TWEAK'})"
"frozenset({'Q6NUQ1', 'Q13561', 'TWEAK'})"
"frozenset({'P49792', 'TWEAK', 'P01106'})"
"frozenset({'P51170', 'P51168', 'TWEAK'})"
"frozenset({'Q14161', 'Q96BD5', 'TWEAK'})"
"frozenset({'P30281', 'P49918', 'TWEAK'})"
"frozenset({'Q96PK6', 'TWEAK', 'P46100'})"
"frozenset({'P02808', 'P04637', 'TWEAK'})"
"frozenset({'P04406', 'Q13618', 'TWEAK'})"
"frozenset({'P12931', 'TWEAK', 'Q96MU7'})"
"frozenset({'Q16629', 'O75530', 'TWEAK'})"
"frozenset({'Q8IWL3', 'Q9NZN8', 'TWEAK'})"
"frozenset({'P10275', 'TWEAK', 'O75795'})"
"frozenset({'P06241', 'TWEAK', 'P78352'})"
"frozenset({'P68431', 'TWEAK', 'Q96BK5'})"
"frozenset({'TWEAK', 'Q9UJX2', 'Q9BRK4'})"
"frozenset({'P60370', 'TWEAK', 'Q8IYI8'})"
"frozenset({'Q8IWL3', 'TWEAK', 'P11274'})"
"frozenset({'Q15696', 'P78362', 'TWEAK'})"
"frozenset({'O15350', 'TWEAK', 'Q9H211'})"
"frozenset({'Q6PEX3', 'TWEAK', 'Q96HD9'})"
"frozenset({'O00287', 'Q12929', 'TWEAK'})"
"frozenset({'Q14980', 'P55072', 'TWEAK'})"
"frozenset({'P68363', 'P25788', 'TWEAK'})"
"frozenset({'Q15813', 'P23526', 'TWEAK'})"
"frozenset({'P11802', 'O75838', 'TWEAK'})"
"frozenset({'P38398', 'O95782', 'TWEAK'})"
