negatives
"frozenset({'Q3KQZ1', 'Q15437', 'FSH'})"
"frozenset({'Q96JG6', 'FSH', 'Q9UJ41'})"
"frozenset({'O14802', 'Q15185', 'FSH'})"
"frozenset({'Q9Y266', 'Q8N1V2', 'FSH'})"
"frozenset({'Q9Y266', 'P00441', 'FSH'})"
"frozenset({'P08238', 'P16455', 'FSH'})"
"frozenset({'P98175', 'FSH', 'Q9UJV9'})"
"frozenset({'Q12959', 'FSH', 'P63252'})"
"frozenset({'P56545', 'FSH', 'P35712'})"
"frozenset({'Q9HCI7', 'FSH', 'Q9H7Z6'})"
"frozenset({'Q96LK0', 'FSH', 'Q92900'})"
"frozenset({'Q9Y265', 'FSH', 'Q70CQ1'})"
"frozenset({'O43889', 'Q9BV81', 'FSH'})"
"frozenset({'Q92731', 'Q9P2R3', 'FSH'})"
"frozenset({'P26010', 'FSH', 'P24821'})"
"frozenset({'Q14164', 'P50539', 'FSH'})"
"frozenset({'Q96CS3', 'Q6P3X3', 'FSH'})"
"frozenset({'P43686', 'Q16659', 'FSH'})"
"frozenset({'Q9BUL9', 'FSH', 'Q4G0J3'})"
"frozenset({'P51610', 'O15047', 'FSH'})"
"frozenset({'Q14D33', 'FSH', 'Q96EA4'})"
"frozenset({'Q15717', 'FSH', 'O76082'})"
"frozenset({'Q9UBV2', 'FSH', 'Q92575'})"
"frozenset({'P02774', 'P30281', 'FSH'})"
"frozenset({'P49848', 'Q04206', 'FSH'})"
"frozenset({'Q96Q05', 'Q8IYB1', 'FSH'})"
"frozenset({'Q9UBU9', 'FSH', 'Q9UBX3'})"
"frozenset({'Q5GLZ8', 'FSH', 'Q9HCE1'})"
"frozenset({'P55211', 'FSH', 'P43146'})"
"frozenset({'Q9Y3B4', 'P62314', 'FSH'})"
"frozenset({'P62140', 'Q9NWS0', 'FSH'})"
"frozenset({'Q15628', 'P05141', 'FSH'})"
"frozenset({'O95758', 'FSH', 'Q9NVN8'})"
"frozenset({'Q0VD86', 'Q8N6N6', 'FSH'})"
"frozenset({'Q09472', 'FSH', 'P09016'})"
"frozenset({'Q96HY7', 'P09622', 'FSH'})"
"frozenset({'Q6A162', 'FSH', 'Q9BU23'})"
"frozenset({'P31948', 'Q2WGJ6', 'FSH'})"
"frozenset({'P51587', 'Q9BTL4', 'FSH'})"
"frozenset({'Q99519', 'P49917', 'FSH'})"
"frozenset({'P16870', 'Q5GAN3', 'FSH'})"
"frozenset({'P30520', 'O75874', 'FSH'})"
"frozenset({'Q8WV44', 'O60504', 'FSH'})"
"frozenset({'Q8IWI9', 'FSH', 'Q6K0P9'})"
"frozenset({'P55072', 'O43707', 'FSH'})"
"frozenset({'Q8NHQ1', 'FSH', 'P62316'})"
"frozenset({'Q86W54', 'Q15154', 'FSH'})"
"frozenset({'P86480', 'Q8WYB5', 'FSH'})"
"frozenset({'Q3SY00', 'Q9BQ04', 'FSH'})"
"frozenset({'Q9UNE7', 'P17066', 'FSH'})"
"frozenset({'P09960', 'P35270', 'FSH'})"
"frozenset({'FSH', 'O60237', 'O75344'})"
"frozenset({'P16615', 'FSH', 'P08195'})"
"frozenset({'Q16630', 'P48729', 'FSH'})"
"frozenset({'Q9NZM3', 'Q9Y2I6', 'FSH'})"
"frozenset({'Q8WVD3', 'Q9Y2X8', 'FSH'})"
"frozenset({'FSH', 'Q9BV57', 'Q9BV20'})"
"frozenset({'O14976', 'P0DP25', 'FSH'})"
"frozenset({'Q8TDW7', 'FSH', 'Q96LS8'})"
"frozenset({'P12268', 'O60749', 'FSH'})"
"frozenset({'Q9GZV8', 'Q8N5M1', 'FSH'})"
"frozenset({'O75937', 'FSH', 'P51991'})"
"frozenset({'Q13503', 'P63208', 'FSH'})"
"frozenset({'P25787', 'O95817', 'FSH'})"
"frozenset({'P31483', 'Q13619', 'FSH'})"
"frozenset({'Q99880', 'P61964', 'FSH'})"
"frozenset({'Q9BYD3', 'FSH', 'P68400'})"
"frozenset({'P20674', 'Q9HC24', 'FSH'})"
"frozenset({'Q9Y4E8', 'FSH', 'Q14525'})"
"frozenset({'P12755', 'Q12866', 'FSH'})"
"frozenset({'O96028', 'FSH', 'P03372'})"
"frozenset({'P35626', 'FSH', 'Q8NGY2'})"
"frozenset({'Q96NU1', 'A6ZKI3', 'FSH'})"
"frozenset({'P61020', 'Q00765', 'FSH'})"
"frozenset({'Q9BWF2', 'FSH', 'Q9Y4K3'})"
"frozenset({'Q15738', 'FSH', 'Q12952'})"
"frozenset({'Q8NCX0', 'Q5JVL4', 'FSH'})"
"frozenset({'P30084', 'FSH', 'O43353'})"
"frozenset({'Q6VMQ6', 'FSH', 'Q14669'})"
"frozenset({'P09629', 'Q6ZT12', 'FSH'})"
"frozenset({'P62263', 'O15350', 'FSH'})"
"frozenset({'P11047', 'P16144', 'FSH'})"
"frozenset({'P04629', 'Q13823', 'FSH'})"
"frozenset({'Q8WXF0', 'FSH', 'O75044'})"
"frozenset({'Q5TA79', 'FSH', 'Q9BYR9'})"
"frozenset({'Q15648', 'FSH', 'O95988'})"
"frozenset({'Q9H8V3', 'FSH', 'Q96EB6'})"
"frozenset({'P31269', 'FSH', 'Q92793'})"
"frozenset({'P16591', 'FSH', 'P35222'})"
"frozenset({'Q9HCH0', 'Q7Z7A1', 'FSH'})"
"frozenset({'Q14627', 'P05014', 'FSH'})"
"frozenset({'O15169', 'O14980', 'FSH'})"
"frozenset({'Q6NYC1', 'FSH', 'Q6ZQX7'})"
"frozenset({'P41227', 'P30304', 'FSH'})"
"frozenset({'Q9ULT8', 'P27348', 'FSH'})"
"frozenset({'FSH', 'Q92890', 'P01871'})"
"frozenset({'P61769', 'Q9BZW8', 'FSH'})"
"frozenset({'P01562', 'Q92985', 'FSH'})"
"frozenset({'P19087', 'O60749', 'FSH'})"
"frozenset({'FSH', 'P60411', 'Q8IVW4'})"
"frozenset({'Q9P267', 'P25054', 'FSH'})"
"frozenset({'Q9BTE6', 'Q9Y371', 'FSH'})"
"frozenset({'P42566', 'P57737', 'FSH'})"
"frozenset({'P99999', 'Q9P2P5', 'FSH'})"
"frozenset({'P24941', 'Q9H1A4', 'FSH'})"
"frozenset({'P35626', 'FSH', 'Q8NGH9'})"
"frozenset({'Q9NRX1', 'Q86VP6', 'FSH'})"
"frozenset({'P42566', 'FSH', 'P22455'})"
"frozenset({'FSH', 'P22626', 'Q14683'})"
"frozenset({'Q9BRR9', 'P60953', 'FSH'})"
"frozenset({'O94925', 'FSH', 'P62987'})"
"frozenset({'O60307', 'P56524', 'FSH'})"
"frozenset({'P68371', 'Q08380', 'FSH'})"
"frozenset({'P04183', 'Q5TA45', 'FSH'})"
"frozenset({'P22694', 'FSH', 'Q8NGJ9'})"
"frozenset({'P05161', 'Q14651', 'FSH'})"
"frozenset({'Q9BT25', 'FSH', 'Q8NA72'})"
"frozenset({'P20963', 'FSH', 'Q96JI7'})"
"frozenset({'P05556', 'P63244', 'FSH'})"
"frozenset({'P51608', 'O43463', 'FSH'})"
"frozenset({'P49407', 'Q8NGR2', 'FSH'})"
"frozenset({'A8MQ03', 'Q71SY5', 'FSH'})"
"frozenset({'P15151', 'FSH', 'P60410'})"
"frozenset({'FSH', 'Q8ND25', 'Q969T4'})"
"frozenset({'Q8WXH5', 'FSH', 'P31785'})"
"frozenset({'P26641', 'P62857', 'FSH'})"
"frozenset({'Q9UBN7', 'Q96KK5', 'FSH'})"
"frozenset({'P60568', 'FSH', 'Q8IU57'})"
"frozenset({'Q9UJP4', 'Q96JM2', 'FSH'})"
"frozenset({'Q9GZR7', 'P06748', 'FSH'})"
"frozenset({'O95257', 'Q9H814', 'FSH'})"
"frozenset({'P15248', 'Q13261', 'FSH'})"
"frozenset({'Q96GX1', 'P51648', 'FSH'})"
"frozenset({'Q8NCW5', 'Q16659', 'FSH'})"
"frozenset({'O43865', 'Q86X19', 'FSH'})"
"frozenset({'P12830', 'O75943', 'FSH'})"
"frozenset({'Q9P286', 'Q96SW2', 'FSH'})"
"frozenset({'P83916', 'Q13111', 'FSH'})"
"frozenset({'Q9H3P2', 'Q15560', 'FSH'})"
"frozenset({'Q9UJC3', 'Q9Y275', 'FSH'})"
"frozenset({'Q7L1W4', 'FSH', 'P05067'})"
"frozenset({'Q96H20', 'FSH', 'Q96GM5'})"
"frozenset({'P00533', 'FSH', 'Q99952'})"
"frozenset({'Q9UHV7', 'FSH', 'P49336'})"
"frozenset({'Q96K80', 'Q92624', 'FSH'})"
"frozenset({'Q9BZM6', 'Q86YJ5', 'FSH'})"
"frozenset({'P43246', 'P50750', 'FSH'})"
"frozenset({'P04843', 'Q6NUN9', 'FSH'})"
"frozenset({'P40925', 'P30041', 'FSH'})"
"frozenset({'P62263', 'Q9UBS0', 'FSH'})"
"frozenset({'P07900', 'Q15773', 'FSH'})"
"frozenset({'P53350', 'Q9UBS3', 'FSH'})"
"frozenset({'O00217', 'Q9NX40', 'FSH'})"
"frozenset({'P56182', 'Q9NPJ6', 'FSH'})"
"frozenset({'Q8N9W6', 'Q93062', 'FSH'})"
"frozenset({'Q9BRT2', 'FSH', 'P40337'})"
"frozenset({'Q9NRD5', 'Q86YW0', 'FSH'})"
"frozenset({'Q2TAY7', 'Q07955', 'FSH'})"
"frozenset({'Q8N6R1', 'FSH', 'Q8N6L0'})"
"frozenset({'P18509', 'FSH', 'Q13043'})"
"frozenset({'FSH', 'P05412', 'P62136'})"
"frozenset({'Q9H2H9', 'Q8WZA1', 'FSH'})"
"frozenset({'Q6IF36', 'O60262', 'FSH'})"
"frozenset({'Q969H0', 'Q13950', 'FSH'})"
"frozenset({'P07437', 'P42858', 'FSH'})"
"frozenset({'Q08209', 'FSH', 'Q13164'})"
"frozenset({'P43246', 'P54278', 'FSH'})"
"frozenset({'P08648', 'FSH', 'P47224'})"
"frozenset({'P49407', 'FSH', 'O95007'})"
"frozenset({'Q9NUL7', 'FSH', 'Q15434'})"
"frozenset({'P50150', 'Q9UBS5', 'FSH'})"
"frozenset({'O95347', 'Q13535', 'FSH'})"
"frozenset({'Q16769', 'Q86VP6', 'FSH'})"
"frozenset({'O95274', 'Q86Y56', 'FSH'})"
"frozenset({'P35251', 'P05412', 'FSH'})"
"frozenset({'Q9UPQ3', 'P55196', 'FSH'})"
"frozenset({'Q13895', 'Q96JN2', 'FSH'})"
"frozenset({'Q9UK80', 'Q16539', 'FSH'})"
"frozenset({'Q8N960', 'Q96C92', 'FSH'})"
"frozenset({'P54826', 'O43323', 'FSH'})"
"frozenset({'Q13137', 'Q9BVV2', 'FSH'})"
"frozenset({'Q15628', 'O14763', 'FSH'})"
"frozenset({'Q05516', 'P20042', 'FSH'})"
"frozenset({'Q92905', 'Q9BQ52', 'FSH'})"
"frozenset({'FSH', 'Q13416', 'P57055'})"
"frozenset({'Q99958', 'Q93062', 'FSH'})"
"frozenset({'P29317', 'Q15147', 'FSH'})"
"frozenset({'P40938', 'Q13573', 'FSH'})"
"frozenset({'Q9Y478', 'Q15084', 'FSH'})"
"frozenset({'Q05D60', 'Q96MT8', 'FSH'})"
"frozenset({'P35638', 'Q13547', 'FSH'})"
"frozenset({'Q9Y2M0', 'FSH', 'P54132'})"
"frozenset({'Q6ZW49', 'Q6PKG0', 'FSH'})"
"frozenset({'P23458', 'P29350', 'FSH'})"
"frozenset({'O15111', 'P17252', 'FSH'})"
"frozenset({'FSH', 'O94972', 'Q16777'})"
"frozenset({'Q8N3V7', 'Q8WXE9', 'FSH'})"
"frozenset({'P60371', 'Q9BYR5', 'FSH'})"
"frozenset({'Q7Z7A1', 'Q16659', 'FSH'})"
"frozenset({'O75147', 'O00567', 'FSH'})"
"frozenset({'Q96CV9', 'FSH', 'Q15018'})"
"frozenset({'Q8N5P1', 'FSH', 'Q13315'})"
"frozenset({'O43741', 'Q9UK08', 'FSH'})"
"frozenset({'FSH', 'Q9NZC7', 'P52209'})"
"frozenset({'P22314', 'P25686', 'FSH'})"
"frozenset({'P46013', 'O75828', 'FSH'})"
"frozenset({'Q9H9A6', 'FSH', 'Q15910'})"
"frozenset({'Q9C019', 'Q9HBM6', 'FSH'})"
"frozenset({'P50222', 'Q9P2W3', 'FSH'})"
"frozenset({'P12270', 'Q8TEM1', 'FSH'})"
"frozenset({'P46937', 'P37173', 'FSH'})"
"frozenset({'Q13216', 'Q8NHY2', 'FSH'})"
"frozenset({'Q9H8V3', 'P63244', 'FSH'})"
"frozenset({'Q9Y3B4', 'P08579', 'FSH'})"
"frozenset({'P41240', 'P23471', 'FSH'})"
"frozenset({'Q63HN8', 'Q9BZW8', 'FSH'})"
"frozenset({'Q96MF7', 'Q96LX8', 'FSH'})"
"frozenset({'Q8N4C7', 'Q96S44', 'FSH'})"
"frozenset({'P25098', 'Q9H255', 'FSH'})"
"frozenset({'Q71F56', 'Q9Y2X0', 'FSH'})"
"frozenset({'Q8N357', 'P05091', 'FSH'})"
"frozenset({'P53621', 'Q9H410', 'FSH'})"
"frozenset({'Q13315', 'FSH', 'Q6NUJ5'})"
"frozenset({'O95999', 'FSH', 'O43353'})"
"frozenset({'Q13618', 'P07195', 'FSH'})"
"frozenset({'O94929', 'P68133', 'FSH'})"
"frozenset({'P63172', 'Q9Y4X4', 'FSH'})"
"frozenset({'Q15717', 'Q8NBI6', 'FSH'})"
"frozenset({'Q9BZ95', 'FSH', 'Q8NFC6'})"
"frozenset({'Q8IXQ5', 'FSH', 'Q9HCE1'})"
"frozenset({'P31152', 'FSH', 'P07900'})"
"frozenset({'P35244', 'FSH', 'Q96T37'})"
"frozenset({'Q8N205', 'O75355', 'FSH'})"
"frozenset({'Q8IY81', 'FSH', 'Q9Y6K5'})"
"frozenset({'O75880', 'P42704', 'FSH'})"
"frozenset({'P46199', 'Q6IN84', 'FSH'})"
"frozenset({'P56545', 'P48431', 'FSH'})"
"frozenset({'Q9H257', 'Q9Y247', 'FSH'})"
"frozenset({'P45983', 'P09211', 'FSH'})"
"frozenset({'Q9NRD5', 'P17252', 'FSH'})"
"frozenset({'Q9NQB0', 'Q8WVD3', 'FSH'})"
"frozenset({'Q9UHA4', 'FSH', 'P11234'})"
"frozenset({'Q9UBI6', 'FSH', 'O43306'})"
"frozenset({'P11142', 'Q92630', 'FSH'})"
"frozenset({'Q13201', 'Q16610', 'FSH'})"
"frozenset({'O95714', 'P01040', 'FSH'})"
"frozenset({'Q9UK08', 'P17252', 'FSH'})"
"frozenset({'Q16254', 'Q15329', 'FSH'})"
"frozenset({'Q6DD87', 'FSH', 'Q13315'})"
"frozenset({'Q8N1G0', 'Q8N5Z5', 'FSH'})"
"frozenset({'P23508', 'O15372', 'FSH'})"
"frozenset({'Q9Y3U8', 'P05387', 'FSH'})"
"frozenset({'Q96LR5', 'Q96BH1', 'FSH'})"
"frozenset({'Q3ZCQ8', 'Q9BRX2', 'FSH'})"
"frozenset({'Q8NB91', 'FSH', 'Q00597'})"
"frozenset({'O76011', 'Q92529', 'FSH'})"
"frozenset({'P36873', 'FSH', 'Q9NRD1'})"
"frozenset({'Q92993', 'Q92878', 'FSH'})"
"frozenset({'Q15797', 'Q96PE3', 'FSH'})"
"frozenset({'Q9Y3E0', 'P14384', 'FSH'})"
"frozenset({'Q96IK5', 'Q13066', 'FSH'})"
"frozenset({'Q9NW13', 'FSH', 'P11387'})"
"frozenset({'P42345', 'FSH', 'O00303'})"
"frozenset({'Q9BSF0', 'FSH', 'O95551'})"
"frozenset({'FSH', 'P28715', 'P41182'})"
"frozenset({'Q9P2D1', 'FSH', 'Q8TAK6'})"
"frozenset({'P62424', 'P68431', 'FSH'})"
"frozenset({'FSH', 'O14775', 'P22612'})"
"frozenset({'Q9Y2B5', 'Q13200', 'FSH'})"
"frozenset({'Q9UDY8', 'Q01201', 'FSH'})"
"frozenset({'P18848', 'Q9H6Z9', 'FSH'})"
"frozenset({'Q9UQM7', 'P55055', 'FSH'})"
"frozenset({'Q49A88', 'Q9NRR5', 'FSH'})"
"frozenset({'P00441', 'P07195', 'FSH'})"
"frozenset({'FSH', 'A6ZKI3', 'P05067'})"
"frozenset({'Q9UJX3', 'Q96DE5', 'FSH'})"
"frozenset({'O95486', 'Q9NYZ3', 'FSH'})"
"frozenset({'P78424', 'FSH', 'Q9Y3C6'})"
"frozenset({'Q16543', 'FSH', 'Q9NTM9'})"
"frozenset({'P0DP25', 'O95259', 'FSH'})"
"frozenset({'P45973', 'Q13416', 'FSH'})"
"frozenset({'Q9UBN1', 'O95070', 'FSH'})"
"frozenset({'P12955', 'FSH', 'P56537'})"
"frozenset({'Q8WUU5', 'Q92769', 'FSH'})"
"frozenset({'Q92785', 'P60520', 'FSH'})"
"frozenset({'P28838', 'Q9Y371', 'FSH'})"
"frozenset({'Q96HZ7', 'P80188', 'FSH'})"
"frozenset({'Q9ULA0', 'Q9UM07', 'FSH'})"
"frozenset({'Q9UHA4', 'Q9Y6M9', 'FSH'})"
"frozenset({'P16333', 'P20042', 'FSH'})"
"frozenset({'Q96H20', 'Q9HCE5', 'FSH'})"
"frozenset({'O60260', 'FSH', 'P24864'})"
"frozenset({'P61289', 'FSH', 'P42677'})"
"frozenset({'Q9NPG2', 'P60484', 'FSH'})"
"frozenset({'P01892', 'FSH', 'Q9HCE1'})"
"frozenset({'O43837', 'Q7Z7A1', 'FSH'})"
"frozenset({'O60336', 'O76015', 'FSH'})"
"frozenset({'Q9UKL3', 'P61956', 'FSH'})"
"frozenset({'P29274', 'FSH', 'P30542'})"
"frozenset({'FSH', 'P26371', 'Q9UBX3'})"
"frozenset({'P52272', 'O75530', 'FSH'})"
"frozenset({'O95684', 'Q8N2U0', 'FSH'})"
"frozenset({'Q9H2M9', 'Q5RKV6', 'FSH'})"
"frozenset({'O75916', 'O14775', 'FSH'})"
"frozenset({'Q8N5N7', 'Q96EN8', 'FSH'})"
"frozenset({'P14635', 'Q13635', 'FSH'})"
"frozenset({'P20618', 'Q04721', 'FSH'})"
"frozenset({'P51151', 'FSH', 'O94955'})"
"frozenset({'P55854', 'P04637', 'FSH'})"
"frozenset({'Q6UWP8', 'P12830', 'FSH'})"
"frozenset({'Q9NVT9', 'P61601', 'FSH'})"
"frozenset({'O95793', 'FSH', 'Q12906'})"
"frozenset({'P51148', 'P84243', 'FSH'})"
"frozenset({'P19438', 'O15519', 'FSH'})"
"frozenset({'P60369', 'FSH', 'P32242'})"
"frozenset({'Q8N3Z6', 'Q9HAQ2', 'FSH'})"
"frozenset({'FSH', 'Q14980', 'Q99549'})"
"frozenset({'Q96BZ8', 'FSH', 'Q9BVG8'})"
"frozenset({'P07197', 'FSH', 'P14921'})"
"frozenset({'Q8NGJ6', 'P22694', 'FSH'})"
"frozenset({'P37275', 'Q5T4S7', 'FSH'})"
"frozenset({'P11142', 'P53041', 'FSH'})"
"frozenset({'Q969H0', 'Q9P086', 'FSH'})"
"frozenset({'P30153', 'P07355', 'FSH'})"
"frozenset({'O00750', 'FSH', 'P63104'})"
"frozenset({'Q9H788', 'O60504', 'FSH'})"
"frozenset({'P08887', 'P05013', 'FSH'})"
"frozenset({'Q9NVP2', 'Q8IY18', 'FSH'})"
"frozenset({'Q13064', 'FSH', 'P68036'})"
"frozenset({'Q8N137', 'Q5SQN1', 'FSH'})"
"frozenset({'Q8IYR0', 'Q14687', 'FSH'})"
"frozenset({'Q9H4L7', 'P14866', 'FSH'})"
"frozenset({'P01023', 'P38606', 'FSH'})"
"frozenset({'P52735', 'Q13191', 'FSH'})"
"frozenset({'Q13286', 'FSH', 'P61204'})"
"frozenset({'P08243', 'P47897', 'FSH'})"
"frozenset({'P53355', 'FSH', 'O95185'})"
"frozenset({'Q96B97', 'P98082', 'FSH'})"
"frozenset({'Q13422', 'P62306', 'FSH'})"
"frozenset({'Q14995', 'P49674', 'FSH'})"
"frozenset({'P60568', 'P32927', 'FSH'})"
"frozenset({'Q01844', 'FSH', 'Q93034'})"
"frozenset({'FSH', 'Q3C1V8', 'P16220'})"
"frozenset({'Q13247', 'Q12986', 'FSH'})"
"frozenset({'P08069', 'Q9Y371', 'FSH'})"
"frozenset({'Q96EB6', 'FSH', 'P11473'})"
"frozenset({'P19838', 'A8K2U0', 'FSH'})"
"frozenset({'Q6PD62', 'P19388', 'FSH'})"
"frozenset({'Q15796', 'O60664', 'FSH'})"
"frozenset({'Q5T4B2', 'Q3LI66', 'FSH'})"
"frozenset({'O00233', 'O60260', 'FSH'})"
"frozenset({'Q9H9S0', 'Q15022', 'FSH'})"
"frozenset({'Q8N684', 'FSH', 'Q7L775'})"
"frozenset({'P31946', 'Q9UJM3', 'FSH'})"
"frozenset({'Q15029', 'P52272', 'FSH'})"
"frozenset({'O76011', 'Q8N4L8', 'FSH'})"
"frozenset({'P33991', 'O95696', 'FSH'})"
"frozenset({'Q15831', 'P40763', 'FSH'})"
"frozenset({'O43896', 'FSH', 'P63104'})"
"frozenset({'Q8WXF0', 'Q9NQT8', 'FSH'})"
"frozenset({'Q13546', 'Q08830', 'FSH'})"
"frozenset({'Q9H165', 'FSH', 'Q96EB6'})"
"frozenset({'P16333', 'O43708', 'FSH'})"
"frozenset({'P63000', 'FSH', 'P15735'})"
"frozenset({'Q8IZJ0', 'FSH', 'Q969J5'})"
"frozenset({'Q15695', 'A7MD48', 'FSH'})"
"frozenset({'O96005', 'Q8NBM4', 'FSH'})"
"frozenset({'Q92614', 'P06733', 'FSH'})"
"frozenset({'Q16082', 'O95817', 'FSH'})"
"frozenset({'P42858', 'Q9NP66', 'FSH'})"
"frozenset({'Q9NS69', 'Q00610', 'FSH'})"
"frozenset({'P33992', 'FSH', 'P16104'})"
"frozenset({'Q7Z4H9', 'Q8WW24', 'FSH'})"
"frozenset({'P08238', 'Q9UKT5', 'FSH'})"
"frozenset({'P04629', 'Q96AC1', 'FSH'})"
"frozenset({'Q9H444', 'FSH', 'Q9Y6W3'})"
"frozenset({'Q15427', 'Q99496', 'FSH'})"
"frozenset({'P0C7P0', 'FSH', 'Q9H078'})"
"frozenset({'Q9BUF5', 'P05412', 'FSH'})"
"frozenset({'P63167', 'FSH', 'P15531'})"
"frozenset({'O60341', 'P04637', 'FSH'})"
"frozenset({'Q9H0A8', 'Q9GZQ3', 'FSH'})"
"frozenset({'FSH', 'Q96RU3', 'Q06330'})"
"frozenset({'Q16566', 'P51828', 'FSH'})"
"frozenset({'Q6WCQ1', 'O14974', 'FSH'})"
"frozenset({'P32927', 'P05000', 'FSH'})"
"frozenset({'P06756', 'A4D0S4', 'FSH'})"
"frozenset({'O43639', 'Q8IZP0', 'FSH'})"
"frozenset({'Q92813', 'Q9Y2K6', 'FSH'})"
"frozenset({'Q9HAV7', 'FSH', 'P25685'})"
"frozenset({'P35998', 'Q9BUN8', 'FSH'})"
"frozenset({'Q15717', 'FSH', 'Q6PEV8'})"
"frozenset({'Q6P1J9', 'Q03111', 'FSH'})"
"frozenset({'P49720', 'P25787', 'FSH'})"
"frozenset({'Q12959', 'Q15311', 'FSH'})"
"frozenset({'Q9P2R6', 'O95251', 'FSH'})"
"frozenset({'O00560', 'O75170', 'FSH'})"
"frozenset({'P11021', 'P09651', 'FSH'})"
"frozenset({'Q13619', 'P62304', 'FSH'})"
"frozenset({'P78412', 'Q99471', 'FSH'})"
"frozenset({'Q9Y572', 'P49448', 'FSH'})"
"frozenset({'Q9NX70', 'FSH', 'Q6P2C8'})"
"frozenset({'Q7Z7F7', 'Q86TS9', 'FSH'})"
"frozenset({'P07992', 'Q5VYV7', 'FSH'})"
"frozenset({'P24941', 'P04637', 'FSH'})"
"frozenset({'P01106', 'Q8IVG5', 'FSH'})"
"frozenset({'P30041', 'P36952', 'FSH'})"
"frozenset({'P10451', 'P24593', 'FSH'})"
"frozenset({'P49761', 'P51784', 'FSH'})"
"frozenset({'Q15393', 'Q8NAF0', 'FSH'})"
"frozenset({'Q96QC0', 'P61978', 'FSH'})"
"frozenset({'O43247', 'FSH', 'Q9NTJ4'})"
"frozenset({'Q12962', 'O75478', 'FSH'})"
"frozenset({'P09661', 'FSH', 'Q7Z6Z7'})"
"frozenset({'Q02539', 'FSH', 'P62841'})"
"frozenset({'Q13683', 'P50552', 'FSH'})"
"frozenset({'P49810', 'FSH', 'Q13508'})"
"frozenset({'P04632', 'FSH', 'P43034'})"
"frozenset({'P49802', 'P17252', 'FSH'})"
"frozenset({'Q99666', 'P63165', 'FSH'})"
